f1	f2
0.731969	12.0019
0.731969	12.0019
0.731969	12.0019
0.731969	12.0019
0.728728	12.0232
0.726075	12.0295
0.724454	12.0402
0.722856	12.0426
0.722134	12.0459
0.722134	12.0459
0.722134	12.0459
0.722134	12.0459
0.722134	12.0459
0.718677	12.0527
0.718677	12.0527
0.718652	12.0756
0.718652	12.0756
0.716692	12.0765
0.716692	12.0765
0.709304	12.0874
0.709304	12.0874
0.709161	12.0884
0.707413	12.1007
0.707413	12.1007
0.707413	12.1007
0.707413	12.1007
0.707413	12.1007
0.707413	12.1007
0.707413	12.1007
0.707413	12.1007
0.707413	12.1007
0.707413	12.1007
0.69879	12.1342
0.69879	12.1342
0.697745	12.1358
0.692702	12.1514
0.692702	12.1514
0.692702	12.1514
0.692702	12.1514
0.690063	12.1667
0.690063	12.1667
0.690063	12.1667
0.685943	12.174
0.685943	12.174
0.685943	12.174
0.685943	12.174
0.685943	12.174
0.685943	12.174
0.685071	12.1838
0.685071	12.1838
0.679975	12.1982
0.678435	12.2056
0.678435	12.2056
0.678435	12.2056
0.678435	12.2056
0.678435	12.2056
0.67627	12.221
0.67627	12.221
0.674644	12.2408
0.674644	12.2408
0.674644	12.2408
0.666364	12.262
0.666364	12.262
0.666364	12.262
0.666364	12.262
0.666364	12.262
0.666364	12.262
0.66502	12.2881
0.658729	12.3024
0.653145	12.3033
0.653145	12.3033
0.653145	12.3033
0.653145	12.3033
0.653145	12.3033
0.650243	12.3135
0.650243	12.3135
0.650243	12.3135
0.650243	12.3135
0.650243	12.3135
0.650243	12.3135
0.650243	12.3135
0.650243	12.3135
0.643936	12.3445
0.639586	12.3643
0.639586	12.3643
0.639325	12.3663
0.639325	12.3663
0.639325	12.3663
0.639325	12.3663
0.639325	12.3663
0.629691	12.3959
0.629375	12.3986
0.629375	12.3986
0.629375	12.3986
0.629375	12.3986
0.629375	12.3986
0.629375	12.3986
0.629375	12.3986
0.625808	12.425
0.625808	12.425
0.625808	12.425
0.625808	12.425
0.625808	12.425
0.604801	12.5121
0.5957	12.554
0.591286	12.5576
0.591286	12.5576
0.591286	12.5576
0.578932	12.6484
0.578847	12.6491
0.578847	12.6491
0.578847	12.6491
0.571312	12.6616
0.570965	12.6632
0.566774	12.6726
0.562786	12.7148
0.562786	12.7148
0.560235	12.7282
0.556955	12.7372
0.556955	12.7372
0.556955	12.7372
0.550665	12.7676
0.550665	12.7676
0.541803	12.8233
0.541803	12.8233
0.541396	12.8758
0.541396	12.8758
0.516524	12.9439
0.516524	12.9439
0.516524	12.9439
0.516524	12.9439
0.514482	12.9583
0.505921	12.9918
0.505921	12.9918
0.503905	13.0196
0.499834	13.021
0.486979	13.0855
0.486979	13.0855
0.485738	13.1491
0.479096	13.1629
0.475063	13.2083
0.464838	13.2801
0.460907	13.2885
0.460835	13.302
0.44849	13.335
0.436	13.3817
0.431063	13.419
0.429124	13.4625
0.429124	13.4625
0.428031	13.5251
0.426319	13.5993
0.413112	13.658
0.392552	13.6723
0.392552	13.6723
0.389035	13.7475
0.387125	13.7491
0.381986	13.8407
0.375675	13.8611
0.375142	13.8661
0.366249	13.9453
0.366177	13.9464
0.366177	13.9464
0.354593	13.9869
0.348149	14.0393
0.348149	14.0393
0.344659	14.0641
0.333885	14.1859
0.333885	14.1859
0.332351	14.275
0.314869	14.3626
0.300192	14.4911
0.288915	14.5498
0.288915	14.5498
0.285732	14.7269
0.278983	14.8983
0.269963	14.9222
0.260621	14.9394
0.258445	15.3698
0.229547	15.3807
0.229547	15.3807
0.200765	15.815
0.178282	16.1335
0.162253	16.311
0.155123	16.4564
0.153397	16.5107
0.145556	16.8776
0.121421	17.5229
0.118419	18.2716
0.116019	18.3662
0.0891231	18.4101
0.0707184	19.1841
0.026443	22.4544
0.00612442	25.5692
0.0046065	40.5926
4.42177e-08	44.4879
