f1	f2
7.322578740113634e-01	1.200000000000000e+01
7.322578740113634e-01	1.200000000000000e+01
7.322578740113634e-01	1.200000000000000e+01
7.322578740113634e-01	1.200000000000000e+01
7.322578740113634e-01	1.200000000000000e+01
7.322578740113634e-01	1.200000000000000e+01
7.322578740113634e-01	1.200000000000000e+01
7.322578740113634e-01	1.200000000000000e+01
7.322578740113634e-01	1.200000000000000e+01
7.322578740113634e-01	1.200000000000000e+01
5.009690638972156e-01	1.300000000000000e+01
5.009690638972156e-01	1.300000000000000e+01
4.185177345432079e-01	1.400000000000000e+01
2.931518169297514e-01	1.500000000000000e+01
2.931518169297514e-01	1.500000000000000e+01
1.749085331875285e-01	1.600000000000000e+01
1.253093246549743e-01	1.700000000000000e+01
1.253093246549743e-01	1.700000000000000e+01
1.064775050856353e-01	1.800000000000000e+01
7.660346336043188e-02	1.900000000000000e+01
7.660346336043188e-02	1.900000000000000e+01
5.506909070971695e-02	2.000000000000000e+01
3.943314983515422e-02	2.100000000000000e+01
3.943314983515422e-02	2.100000000000000e+01
3.739698967425054e-02	2.200000000000000e+01
1.636669780661988e-02	2.300000000000000e+01
1.117686117050354e-02	2.400000000000000e+01
4.768456098283728e-03	2.700000000000000e+01
2.181086853159504e-03	2.900000000000000e+01
4.510491017867840e-04	3.000000000000000e+01
7.778632310703362e-07	3.200000000000000e+01
3.880585246953186e-08	5.500000000000000e+01
2.726450597715287e-08	6.000000000000000e+01
2.726450597715287e-08	6.000000000000000e+01
