f1	f2
7.322578740113634e-01	1.200000000000000e+01
3.530525030640972e-01	1.500000000000000e+01
1.147128205280070e-01	1.900000000000000e+01
3.784744755862291e-02	2.500000000000000e+01
1.437562311199136e-05	4.100000000000000e+01
6.065256991243325e-01	1.300000000000000e+01
4.524132414327615e-02	2.300000000000000e+01
4.510491017867840e-04	3.000000000000000e+01
5.699401318401565e-06	6.000000000000000e+01
1.253093246549743e-01	1.700000000000000e+01
6.503495424574388e-05	3.200000000000000e+01
