Run	MOEAD	NSGA2	OMADS	SPEA2	OASIS	ea	moga
1	0.45779	0.11969	2.58447	0.08677	nan	119.30000	104.64000
2	0.45992	0.07380	3.16897	0.08278	nan	118.28000	98.41000
3	0.46078	0.07081	2.66234	0.08677	nan	118.88000	101.44000
4	0.45894	0.07380	3.50422	0.08877	nan	121.03000	101.49000
5	0.45380	0.07380	2.69182	0.08976	nan	118.66000	98.30000
6	0.51663	0.07181	2.62651	0.09176	nan	118.11000	100.73000
7	0.45480	0.07281	3.69734	0.08378	nan	116.30000	103.49000
8	0.45791	0.07680	3.05133	0.08378	nan	119.48000	99.25000
9	0.45480	0.07281	2.92446	0.08278	nan	120.92000	106.83000
10	0.46601	0.06882	2.90791	0.08278	nan	117.90000	102.31000
