x1,x2,x3,x4,f1,f2,isFeasible,isFrontier
23.0,17.0,48.0,43.0,0.0020393045480105753,48.0,True,False
36.0,44.0,55.0,44.0,0.2603715231932043,55.0,True,False
13.0,42.0,41.0,49.0,0.016255658076836304,49.0,True,False
32.0,58.0,22.0,45.0,2.994520018076912,58.0,True,False
38.0,18.0,29.0,37.0,0.24323216080892646,38.0,True,False
12.0,41.0,60.0,19.0,0.08254107314360924,60.0,True,False
14.0,42.0,53.0,13.0,0.5028673643503694,53.0,True,False
24.0,15.0,46.0,33.0,0.008625733197699778,46.0,True,False
23.0,23.0,49.0,48.0,0.006502106633933992,49.0,True,False
15.0,12.0,12.0,13.0,1.019225182365307,15.0,True,False
14.0,12.0,12.0,13.0,0.8698243684250215,14.0,True,False
44.0,12.0,43.0,15.0,0.45471464581102133,44.0,True,False
12.0,12.0,12.0,12.0,0.7322578740113634,12.0,True,True
60.0,12.0,53.0,60.0,0.006746284642340749,60.0,True,False
12.0,12.0,24.0,60.0,0.0019606586023315628,60.0,True,False
12.0,12.0,12.0,36.0,0.0357414181528213,36.0,True,False
44.0,21.0,43.0,52.0,0.0723387285640249,52.0,True,False
44.0,29.0,43.0,58.0,0.1349449808472773,58.0,True,False
12.0,18.0,12.0,12.0,1.8379785492386034,18.0,True,False
12.0,12.0,22.0,22.0,0.02348290717683538,22.0,True,True
48.0,17.0,60.0,33.0,0.07173927661838088,60.0,True,False
19.0,23.0,29.0,31.0,0.11683840829050594,31.0,True,False
12.0,12.0,15.0,18.0,0.15136302157705062,18.0,True,False
23.0,16.0,13.0,18.0,2.040241565019667,23.0,True,False
29.0,18.0,23.0,16.0,1.6235829287502301,29.0,True,False
12.0,30.0,16.0,20.0,0.9618130428181735,30.0,True,False
12.0,12.0,13.0,15.0,0.3530525030640972,15.0,True,False
16.0,24.0,27.0,13.0,0.9020018303292039,27.0,True,False
16.0,24.0,18.0,29.0,0.3496982040074773,29.0,True,False
12.0,12.0,48.0,36.0,0.003714413872534677,48.0,True,False
24.0,13.0,15.0,28.0,0.3582954043026605,28.0,True,False
12.0,12.0,23.0,12.0,0.14247590489041181,23.0,True,False
17.0,21.0,25.0,18.0,0.4212711060285487,25.0,True,False
14.0,19.0,16.0,13.0,1.2872418896336553,19.0,True,False
14.0,15.0,14.0,27.0,0.1691481380069033,27.0,True,False
32.0,12.0,33.0,52.0,0.006319756951166909,52.0,True,False
12.0,12.0,18.0,15.0,0.15136302157705062,18.0,True,False
12.0,16.0,37.0,50.0,0.0016398888399898584,50.0,True,False
20.0,25.0,26.0,18.0,0.8539547915382385,26.0,True,False
12.0,12.0,18.0,31.0,0.01294706977198348,31.0,True,False
12.0,12.0,15.0,15.0,0.2457389878477507,15.0,True,True
12.0,40.0,60.0,45.0,0.0011221463537293807,60.0,True,False
12.0,12.0,13.0,12.0,0.6065256991243325,13.0,True,True
21.0,12.0,20.0,31.0,0.06873430866356393,31.0,True,False
12.0,32.0,40.0,35.0,0.016901661314193978,40.0,True,False
12.0,12.0,17.0,23.0,0.05017918991823021,23.0,True,False
35.0,18.0,43.0,29.0,0.13027276421564757,43.0,True,False
37.0,17.0,43.0,29.0,0.12969452488454614,43.0,True,False
14.0,19.0,21.0,13.0,0.6890322246571723,21.0,True,False
12.0,12.0,16.0,16.0,0.1749085331875285,16.0,True,True
34.0,15.0,57.0,31.0,0.02083561268958834,57.0,True,False
34.0,14.0,57.0,37.0,0.006629225978473781,57.0,True,False
12.0,52.0,60.0,60.0,0.0008441354134378651,60.0,True,False
12.0,12.0,40.0,19.0,0.002042530124990012,40.0,True,False
19.0,12.0,17.0,18.0,0.3609831276248505,19.0,True,False
21.0,12.0,22.0,18.0,0.24214696971386662,22.0,True,False
13.0,12.0,12.0,12.0,0.8818224309936811,13.0,True,False
16.0,19.0,17.0,21.0,0.5002185344171005,21.0,True,False
17.0,25.0,36.0,26.0,0.09596396083635077,36.0,True,False
14.0,30.0,13.0,30.0,0.8698243684250215,30.0,True,False
25.0,13.0,22.0,26.0,0.1796933239184166,26.0,True,False
