f1	f2
-1.830451509699993e+01	6.660779312520935e+00
-2.279158882091898e+01	9.053082568821944e+00
-6.346403705424592e+01	9.962701621029233e+00
-7.191623902402374e+01	1.042614760162645e+01
-8.027180604748224e+01	1.661793081323731e+01
-8.596484218951323e+01	1.797934417689973e+01
-9.167060219437330e+01	1.950428367264200e+01
-1.079579287531800e+02	2.681023360817738e+01
-1.195557024793388e+02	3.148609516357768e+01
-1.209809411523553e+02	4.526542019742566e+01
-1.225119058928782e+02	5.037661288081422e+01
-1.322882907175027e+02	5.063602882039297e+01
-1.562450262728293e+02	5.429935058099976e+01
-1.652365998090796e+02	5.603279545799330e+01
-1.652999986351810e+02	8.957620158496393e+01
-1.665382630399573e+02	9.244500626888885e+01
-1.858594989729010e+02	9.481038829609719e+01
-1.969813906351662e+02	9.766297393581726e+01
-2.063595921075383e+02	1.412984769104134e+02
-2.203196653499540e+02	1.465102832477481e+02
