f1	f2
-1.562450262728293e+02	5.429935058099976e+01
-1.816941861929957e+01	1.928168498541209e+01
-1.050750263881566e+02	4.686403438985442e+01
-1.103739878696933e+02	4.835418665975026e+01
-1.322882907175027e+02	5.063602882039297e+01
-7.982027148710641e+01	4.448845598145918e+01
-5.837271889338071e+01	3.263274227164957e+01
-3.877598986402975e+01	3.232182077489464e+01
-1.225119058928782e+02	5.037661288081422e+01
-1.652365998090796e+02	5.603279545799330e+01
-9.843463546362246e+01	4.681288923574834e+01
-1.181828510272339e+02	4.842050335700714e+01
-6.881552835283492e+01	3.954807395460075e+01
-1.210888750215223e+02	6.639300276061894e+01
