%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          f1             f2             f3             f4             f5             f6             f7             
1        NO_ID      5              5              3              3              3              5              -70.5          -8             4              -2             -12            -1             -1             
2        NO_ID      0.0007826369259 3.153778814    3.224212888    3.519007915    2.310689496    1.895918633    -33.24513      -1.154561      -2.845439      1.152996       -11.460554     -0.430721      1.628932       
3        NO_ID      4.704461621    7.886471687    4.171856233    2.081573756    4.3400831      1.941637207    -56.8642735    -10.590933     6.590933       1.18201        -20.954953     -0.545179      0.26254        
4        NO_ID      3.096534611    3.457211053    3.138465402    1.7820116      3.845975363    0.7698186211   0.087631       -4.553746      0.553746       -1.639324      -9.275099      -2.198816      2.514507       
5        NO_ID      8.341565075    6.684223752    1.699438978    5.206362742    4.559065714    3.043649473    -433.817937    -13.025789     9.025789       -3.657341      -13.711106     2.897822       -1.474335      
6        NO_ID      4.616689051    2.692877759    4.67859563     3.235137738    1.639974274    0.1190594445   -61.279397     -5.309567      1.309567       -3.923811      -5.461944      2.052821       2.031271       
7        NO_ID      1.032083049    6.219803969    3.498119747    2.847870822    2.443275383    2.823422613    11.5801515     -5.251887      1.251887       3.187721       -19.627329     -0.904006      0.866635       
8        NO_ID      3.263856789    5.641048595    4.641495421    3.920320244    2.881555424    8.255028621    42.9188835     -6.904905      2.904905       0.377192       -15.659289     2.614827       -4.269058      
9        NO_ID      2.266040078    5.335583498    3.06074299     4.361152977    2.265388724    8.470712858    60.001151      -5.601624      1.601624       1.069543       -15.74071      0.364843       -5.010367      
10       NO_ID      7.270996676    3.641140565    3.659791115    4.6639059      2.510977347    7.49068403     -271.6950315   -8.912137      4.912137       -5.629856      -5.652425      1.09923        -3.729827      
11       NO_ID      5.926497931    6.650720042    4.46069532     5.859377193    1.368324066    6.056432755    -125.247479    -10.577218     6.577218       -1.275778      -16.025662     3.993008       -4.718799      
12       NO_ID      0.4653092336   0.4522894744   1.651678546    1.14197647     4.465684481    9.397668498    15.415244      1.082401       -5.082401      -2.01302       -2.891559      -1.040053      -7.545899      
13       NO_ID      6.614450722    9.073289488    2.910569998    4.424944513    1.028283792    8.414214802    -180.104248    -13.68774      9.68774        0.458839       -22.605418     0.432942       -8.30188       
14       NO_ID      7.708180029    1.381744198    2.189895748    3.866749497    2.639198153    5.008398371    -352.981863    -7.089924      3.089924       -8.326436      1.562947       0.523018       -1.138576      
15       NO_ID      6.151426219    7.020454675    2.11269201     1.521922536    1.634708051    8.845530119    -144.511522    -11.171881     7.171881       -1.130972      -16.909938     -1.690762      -6.709552      
16       NO_ID      6.824713176    2.954341789    2.448980572    1.524719907    4.97831516     8.857221365    -220.0248165   -7.779055      3.779055       -5.870371      -4.038312      -2.171658      -8.770952      
17       NO_ID      3.319487843    0.6321831097   3.040609921    0.7964221345   4.644543301    4.598156011    -4.546875      -1.951671      -2.048329      -4.687305      -0.577061      -3.201929      -3.302679      
18       NO_ID      1.208077055    4.151063945    3.77269089     0.9236769345   2.492159023    6.79173685     23.215981      -3.359141      -0.640859      0.942987       -13.245115     -2.479272      -3.049639      
19       NO_ID      8.721237149    7.832770393    3.148799083    4.29928865     1.09622908     3.305375438    -495.0873945   -14.554008     10.554008      -2.888467      -16.777074     0.32143        -2.929719      
20       NO_ID      3.444984114    9.848011904    3.214430398    2.897559055    3.18335393     9.073748136    47.684716      -11.292996     7.292996       4.403028       -28.099052     -1.056461      -5.107367      
21       NO_ID      2.484929134    4.203961251    3.390700902    0.7650908906   1.588398708    3.042726188    10.22446       -4.68889       0.68889        -0.280968      -12.126955     -3.082262      -1.035344      
22       NO_ID      9.099033665    7.458814777    1.119984038    0.857595798    2.075051632    0.9819592866   -577.53211     -14.557848     10.557848      -3.640219      -15.277411     0.392056       2.162511       
23       NO_ID      3.789729939    3.991080478    4.235836353    1.052372193    4.479626486    5.205868597    -9.4004925     -5.78081       1.78081        -1.798649      -10.183511     -1.420336      -3.395163      
24       NO_ID      5.033505957    8.134621376    4.432588149    5.263520227    4.989641299    4.753300331    -55.316404     -11.168127     7.168127       1.101115       -21.370358     3.315829       -4.711973      
25       NO_ID      8.718662317    4.557565946    4.604344401    3.324529587    3.245845544    4.815156215    -495.3914505   -11.276228     7.276228       -6.161096      -6.954036      1.898451       -0.875596      
26       NO_ID      8.330509708    0.8766693626   2.672790858    3.893920842    3.085056261    8.851454933    -414.9822225   -7.207179      3.207179       -9.45384       3.700502       0.000987       -4.85869       
27       NO_ID      6.403052866    6.109514076    2.041232242    5.985431962    1.769986956    2.926915643    -188.580996    -10.512567     6.512567       -2.293539      -13.925489     2.904668       -0.439848      
28       NO_ID      2.671215885    5.125374154    1.865361035    0.1843797528   2.913670332    7.643180307    31.912464      -5.79659       1.79659        0.454158       -14.704907     -2.528215      -3.650633      
29       NO_ID      8.931416971    0.3250334693   2.135007255    0.100409939    2.059896522    4.202103212    -557.5962145   -7.25645       3.25645        -10.606384     5.956317       -3.151378      -1.085898      
30       NO_ID      4.748678009    1.031303555    2.247541259    5.138902268    4.686945198    6.219855201    -45.2694115    -3.779982      -0.220018      -5.717374      -0.345233      1.705096       -5.065639      
31       NO_ID      7.106356512    6.533902882    3.122294542    2.106562099    4.32612675     5.530728412    -267.448855    -11.640259     7.640259       -2.572454      -14.495352     -1.878482      -3.289341      
32       NO_ID      4.952414471    5.230016925    1.357783482    1.900464019    3.065842205    1.524838415    -84.048104     -8.182431      4.182431       -1.722398      -12.737636     0.597339       2.470826       
33       NO_ID      7.959236758    0.8921885262   3.005023764    3.651590155    3.850493142    0.5955875155   -399.8079425   -6.851425      2.851425       -9.067048      3.282671       -0.348385      2.681074       
34       NO_ID      0.03937384116  1.756148293    3.233741286    3.734698759    3.054698016    3.273869997    -28.9512685    0.204478       -4.204478      -0.283226      -7.229071      -0.210666      0.723138       
35       NO_ID      3.933032054    2.469738686    4.559236524    0.1323989249   4.485819991    5.44149027     -20.654253     -4.402771      0.402771       -3.463293      -5.476184      -1.436383      -3.649151      
36       NO_ID      5.126966836    8.931620311    2.497029654    0.8660799688   1.137357121    1.402848317    -94.1351865    -12.058587     8.058587       1.804653       -23.667894     -2.880941      -0.872287      
37       NO_ID      7.671663984    7.656571897    2.601546374    1.784860821    3.770549515    1.564233476    -353.621844    -13.328236     9.328236       -2.015092      -17.298052     -2.056374      1.84202        
38       NO_ID      0.07203269753  0.6535474261   2.668635907    1.14554423     4.441244689    2.498740541    -41.339625     1.27442        -5.27442       -1.418485      -3.88861       -2.744654      -0.575927      
39       NO_ID      6.332273421    6.519387293    1.536892826    5.336589561    3.707162609    8.20491197     -152.2690905   -10.851661     6.851661       -1.812886      -15.225888     3.477272       -4.704991      
40       NO_ID      9.955474706    1.663389556    3.635306762    5.401120777    2.757932278    3.919499895    -713.5582435   -9.618864      5.618864       -10.292085     2.965306       1.804735       0.021903       
41       NO_ID      5.034743634    8.936249967    1.621279285    2.761405602    1.629296506    1.465945761    -80.2033435    -11.970994     7.970994       1.901506       -23.774006     0.662276       0.655226       
42       NO_ID      8.150411885    3.972556267    3.701271256    0.3989950309   3.606322411    1.151895738    -433.1178545   -10.122968     6.122968       -6.177856      -5.767257      -3.109224      2.480477       
