%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          f1             f2             f3             f4             f5             f6             f7             
1        NO_ID      5              5              3              3              3              5              -70.5          -8             4              -2             -12            -1             -1             
2        NO_ID      0.0001565273852 2.630755763    3.044842578    5.503801583    1.262137899    4.379183727    -19.8198505    -0.630912      -3.369088      0.630599       -9.892111      1.505812       -3.399348      
3        NO_ID      0.9408923243   3.577294337    2.434371247    5.216314751    4.06801662     0.3883274414   10.0189105     -2.518187      -1.481813      0.636402       -11.790991     1.536251       2.471013       
4        NO_ID      6.619306922    0.6914422105   1.42769308     0.35640232     2.369195073    0.1539637242   -249.200109    -5.310749      1.310749       -7.927865      2.54498        -1.171449      3.448121       
5        NO_ID      7.668313015    1.33684475     4.339887796    2.241272548    1.711813143    8.608729895    -328.4750475   -7.005158      3.005158       -8.331468      1.657779       0.036572       -6.268155      
6        NO_ID      6.92333781     0.5385755517   1.735719126    1.847027548    4.327994855    4.023811889    -267.3998805   -5.461913      1.461913       -8.384762      3.307611       -0.554566      -1.787382      
7        NO_ID      8.20641661     5.243960794    3.099623949    0.5695741645   2.888655077    6.564684523    -418.5204135   -11.450377     7.450377       -4.962456      -9.525466      -3.420501      -2.577082      
8        NO_ID      2.652771358    5.128209719    4.928299084    4.384064049    2.976311085    9.651005724    69.4604585     -5.780981      1.780981       0.475438       -14.731858     4.102401       -5.651567      
9        NO_ID      4.453208016    5.0671167      2.212148598    0.8722305954   2.053077745    7.694142572    -28.8240415    -7.520325      3.520325       -1.386091      -12.748142     -2.50706       -4.590804      
10       NO_ID      5.454199335    8.728228113    3.131958223    5.73278118     2.902195469    5.498136806    -83.733029     -12.182427     8.182427       1.274029       -22.730485     1.750194       -1.507703      
11       NO_ID      7.185299586    3.330144008    4.892139064    4.771875439    4.273664813    1.211286551    -285.6301815   -8.515444      4.515444       -5.855156      -4.805132      4.352066       1.166491       
12       NO_ID      8.093061847    0.09045789488  1.130335709    3.828395294    4.893136896    9.8795337      -371.9981455   -6.18352       2.18352        -10.002604     5.821688       3.32404        -9.463501      
13       NO_ID      5.322890144    1.814657898    4.582114       0.8849889025   1.005656758    7.68284296     -92.5833265    -5.137548      1.137548       -5.508232      -2.121084      -0.611926      -7.660248      
14       NO_ID      5.541636006    8.27634884     1.23797915     5.573349899    4.527839631    1.001679674    -107.321358    -11.817985     7.817985       0.734713       -21.287411     4.678067       0.664026       
15       NO_ID      5.230285244    5.404090935    3.622538402    1.504384507    1.12694161     3.769106024    -99.078063     -8.634376      4.634376       -1.826194      -12.981988     -2.108061      -3.277454      
16       NO_ID      7.364942635    2.590868358    2.889796114    2.704943981    4.995663032    7.771444273    -289.5767835   -7.955811      3.955811       -6.774074      -2.407662      -1.282911      -7.754115      
17       NO_ID      4.663897569    6.126436622    3.808121984    0.1592844269   1.72890866     6.919631202    -46.4607185    -8.790334      4.790334       -0.537461      -15.715412     -3.187654      -4.535304      
18       NO_ID      8.241615411    6.830212789    3.154538178    4.984735387    1.298431805    9.35834737     -382.1682545   -13.071828     9.071828       -3.411403      -14.249023     1.008617       -8.253682      
19       NO_ID      5.74424743     3.566554079    2.229759817    0.85985773     3.419245816    0.6610750876   -153.304116    -7.310802      3.310802       -4.177693      -6.955415      -2.546872      3.163158       
20       NO_ID      0.6889968229   9.969602381    4.64288608     2.979511811    1.436670786    7.814749627    36.2252065     -8.658599      4.658599       7.280606       -31.21981      1.678586       -6.258748      
21       NO_ID      2.496985827    6.84079225     2.27814018     2.553018178    2.717679742    2.608545238    21.321764      -7.337778      3.337778       2.343806       -20.025391     -0.9259        1.31175        
22       NO_ID      1.819806733    5.491762955    1.023996808    4.97151916     1.215010326    4.196391857    32.16344       -5.31157       1.31157        1.671956       -16.655482     4.876108       -3.38258       
23       NO_ID      8.757945988    4.798216096    2.447167271    3.810474439    4.095925297    3.041173719    -507.5163245   -11.556162     7.556162       -5.95973       -7.636702      0.116098       -0.242226      
24       NO_ID      3.006701191    3.626924275    4.08651763     4.652704045    4.99792826     2.950660066    20.154343      -4.633625      0.633625       -1.379777      -9.874072      1.833225       -2.942377      
25       NO_ID      1.743732463    6.911513189    1.72086888     5.464905917    1.449169109    2.963031243    32.9418535     -6.655246      2.655246       3.167781       -20.990807     3.101082       -1.368108      
26       NO_ID      9.666101942    8.175333873    2.134558172    0.7787841683   3.017011252    9.770290987    -626.550557    -15.841436     11.841436      -3.490768      -16.8599       -2.472226      -5.77058       
27       NO_ID      9.280610573    9.221902815    2.008246448    2.397086392    3.553997391    2.585383129    -593.589765    -16.502513     12.502513      -2.058708      -20.385098     -0.619339      1.107704       
28       NO_ID      2.534243177    3.025074831    1.973072207    3.636875951    2.982734066    9.528636061    59.5944095     -3.559318      -0.440682      -1.509168      -8.540981      0.691457       -5.528934      
