f1	f2
0.872363	1.68658
0.872363	1.68658
0.872363	1.68658
0.871396	1.73737
0.794291	1.83202
0.794291	1.83202
0.775224	1.87349
0.775224	1.87349
0.775224	1.87349
0.733735	1.93616
0.733735	1.93616
0.733735	1.93616
0.731888	1.98142
0.731888	1.98142
0.63227	2.02348
0.63227	2.02348
0.324073	2.03007
0.324073	2.03007
0.324073	2.03007
0.324073	2.03007
0.324073	2.03007
0.324073	2.03007
0.324073	2.03007
0.321005	2.04656
0.321005	2.04656
0.293333	2.05587
0.293333	2.05587
0.293333	2.05587
0.287912	2.42044
0.287912	2.42044
0.287912	2.42044
0.287912	2.42044
0.287912	2.42044
0.287912	2.42044
0.287912	2.42044
0.287912	2.42044
0.287912	2.42044
0.287912	2.42044
0.285557	2.44253
0.285557	2.44253
0.207677	2.56889
0.207677	2.56889
0.203336	2.5777
0.168763	2.65133
0.168763	2.65133
0.168763	2.65133
0.168763	2.65133
0.168763	2.65133
0.168763	2.65133
0.168763	2.65133
0.168763	2.65133
0.167967	2.72156
0.167967	2.72156
0.167967	2.72156
0.167967	2.72156
0.167967	2.72156
0.167967	2.72156
0.152069	2.86503
0.152069	2.86503
0.152069	2.86503
0.152069	2.86503
0.152069	2.86503
0.152069	2.86503
0.0992325	2.93622
0.0992325	2.93622
0.0992325	2.93622
0.0992325	2.93622
0.0992325	2.93622
0.0992325	2.93622
0.0853023	3.13048
0.0853023	3.13048
0.0853023	3.13048
0.0853023	3.13048
0.0853023	3.13048
0.0853023	3.13048
0.0789942	3.36255
0.0789942	3.36255
0.0789942	3.36255
0.0789942	3.36255
0.0789942	3.36255
0.0789942	3.36255
0.0789942	3.36255
0.0653449	3.40704
0.00564886	3.50516
0.00241488	4.6789
