f1	f2
0.842203	2.02097
0.818935	2.0537
0.808779	2.11445
0.702502	2.25927
0.639676	2.36915
0.622356	2.40017
0.483503	2.4145
0.472679	2.57046
0.387076	2.57468
0.256194	2.65881
0.194935	2.88946
0.182609	2.94374
0.121178	3.02825
0.0775699	3.07974
0.0358894	3.18726
0.0352188	3.40817
0.0291493	3.73442
0.0263828	3.82911
0.0166801	3.83127
0.0137675	3.96805
0.00713567	4.18882
0.00454143	4.2985
0.00373138	4.39597
0.00372535	4.43856
0.00130053	4.5282
0.00122769	5.10482
0.000744796	5.19747
0.00031607	5.29973
