f1	f2
0.000000000000000e+00	1.000000000000000e+00
1.000000000000000e-01	9.900000000000000e-01
5.000000000000000e-01	7.500000000000000e-01
4.800000000000000e-01	8.075695998154768e-01
4.900000000000000e-01	7.981615730596240e-01
7.000000000000000e-01	5.100000000000000e-01
2.000000000000000e-01	9.600000000000000e-01
1.000000000000000e+00	0.000000000000000e+00
5.500000000000000e-01	6.975000000000000e-01
5.401000000000000e-01	7.282665693928926e-01
5.406000000000001e-01	7.277344760142849e-01
5.410000000000000e-01	7.273084468122474e-01
5.420000000000000e-01	7.262419951993442e-01
5.424000000000000e-01	7.258148631110590e-01
5.426000000000001e-01	7.256011789005326e-01
5.427000000000001e-01	7.254943072536735e-01
5.447000000000001e-01	7.233527384930624e-01
5.448000000000001e-01	7.232454532638604e-01
5.450000000000000e-01	7.230308237222645e-01
5.453000000000000e-01	7.227087317018909e-01
5.455000000000001e-01	7.224939052163220e-01
5.456000000000001e-01	7.223864624319418e-01
5.468000000000001e-01	7.210956128563900e-01
5.473000000000000e-01	7.205569218546923e-01
5.475000000000001e-01	7.203413075932321e-01
5.477000000000001e-01	7.201256145541829e-01
5.480000000000000e-01	7.198019272876294e-01
5.482000000000000e-01	7.195860373046074e-01
5.483000000000000e-01	7.194780627715005e-01
5.494000000000000e-01	7.182890430771032e-01
5.496000000000001e-01	7.180726016509570e-01
5.499000000000001e-01	7.177477918037585e-01
