Run	MOEAD	NSGA2	OMADS	SPEA2	OASIS	ea	moga
1	0.11569	0.07580	2.22572	0.02294	nan	nan	30.49000
2	0.10871	0.01995	2.05742	0.02194	nan	nan	30.18000
3	0.10273	0.01895	2.38566	0.02194	nan	nan	30.20000
4	0.10173	0.01895	2.13450	0.02194	nan	nan	30.26000
5	0.09973	0.02194	2.28824	0.02194	nan	nan	30.39000
6	0.10173	0.01995	2.21306	0.02094	nan	nan	30.20000
7	0.09973	0.02094	2.63786	0.02294	nan	nan	30.25000
8	0.10073	0.01995	2.20026	0.02194	nan	nan	30.24000
9	0.10073	0.01995	2.27781	0.01995	nan	nan	30.36000
10	0.10273	0.02294	1.97470	0.01995	nan	nan	30.23000
