%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      0              0              0              0              0              0              0              0              0              0              1352           -105           0              -12            -72            -4             34             8              768
2	NO_ID	6.666666667	0	0	0	0	0	0	0	0	0	1303.111111	-78.333333	66.666667	-65.333333	-18.666667	218.222222	2.888889	52.444444	748	False	nan	1303.111111
3	NO_ID	-6.666666667	0	0	0	0	0	0	0	0	0	1489.777778	-131.666667	-66.666667	41.333333	141.333333	218.222222	109.555556	52.444444	788	False	nan	1303.111111
4	NO_ID	0	6.666666667	0	0	0	0	0	0	0	0	1289.777778	-71.666667	-53.333333	1.333333	-54.222222	49.333333	16.222222	43.555556	808	False	nan	1289.777778
5	NO_ID	0	-6.666666667	0	0	0	0	0	0	0	0	1503.111111	-138.333333	53.333333	-25.333333	265.777778	-57.333333	229.555556	150.222222	728	False	nan	1289.777778
6	NO_ID	0	0	6.666666667	0	0	0	0	0	0	0	1263.111111	-105	0	-12	16.888889	-39.555556	34	8	768	False	nan	1263.111111
7	NO_ID	0	0	-6.666666667	0	0	0	0	0	0	0	1529.777778	-105	0	-12	16.888889	120.444444	34	8	768	False	nan	1263.111111
8	NO_ID	6.666666667	0	0	6.666666667	0	0	0	0	0	0	1214.222222	-78.333333	66.666667	-65.333333	-65.333333	204.888889	2.888889	52.444444	748	False	nan	1214.222222
9	NO_ID	6.666666667	0	0	-6.666666667	0	0	0	0	0	0	1747.555556	-78.333333	66.666667	-65.333333	28	231.555556	2.888889	52.444444	748	False	nan	1214.222222
10	NO_ID	0	0	0	0	6.666666667	0	0	0	0	0	1356.444444	-105	0	-12	-72	-4	167.333333	101.333333	768	False	nan	1214.222222
11	NO_ID	0	0	0	0	-6.666666667	0	0	0	0	0	1436.444444	-105	0	-12	-72	-4	167.333333	-85.333333	768	False	nan	1214.222222
12	NO_ID	6.666666667	0	0	6.666666667	0	6.666666667	0	0	0	0	1276.444444	-78.333333	66.666667	-65.333333	-65.333333	204.888889	-3.777778	45.777778	748	False	nan	1214.222222
13	NO_ID	6.666666667	0	0	6.666666667	0	-6.666666667	0	0	0	0	1329.777778	-78.333333	66.666667	-65.333333	-65.333333	204.888889	9.555556	59.111111	748	False	nan	1214.222222
14	NO_ID	-6.666666667	0	0	0	0	0	6.666666667	0	0	0	1523.111111	-151.666667	-180	41.333333	141.333333	218.222222	109.555556	52.444444	788	False	nan	1214.222222
15	NO_ID	-6.666666667	0	0	0	0	0	-6.666666667	0	0	0	1456.444444	-111.666667	46.666667	41.333333	141.333333	218.222222	109.555556	52.444444	788	False	nan	1214.222222
16	NO_ID	0	0	0	0	0	0	0	6.666666667	0	0	636.444444	-45	13.333333	-12	-72	-4	34	8	768	False	nan	636.444444
17	NO_ID	0	0	0	0	0	0	0	-6.666666667	0	0	2689.777778	-165	-13.333333	-12	-72	-4	34	8	768	False	nan	636.444444
18	NO_ID	0	0	6.666666667	0	0	0	0	0	6.666666667	0	1085.333333	-105	0	21.333333	16.888889	-39.555556	34	8	21.333333	False	nan	636.444444
19	NO_ID	0	0	6.666666667	0	0	0	0	0	-6.666666667	0	1618.666667	-105	0	-45.333333	16.888889	-39.555556	34	8	2581.333333	False	nan	636.444444
20	NO_ID	6.666666667	0	0	0	0	0	0	0	0	6.666666667	1254.222222	-78.333333	66.666667	-78.666667	-18.666667	218.222222	2.888889	52.444444	701.333333	False	nan	636.444444
21	NO_ID	6.666666667	0	0	0	0	0	0	0	0	-6.666666667	1440.888889	-78.333333	66.666667	-52	-18.666667	218.222222	2.888889	52.444444	794.666667	False	nan	636.444444
22	NO_ID	2.222222222	0	6.666666667	0	0	0	0	0	6.666666667	0	1059.160494	-96.111111	22.222222	3.555556	5.037037	-14.864198	18.691358	12.938272	14.666667	False	nan	636.444444
23	NO_ID	-2.222222222	0	6.666666667	0	0	0	0	0	6.666666667	0	1121.382716	-113.888889	-22.222222	39.111111	58.37037	-14.864198	54.246914	12.938272	28	False	nan	636.444444
24	NO_ID	6.666666667	6.666666667	0	-6.666666667	0	0	0	0	0	0	1729.777778	-45	13.333333	-52	45.777778	284.888889	-14.888889	-0.888889	788	False	nan	636.444444
25	NO_ID	6.666666667	-6.666666667	0	-6.666666667	0	0	0	0	0	0	1854.222222	-111.666667	120	-78.666667	365.777778	178.222222	198.444444	283.555556	708	False	nan	636.444444
26	NO_ID	2.222222222	0	6.666666667	6.666666667	0	0	0	0	6.666666667	0	970.271605	-96.111111	22.222222	3.555556	-41.62963	-28.197531	18.691358	12.938272	14.666667	False	nan	636.444444
27	NO_ID	2.222222222	0	6.666666667	-6.666666667	0	0	0	0	6.666666667	0	1503.604938	-96.111111	22.222222	3.555556	51.703704	-1.530864	18.691358	12.938272	14.666667	False	nan	636.444444
