NFE	BestRunningMin
2	1303.111111
3	1303.111111
4	1289.777778
5	1289.777778
6	1263.111111
7	1263.111111
8	1214.222222
9	1214.222222
10	1214.222222
11	1214.222222
12	1214.222222
13	1214.222222
14	1214.222222
15	1214.222222
16	636.444444
17	636.444444
18	636.444444
19	636.444444
20	636.444444
21	636.444444
22	636.444444
23	636.444444
24	636.444444
25	636.444444
26	636.444444
27	636.444444
28	636.444444
29	636.444444
30	636.444444
31	636.444444
32	636.444444
33	636.444444
34	636.444444
35	636.444444
36	254.716049
37	254.716049
38	254.716049
39	254.716049
40	254.716049
41	254.716049
42	254.716049
43	254.716049
44	254.716049
45	254.716049
46	254.716049
47	254.716049
48	254.716049
49	254.716049
50	254.716049
51	254.716049
52	254.716049
53	254.716049
54	254.716049
55	254.716049
56	254.716049
57	254.716049
58	254.716049
59	254.716049
60	254.716049
61	254.716049
62	254.716049
63	254.716049
64	254.716049
65	254.716049
66	254.716049
67	254.716049
68	254.716049
69	254.716049
70	254.716049
71	254.716049
72	254.716049
73	254.716049
74	254.716049
75	254.716049
76	254.716049
77	254.716049
78	254.716049
79	254.716049
80	254.716049
81	254.716049
82	254.716049
83	254.716049
84	254.716049
85	254.716049
86	254.716049
87	254.716049
88	254.716049
89	254.716049
90	254.716049
91	254.716049
92	2329.037037
93	2329.037037
94	2329.037037
95	2329.037037
96	2329.037037
97	2329.037037
98	1063.604938
99	1063.604938
100	1026.622771
101	1026.622771
102	380.696845
103	380.696845
104	380.696845
105	380.696845
106	380.696845
107	380.696845
108	380.696845
109	380.696845
110	380.696845
111	380.696845
112	380.696845
113	380.696845
114	311.067215
115	311.067215
116	311.067215
117	311.067215
118	311.067215
119	311.067215
120	311.067215
121	311.067215
122	311.067215
123	311.067215
124	311.067215
125	311.067215
126	311.067215
127	311.067215
128	311.067215
129	311.067215
130	311.067215
131	311.067215
132	311.067215
133	311.067215
134	311.067215
135	311.067215
136	311.067215
137	311.067215
138	311.067215
139	311.067215
140	311.067215
141	311.067215
142	311.067215
143	311.067215
144	311.067215
145	311.067215
146	311.067215
147	311.067215
148	311.067215
149	311.067215
150	311.067215
151	311.067215
152	311.067215
153	311.067215
154	311.067215
155	311.067215
156	311.067215
157	311.067215
158	311.067215
159	311.067215
160	311.067215
161	311.067215
162	311.067215
163	311.067215
164	311.067215
165	311.067215
166	311.067215
167	311.067215
168	311.067215
169	311.067215
170	311.067215
171	311.067215
172	311.067215
173	311.067215
174	311.067215
175	311.067215
176	311.067215
177	311.067215
178	311.067215
179	311.067215
180	311.067215
181	311.067215
182	307.555556
183	307.555556
184	307.555556
185	307.555556
186	307.555556
187	307.555556
188	307.555556
189	307.555556
190	307.555556
191	307.555556
192	307.555556
193	307.555556
194	307.555556
195	307.555556
196	307.555556
197	307.555556
198	307.555556
199	307.555556
200	307.555556
201	307.555556
202	307.555556
203	307.555556
204	307.555556
205	307.555556
206	307.555556
207	307.555556
208	307.555556
209	307.555556
210	307.555556
211	307.555556
212	307.555556
213	307.555556
214	307.555556
215	307.555556
216	307.555556
217	307.555556
218	268.037189
219	268.037189
220	268.037189
221	268.037189
222	268.037189
223	268.037189
224	268.037189
225	268.037189
226	268.037189
227	268.037189
228	268.037189
229	268.037189
230	268.037189
231	268.037189
232	268.037189
233	268.037189
234	268.037189
235	268.037189
236	268.037189
237	268.037189
238	268.037189
239	268.037189
240	268.037189
241	268.037189
242	268.037189
243	268.037189
244	268.037189
245	268.037189
246	268.037189
247	268.037189
248	268.037189
249	268.037189
250	268.037189
251	268.037189
252	268.037189
253	268.037189
254	268.037189
255	268.037189
256	268.037189
257	268.037189
258	268.037189
259	268.037189
260	268.037189
261	268.037189
262	268.037189
263	268.037189
264	268.037189
265	268.037189
266	268.037189
267	268.037189
268	268.037189
269	268.037189
270	268.037189
271	268.037189
272	268.037189
273	268.037189
274	268.037189
275	268.037189
276	268.037189
277	268.037189
278	268.037189
279	268.037189
280	268.037189
281	268.037189
282	268.037189
283	268.037189
284	268.037189
285	268.037189
286	268.037189
287	268.037189
288	268.037189
289	268.037189
290	268.037189
291	268.037189
292	268.037189
293	268.037189
294	268.037189
295	268.037189
296	268.037189
297	268.037189
298	268.037189
299	268.037189
300	268.037189
301	268.037189
302	222.178326
303	222.178326
304	222.178326
305	222.178326
306	222.178326
307	222.178326
308	222.178326
309	222.178326
310	222.178326
311	222.178326
312	222.178326
313	222.178326
314	222.178326
315	222.178326
316	222.178326
317	222.178326
318	222.178326
319	222.178326
320	222.178326
321	222.178326
322	222.178326
323	222.178326
324	222.178326
325	222.178326
326	222.178326
327	222.178326
328	222.178326
329	222.178326
330	222.178326
331	222.178326
332	222.178326
333	222.178326
334	222.178326
335	222.178326
336	222.178326
337	222.178326
338	222.178326
339	222.178326
340	222.178326
341	222.178326
342	222.178326
343	222.178326
344	222.178326
345	222.178326
346	222.178326
347	222.178326
348	222.178326
349	222.178326
350	222.178326
351	222.178326
352	222.178326
353	222.178326
354	222.178326
355	222.178326
356	222.178326
357	222.178326
358	222.178326
359	222.178326
360	222.178326
361	222.178326
362	222.178326
363	222.178326
364	222.178326
365	222.178326
366	222.178326
367	222.178326
368	222.178326
369	222.178326
370	222.178326
371	222.178326
372	222.178326
373	222.178326
374	222.178326
375	222.178326
376	222.178326
377	222.178326
378	222.178326
379	222.178326
380	222.178326
381	222.178326
382	222.178326
383	222.178326
384	222.178326
385	222.178326
386	222.178326
387	222.178326
388	222.178326
389	222.178326
390	222.178326
391	222.178326
392	222.178326
393	222.178326
394	222.178326
395	222.178326
396	222.178326
397	222.178326
398	222.178326
399	222.178326
400	222.178326
401	222.178326
402	222.178326
403	222.178326
404	222.178326
405	222.178326
406	222.178326
407	222.178326
408	222.178326
409	222.178326
410	222.178326
411	222.178326
412	222.178326
413	222.178326
414	222.178326
415	222.178326
416	222.178326
417	222.178326
418	222.178326
419	222.178326
420	222.178326
421	222.178326
422	222.178326
423	222.178326
424	222.178326
425	222.178326
426	222.178326
427	222.178326
428	222.178326
429	222.178326
430	222.178326
431	222.178326
432	222.178326
433	222.178326
434	222.178326
435	222.178326
436	222.178326
437	222.178326
438	222.178326
439	222.178326
440	222.178326
441	222.178326
442	222.178326
443	222.178326
444	222.178326
445	222.178326
446	222.178326
447	222.178326
448	222.178326
449	222.178326
450	222.178326
451	222.178326
452	222.178326
453	222.178326
454	222.178326
455	222.178326
456	222.178326
457	222.178326
458	222.178326
459	222.178326
460	222.178326
461	222.178326
462	222.178326
463	222.178326
464	222.178326
465	222.178326
466	222.178326
467	222.178326
468	222.178326
469	222.178326
470	222.178326
471	222.178326
472	222.178326
473	222.178326
474	222.178326
475	222.178326
476	222.178326
477	222.178326
478	222.178326
479	222.178326
480	222.178326
481	222.178326
482	222.178326
483	222.178326
484	222.178326
485	222.178326
486	222.178326
487	222.178326
488	222.178326
489	222.178326
490	222.178326
491	222.178326
492	222.178326
493	222.178326
494	222.178326
495	222.178326
496	222.178326
497	222.178326
498	222.178326
499	222.178326
500	222.178326
501	222.178326
