Run 1	   Run 2	   Run 3	   Run 4	   Run 5	   Run 6	   Run 7	   Run 8	   Run 9	  Run 10	Best Average Running Min	NumFeasible
1.21e+03	  2.35e+03	  4.37e+03	  1.21e+03	  2.21e+03	  3.74e+03	  1.12e+03	  2.44e+03	  3.39e+03	  9.85e+02	  2.30e+03	0
8.34e+02	  2.13e+03	  1.11e+03	  9.29e+02	  2.21e+03	  1.02e+03	  1.08e+03	  2.44e+03	  8.39e+02	  9.85e+02	  1.36e+03	0
8.34e+02	  1.58e+03	  1.11e+03	  9.29e+02	  7.63e+02	  1.02e+03	  1.08e+03	  2.44e+03	  8.37e+02	  9.85e+02	  1.16e+03	0
8.26e+02	  7.42e+02	  1.11e+03	  9.29e+02	  7.63e+02	  1.02e+03	  1.08e+03	  2.44e+03	  4.60e+02	  5.85e+02	  9.95e+02	0
8.26e+02	  6.61e+02	  9.11e+02	  9.29e+02	  7.63e+02	  1.02e+03	  1.08e+03	  2.44e+03	  4.60e+02	  5.85e+02	  9.68e+02	0
8.26e+02	  6.61e+02	  9.11e+02	  9.29e+02	  7.63e+02	  1.02e+03	  1.08e+03	  1.37e+03	  4.60e+02	  5.85e+02	  8.61e+02	0
8.26e+02	  6.61e+02	  9.11e+02	  9.29e+02	  7.63e+02	  1.02e+03	  1.08e+03	  1.37e+03	  4.60e+02	  5.85e+02	  8.61e+02	0
8.26e+02	  6.61e+02	  9.11e+02	  6.17e+02	  7.63e+02	  1.02e+03	  1.08e+03	  1.32e+03	  4.60e+02	  5.85e+02	  8.25e+02	0
8.26e+02	  6.61e+02	  9.11e+02	  6.17e+02	  7.63e+02	  1.02e+03	  6.55e+02	  1.32e+03	  4.60e+02	  5.85e+02	  7.83e+02	0
8.26e+02	  6.61e+02	  9.11e+02	  6.17e+02	  7.63e+02	  1.02e+03	  6.55e+02	  1.32e+03	  4.60e+02	  5.85e+02	  7.83e+02	0
8.26e+02	  6.61e+02	  9.11e+02	  5.19e+02	  7.63e+02	  1.02e+03	  6.55e+02	  1.32e+03	  4.60e+02	  5.85e+02	  7.73e+02	0
8.26e+02	  6.61e+02	  9.11e+02	  5.19e+02	  7.63e+02	  1.02e+03	  6.55e+02	  1.21e+03	  4.60e+02	  5.85e+02	  7.62e+02	0
8.26e+02	  6.61e+02	  9.11e+02	  5.19e+02	  7.63e+02	  1.02e+03	  6.55e+02	  1.21e+03	  4.60e+02	  5.85e+02	  7.62e+02	0
8.26e+02	  6.61e+02	  7.40e+02	  5.19e+02	  7.63e+02	  1.02e+03	  6.55e+02	  1.21e+03	  4.60e+02	  5.85e+02	  7.45e+02	0
8.26e+02	  6.61e+02	  4.26e+02	  5.19e+02	  7.63e+02	  6.92e+02	  6.55e+02	  1.21e+03	  4.60e+02	  5.85e+02	  6.80e+02	0
8.26e+02	  6.61e+02	  4.26e+02	  5.19e+02	  7.63e+02	  6.92e+02	  5.44e+02	  1.21e+03	  4.60e+02	  5.85e+02	  6.69e+02	0
8.26e+02	  6.61e+02	  4.26e+02	  5.19e+02	  7.56e+02	  5.72e+02	  5.44e+02	  1.21e+03	  4.60e+02	  5.85e+02	  6.56e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  5.72e+02	  5.44e+02	  1.21e+03	  4.60e+02	  5.85e+02	  6.33e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  5.72e+02	  5.44e+02	  1.21e+03	  4.60e+02	  5.85e+02	  6.33e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  5.72e+02	  5.44e+02	  1.21e+03	  4.60e+02	  5.85e+02	  6.33e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  5.72e+02	  5.44e+02	  1.04e+03	  4.60e+02	  5.85e+02	  6.16e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  5.72e+02	  5.44e+02	  1.04e+03	  4.60e+02	  5.85e+02	  6.16e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  5.72e+02	  5.44e+02	  1.04e+03	  4.60e+02	  5.85e+02	  6.16e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  3.92e+02	  5.44e+02	  1.04e+03	  4.60e+02	  5.85e+02	  5.98e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  3.92e+02	  5.44e+02	  1.04e+03	  4.60e+02	  5.85e+02	  5.98e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.85e+02	  5.82e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.85e+02	  5.82e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.85e+02	  5.82e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.85e+02	  5.82e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  7.56e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.85e+02	  5.82e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  6.26e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.85e+02	  5.69e+02	0
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.91e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.85e+02	  5.66e+02	0
