%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      0              0              0              0              0              0              0              0              0              0              1352           -105           0              -12            -72            -4             34             8              768
2	NO_ID	-9.998904308	8.41529034	-4.215254893	-5.788981531	4.587413238	0.6542860859	-3.41375373	5.041060362	5.101496817	0.8570054317	1124.653421	-47.308361	-99.195432	108.615288	505.28221	643.142155	233.44865	414.146853	175.305265	False	nan	1124.653421
3	NO_ID	3.690290849	2.71829209	6.335148456	-5.159904526	-2.515371094	4.158027067	3.960913771	-8.92225393	3.678191106	-0.6420867474	3393.983272	-168.830403	-70.02347	-16.410614	5.27623	60.269703	-2.604405	-44.785666	233.869873	False	nan	1124.653421
4	NO_ID	8.448036424	6.14817973	-7.54327	0.2611092619	8.463364671	3.770028862	2.875084706	1.548654722	8.239909959	8.166683222	1079.483132	-35.154317	-10.484204	-42.421749	156.349743	548.929979	190.445316	116.621094	-44.931132	False	nan	1079.483132
5	NO_ID	-2.555083731	-3.292274444	6.743419113	-3.354968081	-6.948536158	-4.047208342	-1.430600496	-4.102531967	8.745233975	1.147413902	2225.830345	-164.312693	16.902503	43.287463	215.049413	-26.433323	280.953102	-47.511581	-13.455809	False	nan	1079.483132
6	NO_ID	4.585443984	7.55704007	-8.827543891	-4.530183102	1.212600465	0.1760236128	-1.571139466	-6.141001999	8.179395347	-8.902403209	3003.362898	-99.428623	-0.174514	25.132311	170.682363	354.504227	5.369841	30.2833	94.288923	False	nan	1079.483132
7	NO_ID	-2.690731097	-3.117552899	3.288420715	8.486957642	0.2970971029	-6.688991942	-1.887566378	-4.328119883	-2.71086577	-1.520994143	2408.086958	-164.641069	21.465501	-7.221598	57.925407	-38.361507	135.418776	53.690088	1376.685581	False	nan	1079.483132
8	NO_ID	-3.348567073	0.6332052642	2.28087491	-5.335388237	8.129895683	-0.8432641024	7.260231011	2.702605283	2.686994994	0.3248705297	1280.965048	-112.685487	-156.570029	28.840181	35.980877	45.632817	256.194476	133.851621	350.307105	False	nan	1079.483132
9	NO_ID	0.0989932707	3.779900723	8.79145204	-2.065558123	4.164635117	-4.977584507	1.737193536	-2.98824228	-3.388003294	-2.171363454	2092.749353	-117.810284	-64.758048	-17.829434	62.312625	2.211525	58.319983	68.88	1593.821397	False	nan	1079.483132
10	NO_ID	5.894422036	7.551152584	-7.778521822	6.383742167	-8.445401554	-1.863921495	-6.928567997	-8.442320218	9.924103059	-5.599890088	3219.222183	-98.861727	99.436015	16.767224	84.676137	371.210456	213.276442	-109.016259	111.248951	False	nan	1079.483132
11	NO_ID	2.647282981	-7.114943646	-0.8578652753	1.858318314	-7.244098446	8.437418415	7.691307877	7.811489523	7.704418114	8.155246181	655.014949	-82.756104	-31.736876	-25.196553	278.968903	-18.565334	380.403203	100.988244	-106.66981	False	nan	655.014949
12	NO_ID	5.222556579	-4.49156841	-9.790267991	-5.03412145	-8.479203209	-9.968326483	2.336801781	-5.372474387	4.82297776	-0.2127833339	3228.227468	-161.930291	37.687534	-38.223134	362.586547	319.843745	343.729552	49.73044	79.994047	False	nan	655.014949
13	NO_ID	3.750506394	-5.239028873	7.641738755	-5.296752609	-2.521099212	7.885545752	-7.632546843	-0.214787922	-9.940604521	8.259816663	2292.220051	-95.22857	208.741015	-118.704765	314.588816	1.708071	160.930685	114.990464	3761.879078	False	nan	655.014949
14	NO_ID	2.738647132	8.442340688	-9.580055866	8.001056862	-6.237319287	9.374743001	1.305621914	3.587512669	-4.674572765	-5.544464884	1597.67271	-23.46296	-55.172801	-29.30843	127.66063	291.775693	130.647411	-52.430702	2008.986894	False	nan	655.014949
15	NO_ID	-5.8213073	1.288216035	-8.95309166	5.388469927	4.01405852	4.281547197	-0.03625545187	-9.345379537	-7.793872756	8.380592325	4048.833454	-205.843798	-86.593218	-18.583658	197.835772	352.561832	124.278262	101.814366	2959.886071	False	nan	655.014949
16	NO_ID	-7.384794595	3.757235703	7.860459405	-9.258781299	7.662713592	7.227337108	9.854768002	9.085815297	5.297696914	-1.607963094	1239.549213	-63.544966	-253.265257	84.297239	334.901846	284.712713	257.388023	216.254427	143.582843	False	nan	655.014949
17	NO_ID	-5.035725988	4.553319707	7.644312846	-2.033992089	-5.305045655	-1.902318099	7.739702239	1.175523815	-2.971236377	2.430219423	1426.816838	-115.015698	-216.007708	17.675827	169.264511	129.990988	141.910248	11.887639	1469.831892	False	nan	655.014949
18	NO_ID	4.697846162	-3.29954757	4.50398376	-1.544953143	-6.027474606	-3.765710142	9.709637826	9.882944496	2.648149213	7.443824977	543.529327	-42.888766	-71.923112	-57.828768	111.958732	49.280383	194.77596	28.622767	257.710083	False	nan	543.529327
19	NO_ID	8.366394405	-6.009228041	2.904308193	-7.292202719	-0.05110088273	1.147464035	5.428030899	8.915311563	-0.3585563741	-6.256980224	1191.853014	-37.626851	57.291866	-80.228433	394.173124	286.076666	169.296784	296.98029	821.029886	False	nan	543.529327
20	NO_ID	-1.06661974	-6.677976305	3.252242186	0.4344160438	1.230447717	0.1347737807	5.142931461	-2.750936063	5.017583172	-9.479622971	2023.734499	-182.843579	-50.174094	27.224167	300.978617	-81.054081	243.547384	154.597995	136.227084	False	nan	543.529327
