%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      -2.257084843   -9.74078626    9.882759561    9.819371201    -1.948504915   9.01365455     -5.041346135   -5.234082197   7.359576119    8.086735933    2434.994932    -194.714972    130.590162     7.199515       710.281127     -97.017051     402.598668     200.522271     -103.358902
2	NO_ID	9.975148899	-5.720567096	-1.449500766	7.714755246	-6.127842076	3.48376536	1.83034393	0.5436474357	0.3193634822	-2.597102138	1382.300996	-94.300445	115.487474	-96.451304	325.20098	451.818992	270.097036	243.571371	661.836994	False	nan	1382.300996
3	NO_ID	3.511929673	3.660174262	3.276282307	0.3743624618	0.6197341785	-0.441251065	-5.676650826	-4.382574328	-0.7121491309	5.305429375	1976.823286	-95.064626	93.575818	-46.946693	-92.551371	57.619557	-18.104187	1.254988	885.105761	False	nan	1382.300996
4	NO_ID	-2.491823814	-0.9550254393	0.4295240373	3.157171168	1.254858964	-8.590075967	7.682660931	9.650635829	9.105277391	6.213526438	450.208057	-55.934683	-128.581999	39.123874	-18.632868	8.121586	87.457827	45.072128	-27.089709	False	nan	450.208057
5	NO_ID	1.72020779	7.667941569	-0.8026221761	3.865306487	-7.434119615	-6.952418229	7.052822628	6.651054898	0.1820804241	6.05901518	691.702368	-21.078435	-150.73733	-21.633407	-58.375176	74.684162	189.376307	-56.295924	731.872318	False	nan	450.208057
6	NO_ID	9.633003179	-1.992008158	0.7630911586	-4.465510179	-1.108430097	-6.258540738	-2.000602048	-6.173583614	5.83042892	-3.951224981	2794.760737	-125.988474	133.929165	-55.993447	186.891982	444.393921	53.086066	153.78557	43.29198	False	nan	450.208057
7	NO_ID	4.6153711	5.000054506	1.609725601	9.618688076	-3.594947211	1.400474198	9.508377463	-1.104663006	0.6976302597	-7.379027117	1622.329685	-100.005343	-157.698468	-20.676654	-145.627013	106.545821	15.098537	-58.581645	707.702649	False	nan	450.208057
8	NO_ID	4.060140011	6.095026449	3.180932947	5.549970508	7.482225139	-8.073700683	0.502066356	5.12089361	-3.723276929	-8.589628748	1065.633097	-13.702464	-6.452152	-33.728194	-87.563839	88.031094	162.5643	113.354751	1733.739803	False	nan	450.208057
9	NO_ID	-6.54727943	-5.272409687	-4.389904465	-7.839986251	-7.614300822	-0.05535334018	7.455214665	3.530335696	-0.8827651761	-5.94418208	2139.895112	-148.143789	-142.971495	37.307954	466.321431	255.78515	421.754917	-26.941984	976.458861	False	nan	450.208057
10	NO_ID	-7.560387427	-2.95299228	5.795579853	6.543166174	2.307805839	-9.737218703	5.546157478	-9.664436741	-8.162136599	9.301867079	4226.444559	-253.624914	-165.593487	-16.837302	317.33082	209.128807	213.466154	103.618692	3074.426053	False	nan	450.208057
11	NO_ID	-4.421836694	4.460612513	0.8368069642	0.5500929209	-2.386193332	8.176158412	-1.725230974	-4.653440945	3.722787025	-1.025799005	2200.243488	-137.08956	-59.881222	52.961452	9.803357	119.006475	56.480939	29.527203	266.744388	False	nan	450.208057
12	NO_ID	8.150929539	-0.5770702399	5.869338132	-2.412974196	-4.226889477	7.447885156	-6.260738346	2.612759945	-9.952657824	-0.5269192483	1688.425105	-32.984578	197.783929	-127.071027	130.472608	292.414721	58.062433	22.503214	3843.3483	False	nan	450.208057
13	NO_ID	-5.862928037	-2.468007011	5.02747465	5.223345901	3.997416016	-0.770646238	-2.48854561	3.865463015	-3.032230683	-9.432022503	1207.252627	-98.536943	11.150977	33.670302	199.060896	102.624684	198.469267	102.095074	1529.326266	False	nan	450.208057
14	NO_ID	0.08680279907	-4.599518647	7.563435341	7.168536375	-8.16428231	9.65949682	-7.243124154	1.931390844	2.750997521	1.828570752	1108.80477	-88.538492	164.660069	-11.795614	186.223059	-88.651218	339.519807	-36.046119	289.966809	False	nan	450.208057
15	NO_ID	-3.224477012	2.502693326	-0.6510793511	-3.52297728	5.778352514	1.863157633	-3.328609944	5.592977063	-3.253339309	-1.352652782	1080.986861	-45.061818	15.506006	5.239812	-11.616615	83.290618	135.783212	106.076185	1553.809908	False	nan	450.208057
16	NO_ID	4.28223651	9.893088325	4.213099571	1.403378043	6.653423364	5.120441917	6.525228734	9.282447482	-3.514014779	-4.125698866	660.183542	25.560729	-128.686335	-35.790392	111.361247	131.218711	174.051548	146.237633	1666.262149	False	nan	450.208057
17	NO_ID	-7.95504067	8.888154765	4.644125573	1.702624542	5.30224173	-5.575532816	-4.526456702	2.09544416	6.822905422	3.323161574	815.800659	-59.941021	-69.514993	96.884839	347.207403	345.951745	234.98661	379.394206	70.558539	False	nan	450.208057
18	NO_ID	-5.409321331	-4.92549601	9.148838427	4.148534916	2.071154468	-4.145409073	-4.066062897	2.330440659	-0.2378131551	-7.791762013	1271.361323	-118.092611	59.094705	35.818037	434.310821	68.517932	236.248359	105.040138	855.556109	False	nan	450.208057
19	NO_ID	-6.946886774	-1.759390677	-2.134571194	-1.430298163	0.2611674848	-6.067481422	9.965122312	-8.619365653	6.344493768	0.2122175768	3471.087805	-249.054158	-242.039553	71.354347	229.872423	256.252899	154.317981	61.804523	41.687204	False	nan	450.208057
20	NO_ID	7.670330528	-5.88052567	0.3924393774	-2.28018964	-6.478025288	0.7127479083	-9.776599011	-5.576624113	-7.51144607	4.852751158	2966.841055	-124.581126	278.796446	-132.386428	308.182234	243.130762	290.485603	181.845389	2794.996106	False	nan	450.208057
21	NO_ID	-3.455648937	0.7113036372	-1.340911572	8.531145348	0.0806939688	-9.039444812	7.968339838	-7.018491411	-7.647177373	8.633363885	3418.600695	-202.33752	-189.745679	-38.434816	-65.87709	62.224669	66.305973	30.348178	2892.211138	False	nan	450.208057
22	NO_ID	-1.125331848	0.5759830345	5.548859185	1.032322115	6.060042123	9.21132564	7.381932516	-1.4866966	7.562651086	5.85085422	1421.021677	-142.147479	-144.327429	24.266168	-12.840048	-30.921393	136.044631	82.247629	-31.828797	False	nan	450.208057
23	NO_ID	-2.854512898	1.104762177	-7.482795605	-6.760379868	-3.328765104	2.467550929	4.51606627	-7.369360615	-0.1505957319	7.60765868	3567.789765	-190.766685	-128.895074	-2.922668	124.373711	204.885854	76.44951	-33.012001	759.12503	False	nan	450.208057
24	NO_ID	1.411288838	-8.080912079	-4.88102781	6.674587702	2.558861812	0.5533120255	-0.6600212025	-5.98250139	2.288610297	0.1818444494	2624.636228	-191.621854	78.015543	-28.372772	373.112944	10.358975	302.69244	263.321068	337.447418	False	nan	450.208057
25	NO_ID	9.196604173	2.91956733	-9.884372713	-0.5034041619	9.645756465	9.922447982	8.303150331	-2.867029792	8.457128042	-3.005952093	2201.867657	-104.328466	-78.278112	-31.436154	234.32469	659.564285	242.250006	157.686669	13.476849	False	nan	450.208057
26	NO_ID	8.976787295	-3.138908016	1.138845395	-0.09059133506	9.491449751	-7.354431512	0.3220160886	-0.6886758624	7.159482026	-6.167439576	1543.218797	-91.951522	108.027512	-41.959825	179.999526	361.614293	350.022359	329.988809	5.885913	False	nan	450.208057
27	NO_ID	-9.073270354	4.005079957	-3.932436823	4.714774654	-9.443026656	0.07440578151	-6.154037993	6.328595371	-4.578965234	-9.300763246	1333.7421	-45.848209	-5.497507	64.303023	249.817388	492.885566	383.186183	30.766494	2015.12003	False	nan	450.208057
28	NO_ID	-6.766177833	8.621186612	6.912311473	3.202926975	7.282455216	4.579455989	-7.619329992	4.064313116	-6.66960103	-9.84758664	1268.199173	-29.52197	1.025965	45.718964	310.068188	252.301764	276.253741	347.501267	2723.325092	False	nan	450.208057
29	NO_ID	-7.047893858	5.875488133	3.784446557	-3.888540919	-9.121316178	7.918653869	-9.039398492	-8.956164299	0.5152181418	1.670756912	3640.632116	-157.301418	18.274602	55.368704	214.530736	268.053703	331.931039	26.914177	716.964826	False	nan	450.208057
30	NO_ID	5.170608599	2.364140749	7.375467048	-9.566759571	1.482083537	8.520190841	-0.3884100382	-0.3118525882	-2.349915214	-3.740468938	2264.556848	-74.138305	38.772225	-52.905225	87.53789	133.614521	-22.575677	14.781276	1310.30524	False	nan	450.208057
31	NO_ID	9.265102328	3.456629655	-2.326927006	-6.125819557	-5.42085821	4.079223559	3.132139068	4.807466047	7.822905242	-2.927439976	1118.888172	-16.785665	21.366554	-34.238153	92.889094	498.452995	55.468632	-53.937632	13.812901	False	nan	450.208057
32	NO_ID	-8.083335652	5.311515638	-1.178624084	-8.15755743	-9.620769354	3.676824369	2.857746975	7.606780503	4.196400784	4.764031037	1282.111092	-50.887981	-156.693619	74.743658	266.274603	397.04146	376.777774	34.774519	196.379288	False	nan	450.208057
33	NO_ID	2.16104464	4.848415175	6.114605781	1.291702843	6.479288377	4.221666146	-0.5111233078	-9.156418313	-9.356744205	-0.1843217975	3721.18584	-152.98814	-26.800615	-66.006604	-40.520751	19.56762	110.208184	86.43014	3638.976442	False	nan	450.208057
34	NO_ID	-5.236679633	-1.514101564	4.185071375	-3.328883722	5.407678162	2.342307163	2.419454499	0.1387474719	6.088635417	9.99966245	1378.338863	-139.526863	-81.107215	37.309086	176.948879	94.952989	203.802118	109.628091	-19.532433	False	nan	450.208057
35	NO_ID	-8.433617728	-4.090236729	-6.287361862	5.000197334	-2.146376861	5.281075858	-5.959047678	-0.1017028123	-6.866228964	4.512569408	2087.350515	-142.223837	49.486121	3.932185	451.727421	423.886513	244.475482	40.986537	2621.22861	False	nan	450.208057
36	NO_ID	7.861955611	4.666488819	-0.3060429419	-9.269275414	-0.4914468925	-7.942349372	2.632069606	9.958939943	-1.165160011	6.742181868	1343.462879	31.514517	16.460342	-84.872831	59.268563	364.688369	-20.435148	3.717308	965.219689	False	nan	450.208057
37	NO_ID	-4.932785683	-7.328749934	2.389933998	-7.486974728	4.661714811	1.165706275	-9.56219411	8.384751489	-9.06574862	7.585903316	1757.355097	-57.225547	188.628945	-47.695764	514.755245	51.0384	374.338672	190.179521	3412.601846	False	nan	450.208057
38	NO_ID	6.839789508	-5.09308841	9.620923949	-6.827245961	0.9713662077	-3.590652155	2.120288075	-1.945494765	-5.686000333	-7.969386637	2574.447228	-126.976601	69.206716	-89.395721	445.178084	179.934477	142.462867	234.267611	2252.387069	False	nan	450.208057
39	NO_ID	0.6567153361	-6.349725173	-2.62283458	2.239767007	1.741821193	4.714723655	-7.583475942	6.803869492	5.257629117	7.348664246	523.411695	-50.136511	199.891785	-18.362356	233.162838	-18.767684	215.582637	167.877793	-1.26197	False	nan	450.208057
40	NO_ID	-1.717266524	0.9526481171	3.869060429	-3.16638544	8.513854279	-3.009471213	-6.898262626	9.113637004	0.8582308861	2.838895634	597.798005	-4.388305	110.703888	2.256792	-9.675235	-6.760119	256.251957	130.618229	603.053812	False	nan	450.208057
41	NO_ID	1.953091163	-5.419433649	-5.394164088	-0.2768526247	6.24192778	9.545130756	8.765617895	0.9512764715	3.385703872	-7.006590849	1666.225853	-142.020169	-84.22657	-7.521896	223.686034	66.098037	273.07387	212.921711	266.171006	False	nan	450.208057
42	NO_ID	-9.845735871	5.713101404	-3.164219439	-1.283790534	-4.506973334	4.811764474	1.518855544	2.420034278	1.727584141	3.786416735	1251.511353	-98.593695	-165.142646	79.257177	359.419155	576.947884	191.231239	169.102743	509.429307	False	nan	450.208057
43	NO_ID	5.72525743	2.121115512	-4.159439404	-5.940819248	-8.915398871	-8.674487629	0.9990517558	6.447142392	1.819916046	-8.270902268	1505.917012	-16.466266	36.194055	-27.918444	0.909988	255.957635	226.775139	-107.621051	511.768489	False	nan	450.208057
44	NO_ID	3.86709993	6.628115157	-3.387686725	4.491339507	6.958654647	-1.807219895	-3.489867843	-2.134592268	-1.718322667	7.941441739	1646.72347	-65.132751	40.704647	-54.155066	-65.375469	166.943214	139.430253	105.758579	1105.926844	False	nan	450.208057
45	NO_ID	-5.663236315	-7.108739091	-4.768161254	-5.193863032	5.810441998	6.685755074	3.896839732	-1.767588338	-6.242289225	-8.047343696	2981.81204	-190.795455	-69.543903	3.971654	546.749761	189.832338	404.748135	192.153995	2464.782309	False	nan	450.208057
46	NO_ID	5.209379264	1.683501829	-5.065306615	-5.592488465	-5.006810749	1.601844221	6.344764104	8.661250618	-7.089250312	1.438011913	1409.507359	-16.828011	-51.912711	-88.630306	8.295097	242.782164	58.228727	-61.899219	2716.632489	False	nan	450.208057
