%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      -3.372798604   -6.585982888   7.340756139    5.783405751    -6.545979596   -1.965193415   -1.441689797   -5.425962725   -6.759780984   0.8683387044   2873.651087    -195.929704    32.616678      -33.725159     401.454727     -45.578195     389.311081     24.709066      2578.737744
2	NO_ID	6.499256343	-3.160073335	8.977166322	-9.251340901	9.309800998	3.030753032	8.38164542	3.972527021	-7.679956334	-8.447338365	2149.158254	-84.195534	-44.269768	-91.819302	318.454354	173.287279	330.645847	263.875761	2971.005527	False	nan	2149.158254
3	NO_ID	9.463350498	0.303589408	4.178788549	-3.904620369	1.768697986	-0.5712574997	4.057278506	-4.553723374	-2.418666862	5.809825255	2381.262825	-118.783997	14.123608	-110.81261	138.444212	421.32978	8.353735	114.897704	1235.346138	False	nan	2149.158254
4	NO_ID	-2.809838568	-2.731438953	-3.819395682	7.468854843	-1.758724188	-5.145814773	8.987652283	-0.02306284565	1.911686805	-5.977164733	1659.357914	-157.067071	-159.083089	26.528594	57.694794	59.107274	133.475993	17.842093	478.691726	False	nan	1659.357914
5	NO_ID	-1.674089795	4.743306598	0.2067687489	-5.289374583	-3.993455201	-7.452815992	1.419135503	-1.655190985	-0.6958537249	-9.745390075	2358.489424	-107.133952	-82.123036	26.890843	-30.235592	56.099613	73.194885	-14.720076	1009.114304	False	nan	1659.357914
6	NO_ID	-5.424288183	-0.03655360951	0.7583701131	-3.357442681	9.437175203	9.765533832	-2.476532567	3.009304802	-8.094826716	8.436228125	1802.532979	-92.36658	-5.83079	-26.025392	106.895146	141.011652	350.10858	159.676368	3065.52131	False	nan	1659.357914
7	NO_ID	-2.011338619	7.298120309	-7.786211156	-9.507597912	4.400990281	9.988597266	9.735996753	9.044524068	8.071112566	9.563111526	1410.25924	-24.362027	-225.921245	39.916289	189.971219	247.687192	89.986195	141.16889	-17.058359	False	nan	1410.25924
8	NO_ID	1.0158632	1.686009362	1.793543793	-0.1394307603	-2.058858899	-2.137125786	-1.789034726	-6.421937077	0.3102505598	-8.788517705	2780.44706	-144.93683	14.240273	2.373401	-102.778525	-3.3789	19.952014	-28.88325	778.175048	False	nan	1410.25924
9	NO_ID	5.832014007	8.500021584	7.829589959	-9.067190138	3.755422561	-9.765845057	-4.109389074	5.171201166	-2.611812622	5.344898194	1549.950317	19.697142	70.521984	-65.404928	231.129233	219.543889	64.925911	81.71022	1347.416606	False	nan	1410.25924
10	NO_ID	-3.772914971	-7.752078367	4.936430554	-1.253774033	8.066659373	6.927818199	-8.360102259	-9.74891522	7.128179077	9.259294808	3596.880183	-221.511982	146.911385	19.801469	499.92151	-27.203462	503.808617	251.9505	-90.887928	False	nan	1410.25924
11	NO_ID	9.385040016	3.91135503	-5.937229479	-4.36871542	4.184777142	-6.799401606	-2.0833694	-3.602133307	-2.852177137	5.112746692	2535.323155	-74.072156	90.772573	-103.743989	148.021116	582.920599	30.311365	87.355367	1372.760767	False	nan	1410.25924
12	NO_ID	-8.99849138	-9.365977172	6.795009275	-7.484057843	-2.690206532	4.293531844	-1.900151735	-8.48381429	-5.856751074	0.1693152366	4458.924215	-258.477725	0.277854	11.633591	999.302711	305.536574	489.191148	128.827968	2273.729008	False	nan	1410.25924
13	NO_ID	1.413533912	2.860526129	5.853531503	-7.702725576	7.565372659	6.142165386	-7.731503544	-6.270443825	-8.415783499	-1.643541065	3532.23581	-118.282718	110.145803	-56.379054	3.55638	8.301504	159.849994	95.165239	3258.162717	False	nan	1410.25924
14	NO_ID	8.678556225	-8.944054434	0.153450822	-0.4146965866	-0.7594729726	8.512228418	0.1434670126	8.668169422	-6.054614475	-9.118333436	1299.609465	-37.422924	173.235397	-111.352964	587.401055	300.045786	298.545479	450.960102	2354.514595	False	nan	1299.609465
15	NO_ID	-6.52082283	0.7039027928	-6.447923139	1.966299232	-5.215659117	8.318326322	-4.865036828	9.380065126	-9.321928042	3.545029457	1398.070818	-28.548081	30.626306	-12.125311	188.288846	329.255066	170.446635	-26.276637	3599.560972	False	nan	1299.609465
