%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      0.3658293821   9.554547829    -9.398198401   7.833081223    -5.921024877   -4.199067337   0.6400417991   2.516315482    -8.573514073   -6.750029864   1909.98966     -35.037229     -78.626168     -25.18505      181.680628     258.54389      170.220958     28.590267      3399.656433
2	NO_ID	-4.911309421	-2.594039728	-7.014112553	3.032441102	6.915571443	7.668537782	3.303870364	3.64954658	-7.810490211	-1.817845433	1714.993803	-114.681128	-77.227479	-13.314364	225.640178	223.154727	276.120523	130.000561	3011.553816	False	nan	1714.993803
3	NO_ID	4.966925135	5.3326883	5.749424328	6.745602328	-4.929084553	-3.306524539	-1.153266772	9.580720373	9.229111647	-3.201669199	213.550342	31.217426	45.774721	11.478872	-52.933783	112.584816	54.346036	-71.790818	57.635624	False	nan	213.550342
4	NO_ID	-7.981532281	9.0602721	9.311943396	9.323355671	0.1880214973	-1.919704083	2.628938381	1.497514875	0.02266838499	5.178939322	1033.087049	-86.03395	-193.994422	59.728266	433.961642	343.328722	150.943155	312.581455	805.707491	False	nan	213.550342
5	NO_ID	6.197772217	-0.6385217419	-9.494588379	-9.086379907	-3.898867566	9.636322571	5.470424262	-3.090785839	0.7917399808	4.458019371	2967.069706	-127.629865	-32.092888	-67.81656	229.718313	405.208757	50.622963	-3.969669	569.877567	False	nan	213.550342
6	NO_ID	-5.15910955	-5.061119968	-5.251447035	-8.169572569	-0.8228620278	-8.27905678	-4.956263419	7.205521203	-1.279301071	9.075769379	1724.480191	-71.223557	87.565385	-5.397408	406.027569	195.527303	231.099235	70.872485	954.845363	False	nan	213.550342
7	NO_ID	-9.455935102	-3.097022178	-8.728546048	-9.741128106	-8.141097691	0.4397139776	7.464290366	-5.019738313	-2.197743937	8.377299897	3833.153139	-225.879367	-206.715586	29.710117	642.972994	618.709691	421.482984	-31.611584	1199.07235	False	nan	213.550342
8	NO_ID	-6.412892185	2.176661218	2.117151854	-1.402276769	-5.407347493	0.1355601777	3.5798128	7.09780146	-8.887158251	4.801869716	1272.902557	-66.627488	-128.203426	-10.383071	113.822413	200.920284	168.09752	-6.733433	3420.798921	False	nan	213.550342
9	NO_ID	3.082357576	7.071062073	6.285676482	-7.851234829	-1.299384818	-2.72357945	-3.158361112	-9.606087099	8.378033261	-2.045536933	3734.201597	-134.29496	8.735044	23.464504	83.786781	79.857218	8.74323	1.873378	49.212968	False	nan	213.550342
10	NO_ID	-2.360379703	2.524734441	9.602511196	6.2649035	2.669257702	6.60386375	-8.686101118	-4.889193569	6.123702714	2.571897864	1886.604049	-119.762285	94.083659	37.407224	78.504361	8.503117	42.792497	48.806493	46.472159	False	nan	213.550342
11	NO_ID	5.406834262	6.889982427	3.562598994	5.567929042	7.236802041	-4.842120032	-2.229665624	-0.6508725625	-5.978196247	9.825561401	1559.605639	-48.091607	35.551054	-91.016813	-38.243868	156.094209	152.022283	108.709076	2301.020106	False	nan	213.550342
12	NO_ID	0.1789213328	8.047405395	0.2463516927	-3.3920633	-0.1437046469	3.650473341	-4.777821739	2.997950342	4.080478503	-7.119825254	1074.534089	-22.732269	24.62884	37.305483	15.720009	64.427903	29.759096	64.632193	281.93823	False	nan	213.550342
13	NO_ID	-1.656805898	4.485618238	6.811983539	-3.99628476	-9.359297936	2.58076839	-9.837628261	-0.3939200615	-0.3082832374	-4.082884268	1698.418768	-63.231528	113.998835	16.850036	49.725167	18.261862	277.307205	-103.64574	888.795161	False	nan	213.550342
