%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      -7.158551424   6.496047991    -0.3450438977  5.956551506    -8.574835792   -4.243999356   -9.803462502   8.752683987    -9.894398961   4.035100123    1174.580479    7.030578       60.610332      0.718312       139.068849     296.539155     322.178778     68.874639      3874.720411
2	NO_ID	2.228543466	-4.434774385	3.998259144	-3.425564097	4.082064041	-4.834025993	9.978284735	-2.587837268	4.489535482	-6.470697373	2073.218121	-171.485088	-117.042885	-3.308824	157.211278	-39.788071	183.76946	169.528146	159.880938	False	nan	2073.218121
3	NO_ID	-1.282676006	-7.927564757	-1.453858375	-4.703500592	-3.551404363	-8.831110604	-0.06590677858	5.682476555	-6.136663442	-9.914209374	2012.980623	-98.428518	63.079126	-28.44862	427.126484	-30.227224	344.286168	137.532797	2423.825144	False	nan	2012.980623
4	NO_ID	9.162245551	0.3851465569	0.8871041104	-4.457279091	9.014073952	9.758170836	-9.583183865	-1.995553622	-1.466703854	-3.982696372	2146.44088	-55.635716	247.464302	-83.895798	94.017979	417.871153	230.812155	198.543497	1078.1248	False	nan	2012.980623
5	NO_ID	2.195199086	-6.136743093	9.481179797	-6.568070568	1.674396062	-0.2570226665	-0.4748983213	9.241930215	-2.341743559	-2.802819647	1101.923598	-42.300852	97.603067	-47.938157	439.79664	-39.744696	201.022807	187.873389	1259.6336	False	nan	1101.923598
6	NO_ID	-1.738727875	-0.7049822787	-9.961585541	-7.405675141	-1.384842359	-0.7886254855	1.098212262	-1.166001996	2.521042125	6.168789498	2279.193885	-129.268478	-32.749033	0.76749	227.147932	239.059578	68.237117	-3.393679	318.032516	False	nan	1101.923598
7	NO_ID	1.787276731	4.852777334	-2.800004907	-5.834427439	-0.9451295668	-7.231144874	-3.999574888	2.030492652	-1.750262014	-7.585976197	1794.252263	-43.313848	51.104307	-10.172017	-49.612064	103.90295	0.664378	-3.876146	1217.667979	False	nan	1101.923598
8	NO_ID	3.369150175	-9.097192989	0.5912899023	-8.05925206	4.587194436	-9.805755553	-6.56419991	2.297852798	1.63555299	2.346948338	1872.444644	-96.636089	222.65615	-53.663719	528.106041	-10.64903	396.728127	392.972654	404.954982	False	nan	1101.923598
9	NO_ID	2.665061235	-7.458462675	6.172823934	-6.759012046	-3.955335404	5.301217053	-3.674394903	9.902484718	-6.447891621	-1.474337116	1425.941334	-31.486521	168.587997	-77.528199	442.36528	-50.607052	288.456337	165.106191	2462.473267	False	nan	1101.923598
10	NO_ID	4.018443402	2.025858773	3.599656625	-2.233647782	-9.986290016	7.179412722	-1.502657763	-7.789806916	-6.201186553	5.685120945	3470.572307	-144.397221	33.943132	-82.472004	-62.431264	67.175251	277.719416	-147.119846	2380.38837	False	nan	1101.923598
11	NO_ID	-3.881827438	2.623243318	-0.7042043403	0.01911336305	-4.17507565	-7.733163406	-6.060149507	6.231199886	-3.289159182	0.4646176899	1011.779777	-33.149846	55.68072	6.926075	-14.786522	101.236997	104.406763	-14.506491	1553.473999	False	nan	1011.779777
12	NO_ID	5.404623514	-6.661781416	9.907692738	3.38970553	-8.363245537	-7.034313615	2.029119006	9.09421356	-0.4152266556	4.291186065	641.974408	-40.929848	91.03389	-79.219056	460.771276	61.246177	417.581097	141.220587	763.569614	False	nan	641.974408
13	NO_ID	-6.311838032	0.6554646098	-7.706123738	-6.80043752	6.11341331	-8.306861386	4.148162674	-3.703767252	-2.460214122	9.215922546	3062.017244	-172.748422	-146.288397	9.072718	275.619088	365.898917	215.214516	145.623871	1271.349798	False	nan	641.974408
14	NO_ID	-1.111909255	5.767838612	-4.764557323	0.7587524543	9.79762255	-5.864800682	-3.156672546	6.624319461	0.1482714334	8.509733434	741.410933	-11.519551	9.650271	-7.847158	-20.213594	126.682609	311.608975	185.4877	718.170323	False	nan	641.974408
15	NO_ID	7.440670906	7.069985044	8.545430414	6.695386353	3.552128229	-4.473045356	-6.293004884	4.723618473	9.573197713	9.566737104	310.72915	21.50419	134.275149	-28.652883	134.24287	286.466241	31.331931	55.765057	-17.16985	False	nan	310.72915
16	NO_ID	1.543684405	4.7052222	9.627893425	-5.739500342	-1.744646417	8.898240626	1.387519001	5.177762805	3.671923019	-1.247238575	980.985109	-32.861843	-35.437231	5.915061	117.824969	34.197197	-7.930185	-30.830631	257.117954	False	nan	310.72915
17	NO_ID	1.178613021	3.736322356	-5.508944128	-9.937236178	-2.393937728	-2.355932734	0.1105514511	7.672726773	2.262800186	-2.07962385	1453.31783	-12.88105	-4.63837	1.516989	14.450296	149.166489	12.953458	-32.547793	428.425003	False	nan	310.72915
