%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      -2.439655819   4.663255468    -5.012321479   7.222701927    2.709475987    -8.704469636   4.188692289    -8.152434034   -6.620965145   -5.676054638   3756.282399    -177.380329    -149.215239    -4.908959      -50.114874     133.891467     56.101272      89.52839       2640.302344
2	NO_ID	8.816491711	0.08102049138	-0.6850551557	4.402861291	-4.023603895	-6.321426532	3.402453736	6.273137013	0.6162969862	3.341022993	633.769264	-23.078059	42.221314	-85.970454	23.594015	385.185034	55.939722	33.65783	604.878329	False	nan	633.769264
3	NO_ID	4.776379277	5.717442738	2.460309108	-4.459546278	-2.316160452	-5.672233507	3.796949459	-2.498820912	-4.430367628	-4.660776882	2348.497842	-91.187506	-67.521532	-51.606433	-24.014108	141.257041	2.861116	-30.918803	1906.769429	False	nan	633.769264
4	NO_ID	-3.801955146	9.46452972	3.964544188	2.648918178	-4.378509007	2.410494928	9.448539463	-9.416821987	-0.3950000418	-0.3478101952	3367.073226	-185.982188	-293.194604	36.065321	161.041423	106.835796	154.468771	134.151085	916.340024	False	nan	633.769264
5	NO_ID	3.719801182	0.7174673071	3.213395593	-1.940627779	4.686054545	-7.435843056	-3.252189057	2.324001951	-5.335756925	1.335922832	1395.483054	-55.860874	91.393491	-69.674105	-56.050813	46.570762	74.023257	84.829636	2117.902894	False	nan	633.769264
6	NO_ID	-0.2581736496	-7.562178577	-8.429821121	-6.79471952	-5.817809561	-4.852483596	3.261009585	-9.833971002	-0.01026405734	0.2273559819	4572.156639	-242.132355	-17.189413	-25.565	531.223315	121.645016	377.859871	102.435611	723.781921	False	nan	633.769264
7	NO_ID	-6.275496114	-1.707217871	6.9946145	0.1096409293	-9.713872913	8.983516983	-0.661183487	1.805913821	6.400524751	-5.874638912	1387.074354	-120.401299	-34.245271	78.541435	271.164886	144.021491	411.13403	-99.536236	80.405506	False	nan	633.769264
8	NO_ID	-9.610504785	-5.032618281	4.342078231	-3.268604888	-7.543057582	-0.9302650843	-5.073168814	8.428497901	9.118221607	-6.506169497	1055.117504	-77.529123	47.256764	113.422249	603.090811	390.833979	459.864744	-10.127303	59.184026	False	nan	633.769264
9	NO_ID	-3.305394771	8.911693324	-4.249913906	4.054112681	-8.17797334	-7.849021713	6.201446754	7.817338889	-7.593609398	9.833789612	1226.785101	-21.911403	-194.137411	-25.369081	111.97886	182.874229	290.642204	58.739368	2912.477666	False	nan	633.769264
10	NO_ID	-8.791660675	4.968885467	5.770381693	-8.49005829	-8.670634134	5.366103859	7.851024235	-8.948670213	-6.091547163	-0.1766600359	4461.306689	-219.41332	-279.032443	38.166641	370.910878	403.250412	333.030997	55.536387	2440.285332	False	nan	633.769264
11	NO_ID	0.4249648353	6.023406608	9.393733216	9.557369834	5.66111745	1.191825771	-6.104879746	-3.197983005	4.714406229	3.181339376	1523.310747	-83.650315	53.449385	13.856447	33.589016	1.492914	101.831854	105.500543	142.137687	False	nan	633.769264
12	NO_ID	7.690099855	-2.489629033	6.346230876	-2.81724367	-3.10968737	-2.545238534	-7.95332611	-3.922949678	-9.187941279	-8.512709548	2839.708692	-98.134315	224.178675	-107.414344	197.945815	241.52551	85.834294	96.751781	3566.684798	False	nan	633.769264
13	NO_ID	1.965118398	8.572606082	1.813790958	-9.477433921	-7.289266141	0.6523799214	-7.247746439	-0.783691773	-4.282368621	-0.866263307	2391.63238	-39.586483	72.714641	-30.255052	77.141117	84.368514	188.775173	-46.134486	1861.883072	False	nan	633.769264
14	NO_ID	6.149302143	-0.1998295039	3.75584679	-0.7689718215	6.501298689	5.74768945	8.216397218	-1.935213654	6.858255609	8.043359556	1461.335841	-123.468053	-80.457523	-43.389517	6.201333	154.045115	128.042641	135.220533	-60.307437	False	nan	633.769264
15	NO_ID	9.135932878	9.309341566	0.4079591116	-3.552373866	9.44291588	2.202100378	4.396670058	0.5841296419	7.829371469	2.467294819	1263.691514	-29.842404	-56.690535	-32.256512	217.195256	490.176749	292.327268	150.2179	11.526556	False	nan	633.769264
16	NO_ID	-2.62474647	7.956108044	1.602321169	7.088247574	6.96587715	-2.782252343	2.243567377	-2.882846641	-6.820059656	7.578071534	2062.572907	-108.394768	-133.802668	-24.346254	-2.065999	63.258418	206.096786	219.909806	2638.174405	False	nan	633.769264
17	NO_ID	7.142008874	1.10455635	5.250997139	9.328932506	-4.791901543	9.685355906	8.5340354	4.029362379	0.201617868	-3.696699452	985.786923	-60.247028	-74.436239	-58.52547	-36.464993	205.781045	46.336868	-39.937551	740.855374	False	nan	633.769264
18	NO_ID	7.39787597	9.673564932	-1.187444752	6.770379162	-9.035630564	-9.993297543	0.9880764439	5.412082285	7.403066268	-1.893551858	846.87798	18.70384	-9.382895	-11.033443	100.984467	349.149968	289.481111	-87.137431	53.378583	False	nan	633.769264
19	NO_ID	5.164320939	-7.3208554	7.644929126	-8.865981403	1.357125476	8.647295692	-0.42183013	-6.612353585	-7.622096118	5.626789242	3818.778592	-179.192685	104.156458	-117.320337	515.070758	55.221965	227.222145	286.393856	2829.793025	False	nan	633.769264
20	NO_ID	-8.378468665	-6.631154316	-9.659601572	9.190909514	3.517920754	7.230508276	-3.759108493	5.130316205	-4.939211955	7.791677409	1642.15206	-114.219475	43.430025	1.486026	696.453808	484.785754	360.066793	150.094932	1939.885211	False	nan	633.769264
21	NO_ID	-1.370431062	4.20953651	0.2092947569	-1.311160813	-1.178550736	9.982142729	1.787633665	9.745132166	-8.853639672	-3.022015545	1275.983099	-7.090753	-58.280111	-30.841646	-70.802935	39.221287	8.175103	-3.301909	3459.064663	False	nan	633.769264
22	NO_ID	4.870361954	7.298073559	0.9267788265	5.283767541	-0.03473004689	-5.487305471	2.405036933	3.919221699	9.707145463	-8.985222117	767.283596	-20.9703	-42.728153	30.139423	-56.657856	152.156754	2.14282	13.772158	127.046058	False	nan	633.769264
23	NO_ID	5.949075028	-3.51916867	3.406172479	-0.3460903809	-6.685966572	-6.677009977	1.864450476	6.954470926	-1.335299768	-2.688569221	889.084901	-41.802656	69.857383	-67.930298	122.410476	116.224241	225.962399	51.259014	1025.631609	False	nan	633.769264
24	NO_ID	6.881221558	7.41906994	-2.289991763	2.583053678	-6.104208238	-6.846519351	9.685752953	-0.3479039393	9.958060101	-8.053805065	1540.310404	-72.568158	-155.893952	13.686278	21.998437	319.666466	112.636505	-74.633076	126.255383	False	nan	633.769264
25	NO_ID	-6.893920706	6.22608058	8.195742761	-4.041976951	4.927095599	-8.020229982	-5.313893256	9.191917252	2.637155096	2.713292943	705.106749	-2.776345	-10.027832	63.362716	321.570098	260.344598	171.67435	246.089437	384.166461	False	nan	633.769264
26	NO_ID	-7.880989586	2.755893615	4.77021004	-1.741919747	9.314724187	-2.186406041	-9.377123112	-2.266394922	7.395840735	8.853223367	1630.664825	-115.010675	54.021258	75.832461	230.843463	297.593356	361.677183	239.28363	-17.414132	False	nan	633.769264
27	NO_ID	3.157521952	8.687157748	7.485744236	8.928374366	-5.777746673	9.592911923	0.1352881309	1.001649687	-1.952160087	-7.573959603	1465.995868	-40.325141	-38.218641	-14.498741	62.968737	63.697674	116.21785	-45.935046	1284.213983	False	nan	633.769264
28	NO_ID	0.3151904715	-0.5429700875	-3.3432789	-8.326747773	8.023987924	-4.432347121	7.763478921	-2.620771996	5.126871109	-6.296686696	2584.00309	-153.331473	-129.72502	22.620265	19.36856	60.103321	238.390797	130.143195	138.93185	False	nan	633.769264
29	NO_ID	-4.684228279	-9.847049804	1.15801548	8.626353711	-9.294972801	-7.753408119	-0.1186567832	-7.687994196	-5.458202524	5.185339077	3793.656975	-241.80814	18.575293	-31.881964	616.521001	-2.874319	700.869366	88.019303	2092.151595	False	nan	633.769264
30	NO_ID	-5.322004884	-6.887984801	-0.3029029467	-6.161266309	5.41603879	-8.469816383	-4.635041176	-4.459804388	6.604525314	3.709649871	2815.527701	-186.96106	71.759921	42.403396	475.236605	98.56392	392.304578	197.294866	-27.961248	False	nan	633.769264
31	NO_ID	7.473025325	-5.265868764	-9.834368664	9.736050257	-0.9551035653	3.858254576	-6.98699674	-4.168646738	-3.458930965	-3.912286885	2641.003581	-117.994073	227.298854	-91.786021	368.437627	428.358718	140.729913	222.906042	1549.056906	False	nan	633.769264
32	NO_ID	8.346437421	-3.210749168	-1.623003213	-2.188513382	1.883128654	-9.339592253	-4.565432814	6.749724312	-6.303353478	-2.811674621	1321.044681	-13.224179	200.262174	-111.086416	175.713297	345.116299	94.027929	213.266859	2430.408964	False	nan	633.769264
33	NO_ID	6.544814113	-8.439083578	1.224867135	3.527376683	-3.312707411	-0.1289890505	-3.883507851	1.38707016	2.163656661	1.932154221	1051.236388	-96.882006	201.754584	-74.282705	443.685501	122.407431	313.571464	324.999076	324.96082	False	nan	633.769264
34	NO_ID	1.04465672	2.99174452	-3.036626501	7.643064733	-6.382946476	3.570942008	0.3262996272	-9.044511641	-3.810784933	8.465824566	3492.562877	-168.242154	-37.123506	-50.359339	-152.320937	55.764984	114.876633	-96.124463	1629.491414	False	nan	633.769264
35	NO_ID	-3.117359813	6.77599348	-7.382580024	-1.588132806	-4.578878597	8.307718658	-1.41508468	-6.180608362	0.8507751114	-5.136944597	3028.608679	-134.969693	-73.686323	41.01863	135.716527	245.067323	101.800793	25.17256	699.303651	False	nan	633.769264
36	NO_ID	-5.648997407	1.536237071	-7.56411873	3.824477647	-1.634234214	3.266197353	-1.64600801	-7.904574859	1.505883721	4.364001243	3115.571399	-186.117954	-56.606884	35.06587	151.752332	308.182117	80.033788	23.552246	501.698961	False	nan	633.769264
37	NO_ID	-7.116238514	5.890651461	9.498120887	9.864253003	-6.415196494	-6.547366333	3.90308048	-4.758396991	-7.983808422	9.254212555	2800.986512	-158.546511	-194.156759	-1.716256	274.119707	252.837808	221.411064	81.488365	3057.698716	False	nan	633.769264
