%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      -9.112318155   8.679701157    9.527325307    1.505347013    -3.802273133   -8.453283539   8.83108413     -0.7991479237  2.59105608     0.804316829    1553.916523    -131.736351    -312.287517    89.604594      550.489291     454.04065      212.040049     285.677014     424.865036
2	NO_ID	-8.804355421	1.100384698	-7.047896976	-2.345680955	-9.692396762	3.943452358	-5.920279542	6.356116297	-7.028478226	8.899007214	1609.488392	-59.749613	16.510353	7.695207	360.401912	531.325427	405.892931	-41.125361	2680.984217	False	nan	1609.488392
3	NO_ID	-7.499775907	9.928156213	-8.905153062	-8.714589301	3.513010373	5.176362521	6.608234434	-5.639882154	-6.755122319	-0.2602906724	3801.835167	-155.941965	-278.042758	34.599489	562.340248	560.251209	192.254962	374.881637	2696.453915	False	nan	1609.488392
4	NO_ID	2.874476938	-9.915525192	5.988910986	-1.944556083	-5.40892331	-9.820926643	2.504860618	2.456258636	5.064874462	5.926519302	1328.731412	-128.487972	70.398858	-41.355532	634.883296	-74.121878	468.009457	283.321996	-6.222674	False	nan	1328.731412
5	NO_ID	-3.109575209	-2.305535201	7.477358138	3.232040482	-0.2208780035	2.282729794	-4.460794264	9.000326407	5.674389039	4.47370466	229.598972	-34.580656	81.182685	27.690067	160.115578	-14.378486	109.09451	27.031233	29.081178	False	nan	229.598972
6	NO_ID	9.46866102	6.808131162	-6.798571345	9.719124222	4.296185056	2.026972926	-8.390445357	6.884765987	8.419852692	7.720730594	461.147714	54.04953	196.628664	-47.475224	129.757419	607.107937	40.194329	65.083638	-39.486995	False	nan	229.598972
7	NO_ID	-6.916125558	5.734983753	1.852606297	-2.795219395	-4.392074285	6.432240001	-8.95270228	2.253140093	-8.802824493	6.145054365	1712.840758	-56.853216	41.661093	-1.505259	174.843265	267.835147	138.704448	87.139455	3400.16183	False	nan	229.598972
8	NO_ID	-3.661193684	-2.630319824	1.497510497	-5.433871935	4.457874562	6.368533942	9.656701024	-8.477876659	-9.394165924	9.982796992	4200.979315	-238.067367	-196.689049	-54.907514	145.471526	37.119293	179.163404	93.065552	3556.006182	False	nan	229.598972
9	NO_ID	-4.34237088	1.264885234	-1.316316681	-4.578529835	4.66300596	-4.32582502	5.495477375	5.397982826	0.1921555659	-0.6627565055	1153.325943	-83.949644	-136.16994	27.555028	48.234586	127.085556	130.685464	100.530082	756.804936	False	nan	229.598972
10	NO_ID	8.143864824	4.104478026	-8.280029113	2.106998352	-9.849609288	1.040519491	-1.719748717	0.9857750231	-0.802549012	-6.566602936	1625.499889	-37.870929	79.810102	-59.821502	120.489488	524.15373	260.03607	-130.607488	975.979924	False	nan	229.598972
11	NO_ID	-6.746312203	-3.010990355	-7.7916854	-1.575873514	-8.951562822	-5.2059084	-1.348085781	8.848329899	7.050537388	-7.517794179	1225.727428	-63.360974	-2.761081	86.236792	386.473789	356.838052	422.632173	-65.009356	65.615305	False	nan	229.598972
12	NO_ID	1.333802649	0.4273752233	2.981836493	-2.120220354	0.3323691492	-3.424693569	-2.507097251	9.779019308	0.4097385074	-0.4849281809	558.207775	-1.995448	72.097717	-18.797122	-59.57071	-14.336099	21.50249	13.66312	693.302175	False	nan	229.598972
13	NO_ID	7.056543945	-3.626293685	-7.854367742	8.364131638	-7.057590242	-2.271202405	4.401759821	-6.300574233	-0.4136940578	0.7460045669	2901.369815	-164.81574	12.144723	-79.265418	197.170246	355.178955	238.465708	67.748314	801.333546	False	nan	229.598972
14	NO_ID	8.283751446	-5.46341723	7.905686512	7.290215721	-5.345560832	-6.332593143	6.311652535	3.992387235	-7.319798294	-1.553196057	1320.61547	-82.185553	27.231534	-122.689445	358.94257	248.446562	241.210444	202.035654	2769.595252	False	nan	229.598972
15	NO_ID	6.309447025	9.168325929	4.717019961	6.021375348	7.418530238	-4.653475617	1.387034937	6.100197054	1.575955718	-4.826509732	564.00564	16.820086	-21.631337	-26.606126	90.257907	221.995503	194.609419	135.39768	565.087322	False	nan	229.598972
16	NO_ID	4.791582746	-9.073124026	7.09257736	-6.992204516	-8.598764655	-8.896329156	-9.260298435	-3.224467567	-2.800362455	8.42981581	2798.794814	-132.438602	271.476958	-99.340354	635.974837	17.389468	547.672704	243.65029	1271.951747	False	nan	229.598972
17	NO_ID	4.289301178	7.074518587	2.575340185	6.358032692	-9.587666933	9.47824704	-3.98044253	-3.552847536	-1.870728796	-3.340173462	2186.605413	-72.504503	46.858691	-34.838669	-69.111968	107.598901	262.081797	-134.495484	1222.135866	False	nan	229.598972
18	NO_ID	-0.6903020167	7.655312615	6.741014074	-8.980245353	6.735953707	7.78968566	7.348147018	4.619524733	4.180985698	4.11399953	1282.306961	-49.953363	-183.824971	21.509971	142.145176	42.134678	162.812827	161.52426	194.223228	False	nan	229.598972
19	NO_ID	-2.395020155	-3.952975919	8.872323329	4.27860965	1.052303812	4.071645108	-4.978141333	6.542981503	4.827507545	-9.131068194	626.509401	-60.523703	105.387971	41.653884	258.810078	-43.250178	149.778259	68.33766	168.161183	False	nan	229.598972
