   Run 1	   Run 2	   Run 3	   Run 4	   Run 5	   Run 6	   Run 7	   Run 8	   Run 9	  Run 10	Best Average Running Min
  2.14e+02	  2.74e+03	  2.01e+03	  1.80e+03	  5.20e+02	  6.34e+02	  1.61e+03	  2.69e+03	  2.15e+03	  1.38e+03	  1.58e+03
  2.14e+02	  9.54e+02	  2.01e+03	  9.04e+02	  5.20e+02	  6.34e+02	  1.33e+03	  1.32e+03	  1.66e+03	  4.50e+02	  9.99e+02
  2.14e+02	  8.39e+02	  1.10e+03	  9.04e+02	  5.20e+02	  6.34e+02	  2.30e+02	  1.03e+03	  1.66e+03	  4.50e+02	  7.58e+02
  2.14e+02	  8.39e+02	  1.10e+03	  9.04e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  1.66e+03	  4.50e+02	  7.12e+02
  2.14e+02	  8.39e+02	  1.10e+03	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  1.41e+03	  4.50e+02	  6.57e+02
  2.14e+02	  8.39e+02	  1.10e+03	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  1.41e+03	  4.50e+02	  6.57e+02
  2.14e+02	  8.39e+02	  1.10e+03	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  1.41e+03	  4.50e+02	  6.57e+02
  2.14e+02	  3.24e+02	  1.10e+03	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  1.41e+03	  4.50e+02	  6.05e+02
  2.14e+02	  3.24e+02	  1.01e+03	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  1.41e+03	  4.50e+02	  5.96e+02
  2.14e+02	  3.24e+02	  6.42e+02	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  1.41e+03	  4.50e+02	  5.59e+02
  2.14e+02	  3.24e+02	  6.42e+02	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  1.41e+03	  4.50e+02	  5.59e+02
  2.14e+02	  3.24e+02	  6.42e+02	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  1.30e+03	  4.50e+02	  5.48e+02
  2.14e+02	  3.24e+02	  3.11e+02	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  1.30e+03	  4.50e+02	  5.15e+02
  2.14e+02	  3.24e+02	  3.11e+02	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  1.30e+03	  4.50e+02	  5.15e+02
  2.14e+02	  3.24e+02	  3.11e+02	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  1.30e+03	  4.50e+02	  5.15e+02
  2.14e+02	  3.24e+02	  3.11e+02	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  7.88e+02	  4.50e+02	  4.64e+02
  2.14e+02	  3.24e+02	  3.11e+02	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  7.88e+02	  4.50e+02	  4.64e+02
  2.14e+02	  3.24e+02	  3.11e+02	  5.97e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  7.88e+02	  4.50e+02	  4.64e+02
  2.14e+02	  3.24e+02	  3.11e+02	  4.25e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  7.88e+02	  4.50e+02	  4.46e+02
  2.14e+02	  3.24e+02	  3.11e+02	  4.25e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  7.88e+02	  4.50e+02	  4.46e+02
  2.14e+02	  3.24e+02	  3.11e+02	  4.25e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  7.88e+02	  4.50e+02	  4.46e+02
  2.14e+02	  3.24e+02	  3.11e+02	  4.25e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  7.88e+02	  4.50e+02	  4.46e+02
  2.14e+02	  3.24e+02	  3.11e+02	  4.25e+02	  5.20e+02	  6.34e+02	  2.30e+02	  5.71e+02	  7.88e+02	  4.50e+02	  4.46e+02
  2.14e+02	  3.24e+02	  3.11e+02	  4.25e+02	  3.84e+02	  6.34e+02	  2.30e+02	  2.81e+02	  7.88e+02	  4.50e+02	  4.04e+02
  2.14e+02	  3.24e+02	  3.11e+02	  4.25e+02	  3.84e+02	  6.34e+02	  2.30e+02	  2.81e+02	  7.88e+02	  4.50e+02	  4.04e+02
  2.14e+02	  3.24e+02	  3.11e+02	  4.25e+02	  3.84e+02	  6.34e+02	  2.30e+02	  2.81e+02	  7.88e+02	  4.50e+02	  4.04e+02
  2.14e+02	  3.24e+02	  3.11e+02	  4.25e+02	  3.84e+02	  6.34e+02	  2.30e+02	  2.81e+02	  7.88e+02	  4.50e+02	  4.04e+02
  2.14e+02	  3.24e+02	  3.11e+02	  4.25e+02	  3.84e+02	  6.34e+02	  2.30e+02	  2.81e+02	  4.62e+02	  4.50e+02	  3.71e+02
  2.14e+02	  3.24e+02	  3.11e+02	  4.25e+02	  3.84e+02	  6.34e+02	  2.30e+02	  2.81e+02	  4.62e+02	  4.50e+02	  3.71e+02
