%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      -9.974974822   1.27170629     -6.13391522    6.174810022    1.700186163    -0.40253914    -2.994170965   7.919248024    6.45680105     4.932096316    605.033269     -58.285623     -43.183996     92.763024      354.174224     602.556542     155.511471     150.136568     31.608044
2	NO_ID	-7.828913236	7.380901517	7.024445326	4.886318552	-6.902371288	-3.46171453	-8.413037507	-8.467970824	2.81960509	6.400036622	2955.69601	-150.38377	-11.250649	66.691061	311.073233	316.783476	264.52814	141.597476	345.009789	False	nan	2955.69601
3	NO_ID	-7.724539933	-0.9097567675	5.044404431	3.722952971	0.8688619648	-8.522293771	-1.265602588	-5.961180456	3.924375134	-4.192938017	2658.746306	-190.30076	-60.374462	75.984558	249.676184	244.531789	152.629058	83.233342	246.394262	False	nan	2658.746306
4	NO_ID	-7.367473373	4.865565966	9.03439436	2.23975341	-9.443342387	-3.403118992	-8.881801813	2.784203619	-7.367473373	6.94143498	1368.769817	-58.438826	43.959777	5.950682	304.732307	275.05089	360.511293	13.592781	2836.616625	False	nan	1368.769817
5	NO_ID	-7.06900235	-7.498092593	8.632770775	-8.397778253	-9.058198798	-8.825647755	-3.271889401	8.29401532	-2.027954955	-1.344340342	1875.358206	-86.304666	61.504868	22.10474	775.414114	173.596269	602.928227	6.401116	1192.347401	False	nan	1368.769817
6	NO_ID	-7.050080874	8.991668447	-7.168492691	8.102359081	3.857844783	-3.939024018	-1.468855861	-8.592486343	9.332255013	3.663747063	3141.512391	-161.167791	-134.648579	101.717765	315.370316	437.656031	181.673898	332.203326	70.752865	False	nan	1368.769817
7	NO_ID	-6.935331278	7.545091098	6.433606983	1.640980255	-6.172978912	-6.442152165	6.343882565	-0.4947050386	-6.888943144	0.07843256935	1901.836724	-118.499863	-238.549455	23.971252	273.447583	257.760883	227.42656	134.27075	2725.695048	False	nan	1368.769817
8	NO_ID	-6.675313578	3.260902738	-0.9842219306	-2.957548753	-8.859218116	2.153691214	5.666371654	6.052125614	0.3976561785	-3.960997345	1141.207779	-77.926725	-177.064425	57.83459	128.695705	263.580732	312.078489	-34.908085	760.865918	False	nan	1141.207779
9	NO_ID	-6.621601001	2.482070376	-3.180333872	-3.611865596	-2.648701437	3.220007935	6.047853023	6.137577441	0.5307168798	2.222052675	1041.60786	-81.981414	-176.61092	44.146428	149.581122	290.586823	99.330679	36.879115	688.68514	False	nan	1041.60786
10	NO_ID	-6.517838069	7.178868984	4.210028382	0.2706991791	-3.920102542	-9.700308237	-8.171941282	-2.710959197	-7.053743095	-6.68202765	2512.416721	-95.059816	10.891751	32.595782	201.066264	232.504617	151.396147	144.523865	2828.783096	False	nan	1041.60786
11	NO_ID	-6.314584796	4.758140812	1.102633747	8.101748711	-5.142674032	-6.221198157	2.094485305	3.970152898	1.69225135	-2.974028748	971.905491	-77.019715	-128.876919	62.442274	45.480559	205.215731	159.165711	49.403792	545.763117	False	nan	971.905491
