%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      -9.956663717   0.3146458327   -8.00286874    -1.641590625   -1.639759514   1.167332987    -5.897091586   -8.161564989   -2.842799158   -8.84090701    3919.072714    -199.016236    -18.156377     71.75042       477.31288      657.556443     165.283657     86.957669      1504.439738
2	NO_ID	-9.83764153	-1.941282388	2.333140049	3.035676138	-1.885738701	-1.971800897	2.707907346	5.782952361	4.076357311	0.07049775689	771.441292	-110.134129	-117.314676	83.059359	387.69171	435.740205	212.328233	65.222783	202.111409	False	nan	771.441292
3	NO_ID	-9.796136357	-1.977294229	3.618579669	-8.695638905	9.93591113	-6.345713675	-0.3695791498	-7.593310343	5.665150914	-9.976805933	4023.981152	-221.302072	-91.046785	110.693869	483.59804	447.065524	502.320031	234.310808	152.780528	False	nan	771.441292
4	NO_ID	-8.898281808	2.895901364	-3.721732231	1.549424726	4.352855007	5.474105045	7.377239296	-5.703604236	0.3701895199	-2.499771111	2728.487012	-199.577776	-248.970305	71.828547	253.217594	470.477535	166.581967	187.787656	760.136747	False	nan	771.441292
5	NO_ID	-8.760338145	5.303811762	-6.575212867	-1.492049928	3.773613697	9.858394116	5.678579058	6.845606861	-5.087740715	-6.343882565	1524.60462	-68.947569	-212.878506	55.93939	345.496024	547.268195	146.716404	234.472435	2157.978547	False	nan	771.441292
6	NO_ID	-8.300729392	-2.339854122	3.803521836	-0.9341715751	4.885708182	4.550614948	8.35627308	-3.970152898	3.265785699	-1.801507614	2279.156469	-210.702383	-214.285409	69.658071	347.844004	292.484569	250.304208	131.575084	292.427037	False	nan	771.441292
7	NO_ID	-8.093203528	8.29279458	9.273659474	-2.842188787	7.300332652	6.648457289	-4.205145421	7.244178594	4.852137822	0.2920621357	597.320552	-18.095798	-61.298563	93.007782	489.569812	370.243297	289.587884	374.485219	190.900379	False	nan	597.320552
8	NO_ID	-7.699514756	9.804681539	-2.578508866	-7.622608112	9.505600146	-4.124576556	2.282479324	0.1736503189	4.179509873	2.079836421	1890.072099	-92.059236	-193.887448	85.943358	414.112196	423.68612	435.819916	469.294194	242.521516	False	nan	597.320552
9	NO_ID	-7.522507401	3.953062532	-5.139622181	8.626056703	-9.605090487	-1.694692831	-2.315439314	-8.073061312	-3.071687979	-5.87817011	3627.236132	-181.035951	-83.633229	52.484085	148.11679	381.404157	368.946507	-9.085666	1558.420385	False	nan	597.320552
10	NO_ID	-7.330240791	7.420575579	5.822626423	-8.837855159	-2.014526811	5.541245766	-0.8560441908	-1.49815363	3.003326518	2.543107395	2140.001084	-108.133335	-121.110569	71.413495	348.997076	305.733927	117.542525	187.5423	348.313375	False	nan	597.320552
11	NO_ID	-7.155674917	-3.162022767	6.10461745	9.628894925	9.882198553	-7.738578448	-1.141697439	-1.604358043	-9.808954131	8.416699728	2473.747903	-160.446944	-30.060427	-26.956816	290.491692	171.47539	488.148505	205.333186	3749.484157	False	nan	597.320552
12	NO_ID	-5.063936277	6.025269326	8.348948637	4.909512619	3.726004822	-5.496688742	-7.68181402	2.951445051	5.254982147	6.428724021	599.028607	-45.520951	37.652211	53.979492	171.349904	132.117942	110.682672	176.732953	96.763833	False	nan	597.320552
13	NO_ID	-5.0389111	7.642750328	4.39741203	-3.865779595	5.728019044	0.1004058962	4.822229682	5.252540666	-4.174016541	-8.450880459	1289.289045	-54.135716	-183.003937	39.628468	180.594253	158.394975	179.876062	246.186027	1898.609543	False	nan	597.320552
14	NO_ID	-4.01043733	-8.342234565	3.921323283	4.238715781	-2.773216956	-9.353617969	0.6094546342	7.93939024	0.6527909177	9.331644642	889.543539	-93.126774	32.151555	-12.000305	504.043753	-30.476373	379.212625	133.623802	544.434168	False	nan	597.320552
15	NO_ID	-3.644825587	-9.281594287	3.057039094	7.482833338	-3.288369396	-8.973357341	3.511154515	5.466170232	-5.701773125	-5.052339244	1559.406376	-127.325205	-10.952788	-19.808771	545.253543	-54.133634	432.015952	163.110094	2243.474327	False	nan	597.320552
16	NO_ID	-3.424481948	1.371196631	2.552873318	-1.535386212	3.871272927	3.684499649	-0.2304147465	4.070863979	6.105227821	7.365642262	686.802804	-74.512925	-33.155614	33.933103	2.669043	44.558411	90.356371	72.422462	10.023069	False	nan	597.320552
17	NO_ID	-2.14148381	1.687368389	7.995544298	6.306039613	-2.178716391	-0.5270546587	9.315164647	-4.768517106	1.648915067	8.402661214	2022.673711	-175.991241	-202.808618	-0.05414	22.062851	-12.201171	46.888847	-17.966601	441.765391	False	nan	597.320552
18	NO_ID	-1.781365398	9.731437117	-7.925962096	2.676778466	3.161412397	-0.7260353404	4.91073336	-3.931699576	-1.579943236	-6.201666311	2371.406404	-113.585772	-187.011017	26.217414	211.049456	242.296674	114.245918	202.379802	1208.448132	False	nan	597.320552
19	NO_ID	-1.261329997	-2.648091067	0.04974517045	-8.901944029	6.261482589	8.651081881	9.437849055	-1.5622425	1.684926908	-1.779534288	2483.970577	-165.659505	-154.99649	4.778161	101.831108	-0.020541	210.247757	117.129895	478.913961	False	nan	597.320552
20	NO_ID	-0.3305154576	7.901547288	3.925595874	6.26453444	0.3048799097	8.126773888	5.485702078	8.973967711	7.704397717	6.266365551	202.514583	-2.505722	-141.826533	32.436476	-20.636565	15.532664	27.294968	71.130473	5.58484	False	nan	202.514583
21	NO_ID	-0.2554399243	-9.846797082	-2.568742943	1.872920927	-5.643177587	-4.437086093	-2.280037843	-1.318704794	9.232154302	0.07904293954	1736.513008	-160.283975	112.343211	16.352611	555.508243	-48.770615	487.517169	201.160521	-40.649313	False	nan	202.514583
22	NO_ID	-0.2499465926	-0.7449568163	-6.697897275	-6.850489822	-1.393780328	4.341257973	-0.4788354137	-9.273659474	-4.81551561	-7.345500046	4462.958799	-191.750999	-6.946928	-20.876919	88.96267	129.290287	50.546653	-9.094532	2018.547883	False	nan	202.514583
23	NO_ID	0.0521866512	-4.031800287	-1.064790796	3.035676138	6.291390728	-3.827326273	-1.374858852	-8.154850917	9.858394116	-5.413678396	3035.752619	-194.219337	39.839167	39.638234	70.184618	-28.400868	253.175618	165.095562	54.991931	False	nan	202.514583
24	NO_ID	0.07965330973	2.710959197	1.260719626	-0.682699057	-5.077974792	-3.882869961	6.500747703	9.448835719	0.2914517655	-7.243568224	767.304465	-25.589312	-112.50618	8.729087	-100.644906	5.545573	85.929552	-66.62338	779.792363	False	nan	202.514583
25	NO_ID	0.1364177374	-8.538163396	3.260902738	3.49589526	7.024445326	0.3689687796	8.649861141	8.542435987	-4.369945372	1.168553728	855.435248	-96.212806	-60.293283	-54.354503	419.731381	-107.701395	462.988573	322.427165	1776.368472	False	nan	202.514583
26	NO_ID	0.6241035188	-9.523911252	-7.692800684	-4.469435713	1.067842647	4.767906735	4.951017792	3.900570696	-1.495101779	0.4806665242	1661.983939	-129.871059	6.066164	-44.477493	662.7171	82.187898	361.647233	288.06027	1019.50305	False	nan	202.514583
27	NO_ID	0.7821893979	4.958342235	4.714804529	8.58272042	-2.40028077	8.597979675	-8.282418287	-6.77846614	8.488113041	-3.758964812	2499.121514	-113.238472	95.399335	41.617664	-115.830674	-12.787874	6.571298	-31.843238	56.575291	False	nan	202.514583
28	NO_ID	1.634266182	-0.0991851558	-9.368266854	8.867152928	-8.185369427	-6.795556505	-1.249122593	1.707510605	-2.167729728	-6.864528336	1794.368285	-79.843898	41.786248	-22.382092	32.279855	191.009969	231.664296	-95.991443	1283.146523	False	nan	202.514583
29	NO_ID	2.505874813	0.946989349	7.310098575	6.979888302	-9.760734886	8.017517624	-1.081270791	2.800683615	3.533738212	7.783745842	837.992531	-61.791589	41.465804	-28.05182	-44.356997	-13.270461	281.532773	-140.916808	183.048023	False	nan	202.514583
30	NO_ID	2.506485183	-8.216498306	0.6076235237	-5.29709769	9.103976562	-9.32309946	-2.870876186	-2.240363781	5.39536729	-4.541459395	2345.707696	-147.607196	135.121006	-12.425123	421.827015	-34.647727	541.545281	393.003977	56.381109	False	nan	202.514583
31	NO_ID	2.934965056	0.4501480148	0.8871730705	6.633198035	0.2053895688	1.113620411	1.354716636	-1.793572802	5.498519852	8.353831599	1303.256193	-111.215705	-0.868862	-23.794488	-136.228775	19.545887	7.043122	12.537598	10.508007	False	nan	202.514583
32	NO_ID	2.963652455	-2.452772607	6.146122623	-3.113193152	4.302194281	5.39536729	-4.665974914	6.16687521	0.8120975372	-1.826532792	755.692168	-35.909452	140.914029	-32.901212	99.058793	-9.458263	116.090207	117.811287	609.169438	False	nan	202.514583
33	NO_ID	3.232215339	-0.8157597583	-5.252540666	8.025452437	7.61650441	2.595599231	-9.664906766	-2.72255623	-8.61445967	-2.003540147	2360.829809	-91.658223	197.706534	-78.55446	-58.204646	116.278768	199.186788	135.613107	3311.916818	False	nan	202.514583
34	NO_ID	3.271889401	8.435010834	-1.638538774	4.671468245	-9.531846065	9.90478225	-1.905270547	-6.916409803	2.279427473	3.679616688	2792.908497	-106.269265	-16.204413	-17.26719	-24.32018	130.010726	283.179643	-105.023483	407.73648	False	nan	202.514583
35	NO_ID	3.684499649	5.171971801	-8.525955992	3.619190039	-6.020386364	-7.339396344	6.886501663	4.724570452	5.713370159	1.102633747	922.971377	-42.540513	-112.152165	-4.77047	27.431984	273.01848	98.13336	-81.359921	75.004008	False	nan	202.514583
36	NO_ID	3.689992981	-9.12900174	-2.483291116	-4.812463759	-7.180089724	7.588427381	-8.510086367	-8.439283425	-3.17117832	-7.844782861	4104.069413	-186.308329	237.724845	-59.944273	523.039677	36.639383	471.102092	220.587629	1486.612191	False	nan	202.514583
37	NO_ID	4.021423994	-2.794579913	1.904660176	-4.254585406	-1.670278024	4.496292001	-4.479812006	-9.960936308	5.218970305	8.926358837	3603.094468	-179.096194	118.805811	-41.518418	63.604649	43.783594	74.12036	56.744041	1.493251	False	nan	202.514583
38	NO_ID	4.272286142	3.536179693	-0.9329508347	3.587450789	-6.567278054	-6.566667684	-4.446241646	0.6308175909	7.676931059	-0.06561479537	1099.15062	-51.213874	91.281167	-0.590045	-126.731553	120.442488	113.332275	-92.618243	10.112006	False	nan	202.514583
39	NO_ID	4.607989746	-6.852931303	6.405529954	8.976409192	7.305825983	4.960173345	-8.247016816	9.049043245	3.306680502	-5.411236915	481.875058	-14.650258	259.20072	-35.213904	307.952616	-6.443967	366.490209	338.46022	247.264076	False	nan	202.514583
40	NO_ID	5.648060549	3.81756035	0.4220709861	6.636860256	1.811883908	-0.8816797388	-4.158757286	-1.673329875	7.156285287	-0.9305093539	1266.395031	-65.903653	93.292337	-11.906919	-123.503077	167.882994	-16.437172	21.63207	21.017	False	nan	202.514583
41	NO_ID	6.655781732	1.574449904	-2.161015656	3.23831904	2.695699942	-7.336954863	1.831415754	-5.162205878	-8.891567736	-4.051332133	2956.881963	-122.458724	12.503739	-98.452528	-60.170573	254.21829	11.807397	68.77998	3441.739406	False	nan	202.514583
42	NO_ID	6.744285409	-7.303994873	6.658223212	1.184423353	2.774437696	9.285866878	5.546128727	-9.533677175	1.348612934	1.53050325	3482.543777	-216.984313	12.52327	-76.880215	452.586883	127.059381	240.155656	346.69074	456.121051	False	nan	202.514583
