%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      -9.972533341   7.832575457    4.769737846    0.8615375225   7.996154668    1.993774224    -1.094698935   6.132694479    -3.465987121   1.179540391    821.688679     -47.248909     -131.510666    63.756401      442.909842     519.70818      350.704941     433.662925     1646.282598
2	NO_ID	-9.835200049	-1.375469222	2.332529679	7.693411054	0.9360026856	6.893826106	0.9781182287	5.809198279	-8.815271462	2.083498642	1404.096224	-101.869716	-92.35786	15.687307	333.822316	430.715563	182.572996	98.672927	3399.708546	False	nan	1404.096224
3	NO_ID	-9.478743858	7.258217109	0.2761925108	3.481246376	1.256447035	-6.749778741	8.834192938	-5.2006592	6.52150029	9.211401715	2272.728153	-179.932402	-313.435774	92.531083	323.598173	493.098142	155.470957	307.081878	33.737259	False	nan	1404.096224
4	NO_ID	-8.720053713	-8.90377514	-2.595599231	5.184789575	-0.1937925352	-2.172002319	0.7895138401	2.768944365	8.409985656	-5.760368664	1377.691124	-161.847133	-23.854183	93.523545	768.738849	332.48123	445.079593	158.000073	15.07715	False	nan	1377.691124
5	NO_ID	-8.463698233	5.077364422	0.6521805475	-8.424634541	-2.863551744	1.621448408	6.182134465	3.91399884	-9.900509659	2.52723777	2174.569826	-96.788385	-222.524186	11.307291	285.551835	404.238296	130.826445	134.809919	3883.30357	False	nan	1377.691124
6	NO_ID	-8.32636494	-7.468184454	2.378307443	-8.959929197	-5.925778985	-2.960600604	4.547563097	4.993743706	8.215887936	-5.534531693	1855.740171	-144.345378	-90.839259	91.823054	712.265179	277.932805	474.618776	44.255423	19.471001	False	nan	1377.691124
7	NO_ID	-8.246406446	-1.179540391	-0.4824976348	4.849696341	-2.763451033	-7.03604236	3.002716147	3.55754265	-7.120273446	-7.039704581	1716.855895	-120.873592	-116.958831	30.090213	231.3585	322.903156	185.574166	37.115962	2810.411938	False	nan	1377.691124
8	NO_ID	-8.027893918	-2.273323771	0.6906338694	-2.094485305	-2.418591876	5.673696097	6.787011322	-2.964262825	6.253547777	6.514175848	2069.915316	-195.517594	-183.400067	65.915891	308.523091	296.427153	189.030938	24.935686	1.445653	False	nan	1377.691124
9	NO_ID	-7.853938414	-5.457014679	9.126560259	3.248084964	7.688528092	2.692648091	-3.516647847	-2.637104404	1.98095645	-5.682241279	1991.00236	-176.884823	19.625538	61.186743	601.236306	228.044835	449.191679	192.127115	465.342039	False	nan	1377.691124
10	NO_ID	-7.633594775	-1.845454268	3.736381115	8.299508652	-9.750968963	8.799401837	-4.007385479	7.748344371	-3.119907224	-6.921292764	1216.233261	-63.004395	22.049928	43.620899	222.15668	225.120165	436.988099	-85.641061	1544.105148	False	nan	1216.233261
11	NO_ID	-6.666158025	-2.900173956	8.955046236	3.689382611	-0.6784264657	-9.281594287	-1.763054292	-9.222388379	-2.803735466	7.836848048	3672.197938	-223.877834	-31.933042	5.836543	379.115123	160.340455	183.435279	53.57866	1348.387894	False	nan	1216.233261
12	NO_ID	-6.6502884	-3.411664174	-9.251075777	0.9231849116	9.572740867	4.697103793	-9.64598529	7.545091098	1.716055788	7.278359325	951.518472	-51.815699	139.862362	28.402539	433.62273	384.587308	457.396006	186.742721	422.387823	False	nan	951.518472
13	NO_ID	-6.608172857	7.205725272	-2.277596362	-9.630115665	9.625232704	0.882290109	8.19696646	8.535111545	-5.936155278	7.676931059	1712.913376	-43.178961	-246.005737	10.242195	250.84012	323.764378	374.30573	326.971424	2339.91744	False	nan	951.518472
14	NO_ID	-5.431379131	-4.670857875	4.383373516	-0.702230903	-9.924924467	-4.062929167	-0.4989776299	8.1633961	5.707876827	7.705618458	743.559348	-75.112308	7.862484	35.237465	324.387973	74.150476	510.143831	-67.123844	-2.624395	False	nan	743.559348
15	NO_ID	-5.295266579	5.712149419	1.059297464	5.213476974	6.255378887	0.3408917508	3.276161992	-1.584215827	-7.404095584	6.953032014	1880.470795	-121.706748	-157.513047	-9.14011	34.835645	159.880024	181.293371	203.329075	2848.921401	False	nan	743.559348
16	NO_ID	-5.100558489	-9.005706961	6.539201025	8.019959105	-9.564806055	-0.9921567431	6.641743217	-8.74385815	2.156132694	3.342692343	3526.197856	-269.050722	-109.35728	14.888333	637.184377	2.283648	669.557845	43.48347	347.678008	False	nan	743.559348
17	NO_ID	-5.025482955	-7.289345988	-5.884273812	-8.557695242	8.694418165	-2.327036348	-6.74733726	-5.186620685	7.68120365	-0.9207434309	3262.930068	-187.986236	112.39143	53.872677	580.708019	186.313981	538.836027	248.623299	-20.99485	False	nan	743.559348
18	NO_ID	-4.843592639	-3.838312937	7.51884518	-7.260048219	1.962645344	1.345561083	6.921292764	-5.598010193	3.192541276	1.548814356	2925.176226	-214.711905	-146.58742	31.937193	371.440779	63.422432	185.567604	80.581211	257.999112	False	nan	743.559348
19	NO_ID	-4.835657826	6.475722526	-7.367473373	8.021790216	7.882625813	-2.604754784	-9.965819269	-6.814477981	-3.272499771	8.509475997	2957.331686	-123.396863	55.627613	6.255257	120.908038	291.369477	253.647584	239.038044	1518.62599	False	nan	743.559348
20	NO_ID	-4.446241646	8.321481979	-8.77742851	0.3817865535	4.887539293	8.693807794	-4.509109775	-0.1040681173	3.959776605	-5.079805902	1645.423104	-68.58684	-34.587542	70.171392	269.348772	343.026	147.775192	233.421715	294.707119	False	nan	743.559348
21	NO_ID	-3.889584033	-6.804712058	-5.455793939	3.84746849	-7.595751823	-2.209845271	-2.91604358	-3.021027253	1.573839534	-7.869808039	2397.956861	-173.023011	59.072542	29.116062	401.19021	104.746901	449.460892	13.109094	521.475596	False	nan	743.559348
22	NO_ID	-3.734550005	-6.39393292	-5.686513871	-9.366435743	6.453138829	-5.665150914	5.638904996	-6.020996735	-9.09848323	-1.802728355	4313.898577	-223.01355	-94.097415	-36.798425	461.877024	133.890333	385.511668	203.115254	3493.756696	False	nan	743.559348
23	NO_ID	-3.470259713	5.798821986	2.376476333	1.743522446	-0.4257332072	-1.412701804	-6.87612537	-2.488174078	2.182378613	-0.808435316	1572.600033	-91.65212	30.82461	39.888485	0.195464	76.246967	44.211398	76.604073	456.999382	False	nan	743.559348
24	NO_ID	-3.262123478	8.362987152	1.546372875	-5.625476852	-0.9085360271	4.307077242	-6.36097293	-8.520462661	8.134708701	-5.414899136	3367.001576	-133.834803	-8.429518	82.326304	122.277231	111.196893	69.658262	129.152272	98.086345	False	nan	743.559348
25	NO_ID	-3.058259835	-9.00021363	4.434644612	-8.332468642	-5.739616077	2.894070254	9.899288919	-6.249275185	6.84377575	5.875118259	3328.696568	-248.175451	-139.367351	16.934294	630.437912	-46.121668	465.089172	113.063674	-69.910076	False	nan	743.559348
26	NO_ID	-2.551652577	4.195989868	-1.566515091	-4.292428358	3.642384106	-8.58394116	-9.188207648	2.113406781	-3.194372387	5.759758293	1546.876396	-47.641377	101.341899	-10.686178	-17.170872	91.959581	74.130337	97.146409	1496.280267	False	nan	743.559348
27	NO_ID	-2.384411145	-2.289193396	-1.855830561	8.896450697	7.856990265	5.205542161	-3.17300943	1.886349071	4.149601733	3.387859737	1038.693869	-99.487442	52.183294	16.469192	-5.81549	14.034708	283.01725	136.355342	147.609857	False	nan	743.559348
28	NO_ID	-1.849116489	-3.458662679	-9.716177862	-3.242591632	0.9006012146	7.770928068	9.295632801	8.230536821	1.162450026	2.361217078	1182.481163	-83.501846	-132.386547	-3.034577	302.810754	202.910287	124.428165	55.059777	529.29193	False	nan	743.559348
29	NO_ID	-1.584215827	2.01391644	4.401684622	-5.206762902	9.654530473	0.8603167821	8.187810907	8.436841945	-4.210028382	-4.957121494	1164.456526	-49.899136	-154.272591	-6.434339	-2.373752	1.628168	302.587211	143.194194	1840.553514	False	nan	743.559348
30	NO_ID	-0.1541184729	-7.967467269	-0.5575731681	-9.704580828	-6.481826228	1.416364025	0.2859584338	0.1925717948	8.301950133	-1.629993591	2205.259102	-144.578539	57.722404	18.067751	443.615874	-41.210048	414.311219	104.106761	-34.838406	False	nan	743.559348
31	NO_ID	0.4306161687	-3.55876339	5.074922941	4.794152654	-8.06878872	-7.830133976	-5.111545152	1.263771477	-5.955076754	3.487350078	1569.584799	-94.362774	122.200079	-59.31254	77.409023	-76.275493	316.063782	-40.082855	2289.874127	False	nan	743.559348
32	NO_ID	0.4544206061	-0.9353923154	-4.358348338	-1.794183172	-4.935758538	-3.466597491	8.913541063	-7.349772637	-4.91134373	7.986999115	3395.181208	-200.747856	-154.202399	-58.036866	-0.33462	64.433099	123.735813	-47.344345	1937.548953	False	nan	743.559348
33	NO_ID	1.149632252	0.5142368847	-3.409833064	-8.221991638	8.182317576	6.419568468	-0.6894131291	-2.030396435	-0.4440443129	3.426313059	2403.581285	-114.035615	15.041658	-29.241432	-12.306687	75.711108	212.196252	112.687149	831.274945	False	nan	743.559348
34	NO_ID	1.333353679	-6.1363567	-0.7687612537	2.602923673	-0.9866634114	5.352641377	4.187444685	-9.553209021	4.416943876	-8.878139592	3640.934484	-228.889584	-27.868587	4.901456	198.186829	-39.591412	195.281414	131.376371	175.38827	False	nan	743.559348
35	NO_ID	2.054200873	-8.218329417	-0.4287850581	-3.707693716	2.840968047	-7.888729514	-9.605090487	8.731650746	9.738761559	1.941892758	786.425978	-30.474715	267.038484	-0.060244	409.734042	-35.903264	318.353439	294.474734	-32.786327	False	nan	743.559348
36	NO_ID	2.541886654	-0.376903592	-0.6942960906	-6.205328532	0.763267922	5.416730247	-5.8128605	-8.534501175	3.496505631	1.892452773	3434.503511	-156.0889	110.183721	-19.391278	-29.103771	46.514967	19.541074	24.945642	220.243287	False	nan	743.559348
37	NO_ID	3.78521073	3.486129337	-7.814264351	0.01251258889	-7.250892666	1.898556475	-5.648670919	1.343119602	5.160374767	-4.193548387	1296.132866	-43.394421	108.676717	-1.120457	12.544086	250.33701	135.238127	-111.057541	135.67764	False	nan	743.559348
38	NO_ID	4.101382488	8.016296884	9.29074984	-4.772789697	-8.317819758	-1.116061892	-0.5142368847	5.346537675	-8.095034639	8.38923307	1370.812133	1.148564	-3.681448	-86.032105	199.945956	128.611681	218.535329	-91.876219	3085.670683	False	nan	743.559348
39	NO_ID	4.856410413	2.226325266	-1.730704672	-9.642323069	9.407330546	8.413037507	6.635639515	5.145115513	3.39823603	-2.640766625	1580.149172	-48.043611	-71.762139	-24.125919	-19.641529	174.782653	238.313488	125.35286	271.388866	False	nan	743.559348
40	NO_ID	5.905026399	2.847682119	3.424481948	-1.123996704	-3.215735343	-7.162999359	-2.360606708	7.463301492	5.955687124	-5.372783593	603.269576	7.11005	91.325724	-13.020844	-42.837373	166.009427	13.035991	-35.182105	87.13108	False	nan	603.269576
41	NO_ID	6.021607105	0.2755821406	6.476332896	-2.306894131	-5.538804285	3.282265694	-1.698355052	2.224494156	-6.769310587	-7.265541551	1600.090996	-54.420148	91.332438	-78.937162	58.243816	148.344099	88.452389	-41.937434	2652.037885	False	nan	603.269576
42	NO_ID	6.498306223	-4.97482223	-0.8426160466	-7.545091098	0.9811700797	3.648487808	0.3891109958	-2.507095553	9.545884579	-2.728659932	2207.550238	-127.612079	93.152562	-20.749351	249.331076	193.252918	131.462007	214.268004	-1.566123	False	nan	603.269576
