%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      -9.970702231   -5.607776116   -4.327219459   -4.451124607   -5.708487197   4.390697958    0.8047730949   4.345530564    6.612445448    -2.573015534   1551.076716    -136.226234    -59.834895     94.758324      674.875903     527.766017     409.461573     19.034967      37.38025
2	NO_ID	-9.691152684	6.84438612	5.575426496	2.682271798	6.533097324	-5.737174596	8.84029664	-5.04074221	7.588427381	5.128635517	2150.398885	-181.43025	-312.033143	106.90286	392.56123	479.16301	276.450763	370.715113	36.27203	False	nan	2150.398885
3	NO_ID	-9.120456557	7.909482101	-5.052339244	-5.829340495	1.33579516	-2.211676382	7.23075045	-5.434430982	-0.6051820429	-7.051301614	3187.976166	-172.536546	-288.272042	87.85931	439.263367	573.00238	154.687839	318.21567	1012.767269	False	nan	2150.398885
4	NO_ID	-9.070406201	-1.78807947	3.775444807	-4.800866726	-4.442579424	3.670461135	2.541886654	-6.016724143	-7.568285165	-2.062135685	3534.014145	-211.998199	-131.644948	23.269936	401.478535	371.607087	238.242187	12.667573	2939.375727	False	nan	2150.398885
5	NO_ID	-8.93795587	-6.903592029	-9.007538072	4.790490432	-7.509689627	-2.547990356	2.357554857	6.345103305	-5.958128605	-5.342265084	1792.051083	-125.236518	-61.539048	26.59035	759.979227	519.851758	522.958118	12.439291	2360.740421	False	nan	1792.051083
6	NO_ID	-8.645588549	-6.172368542	-9.347514267	0.2102725303	3.147373882	-5.621814631	5.937986389	9.358500931	-6.770531327	3.935972167	1605.256347	-104.031648	-119.305704	3.09537	729.795184	519.477708	350.831674	151.278948	2579.373898	False	nan	1605.256347
7	NO_ID	-8.58394116	6.670430616	6.091799677	-7.148960845	5.770744957	-7.393108921	9.760124516	-8.018738365	-5.736564226	0.6076235237	3990.525873	-207.43263	-321.16245	40.114322	394.210448	396.090023	229.073553	320.010596	2325.839403	False	nan	1605.256347
8	NO_ID	-8.309274575	-7.122104556	-2.576067385	-4.177068392	5.443586535	9.345683157	7.701345866	7.401043733	-0.8554338206	-4.056215094	1581.630146	-130.342265	-142.236702	44.065249	651.183154	330.146452	429.950858	183.975111	951.6132	False	nan	1581.630146
9	NO_ID	-8.079775384	7.211218604	2.858668783	-6.271248512	-9.441511277	-6.893826106	-7.721488083	6.533097324	1.805780206	-8.166447951	1405.712459	-19.300668	5.843989	92.422437	315.985778	366.514059	394.22367	110.83909	585.09208	False	nan	1405.712459
10	NO_ID	-7.852107303	0.3549302652	7.238074892	-6.718649861	1.469466231	8.761558885	8.885464034	-0.1895199438	-8.740195929	-0.1126133	2561.850578	-162.995849	-232.792444	8.050966	350.987636	286.087517	119.934154	84.452967	3389.284113	False	nan	1405.712459
11	NO_ID	-7.471846675	9.96765038	8.406933805	-7.043366802	-6.71559801	-0.3830072939	0.9298989837	-0.7083346049	-2.390514847	-8.463087863	2262.15809	-94.213843	-171.684622	72.683676	533.996885	338.763731	296.595499	238.113544	1437.016643	False	nan	1405.712459
