%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      -9.96887112    0.9530930509   6.577043977    -9.764397107   0.5868709372   6.787621693    2.704855495    2.55897702     -3.310342723   -6.325571459   2260.764522    -125.193793    -148.178045    65.756584      481.386735     484.378475     144.253079     122.001515     1614.990402
2	NO_ID	-9.657582324	9.500717185	-2.43079928	-7.878963591	-3.954893643	-0.04242072817	-4.116641743	-9.031952879	9.579454939	-5.207373272	3926.257077	-165.064394	-120.662557	142.574114	523.705288	589.186523	233.376858	333.972239	152.364798	False	nan	3926.257077
3	NO_ID	-9.327372051	7.260658589	-0.1248207038	2.938016907	-3.082674642	-2.193365276	-0.3494369335	-8.408764916	0.3329569384	-0.5307168798	3187.08907	-180.636769	-162.236091	79.866512	317.005961	484.72201	172.084714	236.830575	780.663678	False	nan	3187.08907
4	NO_ID	-8.805505539	3.923764763	0.2194280831	-4.156315806	1.557359539	-1.714835047	1.606799524	-4.195379498	-3.310342723	5.696279794	2592.073938	-163.182012	-155.151524	38.347301	262.880723	420.8024	120.215073	177.558003	1545.171377	False	nan	2592.073938
5	NO_ID	-8.709677419	-3.168126469	5.456404309	-2.417981506	-4.011658071	0.07843256935	8.897671438	-7.867366558	4.471877194	-2.051759392	3302.11199	-253.178655	-228.74691	77.804071	452.745274	319.078851	260.572503	17.849178	170.854396	False	nan	2592.073938
6	NO_ID	-8.142643513	-0.2298043764	7.414471877	5.327005829	-5.919675283	-4.741050447	-5.33066805	1.810052797	-8.35627308	-3.744926298	1737.384693	-106.437117	14.653462	18.390027	303.005943	281.021501	245.943677	-5.630135	3259.595617	False	nan	1737.384693
7	NO_ID	-7.248451186	-3.650929289	-6.55323954	-0.740684225	-1.810663167	-0.7596057009	-8.266548662	9.804071169	-8.528397473	1.247291482	1420.768221	-39.212165	116.862392	-6.450819	404.615676	352.55798	213.926179	38.889204	3269.363814	False	nan	1420.768221
8	NO_ID	-6.788842433	7.259437849	4.747764519	-9.432355724	-3.284707175	2.046876431	0.9335612049	-8.973357341	-3.701590014	-3.606982635	4261.032466	-179.41908	-159.781182	45.53563	295.411523	268.950216	130.923828	151.945337	1732.298539	False	nan	1420.768221
9	NO_ID	-6.23096408	-9.975585192	0.7901242103	-3.548997467	-4.058046205	-2.98013245	8.209173864	2.147587512	-4.501785333	6.891384625	1961.217425	-185.101016	-117.76574	-18.395154	782.801128	108.560686	514.277482	147.506654	1786.135327	False	nan	1420.768221
10	NO_ID	-5.994750816	-8.643147069	3.113193152	-6.800439467	6.516617328	6.917630543	1.405987732	-9.377422407	-4.340037233	0.2877895444	4486.536752	-260.809503	-33.458968	-3.604053	680.986636	92.474543	508.106134	243.178183	1791.42907	False	nan	1420.768221
11	NO_ID	-5.502182073	-0.8987701041	-6.06982635	-6.559953612	3.184606464	-1.65807062	2.069460128	6.16687521	9.393292032	-0.9128086184	1216.581747	-82.209082	-70.678732	79.011994	229.2551	262.980492	141.233583	83.431911	40.798738	False	nan	1216.581747
12	NO_ID	-4.58967864	-0.5856501968	2.261726737	5.382549516	2.310556352	-1.183202612	-1.056245613	5.083468123	-9.276100955	0.7522812586	1235.12266	-77.367016	-13.088473	-24.338939	34.252112	63.850136	108.505594	62.591423	3586.553137	False	nan	1216.581747
13	NO_ID	-4.337595752	-0.8450575274	-5.602893155	-3.65398114	2.972197638	9.182103946	-8.22992645	-8.093203528	3.132724998	-1.477401044	3496.240469	-174.724723	87.106845	39.629078	147.995921	189.248316	110.377072	60.101069	302.568641	False	nan	1216.581747
14	NO_ID	-3.664967803	-3.52763451	-9.054536576	1.68980987	0.5099642933	0.2542191839	-5.686513871	-3.450727866	-6.261482589	9.063081759	2572.234137	-151.295053	81.340678	-39.169103	298.856226	222.198321	151.892271	55.569423	2367.066152	False	nan	1216.581747
15	NO_ID	-3.52763451	-4.10504471	4.81490524	8.748741111	-1.895504624	-3.132724998	-0.8243049409	9.185155797	0.1840266121	-1.373027741	626.81489	-54.496445	29.947508	11.677175	158.716308	-26.712364	181.738217	34.620813	728.637109	False	nan	626.81489
16	NO_ID	-3.409222694	4.055604724	9.492172002	3.121127964	2.137821589	6.225470748	-1.999877926	-1.791131321	-1.956541643	5.9746086	1534.077779	-108.479415	-36.121403	1.653066	130.591039	56.511844	42.576738	71.430772	1182.331694	False	nan	626.81489
17	NO_ID	-3.339640492	0.4129154332	-2.250740074	5.262306589	-1.749626148	0.4330576495	-2.729880673	6.124149297	2.902005066	8.244575335	523.730745	-52.986999	21.956542	13.563829	-34.397176	76.619415	68.778592	-5.978972	266.659015	False	nan	523.730745
18	NO_ID	-3.189489425	-6.935941649	5.707876827	8.009582812	-2.920926542	1.931516465	1.218604083	1.739249855	-4.704428236	8.480178228	1413.530474	-140.440229	6.354869	-40.838466	364.776783	-60.557149	295.455895	82.806236	1845.421532	False	nan	523.730745
19	NO_ID	-2.699362163	5.749382	3.859065523	8.919644765	-3.700979644	-5.720084231	6.569109165	1.233252968	1.976073489	-2.436902982	1168.403883	-95.658589	-182.197027	35.847835	-56.16432	29.172147	80.170685	20.347985	495.104987	False	nan	523.730745
20	NO_ID	-2.452162236	3.55998413	4.10748619	-0.8700827052	-3.169957579	7.136143071	0.869472335	-8.90621662	0.003967406232	2.952665792	3312.625368	-179.773095	-85.594958	8.851772	-19.446961	23.867145	48.020826	-23.176031	775.286178	False	nan	523.730745
21	NO_ID	-2.390514847	-6.558122501	-1.30283517	-0.6509598071	-5.894039735	-8.201239051	6.527603992	7.813653981	-9.146702475	1.108127079	1623.329226	-96.612598	-66.782128	-53.941893	311.212162	-9.258853	359.349653	46.527587	3488.178789	False	nan	523.730745
22	NO_ID	-2.201910459	5.68407239	-4.681234169	-5.892818995	1.957762383	-6.125980407	-2.619403668	2.127445296	-7.025055696	2.503433332	1940.203696	-58.382061	-18.706931	-23.148717	46.862773	155.589029	45.336169	90.559479	2732.213717	False	nan	523.730745
23	NO_ID	-1.893063143	2.091433454	5.701162755	9.345072787	1.510361034	6.177861873	7.305215613	-7.333903012	-2.039551988	5.120090335	2874.762438	-190.035859	-174.518571	-13.110569	-71.639201	-23.950934	26.887311	26.486032	1191.898407	False	nan	523.730745
24	NO_ID	-1.597643971	3.650929289	7.258827479	5.243995483	-5.737174596	0.06439405499	8.723105564	0.6436353648	-7.058626057	-3.374431593	1588.859935	-113.512528	-192.189398	-20.461257	-10.802853	-6.933579	114.982209	-60.715467	2771.466153	False	nan	523.730745
25	NO_ID	-1.436506241	1.907101657	-8.42097232	9.071626942	-9.77599414	-3.585619678	7.285073397	1.187475204	5.438093204	8.315378277	1402.262206	-112.37846	-151.093173	13.865963	-1.469406	175.395753	313.580076	-125.718361	36.304878	False	nan	523.730745
26	NO_ID	-1.180150761	1.963866085	4.52436903	4.135563219	3.605761895	-0.2713095492	9.430524613	-8.897671438	8.782311472	-7.432172613	3099.430123	-208.271889	-205.626698	60.144841	-73.374742	-23.418932	59.705133	56.782659	74.692992	False	nan	523.730745
27	NO_ID	-0.5618457595	-5.543687246	3.453169347	-0.2291940062	-5.483870968	8.314767907	-4.577471236	-9.232764672	-1.808832057	-4.852748192	3769.004946	-204.328288	98.082522	-17.931272	217.120643	-75.82641	270.720288	22.811749	1156.950887	False	nan	523.730745
28	NO_ID	-0.425122837	-8.474684896	-5.131687368	-7.52128666	-8.942838832	8.113345744	7.509079257	0.8255256813	6.782128361	-0.06622516556	2194.905513	-164.171422	-62.457045	8.494705	529.634673	32.063205	548.536627	79.100123	-31.310629	False	nan	523.730745
29	NO_ID	-0.2603228858	6.406140324	-3.572801904	-7.770317698	9.436017945	7.329020051	5.07248146	7.719656972	-8.29401532	-4.720908231	1851.073979	-19.751122	-124.645222	-29.133396	21.656397	118.767134	275.481774	167.006474	3258.203391	False	nan	523.730745
30	NO_ID	0.2468947417	-0.7559434797	7.158726768	-4.675130467	5.205542161	-7.896053957	-7.246620075	3.868221076	-9.963988159	6.890163884	1716.670243	-51.238289	139.445479	-79.087313	80.869231	-35.049854	134.482379	96.398327	3818.950955	False	nan	523.730745
31	NO_ID	2.015747551	4.896694845	7.594531083	-8.979461043	-0.4287850581	7.26371044	4.651936399	-0.4037598804	-2.082277902	-9.959105197	2367.21007	-90.043184	-98.906522	-8.82577	72.600581	39.991201	-17.198379	-12.162782	1312.874595	False	nan	523.730745
32	NO_ID	2.278206732	-5.840327158	2.542497024	-0.7144383068	-8.538163396	-6.512955107	4.42915128	-7.502365184	-0.2175969726	-9.055146947	3449.870987	-205.897549	-20.795618	-24.883999	210.767384	-47.388284	405.247194	41.721299	831.856246	False	nan	523.730745
33	NO_ID	2.423474837	-5.675527207	1.345561083	1.706900235	-2.449720756	5.634632405	5.348368786	-8.121890927	-7.431562243	7.770928068	3511.728445	-212.825861	-37.527085	-95.43852	173.26985	-37.788065	185.149233	111.278938	2761.877275	False	nan	523.730745
34	NO_ID	2.983794671	-4.030579546	-6.515396588	-7.084261605	4.500564592	-7.321085238	-8.35749382	-2.629169591	2.981963561	-4.20392468	2560.972756	-111.807764	198.901639	-20.613849	215.110368	143.074192	179.647904	176.020643	298.460888	False	nan	523.730745
35	NO_ID	3.224890896	-7.725150304	-1.65807062	2.43079928	7.465742973	-2.052980132	7.277138585	-5.624256111	5.577257607	-8.812829981	2629.630874	-203.175909	-40.909757	-7.73748	333.099271	3.982851	425.624067	355.955934	76.100404	False	nan	523.730745
36	NO_ID	3.779717399	1.406598102	-6.45619068	4.097109897	-4.52375866	-9.584337901	-6.216315195	2.859889523	-3.127842036	4.777672658	1328.257554	-38.460189	137.941527	-64.619098	-45.657073	189.646569	63.334375	-49.390855	1449.603148	False	nan	523.730745
37	NO_ID	4.101382488	0.1211584826	8.826258126	-7.437055574	1.357158116	-3.72112186	-6.356700339	7.025055696	4.861903745	4.195379498	809.834769	-5.693075	162.158574	-28.649983	134.263393	67.937806	16.937189	45.60893	77.226924	False	nan	523.730745
38	NO_ID	4.302194281	0.2755821406	-9.121066927	4.499954222	-5.674916837	1.841181677	-8.8390759	9.072847682	3.296914579	-9.981688894	803.457633	21.759545	209.227271	-9.418439	60.47815	274.395792	99.352322	-59.205124	324.046882	False	nan	523.730745
39	NO_ID	4.458449049	-5.527817621	3.021637623	7.68242439	-5.475936155	6.283455916	-0.1193273721	5.268410291	2.158574175	7.55363628	654.609926	-67.031617	101.372417	-63.037629	153.510226	8.672092	241.504083	99.558269	310.049361	False	nan	523.730745
40	NO_ID	5.701162755	-3.230994598	3.563646352	7.238074892	1.885738701	-2.597430342	-6.954863124	7.8112125	3.619190039	-9.67772454	525.969157	-7.18482	216.714682	-26.619892	51.129618	88.127996	90.482354	153.06849	261.552567	False	nan	523.730745
41	NO_ID	5.936765648	2.936185797	-6.218756676	2.420422987	2.84951323	2.905056917	7.570726646	2.505874813	-9.379863887	-1.638538774	1641.83757	-66.731315	-87.812433	-97.243995	-13.086431	304.172587	-4.154011	39.123308	3635.992614	False	nan	523.730745
42	NO_ID	6.000854518	-4.46211127	-5.206152532	-8.695028535	-4.708090457	3.696707053	4.606158635	-8.140202033	5.100558489	-4.481032746	3884.212743	-190.387432	1.120334	-34.466201	265.826177	247.322296	178.014586	103.471007	87.473131	False	nan	523.730745
43	NO_ID	6.000854518	2.837305826	-1.363261818	-0.3524887844	-0.6167790765	-2.121951964	1.269264809	8.522293771	2.326425977	0.6973479415	459.782906	6.082797	32.777184	-44.09479	-65.689225	217.672324	-22.034792	-3.153057	380.413142	False	nan	459.782906
44	NO_ID	6.145512253	5.352031007	-2.69020661	-0.1980651265	5.930051576	-9.370708335	5.590685751	8.593096713	0.7248146001	-3.469649342	815.619513	6.908017	-59.21659	-39.896664	-30.455106	267.568674	90.242782	86.849031	673.103066	False	nan	459.782906
45	NO_ID	6.440321055	-5.243995483	-9.587389752	-0.02166814173	-3.373210852	-4.20392468	5.504013184	1.050752281	-8.554033021	6.013672292	2063.167466	-112.513962	14.888455	-128.808069	394.990961	368.446768	180.458783	170.953678	3195.551469	False	nan	459.782906
46	NO_ID	7.393719291	-4.952848903	7.158726768	-4.321726127	-4.647663808	-8.757896664	-3.008819849	-4.97604297	-1.524399548	-4.695883053	2841.893131	-135.947295	154.757836	-79.285684	353.014667	203.698734	204.051028	168.281853	1069.543171	False	nan	459.782906
47	NO_ID	7.496261483	-3.690603351	2.88308359	-2.686544389	1.987670522	2.804956206	9.616077151	-9.942014832	-9.881588183	3.736381115	4255.036245	-211.794336	-78.8699	-136.232002	185.113516	226.533111	97.465182	201.313756	3766.227279	False	nan	459.782906
48	NO_ID	7.561571093	3.782158879	5.074922941	-5.94286935	-9.64659566	-3.744926298	-9.38657796	-7.961973937	2.184820093	-5.273903623	3429.676668	-99.340953	189.006317	-43.456343	68.35008	288.885564	253.106369	-124.976002	442.721374	False	nan	459.782906
49	NO_ID	8.076113163	-4.723960082	1.071504868	5.861690115	1.867427595	2.008423109	9.248634297	-1.872920927	8.942228462	6.397595141	1351.739039	-140.917539	-42.419813	-54.140873	190.660105	260.893022	130.67129	256.084918	-86.701732	False	nan	459.782906
50	NO_ID	9.787591174	-1.908932768	9.205298013	-9.564806055	5.090182196	9.90417188	7.674489578	-7.903988769	-7.463911863	-0.6155583361	4239.248179	-169.553667	-33.126926	-130.207038	394.758878	453.11679	109.254406	225.082538	2833.083379	False	nan	459.782906
51	NO_ID	-9.96887112	-4.952848903	7.158726768	-9.764397107	-4.647663808	6.787621693	-3.008819849	2.55897702	-3.310342723	-6.325571459	2458.208892	-137.582476	-3.798029	53.9447	733.598368	438.140608	349.761887	25.459067	1579.55475	False	nan	459.782906
52	NO_ID	-9.96887112	0.9530930509	6.577043977	-4.321726127	0.5868709372	6.787621693	-3.008819849	2.55897702	-3.310342723	-6.325571459	1707.824769	-108.052767	-51.045564	65.756584	443.288038	473.493133	144.253079	122.001515	1614.990402	False	nan	459.782906
53	NO_ID	-9.657582324	9.500717185	-2.43079928	-7.878963591	-3.954893643	-0.04242072817	-4.116641743	-9.031952879	5.857417524	-5.207373272	3960.225339	-165.064394	-120.662557	123.963927	523.705288	589.186523	233.376858	333.972239	177.516579	False	nan	459.782906
