%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      -9.964598529   -5.926999725   8.383739738    -0.389721366   -6.822412793   -8.419751579   6.504409925    -1.01413007    -3.154087954   6.169927061    2255.217393    -203.133793    -164.833216    27.752495      771.522384     415.511779     476.509748     19.7535        1444.106445
2	NO_ID	-9.461043123	-7.991882076	8.331858272	2.2379223	6.685689871	0.457472457	-9.046601764	-5.435651723	-3.176061281	5.601062044	2776.645479	-204.584643	112.245552	20.62215	880.526683	344.583347	543.69236	231.105856	1440.076552	False	nan	2776.645479
3	NO_ID	-9.360332041	8.488113041	-0.321970275	-7.55363628	3.512375256	7.034211249	1.812494278	4.951628162	-7.409588916	-9.943845943	2088.87488	-60.873592	-182.417371	62.69863	440.731755	521.058565	190.95301	372.849193	2998.081763	False	nan	2088.87488
4	NO_ID	-8.998382519	6.608783227	2.130497147	-8.655354472	-2.04504532	0.586260567	-0.3689687796	8.706015198	-8.209784234	-5.197607349	1810.979938	-28.488571	-119.169591	42.55092	364.652037	450.008467	140.044374	213.172478	3256.116357	False	nan	1810.979938
5	NO_ID	-8.642536699	1.956541643	-6.867580187	8.331858272	-6.385998108	3.943296609	7.975402081	0.1882992035	-7.476729637	-7.119052705	2298.993126	-152.018952	-237.282937	37.907834	260.150291	498.030439	235.238077	15.168914	2961.850152	False	nan	1810.979938
6	NO_ID	-8.55220191	9.617297891	-7.45658742	4.346751305	-1.451765496	3.041169469	-9.51658681	8.740195929	-7.829523606	-2.576067385	1144.476862	16.089206	16.801965	41.656728	469.975554	575.025413	173.377465	330.318872	3108.278676	False	nan	1144.476862
7	NO_ID	-8.452101199	-5.993530076	9.428083132	-8.828089236	2.726828822	5.267799921	-6.673482467	-9.780266732	1.98095645	-7.58537553	4549.650674	-236.778008	57.315897	68.705283	770.847719	298.649765	322.11609	130.823019	477.239375	False	nan	1144.476862
8	NO_ID	-6.968901639	7.313150426	-8.22748497	-9.233985412	3.805352947	3.211462752	-6.32984405	-6.481826228	-1.46641438	5.110324412	3603.912358	-135.656758	-33.550523	40.824793	395.757572	482.222453	144.21861	257.017455	1104.369351	False	nan	1144.476862
9	NO_ID	-6.694235054	-2.997833186	5.166478469	1.185644093	6.77785577	-6.505630665	-0.4641865291	2.829981384	-1.275978881	-6.378063295	1367.245434	-119.903714	-29.408551	41.934446	295.750672	158.404719	320.223228	156.028668	1079.26756	False	nan	1144.476862
10	NO_ID	-6.053346355	6.605121006	-8.375804926	6.481215857	5.478377636	7.852717673	2.428357799	4.217963195	0.4519791253	2.478408155	1047.748646	-65.511185	-146.220588	46.940092	221.496458	389.757314	164.50673	227.868021	724.113338	False	nan	1047.748646
11	NO_ID	-5.853144932	-7.566454054	-7.923520615	-0.3665272988	-2.465590381	-7.972960601	4.224677267	9.816278573	8.862880337	7.139805292	1044.694542	-90.572375	-50.186773	49.727042	639.74551	265.362376	359.730899	102.172983	-68.883177	False	nan	1044.694542
12	NO_ID	-5.445417646	5.222632527	-9.791253395	0.1315347758	-1.832636494	3.298745689	-7.751396222	-3.812677389	-9.45371868	3.307290872	2854.26848	-111.728416	27.913144	-11.874569	256.879656	399.144541	70.156212	78.346468	3680.108561	False	nan	1044.694542
13	NO_ID	-5.411847285	-4.358958708	-9.107028413	-8.226874599	-6.373790704	-8.629718925	7.867366558	0.2731406598	-5.882442701	-0.846888638	3011.471185	-169.586016	-152.445753	-5.141575	484.887589	316.244842	330.188548	-17.622586	2308.676594	False	nan	1044.694542
14	NO_ID	-5.147556993	3.65398114	6.903592029	4.20331431	-6.857814264	7.861873226	-3.067415387	6.505630665	8.007751701	1.113010041	451.7688	-39.5674	-15.550096	74.301157	100.869444	114.128414	189.895562	-34.28447	29.576209	False	nan	451.7688
15	NO_ID	-5.062105167	-8.416699728	-6.699118015	-9.792474136	-7.753227332	1.041596728	0.3402813807	4.13861507	1.440778832	-7.892391736	2358.92919	-131.105228	19.204993	34.65212	709.287802	201.643492	542.954165	47.840957	536.213447	False	nan	451.7688
16	NO_ID	-4.926602985	-7.967467269	3.587450789	1.85033723	-2.391735588	0.7174901578	4.174626911	-6.356700339	1.138035218	-5.311746574	2916.795548	-234.277932	-69.20835	27.791559	517.862086	19.737066	356.432785	110.26534	569.195959	False	nan	451.7688
17	NO_ID	-4.62202826	4.795373394	3.564867092	9.232764672	7.189245277	-4.226508377	-9.341410566	-9.908444472	-8.492996002	2.168950468	3961.19064	-160.663015	54.403821	-12.235908	-14.765561	92.643056	210.205288	186.196015	3291.682677	False	nan	451.7688
18	NO_ID	-4.228339488	9.989623707	-2.428357799	-7.689748833	1.057466353	9.670400098	8.050477615	3.917661061	2.306283761	2.125614185	1506.01802	-60.857723	-251.223182	49.086154	257.418082	215.727977	110.201633	235.160198	446.764317	False	nan	451.7688
19	NO_ID	-4.061098056	-1.487166967	-3.608813746	8.289132359	-1.006805628	8.698690756	1.108737449	8.351390118	-3.951231422	6.151615955	958.104406	-56.843928	-30.859401	-14.544939	38.772545	106.316288	97.295328	5.940153	1674.182171	False	nan	451.7688
20	NO_ID	-3.603930784	-7.377239296	-7.210608234	7.379070406	3.453169347	-9.619739372	-9.882198553	1.443830683	9.552598651	7.866145817	1443.080083	-113.660848	193.863643	34.107669	457.292752	125.6857	341.601628	193.643541	-59.587913	False	nan	451.7688
21	NO_ID	-3.141880551	8.362376782	-2.208624531	4.936368908	5.435651723	3.439741203	5.012665181	1.263771477	-3.576464125	8.727378155	1235.86619	-79.419691	-181.005585	-5.477279	49.538608	133.76486	155.330601	216.037651	1606.682515	False	nan	451.7688
22	NO_ID	-1.898556475	-2.385021516	-2.492446669	4.082461013	-9.055146947	4.571367534	9.125949889	4.935758538	1.770378735	-9.58006531	1167.232531	-107.475356	-145.175024	26.430433	25.437408	22.89914	341.943401	-98.338277	524.144171	False	nan	451.7688
23	NO_ID	-0.09796441542	7.816095462	-7.321085238	3.516647847	-8.999603259	9.718619343	-3.433637501	-2.519302957	8.988006226	5.84582049	1852.102746	-78.684194	-10.175176	37.664296	68.563509	192.994765	265.17364	-66.518137	17.983598	False	nan	451.7688
24	NO_ID	0.2755821406	1.502426222	-7.860042116	8.74507889	8.951994385	1.541489914	4.322336497	3.776055177	3.700979644	-5.94103824	1064.68165	-75.368053	-75.191198	19.18717	-39.763268	147.009747	251.182186	123.529453	271.553991	False	nan	451.7688
25	NO_ID	0.4611346782	6.898709067	2.504654073	4.748374889	-0.6210516678	-4.231391339	2.65846736	-6.902371288	0.5923642689	-4.74898526	2675.233728	-138.75866	-109.577013	10.568133	-72.787991	18.973592	20.610781	37.381546	731.728553	False	nan	451.7688
26	NO_ID	0.5362102115	-8.117007965	-4.898525956	-5.245826594	-5.377666555	8.295236061	8.178655354	-6.371959593	8.569902646	0.09979552599	3252.777579	-225.323801	-81.482894	10.126225	465.491405	25.771064	369.9605	130.117499	-47.111779	False	nan	451.7688
27	NO_ID	0.7217627491	-5.422833949	-0.1309244057	-5.889767144	-1.039765618	-2.071901608	1.749015778	-5.724356822	-3.757133702	7.155064547	3105.0667	-185.993377	9.418317	-61.715567	209.940851	-31.410196	179.381207	106.061051	1573.974571	False	nan	451.7688
28	NO_ID	0.8804589984	6.281014435	6.850489822	-9.005706961	2.515030366	1.554307688	-2.743919187	0.8224738304	0.7168797876	-8.566240425	1899.357462	-54.43907	6.848048	14.235237	83.718709	32.858903	23.171811	60.025143	731.534473	False	nan	451.7688
29	NO_ID	1.1752678	6.283455916	6.372569964	7.276528214	8.812219611	-1.826532792	-1.943113498	-5.115207373	3.823053682	2.170781579	1967.722291	-109.089175	-15.712455	5.938475	-44.551521	2.759671	238.509003	148.505364	228.342028	False	nan	451.7688
30	NO_ID	1.830805383	-9.895016327	9.532456435	-2.057252724	4.307077242	5.417340617	6.510513627	4.869228187	-9.859614856	7.491378521	1585.715608	-122.860347	-3.472091	-110.717307	741.347885	-85.808135	425.407841	377.448114	3710.28795	False	nan	451.7688
31	NO_ID	2.483291116	7.765434736	1.53050325	-4.468825343	5.248878445	-1.888180181	-8.060243538	7.803888058	-5.628528703	3.587450789	955.199142	38.176061	115.34135	-51.653005	7.504842	81.871204	98.114391	109.452018	2242.872115	False	nan	451.7688
32	NO_ID	2.81716361	-6.548356578	-6.8120365	8.03399762	4.413892026	-6.702780236	0.2597125156	5.475936155	0.6875820185	4.958342235	975.349038	-77.968841	87.095248	-54.112796	283.257422	95.375485	271.116658	259.478063	559.207455	False	nan	451.7688
33	NO_ID	3.317667165	0.08697775201	3.387859737	3.587450789	9.901120029	8.569902646	-5.315408795	-4.877162999	-7.979064302	-6.992706076	2802.700369	-119.242683	113.088473	-64.277291	-83.005434	15.378774	297.112237	147.794875	3103.483759	False	nan	451.7688
34	NO_ID	4.360179449	7.751396222	-2.370372631	0.3305154576	7.74468215	-8.632160405	-4.33332316	8.97091586	5.332499161	-7.192297128	673.285522	44.935911	73.19895	9.668447	-4.06187	186.469101	193.342559	134.631035	169.160648	False	nan	451.7688
35	NO_ID	4.415723136	-7.792291025	-2.383190405	-1.380352184	3.169347209	-0.9012115848	-4.192327647	2.493667409	-8.908658101	-7.946104312	1901.10617	-91.278573	182.752464	-91.561449	384.422995	68.193312	285.575272	325.36581	3426.45444	False	nan	451.7688
36	NO_ID	4.607989746	6.158330027	-1.796624653	-8.499710074	-5.256813257	-8.693807794	5.662099063	-8.297067171	-7.468794824	4.353465377	4346.004645	-147.436293	-116.036561	-82.598163	6.258717	193.221264	76.665708	-65.839634	2864.055113	False	nan	451.7688
37	NO_ID	4.710531938	-3.712576678	5.643177587	8.275704215	9.406720176	5.558946501	8.571733757	4.803308206	-8.737144078	3.520310068	1227.375781	-87.206183	-59.306925	-107.835749	88.03667	24.820856	354.278185	248.567734	3300.534676	False	nan	451.7688
38	NO_ID	4.957731864	8.939786981	7.817316202	0.4214606159	-0.228583636	5.617542039	0.2499465926	-1.732535783	-6.815088351	7.369304483	1824.76125	-56.812799	-29.655141	-82.596332	166.639452	156.873539	17.969898	23.440545	2621.022509	False	nan	451.7688
39	NO_ID	4.988860744	-3.791924802	-1.422467727	6.499526963	-1.704458754	4.262520219	8.182317576	3.295693838	-9.662465285	3.070467238	1484.136121	-98.889889	-52.284005	-113.947996	49.870976	96.202232	100.414683	101.691344	3684.340758	False	nan	451.7688
40	NO_ID	6.051515244	-4.222235786	-0.5728324229	1.777092807	9.472640156	8.237861263	-1.863155004	4.611651967	2.402111881	-9.810785241	1031.152864	-54.810785	135.189978	-37.224464	126.103711	148.974238	368.063492	289.534222	401.223753	False	nan	451.7688
41	NO_ID	7.417523728	7.188634907	-1.720938749	7.143467513	4.094058046	2.761009552	7.760551775	-8.920255135	-7.784356212	7.387615589	3598.547608	-142.950682	-133.103732	-110.659932	-5.853673	337.933331	38.027349	56.775586	2958.916741	False	nan	451.7688
42	NO_ID	7.489547411	-3.147373882	-6.100344859	3.668630024	-7.321695608	-2.437513352	-3.42875454	0.3524887844	-8.77681814	8.049867244	1912.095593	-77.320017	159.06827	-138.194952	170.31422	354.368697	235.559381	56.162823	3279.837567	False	nan	451.7688
43	NO_ID	7.600024415	5.853144932	4.938810389	-1.673940245	-0.3024384289	0.5807672353	4.136173589	1.254615925	-2.639545885	4.224677267	1209.199326	-46.451155	-38.630634	-82.740989	67.143842	300.101019	-23.358078	-6.329171	1341.145295	False	nan	451.7688
44	NO_ID	7.602465896	-1.544541765	-2.280648213	2.965483566	-7.401043733	-5.865962706	8.561357463	7.156895657	-1.180761132	-7.74529252	995.190299	-43.584857	-42.848292	-66.322031	46.418639	299.269272	201.755211	8.661043	1033.578899	False	nan	451.7688
45	NO_ID	7.613452559	-2.025513474	9.085055086	-6.61854915	4.978484451	-5.39536729	8.836634419	-2.262337107	3.464156011	-2.659077731	2098.124368	-131.544694	-62.408826	-54.319712	286.961987	256.373855	122.439624	196.310628	230.506674	False	nan	451.7688
46	NO_ID	8.319650868	0.8456678976	-8.598590045	-4.056825465	1.841181677	-8.884243294	-4.226508377	-5.811029389	2.278817103	-3.49345378	3049.201225	-107.112796	136.659749	-58.484878	194.647828	534.080778	9.004804	92.471019	397.352436	False	nan	451.7688
47	NO_ID	8.740806299	6.829126865	0.7132175665	-0.78890347	-0.5331583605	-7.155064547	-3.91399884	8.80733665	-4.393139439	-6.568498795	974.39023	55.116886	116.927702	-77.096896	81.503942	426.169364	-5.709847	3.349325	1903.810696	False	nan	451.7688
48	NO_ID	8.834192938	6.839503159	-1.460310678	-4.034241768	7.074495682	-9.311502426	-2.273934141	6.865749077	7.00430311	-1.01290933	874.626665	33.147832	86.014283	-31.947203	111.590424	468.655569	145.930465	112.396007	33.521753	False	nan	451.7688
49	NO_ID	9.0990936	-3.657032991	-8.51985229	-4.239936522	2.933744316	4.099551378	-5.627307962	6.761375774	-3.594775231	7.735526597	1210.528224	-9.154485	229.434187	-125.551744	383.311065	564.017241	109.585328	250.321789	1509.877587	False	nan	451.7688
50	NO_ID	9.3877987	3.508713034	-8.704184088	-3.856013672	-9.016083254	6.269417402	7.123325297	-3.934751427	9.833979308	-8.579058199	2694.000932	-106.687979	-63.15775	-13.756951	223.291602	652.648583	209.045573	-105.689572	93.304051	False	nan	451.7688
51	NO_ID	-9.964598529	-5.926999725	0.679647206	-0.389721366	-6.822412793	-8.419751579	6.504409925	-1.01413007	-3.154087954	6.169927061	2339.474072	-203.133793	-164.833216	27.752495	631.87204	438.135718	476.509748	19.7535	1444.106445	False	nan	451.7688
52	NO_ID	-9.964598529	-5.926999725	6.903592029	-0.389721366	-6.857814264	7.861873226	6.504409925	-1.01413007	-3.154087954	6.169927061	2179.596716	-203.133793	-164.833216	27.752495	726.267366	410.646043	461.681023	2.976255	1444.106445	False	nan	451.7688
53	NO_ID	-9.964598529	-5.926999725	8.383739738	-0.389721366	-6.822412793	7.861873226	6.504409925	6.505630665	-3.154087954	1.113010041	1336.912432	-135.455947	-149.793695	37.866329	771.522384	415.511779	460.228123	3.471875	1479.504864	False	nan	451.7688
54	NO_ID	-9.360332041	-2.997833186	-0.321970275	-7.55363628	3.512375256	-6.505630665	1.812494278	4.951628162	-1.275978881	-9.943845943	2005.05463	-118.303323	-90.529801	70.394787	464.150228	429.170995	262.145873	137.129945	1112.226329	False	nan	451.7688
55	NO_ID	-9.360332041	-2.997833186	5.166478469	1.185644093	6.77785577	7.034211249	-0.4641865291	4.951628162	-1.275978881	-6.378063295	1204.35595	-111.473281	-51.826228	63.263222	456.152935	372.419884	349.413678	169.306831	1087.265851	False	nan	451.7688
56	NO_ID	-8.998382519	8.939786981	7.817316202	-8.655354472	-2.04504532	0.586260567	0.2499465926	8.706015198	-8.209784234	7.369304483	1586.236761	-18.690298	-148.339183	22.079104	566.825878	456.986083	175.235865	308.962525	3182.133997	False	nan	451.7688
57	NO_ID	-8.642536699	1.956541643	-6.867580187	8.331858272	-6.385998108	3.943296609	-9.615466781	0.1882992035	-7.476729637	-7.119052705	2211.038782	-99.246345	61.761834	37.907834	260.150291	498.030439	235.238077	15.168914	2961.850152	False	nan	451.7688
58	NO_ID	-8.55220191	9.617297891	-7.45658742	4.346751305	-1.451765496	-8.693807794	-9.51658681	8.740195929	-7.829523606	4.353465377	1239.387015	16.089206	16.801965	27.797662	469.975554	575.025413	185.112442	342.053849	3059.771947	False	nan	451.7688
59	NO_ID	-8.452101199	-2.025513474	9.428083132	-8.828089236	4.978484451	-5.39536729	8.836634419	-9.780266732	3.464156011	-2.659077731	4384.957206	-263.468276	-238.100223	74.204718	548.336529	330.393898	257.700732	144.701992	278.703335	False	nan	451.7688
60	NO_ID	-6.968901639	7.313150426	7.120273446	-9.233985412	3.805352947	3.211462752	-6.32984405	-6.481826228	-1.46641438	5.110324412	3279.963974	-135.656758	-33.550523	40.824793	361.771142	281.056137	144.21861	257.017455	1104.369351	False	nan	451.7688
61	NO_ID	-6.053346355	6.605121006	7.817316202	6.481215857	-0.228583636	5.617542039	2.428357799	-1.732535783	-6.815088351	7.369304483	1843.554544	-119.065676	-158.121586	0.822962	203.409107	186.396185	76.860792	150.205738	2640.047748	False	nan	451.7688
62	NO_ID	-5.411847285	6.281014435	6.850489822	-8.226874599	2.515030366	-8.629718925	7.867366558	0.8224738304	-5.882442701	-8.566240425	2461.658322	-111.442152	-236.466872	31.577074	239.313207	173.865653	97.95073	177.766186	2426.551896	False	nan	451.7688
63	NO_ID	-5.147556993	3.65398114	6.903592029	4.20331431	-1.832636494	3.298745689	-3.067415387	6.505630665	8.007751701	1.113010041	294.344529	-39.5674	-15.550096	74.301157	100.869444	114.128414	63.445509	40.631146	29.576209	False	nan	294.344529
64	NO_ID	-5.147556993	5.222632527	6.903592029	4.20331431	-6.857814264	3.298745689	-3.067415387	-3.812677389	8.007751701	1.113010041	1743.430213	-124.588916	-48.735923	77.438459	118.91906	126.677625	197.208892	1.727516	38.988117	False	nan	294.344529
65	NO_ID	-5.062105167	-7.792291025	-2.383190405	-9.792474136	-7.753227332	1.041596728	-4.192327647	4.13861507	-8.908658101	-7.946104312	2757.633481	-114.385357	91.264077	-15.738823	575.420682	115.649045	512.721556	28.925263	3454.887925	False	nan	294.344529
66	NO_ID	-4.926602985	-4.358958708	-9.107028413	1.85033723	-6.373790704	-8.629718925	4.174626911	-6.356700339	-5.882442701	-5.311746574	3712.295078	-216.235389	-98.076418	-0.093814	393.474152	271.007048	323.798256	-18.40894	2338.474867	False	nan	294.344529
67	NO_ID	-4.926602985	-4.358958708	3.587450789	-8.226874599	-2.391735588	0.7174901578	7.867366558	0.2731406598	-5.882442701	-0.846888638	2429.487694	-167.645039	-147.59331	-9.02353	323.878308	68.759558	209.736621	27.992622	2307.220861	False	nan	294.344529
68	NO_ID	-4.62202826	-2.025513474	9.085055086	-6.61854915	7.189245277	-5.39536729	-9.341410566	-2.262337107	3.464156011	2.168950468	2110.389124	-125.952483	124.263131	33.908078	323.983213	73.366282	282.722534	141.093503	233.416919	False	nan	294.344529
69	NO_ID	-4.62202826	-2.025513474	9.085055086	-6.61854915	7.189245277	-4.226508377	8.836634419	-9.908444472	3.464156011	-2.659077731	4072.983679	-249.301584	-200.055849	43.564135	323.983213	73.366282	281.553675	139.924644	267.213116	False	nan	294.344529
70	NO_ID	-4.228339488	9.989623707	-3.184606464	-7.689748833	1.057466353	9.670400098	8.050477615	3.917661061	2.306283761	2.125614185	1525.38779	-60.857723	-251.223182	49.086154	265.907675	229.047757	110.201633	235.160198	446.764317	False	nan	294.344529
71	NO_ID	0.5362102115	6.839503159	-4.898525956	-5.245826594	-5.377666555	-9.311502426	8.178655354	6.865749077	7.00430311	-1.01290933	1146.200738	-31.401868	-174.659566	34.436659	30.107079	145.423153	110.049031	-26.181549	58.415701	False	nan	294.344529
72	NO_ID	0.8804589984	6.281014435	-9.107028413	-8.226874599	-6.373790704	-8.629718925	-2.743919187	0.8224738304	0.7168797876	-0.846888638	2261.425156	-54.43907	6.848048	-1.203467	150.284394	258.800212	136.255328	-54.234325	677.49901	False	nan	294.344529
73	NO_ID	2.483291116	7.765434736	1.53050325	-4.468825343	5.248878445	-1.888180181	-8.060243538	-3.860896634	-5.628528703	3.587450789	2429.616962	-66.807001	92.01178	-51.653005	7.504842	81.871204	98.114391	109.452018	2242.872115	False	nan	294.344529
74	NO_ID	4.415723136	-8.416699728	-2.383190405	-9.792474136	3.169347209	-0.9012115848	-4.192327647	2.493667409	1.440778832	-7.892391736	2060.737246	-94.400616	187.747734	-41.170507	498.777798	80.022286	315.807881	356.117581	507.779962	False	nan	294.344529
75	NO_ID	4.415723136	-7.792291025	-2.383190405	-1.380352184	3.169347209	-0.9012115848	-4.192327647	-8.297067171	-7.468794824	4.353465377	3680.100915	-188.395184	161.170995	-108.961272	384.422995	68.193312	285.575272	325.36581	2780.928187	False	nan	294.344529
76	NO_ID	4.415723136	-3.791924802	-2.383190405	-1.380352184	-1.704458754	-0.9012115848	-4.192327647	2.493667409	-8.908658101	3.070467238	1622.582162	-71.276742	150.749535	-105.59386	103.049783	100.196241	107.468455	97.118366	3373.340636	False	nan	294.344529
77	NO_ID	4.415723136	-3.791924802	-1.422467727	6.499526963	-1.704458754	-0.9012115848	-4.192327647	2.493667409	-8.908658101	3.070467238	1445.870275	-71.276742	150.749535	-105.59386	40.578265	69.251629	107.468455	97.118366	3373.340636	False	nan	294.344529
78	NO_ID	4.607989746	-7.792291025	-2.383190405	-8.499710074	-5.256813257	-8.693807794	5.662099063	-8.297067171	-8.908658101	-7.946104312	4863.047091	-217.189398	-4.431593	-93.099582	437.156177	91.106821	345.465187	219.923513	3425.87764	False	nan	294.344529
79	NO_ID	4.607989746	6.158330027	-7.45658742	-8.499710074	-1.451765496	3.041169469	-9.51658681	8.740195929	-7.468794824	-2.576067385	1721.525796	51.435133	176.075625	-68.739097	111.004388	313.513653	-11.648657	-24.303943	2912.561842	False	nan	294.344529
80	NO_ID	4.710531938	-3.712576678	-0.5728324229	8.275704215	9.406720176	5.558946501	8.571733757	4.803308206	2.402111881	-9.810785241	1003.967594	-87.206183	-59.306925	-25.477279	25.002037	67.89566	354.278185	248.567734	408.304658	False	nan	294.344529
81	NO_ID	4.957731864	-7.377239296	-7.210608234	7.379070406	3.453169347	5.617542039	0.2499465926	1.443830683	-6.815088351	7.866145817	1704.486602	-109.810633	107.233802	-116.224067	389.325164	183.639641	263.666439	316.319916	2519.642462	False	nan	294.344529
82	NO_ID	4.957731864	6.608783227	2.130497147	-8.655354472	-2.04504532	5.617542039	-0.3689687796	8.706015198	-8.209784234	7.369304483	1545.091277	27.335887	20.391552	-94.231819	28.003316	168.049553	-4.831713	-32.716456	3126.279631	False	nan	294.344529
83	NO_ID	4.957731864	8.939786981	-8.375804926	0.4214606159	5.478377636	7.852717673	2.428357799	-1.732535783	-6.815088351	7.369304483	2215.554098	-63.348033	-66.688131	-82.596332	184.726803	360.234668	105.615835	101.102828	2621.022509	False	nan	294.344529
84	NO_ID	4.957731864	8.939786981	7.817316202	7.379070406	-0.228583636	-9.619739372	0.2499465926	-1.732535783	9.552598651	7.369304483	1381.369346	-56.812799	-29.655141	-0.757897	117.936183	142.958319	33.207179	38.677827	16.107146	False	nan	294.344529
85	NO_ID	6.051515244	-4.222235786	-0.5728324229	1.777092807	9.472640156	9.670400098	-1.863155004	4.611651967	2.306283761	-9.810785241	1079.662	-54.810785	135.189978	-37.703604	126.103711	148.974238	366.630954	288.101684	414.208392	False	nan	294.344529
86	NO_ID	6.051515244	-3.712576678	-0.5728324229	8.275704215	9.406720176	8.237861263	-1.863155004	4.803308206	-8.737144078	-9.810785241	1592.38322	-50.537584	131.496017	-91.901425	52.205414	140.054288	348.087267	270.277551	3389.829393	False	nan	294.344529
87	NO_ID	6.051515244	9.989623707	-0.5728324229	-7.689748833	9.472640156	8.237861263	8.050477615	4.611651967	2.306283761	-9.810785241	1626.800977	-13.492386	-147.036653	-9.279885	179.148201	281.602797	304.604354	167.763391	499.479549	False	nan	294.344529
88	NO_ID	7.489547411	6.829126865	-6.100344859	-0.78890347	-0.5331583605	-7.155064547	-3.42875454	0.3524887844	-4.393139439	8.049867244	1715.387592	-27.437513	79.256264	-96.323557	109.004982	443.09577	-5.853963	0.130962	1805.23591	False	nan	294.344529
89	NO_ID	7.489547411	6.829126865	-6.100344859	3.668630024	-0.5331583605	-7.155064547	-3.42875454	8.80733665	-8.77681814	8.049867244	1119.312978	48.656117	96.16596	-118.241951	77.802247	434.180703	-5.853963	0.130962	3339.696571	False	nan	294.344529
90	NO_ID	7.613452559	-2.025513474	9.085055086	-6.61854915	2.726828822	-5.39536729	-6.673482467	-9.780266732	3.464156011	-7.58537553	3927.678702	-152.67571	186.227302	-44.467116	286.961987	256.373855	70.390488	164.78745	264.990759	False	nan	294.344529
91	NO_ID	8.319650868	-7.967467269	-8.598590045	-4.056825465	1.841181677	-8.884243294	4.174626911	-6.356700339	1.138035218	-5.311746574	3431.47264	-181.292917	63.254189	-78.178472	657.224594	463.575697	275.545727	435.151277	529.457198	False	nan	294.344529
92	NO_ID	8.319650868	0.8456678976	3.587450789	1.85033723	1.841181677	-8.884243294	-4.226508377	-5.811029389	1.138035218	-3.49345378	2493.827122	-107.112796	136.659749	-64.188787	31.165794	314.968015	9.004804	92.471019	569.607959	False	nan	294.344529
93	NO_ID	8.834192938	-8.117007965	-4.898525956	-4.034241768	-5.377666555	8.295236061	8.178655354	6.865749077	8.569902646	-1.01290933	1077.311968	-72.992492	27.97235	-54.032228	590.700849	412.125112	342.45436	342.582526	-64.216793	False	nan	294.344529
94	NO_ID	-8.452101199	9.989623707	9.428083132	-7.689748833	4.978484451	-5.39536729	8.050477615	-9.780266732	3.464156011	-2.659077731	4062.175642	-201.03412	-320.856655	98.234993	634.764362	424.238315	256.838291	443.066959	350.794158	False	nan	294.344529
95	NO_ID	-6.053346355	6.281014435	-9.107028413	-8.226874599	-6.373790704	7.852717673	2.428357799	4.217963195	0.4519791253	2.478408155	1850.878569	-67.131718	-143.627735	46.291879	341.093441	438.139183	193.177232	52.253695	722.168698	False	nan	294.344529
96	NO_ID	-6.053346355	6.605121006	-9.107028413	-8.226874599	5.478377636	-8.629718925	-2.743919187	0.8224738304	0.4519791253	-0.846888638	2276.094907	-80.553758	-65.082858	53.590686	350.020808	440.732035	180.989166	244.350457	747.390415	False	nan	294.344529
97	NO_ID	-6.053346355	6.605121006	-4.898525956	-5.245826594	5.478377636	8.295236061	2.428357799	4.217963195	0.4519791253	2.478408155	1355.697823	-65.511185	-146.220588	46.940092	211.268652	325.3255	164.064211	227.425502	724.113338	False	nan	294.344529
98	NO_ID	-5.853144932	-7.566454054	-3.608813746	-0.3665272988	-1.006805628	-7.972960601	4.224677267	8.351390118	-3.951231422	7.139805292	1320.808775	-103.756371	-53.11655	-14.343516	540.228226	163.827252	344.534464	122.595969	1636.165263	False	nan	294.344529
99	NO_ID	-5.853144932	-3.712576678	-0.5728324229	8.275704215	-2.465590381	5.558946501	8.571733757	4.803308206	8.862880337	-9.810785241	1079.104615	-129.460891	-164.943693	91.335978	187.976743	128.246632	197.600952	15.98866	72.894221	False	nan	294.344529
