%eval_id	interface	cdv_1	cdv_2	cdv_3	cdv_4	cdv_5	cdv_6	cdv_7	cdv_8	cdv_9	cdv_10	obj_fn	nln_ineq_con_1	nln_ineq_con_2	nln_ineq_con_3	nln_ineq_con_4	nln_ineq_con_5	nln_ineq_con_6	nln_ineq_con_7	nln_ineq_con_8	has_constraints	feasible_running_minima	best_so_far
1        NO_ID      -9.960936308   7.194128239    -9.810174871   8.984344005    5.768913846    -3.625904111   -9.696646016   -4.58784753    -2.998443556   -1.33579516    2714.85867     -121.073794    -1.495102      69.755119      509.143493     745.647228     255.169532     380.889393     1533.987272
2	NO_ID	-9.654530473	9.650868252	-0.8584856716	-6.16748558	-5.873897519	8.569292276	3.987243263	-2.65785699	0.8999908444	2.004760887	2445.284592	-131.246223	-246.8511	85.028413	509.06683	562.630536	284.644571	305.826874	677.757035	False	nan	2445.284592
3	NO_ID	-9.267555773	0.7547227393	2.098147526	-3.04422132	6.370738853	-5.800653096	-1.617175817	5.156102176	9.865718558	1.65807062	926.814269	-87.040162	-60.909146	109.662343	311.152515	416.788627	267.707484	197.968888	62.495378	False	nan	926.814269
4	NO_ID	-9.006317331	-0.882290109	0.2938932463	-9.653309732	-1.230201117	9.77416303	1.880245369	-1.600695822	-4.250312815	-3.284096805	3032.745836	-165.483718	-118.170415	43.602588	371.451684	410.376712	157.046949	54.839596	1845.555858	False	nan	926.814269
5	NO_ID	-8.983123264	3.185216834	-9.298684652	6.235236671	4.94247261	4.218573565	-3.754692221	-7.535325175	-8.692587054	9.058809168	3674.262081	-181.560259	-66.55385	4.654866	371.308627	610.543531	184.606514	205.708415	3326.358557	False	nan	926.814269
6	NO_ID	-8.417310099	2.158574175	-4.404736473	-5.371562853	4.991912595	5.020599994	1.064180425	6.099124119	-3.162022767	1.062349315	1414.902555	-76.176794	-107.334513	41.720817	284.797386	450.525807	181.282708	172.106354	1525.855957	False	nan	926.814269
7	NO_ID	-7.752006592	-0.3933835871	-9.555040132	-8.087099826	-2.615741447	5.868404187	-7.84234138	8.756675924	-9.519028291	6.988433485	2127.548569	-35.637837	76.460158	-12.342723	450.572389	515.454435	147.3244	22.962367	3654.972911	False	nan	926.814269
8	NO_ID	-7.393719291	2.647480697	7.220374157	9.172338023	7.039094211	0.07110812708	-2.33497116	-4.963225196	1.78807947	6.957304605	2150.623945	-159.001587	-65.348979	47.470504	185.284206	237.659907	240.717348	193.131216	452.42039	False	nan	926.814269
9	NO_ID	-7.149571215	7.366863002	-1.202734458	-9.036225471	-9.105197302	4.376049074	6.407361064	-3.989684744	0.7681508835	-6.173589282	3111.705171	-151.893216	-247.335124	76.118229	273.568649	344.468581	351.764092	82.213818	736.460716	False	nan	926.814269
10	NO_ID	-6.300546281	-8.96969512	-1.843012787	-5.120090335	-5.97521897	7.780083621	5.55406354	7.291787469	-9.631336406	5.862300485	2071.903849	-126.086764	-71.083407	-39.416303	702.425635	158.479887	508.008437	75.904198	3654.415646	False	nan	926.814269
11	NO_ID	-5.55711539	1.404156621	-1.262550737	9.500717185	6.68324839	3.43119602	8.175603504	-0.644245735	8.431348613	6.787011322	1353.60578	-150.532701	-207.078158	63.847957	-1.800108	159.384119	205.940726	137.331992	-20.180054	False	nan	926.814269
12	NO_ID	-5.507065035	-1.886349071	0.1571703238	4.205145421	4.838709677	4.675740837	9.746086001	1.409039583	-6.049684133	-0.7284768212	1593.916444	-153.016907	-202.845241	-0.507645	115.187092	122.276402	196.082207	102.824884	2379.025929	False	nan	926.814269
13	NO_ID	-5.389873959	-1.830195013	-2.897732475	7.011017182	0.5581835383	9.930417798	2.27088229	2.386852626	5.10544145	-5.699331645	1279.846683	-121.041444	-73.088473	64.384472	104.870434	155.759755	118.630999	36.54664	145.625404	False	nan	926.814269
14	NO_ID	-5.07248146	-1.584826197	-7.106845302	9.707022309	3.315836055	5.960570086	-9.233985412	-1.33640553	-3.585619678	3.669240394	2007.605826	-117.53975	116.258736	0.14362	147.207851	228.34708	144.849189	75.815158	1590.742804	False	nan	926.814269
15	NO_ID	-4.858241523	1.080660421	2.88186285	2.055421613	-9.479354228	-1.989501633	-5.663319803	6.623432112	3.028351695	-7.159947508	777.679309	-42.428816	52.295602	58.488907	38.064204	92.269773	341.276246	-94.928358	367.785762	False	nan	777.679309
16	NO_ID	-4.55793939	6.318247017	1.100802637	8.572954497	-1.462752159	-2.021851253	2.228156377	0.028992584	-9.840693381	-6.387218848	2028.260789	-98.064058	-133.946043	0.67098	-4.524388	121.276259	68.040242	97.209021	3915.777916	False	nan	777.679309
17	NO_ID	-4.498123112	-4.644611957	-5.521713919	2.533341472	7.676931059	-2.403942991	1.971800897	5.888546403	-5.320902127	1.673329875	1245.874851	-99.134037	-29.567858	-15.255409	283.682439	151.691871	376.769927	176.631753	2103.27059	False	nan	777.679309
18	NO_ID	-4.348582415	4.423047578	3.30118717	-5.71520127	-1.100802637	1.096530045	-9.837031159	-5.350810266	0.1467940306	-5.251930296	2741.86134	-118.925291	77.657704	42.872585	70.815836	108.649219	49.140452	52.612695	816.421673	False	nan	777.679309
19	NO_ID	-4.119693594	0.8236945708	0.7461775567	8.275093844	-0.8578753014	-9.841914121	4.329660939	-4.072084719	1.479232154	5.728629414	2240.914992	-166.998047	-129.534898	18.54384	-45.514925	62.501396	75.671083	24.357663	487.445802	False	nan	777.679309
20	NO_ID	-3.939634388	-4.208197272	-9.862666707	-5.248878445	3.144322031	5.706656087	1.467635121	-6.16626484	-2.185430464	-7.45536668	3652.33383	-201.698813	-43.013092	15.084262	424.95674	266.059969	199.980067	97.760481	1283.673211	False	nan	777.679309
21	NO_ID	-2.441175573	-8.372142705	5.305032502	-9.794915616	6.959746086	4.586626789	-8.729209265	-7.175206763	-7.566454054	3.519089328	4146.627223	-195.014649	176.61153	-54.08533	581.325789	-57.10764	471.376474	273.096105	2840.230947	False	nan	777.679309
22	NO_ID	-1.610461745	-1.358378857	4.16974395	8.642536699	2.316049684	-0.7693716239	7.053132725	0.7693716239	-0.5746635334	-0.03021332438	1230.697123	-132.468795	-123.6021	-4.645955	-30.636061	-51.834332	90.466565	53.969837	879.190862	False	nan	777.679309
23	NO_ID	-1.457258827	5.055391095	-3.467818232	0.06317331462	-7.430951872	4.805749687	-8.326975311	-8.184759056	4.730063784	9.238258003	3016.77655	-134.233985	70.173345	14.942656	-43.634241	100.574381	177.79896	-73.310617	98.346111	False	nan	777.679309
24	NO_ID	-0.8829004791	-2.17261269	-8.456984161	4.595782342	1.619617298	-4.33332316	7.183751946	-5.379497665	7.469405194	-9.929197058	2712.988229	-189.3614	-124.330882	47.923399	122.827719	146.329491	97.858059	58.77247	62.495775	False	nan	777.679309
25	NO_ID	-0.8603167821	3.864558855	3.892635884	9.861445967	-2.185430464	-5.665150914	-0.2462843715	0.1876888333	-6.076540422	2.278206732	1611.450118	-86.69042	-34.957427	-32.327464	-131.190809	-20.664713	29.282765	-10.588081	2387.608739	False	nan	777.679309
26	NO_ID	-0.7968382824	5.738395337	-3.957335124	8.204290902	-5.9111301	4.551225318	-6.860255745	4.470046083	-1.877193518	7.428510392	880.340618	-18.684194	71.688894	-18.391491	-92.646885	91.82186	115.00937	-49.57575	1155.528736	False	nan	777.679309
27	NO_ID	-0.132145146	-1.241798151	4.069643239	6.474501785	1.380352184	8.887905515	3.938413648	-6.678975799	9.801629688	-8.221991638	2678.672641	-183.663594	-71.69805	52.025697	-46.587985	-59.0698	54.846999	31.144803	89.450022	False	nan	777.679309
28	NO_ID	0.03997924741	8.897671438	-7.868587298	-4.501174963	8.716391491	1.520737327	8.502151555	-6.916409803	7.632984405	-5.516220588	3152.554849	-148.105869	-229.150975	54.672872	185.992714	232.529427	276.061041	214.95464	93.49604	False	nan	777.679309
29	NO_ID	0.3988769189	7.001861629	7.642139958	-2.587054048	3.909726249	-5.675527207	-8.635822626	-8.604693747	-0.1644947661	-7.032990509	3355.917712	-119.92996	77.573473	12.056215	86.664356	24.681139	68.444288	105.022275	889.95317	False	nan	777.679309
30	NO_ID	1.483504746	-0.6588946196	1.556138798	9.725943785	4.241157262	3.223059786	9.893795587	-4.571367534	2.994170965	-4.645222327	2189.008004	-173.184149	-157.231056	-0.924528	-128.888129	-33.97121	85.382138	74.448316	324.812566	False	nan	777.679309
31	NO_ID	2.148197882	-0.6460768456	-2.97769097	-7.755058443	3.640552995	3.018585772	-0.07904293954	6.90786462	-5.540635395	-8.507644887	1696.986475	-37.229682	41.810053	-41.165624	5.260089	74.014208	67.036147	69.343157	2249.418142	False	nan	777.679309
32	NO_ID	2.353892636	-5.902584918	-9.440290536	6.785790582	9.189428388	-5.021210364	9.885860775	4.497512741	4.185003204	0.0119022187	1096.341764	-114.277322	-88.305002	-21.735099	328.13743	165.314364	440.419633	291.903817	132.089904	False	nan	777.679309
33	NO_ID	3.543504135	-2.455214087	-8.897671438	-3.296304209	-7.800836207	5.444196905	6.622821741	-9.973754082	-0.03997924741	-3.17300943	4250.650397	-212.734306	-77.458724	-39.112339	187.595901	231.673618	240.384695	-45.001495	772.544465	False	nan	777.679309
34	NO_ID	3.78460036	9.782097842	7.580492569	-8.507644887	3.800469985	-3.160191656	-8.464308603	4.900357067	5.757927183	-9.597155675	1283.044942	28.54503	113.283181	25.27134	248.023049	129.386029	92.241016	117.769403	174.841562	False	nan	777.679309
35	NO_ID	3.9762566	-3.122348704	2.361827448	1.693472091	1.299172948	4.828943754	-8.242133854	-5.269020661	-4.425489059	-9.378032777	2682.709016	-127.401502	194.31959	-53.42613	40.951538	23.923648	79.785565	106.477526	1887.696708	False	nan	777.679309
36	NO_ID	4.607989746	1.821649831	0.56367687	7.319254128	5.71764275	1.708120975	8.645588549	7.709891049	7.086703085	0.6418042543	279.639185	-34.007538	-100.048524	-11.070711	-144.640448	95.656147	81.609481	82.847777	2.622635	False	nan	279.639185
37	NO_ID	4.689779351	-7.079989013	9.864497818	1.772209845	4.886928922	7.84234138	5.624866482	-8.305612354	7.137974181	-5.861690115	3089.304719	-213.265938	-8.696249	-16.264962	490.340618	24.720163	284.814975	313.868267	-6.600379	False	nan	279.639185
38	NO_ID	5.005951109	-3.007599109	1.801507614	-4.163029878	6.025879696	-4.481643117	6.036866359	9.982909635	4.16913358	-4.048890652	741.901722	-28.278603	-8.540605	-29.119358	87.104283	87.190338	186.110376	194.167391	171.385237	False	nan	279.639185
39	NO_ID	5.417340617	-1.180150761	6.23340556	-4.504837184	0.1077303385	-1.635486923	9.448225349	2.217169713	5.102389599	5.125583666	1048.892953	-97.62154	-92.570879	-42.438246	94.173842	106.360843	28.673293	65.504566	41.54174	False	nan	279.639185
40	NO_ID	5.437482833	2.26905118	2.370372631	-3.400677511	1.359599597	1.601306192	-3.286538285	-4.348582415	0.6521805475	6.290169988	2131.421457	-101.18244	83.396405	-60.281198	-47.371915	145.959057	-16.780158	22.468231	601.156077	False	nan	279.639185
41	NO_ID	5.604113895	7.186803797	4.980315561	-4.157536546	4.927213355	-0.5557420576	0.2218695639	5.985595264	-8.847621082	-1.969969787	1312.124536	6.555223	6.746117	-82.757469	67.796057	183.879723	66.569608	74.197355	3446.206303	False	nan	279.639185
42	NO_ID	5.623645741	-6.111941893	-5.988647114	-6.904812769	4.853358562	-9.569078646	-2.497940001	-4.196600238	-0.4300057985	-9.392681661	3238.407714	-143.340709	139.203772	-52.577715	371.563844	226.768707	257.560614	309.491484	864.986156	False	nan	279.639185
43	NO_ID	5.689565722	-7.847224342	-5.004730369	9.29074984	-0.6259346294	-4.086123234	-1.156346324	3.646046327	4.744102298	-3.903012177	1050.780537	-85.194403	146.623432	-41.684439	376.547193	161.600587	258.644008	310.924448	90.37948	False	nan	279.639185
44	NO_ID	6.146122623	-6.432996612	-1.4639729	6.926786096	6.891994995	-3.505050813	-5.551011689	4.504226814	-0.03875850703	-5.39353618	926.277306	-55.389416	216.300851	-63.441694	243.295629	139.267463	335.417103	359.07464	756.178066	False	nan	279.639185
45	NO_ID	6.29566332	-7.80938139	5.23483993	-0.2346873379	7.637256996	2.275154881	-4.336375011	-2.590105899	-5.022431104	-1.779534288	2089.920211	-129.166082	193.969848	-99.537156	459.178984	96.756677	423.083288	435.060218	1981.718004	False	nan	279.639185
46	NO_ID	6.408581805	-9.909054842	-6.112552263	-4.467604602	8.788415174	-7.437055574	6.266975921	-6.891994995	9.615466781	-3.663136692	3369.808574	-209.73983	23.035676	-27.683157	710.881391	241.726297	597.335698	582.20194	-21.721323	False	nan	279.639185
47	NO_ID	7.142857143	-1.584826197	8.74324778	-2.735374004	7.350993377	-2.370372631	-7.285683767	-2.891628773	2.743919187	-3.905453658	1833.785919	-88.52031	202.180548	-50.782006	215.465845	215.419588	197.229598	204.64702	327.917273	False	nan	279.639185
48	NO_ID	7.860042116	-1.728873562	-0.9921567431	9.395123142	4.923551134	-5.180516984	-3.970763268	8.68037965	4.964445936	-5.825678274	525.017489	7.831507	177.295145	-41.864498	8.672149	285.170331	113.554363	190.877529	117.401442	False	nan	279.639185
49	NO_ID	8.598590045	8.912320322	4.924771874	8.90438551	2.26905118	-7.807550279	4.584185308	-5.726798303	-5.431989502	5.742057558	2713.732639	-91.337779	-74.697409	-101.608142	136.622356	384.324661	41.694267	55.803584	2152.503853	False	nan	279.639185
50	NO_ID	8.930631428	-7.962584307	-5.372783593	8.222602008	2.047486801	-9.362773522	2.980742821	-3.321939756	-1.801507614	-8.58394116	2585.1049	-147.930082	95.690481	-91.209876	504.989368	407.975217	278.579264	458.51175	1138.354806	False	nan	279.639185
51	NO_ID	-9.960936308	7.194128239	-9.810174871	8.984344005	-5.873897519	8.569292276	3.987243263	-4.58784753	0.8999908444	2.004760887	2709.315879	-162.125462	-234.12122	82.566179	509.143493	745.647228	246.641251	205.694837	663.935812	False	nan	279.639185
52	NO_ID	-9.960936308	9.650868252	-0.8584856716	-6.16748558	5.768913846	8.569292276	3.987243263	-4.58784753	-2.998443556	2.004760887	2948.954579	-149.841762	-253.77514	67.987487	530.77458	592.682004	286.434049	480.750692	1525.34382	False	nan	279.639185
53	NO_ID	-9.006317331	-0.882290109	0.2938932463	-9.653309732	-1.230201117	5.020599994	1.880245369	6.099124119	-3.162022767	1.062349315	1837.61966	-96.185339	-102.770775	40.351146	371.451684	410.376712	161.800512	59.593159	1509.377793	False	nan	279.639185
54	NO_ID	-8.983123264	-3.007599109	1.801507614	-4.163029878	4.94247261	4.218573565	-3.754692221	9.982909635	-8.692587054	-4.048890652	1572.567931	-54.860225	18.025147	18.484634	421.884047	365.375123	281.491661	141.789377	3380.95556	False	nan	279.639185
55	NO_ID	-8.983123264	-1.241798151	-9.298684652	6.474501785	1.380352184	4.218573565	-3.754692221	-7.535325175	-8.692587054	-8.221991638	4005.172975	-203.695334	-31.13773	30.362438	441.467956	574.648881	170.663676	94.510919	3420.762073	False	nan	279.639185
