FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316
2	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316
3	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316
4	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316
5	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316
6	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316
7	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316
8	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316	-3.01316
9	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4671999999999996
10	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4671999999999996
11	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4671999999999996
12	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4671999999999996
13	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4672	-3.4671999999999996
