FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-0.00000e+00	-0.00000e+00	-0.00000e+00	-0.00000e+00	-0.00000e+00	-0.00000e+00	-0.00000e+00	-0.00000e+00	-0.00000e+00	-0.00000e+00	0.00000e+00
2	-6.83700e-11	-6.83700e-11	-6.83700e-11	-6.83700e-11	-6.83700e-11	-6.83700e-11	-6.83700e-11	-6.83700e-11	-6.83700e-11	-6.83700e-11	-6.83700e-11
3	-2.55700e-05	-2.55700e-05	-2.55700e-05	-2.55700e-05	-2.55700e-05	-2.55700e-05	-2.55700e-05	-2.55700e-05	-2.55700e-05	-2.55700e-05	-2.55700e-05
4	-1.45400e-02	-1.45400e-02	-1.45400e-02	-1.45400e-02	-1.45400e-02	-1.45400e-02	-1.45400e-02	-1.45400e-02	-1.45400e-02	-1.45400e-02	-1.45400e-02
5	-3.57100e-01	-3.57100e-01	-3.57100e-01	-3.57100e-01	-3.57100e-01	-3.57100e-01	-3.57100e-01	-3.57100e-01	-3.57100e-01	-3.57100e-01	-3.57100e-01
6	-1.19500e+00	-1.19500e+00	-1.19500e+00	-1.19500e+00	-1.19500e+00	-1.19500e+00	-1.19500e+00	-1.19500e+00	-1.19500e+00	-1.19500e+00	-1.19500e+00
7	-1.45500e+00	-1.45500e+00	-1.45500e+00	-1.45500e+00	-1.45500e+00	-1.45500e+00	-1.45500e+00	-1.45500e+00	-1.45500e+00	-1.45500e+00	-1.45500e+00
8	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00
9	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00
10	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00
11	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00
12	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00	-1.46300e+00
13	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00
14	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00	-1.46400e+00
15	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00
16	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00
17	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00
18	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00
19	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00
20	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00
21	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00	-2.28700e+00
22	-2.28900e+00	-2.28900e+00	-2.28900e+00	-2.28900e+00	-2.28900e+00	-2.28900e+00	-2.28900e+00	-2.28900e+00	-2.28900e+00	-2.28900e+00	-2.28900e+00
23	-2.42400e+00	-2.42400e+00	-2.42400e+00	-2.42400e+00	-2.42400e+00	-2.42400e+00	-2.42400e+00	-2.42400e+00	-2.42400e+00	-2.42400e+00	-2.42400e+00
24	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00
25	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00
26	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00	-2.96500e+00
