FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-5.89056e-02	-1.19575e+00	-1.98574e+00	-2.81370e-01	-9.75119e-01	-1.55047e+00	-1.36220e-01	-1.49643e+00	-1.27975e-01	-1.59238e+00	-9.40036e-01
2	-1.41386e-01	-1.19575e+00	-1.98574e+00	-9.72586e-01	-1.29643e+00	-2.34316e+00	-9.24918e-01	-2.50898e+00	-5.93861e-01	-1.59238e+00	-1.35552e+00
3	-2.74130e+00	-1.73193e+00	-2.13290e+00	-1.51485e+00	-1.29643e+00	-2.34316e+00	-9.24918e-01	-2.50898e+00	-8.88766e-01	-1.59238e+00	-1.76756e+00
4	-2.74130e+00	-1.73193e+00	-2.13290e+00	-1.51485e+00	-1.29643e+00	-2.34316e+00	-1.44199e+00	-2.50898e+00	-1.53567e+00	-3.18953e+00	-2.04367e+00
5	-2.74130e+00	-1.73193e+00	-2.79981e+00	-1.51485e+00	-1.29643e+00	-2.34316e+00	-1.47735e+00	-2.50898e+00	-1.53567e+00	-3.18953e+00	-2.11390e+00
6	-2.74130e+00	-1.73193e+00	-2.79981e+00	-1.51485e+00	-1.83570e+00	-2.34316e+00	-1.47735e+00	-2.50898e+00	-1.53567e+00	-3.18953e+00	-2.16783e+00
7	-2.74130e+00	-1.73193e+00	-2.79981e+00	-1.51485e+00	-1.83570e+00	-2.34316e+00	-1.47735e+00	-2.50898e+00	-1.53567e+00	-3.18953e+00	-2.16783e+00
8	-2.74130e+00	-1.73193e+00	-2.79981e+00	-1.51485e+00	-2.16910e+00	-2.34316e+00	-1.47735e+00	-2.50898e+00	-1.53567e+00	-3.18953e+00	-2.20117e+00
9	-2.74130e+00	-1.73193e+00	-2.79981e+00	-1.51485e+00	-2.16910e+00	-2.34316e+00	-1.47735e+00	-2.50898e+00	-1.53567e+00	-3.18953e+00	-2.20117e+00
10	-2.74130e+00	-1.73193e+00	-2.79981e+00	-1.51485e+00	-2.16910e+00	-2.34316e+00	-1.47735e+00	-2.50898e+00	-1.53567e+00	-3.18953e+00	-2.20117e+00
11	-2.74130e+00	-2.18884e+00	-2.79981e+00	-1.51485e+00	-2.16910e+00	-2.34316e+00	-1.61771e+00	-2.50898e+00	-1.53567e+00	-3.18953e+00	-2.26089e+00
12	-2.74130e+00	-2.18884e+00	-2.79981e+00	-1.51485e+00	-2.16910e+00	-2.34316e+00	-1.61771e+00	-2.50898e+00	-1.53567e+00	-3.18953e+00	-2.26089e+00
13	-2.74130e+00	-2.18884e+00	-2.79981e+00	-1.72627e+00	-2.16910e+00	-2.34316e+00	-1.61771e+00	-2.50898e+00	-1.53567e+00	-3.18953e+00	-2.28204e+00
14	-2.74130e+00	-2.18884e+00	-2.79981e+00	-2.05819e+00	-2.16910e+00	-2.34316e+00	-1.61771e+00	-2.50898e+00	-1.53567e+00	-3.18953e+00	-2.31523e+00
