FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00
2	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00
3	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00
4	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00
5	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00
6	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00
7	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00
8	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00
9	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.30600e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.03510e+00
10	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.30600e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.03510e+00
11	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.30600e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.03510e+00
12	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.30600e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.03510e+00
13	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.31900e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.03640e+00
14	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.88000e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.09250e+00
15	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.88000e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.09250e+00
16	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.88000e+00	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.09250e+00
17	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.01000e+00	-3.00500e+00	-3.00500e+00	-3.88000e+00	-3.06500e+00	-3.00500e+00	-3.01600e+00	-3.10010e+00
18	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.01000e+00	-3.00500e+00	-3.00500e+00	-3.88000e+00	-3.06500e+00	-3.00500e+00	-3.01600e+00	-3.10010e+00
19	-3.00500e+00	-3.00500e+00	-3.00500e+00	-3.01000e+00	-3.00500e+00	-3.06500e+00	-3.88000e+00	-3.06500e+00	-3.00500e+00	-3.01600e+00	-3.10610e+00
20	-3.00800e+00	-3.06400e+00	-3.00500e+00	-3.07800e+00	-3.07400e+00	-3.06500e+00	-3.88000e+00	-3.06500e+00	-3.00900e+00	-3.07700e+00	-3.13250e+00
21	-3.00900e+00	-3.06400e+00	-3.03700e+00	-3.07800e+00	-3.07400e+00	-3.06500e+00	-3.88000e+00	-3.06500e+00	-3.00900e+00	-3.07700e+00	-3.13580e+00
22	-3.00900e+00	-3.06400e+00	-3.03700e+00	-3.07800e+00	-3.07400e+00	-3.06500e+00	-3.88000e+00	-3.06500e+00	-3.00900e+00	-3.07700e+00	-3.13580e+00
23	-3.00900e+00	-3.06400e+00	-3.07700e+00	-3.07800e+00	-3.07400e+00	-3.06500e+00	-3.88000e+00	-3.06500e+00	-3.07700e+00	-3.07700e+00	-3.14660e+00
