%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      -3.004883      
2        NO_ID      4.917453376e-05 0.8264763889   1.606015782    2.881784088    0.2058826474   1.375761294    0.295590074    1.123840285    1.126552667    2.731256318    -0.32577       	-3.25770e-01
3        NO_ID      2.409614884    0.1219966771   2.079516829    0.2172230009   0.3359093968   0.186611839    1.075363414    0.04836913583  2.409071849    0.419982211    -0.336879      	-3.36879e-01
4        NO_ID      2.62314203     1.173527691    0.5590567967   2.704512558    2.17503096     0.1691985183   0.5778325141   0.9671014691   2.613801335    1.264117926    -0.522188      	-5.22188e-01
5        NO_ID      2.578122098    1.647439052    1.649040975    0.298228368    1.483346392    2.062356694    0.8333927928   1.611074776    3.085279226    2.295490821    -2.014459      	-2.01446e+00
6        NO_ID      1.552191267    3.031953203    1.399016713    1.591881835    0.9520193876   0.4566989221   0.8270854179   2.417186444    1.713487445    2.742054034    -1.94443       	-2.01446e+00
7        NO_ID      1.674436257    3.001677538    1.493980993    1.72729081     2.257328688    1.046195711    3.05687921     2.498548412    2.571130615    0.3805369349   -0.509043      	-2.01446e+00
8        NO_ID      2.542510645    0.02841818894  0.1023654379   2.004543309    3.057662905    3.103747391    1.672235442    0.5700916549   2.813386067    0.4633791569   -0.21886       	-2.01446e+00
9        NO_ID      0.00444280809  2.413636566    1.740956488    2.600091958    0.1869084076   2.918199505    2.770759072    0.3146869853   1.643142751    1.697745425    -1.134116      	-2.01446e+00
10       NO_ID      2.059737072    0.7876939729   0.09969971849  1.18409971     2.313765223    0.8139453897   1.484242561    1.416305513    3.138186753    2.441471493    -2.285606      	-2.28561e+00
11       NO_ID      1.465206795    1.924677041    2.205494092    0.0834011401   0.5724835862   2.173866495    2.589180128    2.145774869    1.692170515    2.610001633    -1.059045      	-2.28561e+00
12       NO_ID      0.234387817    2.940011859    1.804608752    1.120466133    0.9658512079   0.4502205043   1.90007143     0.2076828868   0.2164547596   3.132043305    -2.314606      	-2.31461e+00
13       NO_ID      2.861116352    1.560068908    0.3429604711   2.455076273    0.7844513195   2.149098505    1.003849061    1.33675734     1.349062663    0.8194987458   -2.318744      	-2.31874e+00
14       NO_ID      0.5717092094   1.725288406    0.01884705073  2.603081632    0.1688687341   1.318335528    2.751390181    1.50740421     1.136602642    1.99515997     -0.406326      	-2.31874e+00
15       NO_ID      2.431534311    0.9554130069   0.9445831416   1.139431991    2.424145545    2.43615041     3.139965859    0.9269773009   0.5478097701   2.171316145    -1.311613      	-2.31874e+00
16       NO_ID      0.566169157    2.861418363    0.352776632    0.9308638212   3.03669582     2.568357167    0.8910800025   0.4077704819   1.584157108    3.069427777    -0.698163      	-2.31874e+00
17       NO_ID      2.915590121    2.897146533    0.7918749961   1.255111638    2.005905082    0.8122221539   0.7961560625   0.9503553913   0.7642492085   1.904264005    -1.630712      	-2.31874e+00
18       NO_ID      1.557235866    2.993509635    2.446133341    1.277059657    0.1782865424   2.523789305    2.679762575    0.8923445607   2.811642672    2.578073121    -0.157461      	-2.31874e+00
19       NO_ID      0.8242819443   2.423100446    0.5791440613   1.019123671    0.4465055975   2.295493071    1.590006484    0.8489172914   1.779104026    2.860780353    -0.829493      	-2.31874e+00
20       NO_ID      2.196125213    2.841886091    1.941156304    2.712290549    0.9528203705   1.352445634    1.12841225     2.569332265    1.571585631    2.267349469    -1.596658      	-2.31874e+00
21       NO_ID      2.961028865    0.03742187139  0.6307925317   1.995297864    1.607512499    2.904371183    2.836025645    0.8340219413   2.760394119    2.040134075    -0.76766       	-2.31874e+00
22       NO_ID      1.187402228    1.270501985    3.060825784    2.855173355    2.207092662    1.817827517    0.235152894    0.09069569225  0.6498946086   2.601417969    -0.933373      	-2.31874e+00
23       NO_ID      0.4820249174   2.366032453    2.764844744    1.443547409    2.320152748    1.354920899    1.889481748    1.2977008      1.518745944    0.1199611244   -1.025372      	-2.31874e+00
24       NO_ID      2.425505311    0.1570005159   2.911142917    0.4096252297   1.340972137    3.072120814    1.053558755    1.14384848     1.253839593    2.61778826     -1.001793      	-2.31874e+00
25       NO_ID      2.298908864    2.450559908    0.276135387    0.8745880687   2.829616707    3.074755607    1.354227533    2.80244815     1.983805475    0.09210809885  -1.161247      	-2.31874e+00
26       NO_ID      2.397061339    2.762877499    2.937589143    1.926738467    2.294356012    1.329012952    3.136042773    0.9651255156   0.8198820699   0.7310509884   -2.429324      	-2.42932e+00
27       NO_ID      0.003738762594 0.005522920126 1.717521561    1.428388027    2.005452153    2.624635804    1.146645205    1.134504529    1.289698572    2.113788679    -1.730538      	-2.42932e+00
28       NO_ID      1.312687058    2.065333202    0.5940677174   0.5135726044   1.658791599    0.8141239476   1.343673008    1.341754262    0.5093200679   2.443048725    -1.43635       	-2.42932e+00
