FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-0.332348	-0.062857	-2.51967	-2.46743	-2.09201	-3.25282	-0.759442	-0.908721	-0.741383	-2.02125	-1.5157931000000002
2	-0.745304	-1.81127	-2.51967	-3.11029	-2.09201	-3.25282	-0.902459	-1.41631	-2.91133	-2.02125	-2.0782713
3	-0.745304	-1.81127	-2.51967	-3.11029	-2.09201	-3.25282	-0.902459	-1.70141	-2.91133	-2.02125	-2.1067813
4	-1.68247	-1.81127	-2.51967	-3.11029	-2.09201	-3.25282	-1.26756	-1.70141	-2.91133	-2.02125	-2.2370080000000003
5	-1.68247	-1.81127	-2.66752	-3.11029	-2.09201	-3.25282	-1.26756	-1.97879	-2.91133	-2.02125	-2.279531
6	-1.68247	-1.93363	-2.66752	-3.11029	-2.09201	-3.25282	-1.67175	-1.97879	-2.91133	-2.57174	-2.3872349999999996
7	-1.68247	-1.93363	-2.66752	-3.11029	-2.09201	-3.25282	-1.67175	-1.97879	-2.91133	-2.57174	-2.3872349999999996
8	-1.68247	-1.93363	-2.66752	-3.11029	-2.09201	-3.25282	-1.67175	-1.97879	-2.91133	-2.57174	-2.3872349999999996
9	-1.68247	-1.93363	-2.66752	-3.11029	-2.09201	-3.25282	-1.67175	-1.97879	-2.91133	-2.57174	-2.3872349999999996
10	-1.68247	-1.93363	-2.66752	-3.11029	-2.09201	-3.25282	-1.67175	-1.97879	-2.91133	-2.57174	-2.3872349999999996
11	-2.22233	-1.93363	-2.66752	-3.11029	-2.09201	-3.25282	-1.91116	-1.97879	-2.91133	-2.57174	-2.4651620000000003
12	-2.22233	-1.93363	-2.66752	-3.11029	-2.46806	-3.25282	-1.91116	-1.97879	-2.91133	-2.57174	-2.502767
13	-2.22233	-1.93363	-2.66752	-3.11029	-2.46806	-3.25282	-1.91116	-1.97879	-2.91133	-2.57174	-2.502767
14	-2.22233	-1.93363	-2.66752	-3.11029	-2.46806	-3.25282	-1.91116	-2.26417	-2.91133	-2.57174	-2.5313049999999997
15	-2.22233	-1.93363	-2.66752	-3.11029	-2.46806	-3.25282	-1.91116	-2.26417	-2.91133	-2.57174	-2.5313049999999997
16	-2.22233	-1.93363	-2.66752	-3.11029	-2.46806	-3.25282	-2.23909	-2.3657	-2.91133	-2.57174	-2.5742509999999994
17	-3.11147	-2.43774	-2.66752	-3.11029	-2.46806	-3.25282	-2.23909	-2.3657	-2.91133	-2.57174	-2.7135759999999998
18	-3.11147	-2.43774	-2.66752	-3.11029	-2.46806	-3.25282	-2.23909	-2.62561	-2.91133	-2.57174	-2.739567
19	-3.11147	-2.43774	-2.66752	-3.11029	-2.46806	-3.25282	-2.23909	-2.72013	-2.91133	-2.57174	-2.7490189999999997
20	-3.11147	-2.43774	-2.66752	-3.11029	-2.46806	-3.25282	-2.23909	-2.72013	-2.91133	-2.57174	-2.7490189999999997
21	-3.11147	-2.43774	-2.66752	-3.11029	-2.46806	-3.25282	-2.23909	-2.72013	-2.91133	-2.57174	-2.7490189999999997
22	-3.11147	-2.43774	-2.66752	-3.11029	-2.46806	-3.25282	-2.23909	-2.72013	-2.91133	-2.57174	-2.7490189999999997
23	-3.11147	-2.43774	-2.66752	-3.11029	-2.46806	-3.25282	-2.23909	-2.72013	-2.91133	-2.57174	-2.7490189999999997
24	-3.11147	-2.43774	-2.66752	-3.11029	-2.46806	-3.25282	-2.23909	-2.72013	-2.91133	-2.57174	-2.7490189999999997
25	-3.11147	-2.43774	-2.66752	-3.11029	-2.46806	-3.25282	-2.23909	-2.72013	-2.91133	-2.57174	-2.7490189999999997
