%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      1.628260851    3.071621529    0.09453078456  2.801214157    0.6407239846   0.9112084723   1.671334042    1.966058455    0.2240719101   0.5105041714   -0.79256       
2        NO_ID      0.7993297351   1.163325647    0.4690221551   2.047131287    2.657092042    2.775367731    2.0897673      2.144065999    0.3439274314   1.285249976    -0.332348      	-3.32348e-01
3        NO_ID      2.350999362    2.408453312    2.473914061    2.630393353    0.7965376236   1.051408783    1.389641759    3.075732703    3.020502127    1.067879423    -0.745304      	-7.45304e-01
4        NO_ID      0.3170602029   2.99398087     3.033513309    3.035305946    1.600330851    1.269250055    1.983749221    1.806025612    1.574357242    2.384302476    -0.132496      	-7.45304e-01
5        NO_ID      2.544340391    1.470497728    0.07938988056  0.1435111244   0.9583637473   3.084466677    2.430088828    1.085296942    1.695162739    2.271060623    -1.682466      	-1.68247e+00
6        NO_ID      0.7604053775   0.7757975468   0.7459010378   0.2875229003   1.441541621    0.2703251587   0.7922683768   2.702637249    1.369844336    2.996415177    -0.536822      	-1.68247e+00
7        NO_ID      0.08546152373  1.08431734     0.1997195418   0.04066350656  0.2919957241   1.639866618    2.743284618    0.7822977627   1.225575652    2.886699836    -1.237051      	-1.68247e+00
8        NO_ID      0.56346164     1.912705682    1.903357972    1.350527356    0.7214122483   1.592090245    2.133112242    2.685716669    0.1748047924   2.325072514    -1.544833      	-1.68247e+00
9        NO_ID      2.054972149    2.681516455    2.558148362    0.3375272811   1.366689588    1.142977593    1.074682242    0.06187570068  2.886815032    1.249484274    -1.47715       	-1.68247e+00
10       NO_ID      1.200028882    1.967380902    3.079155598    2.554885349    1.990082566    2.608129107    0.2063867766   0.8028036854   2.532705579    1.974789316    -0.748073      	-1.68247e+00
11       NO_ID      2.420100133    2.653072528    2.130408303    2.445404845    2.707550832    0.8101979802   1.220561404    1.468557666    0.6317435258   3.114192246    -1.457291      	-1.68247e+00
12       NO_ID      1.5989014      2.834880123    1.609493338    1.037972384    1.548223424    2.144211575    0.8202979334   2.04171349     2.211756635    0.452416841    -2.222333      	-2.22233e+00
13       NO_ID      1.310546009    2.275395843    2.64082049     0.9430614886   0.1006412559   1.976182695    0.02550529587  1.508919675    1.522371477    0.9294584682   -0.295381      	-2.22233e+00
14       NO_ID      2.158019203    2.355090167    1.197709428    0.7066626947   1.929879571    1.206711361    1.971397605    0.6901455478   2.025638612    0.4055574516   -1.563935      	-2.22233e+00
15       NO_ID      1.018419779    1.707385608    2.312619224    1.239524392    1.470563683    2.278525606    2.358732646    2.466418051    1.557398265    1.944235161    -0.789487      	-2.22233e+00
16       NO_ID      0.6695763088   0.5211684615   1.695444478    2.224397213    2.89195917     1.481821271    0.387835061    2.617037174    2.981851614    2.604896002    -0.444474      	-2.22233e+00
17       NO_ID      1.376104364    2.084412346    1.587724379    2.93509015     2.508995607    1.770078621    0.9261503558   0.2711918367   0.05460500082  0.3538862927   -0.449028      	-2.22233e+00
18       NO_ID      1.636300103    1.556295683    1.383190195    1.814717371    2.78935537     2.943851151    2.190171914    1.742957773    1.125248504    1.178148779    -3.111471      	-3.11147e+00
19       NO_ID      1.392147432    0.8298260068   2.941044037    2.960460123    1.883879076    1.16993607     0.2257981823   2.250849406    1.002470921    0.08238814757  -0.174338      	-3.11147e+00
20       NO_ID      1.466882739    1.745814915    0.5991043453   2.662030901    0.6084755715   1.354975178    1.504525133    0.1669365671   1.31115495     1.680259702    -1.182673      	-3.11147e+00
21       NO_ID      2.873591195    0.9753184081   2.883415582    0.9943493881   0.02985066644  2.758688467    2.945534098    0.4020167341   0.1266791793   2.797885418    -0.622831      	-3.11147e+00
22       NO_ID      0.2512972969   1.622705006    1.354257971    1.211676337    3.059893213    2.883129445    1.842674273    1.505372772    2.454389681    1.147738696    -3.075869      	-3.11147e+00
23       NO_ID      3.051099114    2.227260199    0.3337427378   1.304760952    1.850567681    3.048740641    0.4978489427   0.7338623113   1.6345012      2.776266379    -1.147922      	-3.11147e+00
24       NO_ID      0.01310113391  2.516879251    2.762628616    1.150021884    1.964951653    2.177086257    1.869573335    2.362492851    0.6082524511   2.939725048    -2.435143      	-3.11147e+00
25       NO_ID      1.764627461    2.053154776    2.253068554    0.5331289601   1.005985982    3.046805394    1.564210889    1.06791626     3.083716377    1.748298188    -1.521976      	-3.11147e+00
26       NO_ID      0.3828426978   1.520458028    0.377488199    0.09321974546  1.518794863    2.320376932    0.6767087003   1.718221335    2.626648619    2.303838195    -1.415081      	-3.11147e+00
27       NO_ID      1.874605132    0.1856822326   2.053591587    2.756333527    2.426839758    1.728190301    2.305707474    0.2270260122   1.045440641    2.856708984    -0.121012      	-3.11147e+00
28       NO_ID      0.8805064468   0.03404302448  2.369606519    0.8428573858   1.735462756    1.854543804    3.128566674    1.690341523    2.376731022    2.709542157    -1.253684      	-3.11147e+00
29       NO_ID      0.9278510799   0.315835734    1.992333141    0.6691178476   0.8207829394   1.458649398    0.09654502683  1.625024744    0.9532364145   1.483730543    -0.065418      	-3.11147e+00
30       NO_ID      0.5824141687   2.356561349    1.153326692    0.3506526264   1.329901146    0.5116265243   0.09031959399  0.535505298    1.61355413     2.425450635    -0.565996      	-3.11147e+00
31       NO_ID      0.1611047987   2.882817473    0.2346971286   2.404093686    2.552081503    1.623722537    2.797504316    2.976654916    2.794484477    1.838524666    -1.223791      	-3.11147e+00
32       NO_ID      1.051089204    2.469973689    2.28730292     0.1657078829   3.037262859    0.1374943409   0.9581728013   1.387339884    0.2944328503   0.1745173558   -1.103762      	-3.11147e+00
33       NO_ID      1.349887898    3.016019454    1.178689938    2.890703862    0.208650979    0.2224956244   2.04355284     0.024197766    0.2107816403   0.9053784882   -0.574125      	-3.11147e+00
34       NO_ID      1.961017148    2.945921864    1.830894755    1.546155424    1.129758226    2.716400689    1.03700569     0.9414112212   1.213487299    0.1161134467   -0.854397      	-3.11147e+00
35       NO_ID      2.726565924    1.488410873    1.479757383    0.1055831211   2.34342359     0.09351765689  2.564313677    2.567466255    1.183008183    0.3371494906   -0.909606      	-3.11147e+00
36       NO_ID      2.000304228    0.3950275985   3.114253903    1.083420604    2.860361892    0.3950462565   1.947412701    1.187807324    2.411922662    2.007064554    -1.23757       	-3.11147e+00
37       NO_ID      2.111073555    0.5422697074   1.097139294    1.833750479    1.785830198    1.94574161     0.2991514883   2.285514324    0.03014152135  1.461226932    -1.232046      	-3.11147e+00
38       NO_ID      1.888045457    0.5874702997   2.336963823    2.521546113    1.24005221     0.05866979763  1.293003641    1.315928738    0.5789521992   3.044838423    -0.92944       	-3.11147e+00
39       NO_ID      0.7390455584   1.575991256    0.7914287286   1.186346354    2.15168501     2.483249325    0.6571051911   1.239614506    2.255019753    2.058221461    -1.772752      	-3.11147e+00
40       NO_ID      1.249675092    1.285018411    1.856416201    2.880434205    2.082427504    1.538557538    0.9843642664   0.8611531913   1.261142968    1.415125433    -1.824318      	-3.11147e+00
41       NO_ID      2.59961058     0.8652135777   2.16143586     0.4828984665   2.240383406    2.225972514    1.226963576    1.582311792    1.997592998    0.3061583384   -1.235093      	-3.11147e+00
42       NO_ID      2.68436978     0.6041602343   1.722913404    0.5356421746   2.687441088    2.816007431    2.199816631    0.5966033321   0.9341756787   2.195355979    -0.550472      	-3.11147e+00
43       NO_ID      2.04071251     3.114981503    2.897356429    0.1948822262   1.291364094    2.003773738    1.138765685    0.4905680701   2.655859597    0.6876750648   -2.21627       	-3.11147e+00
44       NO_ID      2.565444816    1.676393641    0.1534964148   2.686776307    2.814516724    1.847182505    1.448336176    0.6956431212   0.7240056015   1.760149334    -2.454257      	-3.11147e+00
45       NO_ID      2.918809933    0.2293026774   0.6954587071   2.578178489    2.197545664    2.031439479    0.6012782823   0.1965716511   2.290368517    1.379819623    -1.509833      	-3.11147e+00
46       NO_ID      2.283514025    2.777423837    0.0495942531   2.116065948    2.966298195    1.11086151     1.889496833    2.207351511    1.961927554    0.554147442    -2.870335      	-3.11147e+00
47       NO_ID      2.209027317    1.026163486    0.8628168878   0.2222353149   1.791458351    0.3401982619   2.997277777    1.78099867     2.198846512    0.6320714543   -2.206186      	-3.11147e+00
48       NO_ID      2.369155041    0.1968379752   1.028993482    0.9349176187   2.108842247    0.1650813737   0.4468928594   0.3038653855   1.845589707    2.218854013    -0.5601        	-3.11147e+00
49       NO_ID      1.79256919     0.8008881757   2.206434203    3.122668398    0.759447299    0.7237121196   1.115437169    2.864054924    2.324601785    0.7585939388   -1.215587      	-3.11147e+00
50       NO_ID      0.06274341813  1.212232512    0.5513911957   2.501439771    0.5943496053   0.777703929    0.1472908624   0.3250071409   2.673690776    0.9827400152   -1.091785      	-3.11147e+00
51       NO_ID      1.002606797    3.098149321    2.442647399    2.034268036    2.323296966    2.058296146    3.079847227    0.5272456809   2.742003884    2.028165837    -0.536453      	-3.11147e+00
52       NO_ID      2.388185223    0.4444326346   1.230633555    1.904738961    0.2635798952   2.247518237    1.423745562    2.853943732    2.937722442    0.7166793772   -3.449451      	-3.44945e+00
53       NO_ID      3.082846108    2.43467517     1.650995776    1.525273191    0.2490136791   1.552609025    0.5212691912   2.079857284    2.10757714     2.762998906    -1.759233      	-3.44945e+00
54       NO_ID      1.53549722     1.810746236    1.45286773     0.8845717875   3.107619869    0.7181151875   0.05859352546  2.937483594    2.325943127    1.795230108    -0.230703      	-3.44945e+00
55       NO_ID      2.317971443    2.178899945    2.495298602    0.259254488    2.633129316    2.600324295    0.3739714376   2.798801732    0.4482133357   0.6122870386   -1.249229      	-3.44945e+00
56       NO_ID      1.697687162    1.386676416    0.9898608991   1.860223097    0.5317517309   0.4215195586   2.9123672      3.117073623    1.802870229    2.46022685     -0.67824       	-3.44945e+00
57       NO_ID      3.126664131    2.807949644    1.320292503    0.6201804779   1.051162732    0.5560583177   2.352202488    2.739584528    1.447229008    1.571768792    -2.620539      	-3.44945e+00
58       NO_ID      2.176798155    1.305042494    1.798047479    1.492532781    1.194277175    0.6620820506   2.728602811    0.4538391187   2.566308137    1.036173318    -0.880556      	-3.44945e+00
59       NO_ID      0.8444010559   1.041122856    1.534983218    0.437897591    0.9742932102   1.431355605    2.613813902    0.6109173008   0.265935894    1.895197073    -0.945936      	-3.44945e+00
