%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      1.216254403    0.04071720354  3.123176913    3.113219891    1.26472603     2.986658202    0.7789036136   0.7486287005   2.726836141    2.84105815     -1.071796      
2        NO_ID      3.137689398    0.6722118227   1.343109427    2.782627554    0.6082372114   2.118025143    1.858306284    1.656192449    1.620962004    1.162844605    -2.02125       	-2.02125e+00
3        NO_ID      2.122449184    2.145735392    2.085433778    1.629601224    1.668144128    1.501484937    0.679110175    0.8823832585   1.458932364    2.404171489    -1.52271       	-2.02125e+00
4        NO_ID      1.179381687    1.420781438    1.638265985    2.066723842    1.767909307    0.2214703737   2.77758619     3.086714998    3.001050286    2.546815058    -1.588562      	-2.02125e+00
5        NO_ID      1.841006138    2.775274078    1.44472089     2.17795749     0.4030475928   0.4787130779   2.67865141     2.615541876    1.599397629    2.522544484    -1.388895      	-2.02125e+00
6        NO_ID      3.083945268    1.257892556    1.690662592    0.869355724    1.396684688    0.5877071114   1.25654263     0.6010521467   2.486638234    0.9501394629   -0.13955       	-2.02125e+00
7        NO_ID      2.295777377    2.356203312    1.823651634    3.081696656    1.00610345     1.790782497    3.064369104    1.397276422    1.680380017    0.4117015031   -2.571741      	-2.57174e+00
8        NO_ID      2.208561872    2.528201121    2.070456334    2.442583925    2.746101806    0.3025824225   1.649660907    2.375184676    0.9859454632   0.2215406227   -1.559947      	-2.57174e+00
9        NO_ID      0.5423521386   0.7426082317   0.8812318431   0.3392942037   0.3747447918   1.562101617    2.74185901     2.125340395    1.432132055    0.6370864594   -1.322715      	-2.57174e+00
10       NO_ID      0.3832134891   1.106941506    2.481164155    2.598594753    1.933305833    0.04127759412  2.441984975    0.05271015934  0.2886909397   3.031930525    -0.004976      	-2.57174e+00
11       NO_ID      0.8762159398   2.271467952    1.702241845    1.657204903    1.195974087    2.855104602    1.299797822    0.8398356251   2.155570583    1.409664351    -0.45056       	-2.57174e+00
12       NO_ID      2.851141659    1.480150509    2.492750079    1.191767358    0.9068381804   2.740707693    0.5873619119   1.981207918    0.007436492362 1.488028209    -1.900692      	-2.57174e+00
13       NO_ID      0.6498498159   1.183122823    2.360510458    2.391277846    2.198709209    1.449743659    1.179896627    2.177982077    1.094494766    0.08921770636  -0.671198      	-2.57174e+00
