%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.4463337478   2.591193445    1.516597125    2.506449526    0.223864295    0.9041505666   0.03087204147  2.945665037    0.01658777429  2.204628615    -1.35281       
2        NO_ID      1.920855328    0.8741836918   2.198841647    1.032710091    2.212005691    0.811469389    3.138181974    1.164299928    2.276011162    0.5543816214   -2.519674      	-2.51967e+00
3        NO_ID      1.369314202    0.3255374027   1.342424935    0.8319722732   1.012943146    0.1836087372   1.560443886    2.463397928    0.6068515544   0.01347596151  -1.636087      	-2.51967e+00
4        NO_ID      3.009998824    1.631295186    1.710142503    0.8706486604   2.986724081    3.10360656     0.06547333266  1.257335635    1.340407172    0.9451959478   -1.164657      	-2.51967e+00
5        NO_ID      1.915617604    0.6068390428   3.060096904    0.539086274    1.833810047    1.53042347     1.496199638    3.022515663    1.202956241    1.130530571    -1.301838      	-2.51967e+00
6        NO_ID      1.297677734    1.46005813     0.006034129837 0.4075156408   1.353265947    1.446919485    1.743303298    1.387641314    1.966800915    2.539787795    -2.667518      	-2.66752e+00
7        NO_ID      1.851541303    2.333069065    1.130972709    0.6543266799   1.422335878    0.4349307942   0.9425446765   1.889745575    1.295865955    0.379194014    -1.366546      	-2.66752e+00
8        NO_ID      2.10002143     0.1418126093   1.663676111    0.3048520072   2.291351396    0.03051184979  0.5396942756   1.931742413    1.827708591    1.939454324    -0.706147      	-2.66752e+00
9        NO_ID      1.989423386    0.3992237934   2.540421523    0.5090932534   0.949493799    2.403509819    0.9936238347   3.126275334    0.557963941    1.339208142    -1.696342      	-2.66752e+00
10       NO_ID      2.202012183    1.889017687    2.136229303    1.219935888    0.002153559565 2.698536138    1.334759544    0.3471763561   0.5967162867   2.463813308    -1.638879      	-2.66752e+00
11       NO_ID      0.9610404047   1.982854642    1.460180329    1.57379882     0.9149770782   0.3560738988   0.6188703365   2.549591197    1.054136527    1.643778484    -0.557363      	-2.66752e+00
12       NO_ID      2.41975287     0.5243662069   3.127093408    2.103250258    0.2571008182   0.4658489794   1.889529803    2.999312383    1.505572842    2.244854505    -1.134874      	-2.66752e+00
13       NO_ID      0.579335191    1.673756651    0.3603212805   0.5025861545   2.531089323    0.2659576209   2.222388441    0.9890100364   1.184346927    3.018430388    -1.430343      	-2.66752e+00
14       NO_ID      1.396138183    2.47680657     0.8223815033   1.68998107     3.109803621    0.6495556615   1.074947481    2.611342282    1.594086925    2.907502449    -0.653214      	-2.66752e+00
15       NO_ID      2.739574482    2.681347276    2.913109719    2.622505445    2.128763559    0.868172101    0.5822934954   2.312780836    3.074551046    3.073536216    -1.244529      	-2.66752e+00
16       NO_ID      1.813277906    2.309891156    3.083142629    0.6692377952   1.296748051    2.968529023    1.788747499    2.384117669    2.147580883    1.374880701    -0.29447       	-2.66752e+00
17       NO_ID      1.755932621    2.157696708    0.7054534844   0.009858919256 1.194757599    1.200727411    1.588161883    2.776025736    1.926236361    1.244129914    -0.862395      	-2.66752e+00
18       NO_ID      0.1608913002   1.572900407    2.3081493      2.804262169    2.00412656     1.882265982    1.14719178     3.048731131    0.45122034     0.9049080953   -1.257741      	-2.66752e+00
19       NO_ID      0.1206355703   0.2416712433   2.027608025    2.460014547    1.64591067     1.730658906    2.120350693    1.615613374    2.867782777    1.221012032    -1.896128      	-2.66752e+00
20       NO_ID      0.4790265915   0.5594662613   2.85386768     1.137757733    1.403648101    0.8312770846   1.410306795    0.8749686163   2.340662619    0.2268783666   -2.134109      	-2.66752e+00
21       NO_ID      2.879668535    1.733407305    0.6435582862   0.7258940195   0.8844554828   2.516885103    2.041903073    2.242385815    2.436177052    0.103565611    -0.860803      	-2.66752e+00
22       NO_ID      0.6643014684   1.505389477    0.7608305457   1.07103602     2.392175099    2.19104446     1.173819328    2.042903711    3.04520457     0.4282459343   -1.925955      	-2.66752e+00
23       NO_ID      1.595310814    1.764062934    1.263214858    1.458667234    2.187744195    1.054519091    2.348236187    0.9388361961   1.120794828    1.092870951    -1.611459      	-2.66752e+00
24       NO_ID      0.9008912167   3.033297406    1.402756547    2.180582571    1.952004249    2.049317157    1.964671661    1.816686696    2.218600784    2.388085085    -1.875296      	-2.66752e+00
25       NO_ID      0.08507898241  0.4632827471   2.067932587    1.713259413    2.017773332    2.351878361    2.983984362    0.7251673785   2.792714366    0.8691131369   -0.506963      	-2.66752e+00
26       NO_ID      0.859348367    2.24189262     1.67621985     2.2633763      0.5432868149   2.098233282    1.630397572    0.6876561565   0.2247599448   1.164187714    -0.374115      	-2.66752e+00
27       NO_ID      2.038982893    1.303209614    0.8589875398   0.05182287802  2.372891159    0.03531645596  2.431161713    0.2306770978   0.7895841923   2.190201813    -1.005246      	-2.66752e+00
28       NO_ID      2.854468173    2.632673894    2.73574854     0.7759360861   1.814076103    0.9217538312   2.649820652    2.145464759    0.6573723155   1.471593048    -1.226816      	-2.66752e+00
29       NO_ID      1.525075295    2.369538036    0.9302145571   2.995857133    2.955030779    2.206975018    3.076074441    1.445080852    1.508853525    2.329945953    -0.873018      	-2.66752e+00
30       NO_ID      1.265544404    2.964593784    1.88755927     2.225522108    2.293377932    0.9799031725   2.997507575    2.813730755    1.820529174    0.9120901673   -0.648443      	-2.66752e+00
31       NO_ID      1.703433233    1.339904396    1.50278875     1.739843385    0.1009360635   1.393155669    0.8200228217   2.88808597     1.249153493    1.440379766    -1.402576      	-2.66752e+00
32       NO_ID      1.490830636    1.405044141    0.1503232364   1.037527672    1.470114872    1.775017812    2.922801724    2.108102677    0.6620493708   2.021350522    -1.461767      	-2.66752e+00
33       NO_ID      1.854187494    2.016519897    0.8819589959   2.410944462    1.773096916    0.2083710494   0.4891805483   2.011030529    2.375585955    0.3298297299   -0.589168      	-2.66752e+00
34       NO_ID      2.378612082    0.09625117763  1.072644538    0.9686689802   2.144587272    2.768573985    0.2378542669   1.141810514    1.364916576    2.616394424    -0.768046      	-2.66752e+00
35       NO_ID      0.7055023005   1.526709387    0.6875972595   2.23490339     0.0652350618   1.656729253    2.07499253     0.1597890735   2.135012946    0.7181503351   -1.604228      	-2.66752e+00
36       NO_ID      0.5370098172   1.825268811    1.745064771    3.119794344    0.6111752971   0.2393059656   2.295710442    1.681490043    1.54063074     1.046074802    -0.051008      	-2.66752e+00
37       NO_ID      1.139118137    2.178052961    1.977937754    0.721474       0.313936987    1.419590089    2.248592301    1.043863529    0.1490800812   0.5149607347   -0.373195      	-2.66752e+00
38       NO_ID      2.181041566    0.06915835959  2.207294083    0.918552668    2.099048527    0.3824109812   2.368643695    0.709147412    2.481148289    0.492652839    -2.074461      	-2.66752e+00
39       NO_ID      3.093043516    1.429599929    2.80568394     2.363180909    0.7473406511   1.804264556    1.307133398    2.182178584    1.450072454    2.748658175    -0.616015      	-2.66752e+00
40       NO_ID      0.6187312014   1.075765494    2.662219913    2.949980043    0.522148863    1.347869453    0.3050473204   0.6282475224   1.669910616    0.8123855414   -1.064756      	-2.66752e+00
41       NO_ID      2.117401982    0.9564625458   1.633485203    1.971381881    2.472497155    0.5039765331   3.045636413    2.211110489    0.9011440134   2.433947821    -1.272477      	-2.66752e+00
42       NO_ID      0.01730382841  1.225888096    1.195348143    1.329354176    2.874618019    2.600048838    1.380919347    1.867474645    0.404433198    1.806953808    -0.754888      	-2.66752e+00
43       NO_ID      1.422353721    2.284163696    2.429708212    0.9958116457   2.50602152     2.718540936    0.2066217829   0.9619346422   1.644754767    1.777974591    -1.62367       	-2.66752e+00
44       NO_ID      0.7743757841   2.856147083    2.503747519    2.127491531    1.099958276    0.9460418515   0.7355232955   0.7923309181   0.08398607944  2.50909634     -1.951887      	-2.66752e+00
45       NO_ID      2.398969573    2.930584996    0.6053475022   1.36981279     2.912446972    2.243669888    2.05790629     1.988250582    0.3756550771   0.5688408598   -0.367849      	-2.66752e+00
46       NO_ID      0.2045437042   0.05531021061  1.296744081    1.783638415    0.5019975725   0.7450406888   2.530579318    1.834320364    0.9926372589   0.8414521377   -1.494095      	-2.66752e+00
47       NO_ID      2.342303906    1.545882604    0.2190349541   1.856859252    2.640258558    2.386765134    0.9337581637   2.410100778    2.185178996    2.804467926    -3.163702      	-3.16370e+00
48       NO_ID      2.243528387    2.216111736    1.54397723     0.3669029721   0.8047961474   0.7750803239   1.441439339    0.1317190454   2.660857908    2.366368299    -2.261378      	-3.16370e+00
49       NO_ID      1.130145616    0.9783737211   0.2780614986   0.07601344266  0.4277814601   1.021273998    2.263183537    0.6540888109   0.9590329094   2.006922854    -0.319629      	-3.16370e+00
50       NO_ID      1.006063173    2.044737242    0.5318068634   1.62679175     0.1425903926   2.62613531     0.05016824351  0.7601543868   2.574665778    1.707379398    -0.624173      	-3.16370e+00
51       NO_ID      0.629257189    2.665393575    0.803375627    1.829375876    0.1702827128   2.29084398     2.49249734     3.094290963    1.412436153    1.957068751    -0.687045      	-3.16370e+00
