%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      1.604276756    2.479556332    1.683376853    1.246891517    0.1991526459   0.1663298533   0.8139497536   2.363006324    0.8555091662   1.758398989    -1.534935      
2        NO_ID      1.943713217    0.06061410441  1.231356949    0.6282370439   2.618593412    1.78630605     2.2709535      1.736449322    2.58690141     0.6211462837   -2.467432      	-2.46743e+00
3        NO_ID      1.080286116    1.464094289    1.223417551    0.6398273905   2.203041858    1.953760771    2.794606125    0.8020591799   1.410961664    0.9806935846   -3.110292      	-3.11029e+00
4        NO_ID      0.2732472399   1.294883905    2.385455995    1.196661379    2.525960475    3.029618292    2.198894912    2.434642143    2.932589334    2.287248989    -1.121586      	-3.11029e+00
5        NO_ID      1.352134727    0.2851217562   1.475958402    0.04135205057  1.168808042    1.164556149    2.414549627    1.344711634    0.2205417632   2.869020893    -0.971512      	-3.11029e+00
6        NO_ID      2.278421602    0.367113621    0.333749295    0.7937002397   0.9442750772   0.9366711802   2.342430246    3.045494734    2.642990266    1.912773284    -2.264906      	-3.11029e+00
7        NO_ID      2.525743383    1.683638551    1.165221296    2.586657281    0.4163081482   2.586141299    2.883853971    3.089456776    1.50779159     2.931123618    -1.072623      	-3.11029e+00
8        NO_ID      0.3015161539   0.995852969    0.437848042    1.366102996    0.6605325481   2.300216767    1.355820227    1.366313591    1.026694239    0.2278080522   -0.980032      	-3.11029e+00
9        NO_ID      2.426599062    2.22562094     3.065106029    1.426447011    0.4983618028   2.048537386    0.4577688738   0.1611231785   0.9390113356   2.385409029    -0.942467      	-3.11029e+00
10       NO_ID      1.670569134    0.2238756242   1.420939275    1.410078818    1.433840667    1.8483241      1.399021374    1.653739899    1.250597109    0.8558315006   -1.106929      	-3.11029e+00
11       NO_ID      0.5106025561   1.398471766    1.065550177    0.3698902684   2.370452218    2.350170737    2.515717578    1.268364384    2.673650255    1.519595575    -1.600053      	-3.11029e+00
12       NO_ID      2.470856772    0.7972238177   0.6122390189   0.254116322    1.941253165    1.695133203    1.913501584    1.600608315    3.067985792    0.4056473684   -0.555462      	-3.11029e+00
13       NO_ID      0.3209479526   3.092482559    2.182526486    0.7435557577   0.5525318914   2.391481645    1.292373695    2.094600473    2.571807943    1.997667928    -1.904829      	-3.11029e+00
14       NO_ID      0.4154601525   2.728969104    2.632995392    2.011554898    2.888747184    1.031763753    2.672163021    3.010740812    0.1608226977   0.32353152     -0.625756      	-3.11029e+00
15       NO_ID      1.28865081     3.012341489    1.351212554    2.343999474    0.7072161672   0.8979904258   2.036736441    1.104886252    0.8901009977   2.726347914    -1.86907       	-3.11029e+00
16       NO_ID      1.882604417    1.854219041    0.1593504957   1.123095685    1.234421763    3.080574628    1.002506086    1.771250236    0.3486551173   0.3640932361   -1.854545      	-3.11029e+00
17       NO_ID      3.111666358    1.201516497    1.343439215    0.2898741898   0.2636816517   1.330632291    1.321736267    0.8603972344   1.283142565    2.016695957    -2.017232      	-3.11029e+00
18       NO_ID      1.223859483    2.931753929    2.497565224    2.802151138    0.5100287344   0.7045342039   1.660276179    2.346678191    0.3803804432   0.4937382652   -0.637526      	-3.11029e+00
