%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.1394367535   2.93420092     3.067345425    1.807255882    0.973536767    0.2429576803   2.957980104    1.445266624    1.977798682    1.697138306    -1.440664      
2        NO_ID      0.187811432    1.743644543    0.4637153098   1.202337757    0.04831820904  2.190232616    0.6408410616   2.569213023    0.4667656003   2.968649439    -0.759442      	-7.59442e-01
3        NO_ID      0.3927343254   3.130307803    0.1719781738   0.2019118626   2.12261894     2.383897713    2.608815652    0.6848857851   0.5097042505   1.529910132    -0.902459      	-9.02459e-01
4        NO_ID      2.022318331    0.01326927329  2.511532542    1.265346311    0.7211647196   0.02812878022  1.964259129    1.956624747    2.366385208    2.501732078    -0.578885      	-9.02459e-01
5        NO_ID      1.082345515    1.208643838    2.745337299    2.078484288    1.536101061    1.929366897    0.8700964984   2.984564622    2.462127544    2.273524462    -1.267558      	-1.26756e+00
6        NO_ID      3.058130459    2.64021536     0.5028792927   3.097473131    2.245639745    1.889192698    0.25282828     2.652253132    2.893384014    2.783566159    -0.849433      	-1.26756e+00
7        NO_ID      0.484413918    2.471645741    1.861803249    1.131724416    0.8808910085   2.581170508    0.1645091593   1.924718957    0.1880519097   2.536059489    -1.671753      	-1.67175e+00
8        NO_ID      0.9956974775   1.157626783    1.806024925    0.7172457984   2.271037876    2.571163583    3.087667717    0.2390946016   0.09516420456  3.138890758    -0.214827      	-1.67175e+00
9        NO_ID      0.888698402    1.76948423     1.364029936    0.8516026359   2.303259844    0.8912974199   2.434024163    2.418709753    1.600980229    1.46669094     -1.642561      	-1.67175e+00
10       NO_ID      2.850031936    2.215526472    0.2701724249   1.901763064    0.02362332036  1.734240937    1.300658973    1.725641696    1.444732382    0.5393168091   -1.318003      	-1.67175e+00
11       NO_ID      0.5110881404   1.097831189    0.3468812845   1.32325884     0.1646881449   0.7530542306   1.359039657    2.960689064    2.678292445    0.3899040217   -0.466405      	-1.67175e+00
12       NO_ID      1.780309753    1.63792845     2.039182333    1.237753029    1.62300493     1.032846833    1.176982541    3.10688143     1.635158081    1.494624151    -1.911159      	-1.91116e+00
13       NO_ID      2.679235953    1.001179557    0.3370351641   2.88463137     0.4621926949   1.214036821    2.262223392    0.5811045047   1.505813582    1.687978636    -0.192146      	-1.91116e+00
14       NO_ID      2.872005278    0.7126048338   2.81261897     2.715941034    0.7311176755   0.5760749855   2.562228671    2.19791929     0.4210051459   1.326821007    -0.176506      	-1.91116e+00
15       NO_ID      2.56188223     3.010953928    2.311744344    2.516632032    2.736096633    0.8398301788   1.788671462    2.529013318    1.818347073    0.8126500406   -1.051408      	-1.91116e+00
16       NO_ID      2.323456641    0.1455933535   2.684896069    0.472463462    0.2201055576   0.1733642299   0.1161920629   1.064298263    1.130916546    2.894949017    -0.828957      	-1.91116e+00
17       NO_ID      2.244558428    2.682059404    1.975330035    2.56951405     0.06476913379  3.059636228    0.9455499805   1.012716453    1.276943076    1.046123222    -2.239087      	-2.23909e+00
18       NO_ID      1.462364101    2.773290326    2.629672631    0.160182703    2.628877751    2.794397597    2.725040862    2.296429828    2.22754427     2.217022106    -1.496739      	-2.23909e+00
19       NO_ID      1.194587572    0.9498644261   2.964457943    2.242879006    1.736092015    2.210369089    0.7888318017   2.598565744    2.329099696    0.136491504    -1.912658      	-2.23909e+00
20       NO_ID      0.4420865734   2.097795596    1.414318674    1.859775651    1.585319328    1.054411943    2.853785249    1.740391537    0.04072051408  0.185293884    -1.515884      	-2.23909e+00
21       NO_ID      2.809631617    2.425221061    1.197967133    0.6286509777   0.3597031155   2.51796244     1.703120088    2.387220319    3.120775235    2.08142515     -1.03957       	-2.23909e+00
22       NO_ID      1.349318262    0.264361469    2.361375166    0.5338370037   1.780808977    1.238786026    0.8442058835   0.04607549505  1.235656939    0.3360641109   -1.363868      	-2.23909e+00
23       NO_ID      1.377629201    2.276418089    0.770992228    0.395537424    0.5701026926   2.906235901    2.128381128    1.373662202    1.739271615    1.206223335    -1.775225      	-2.23909e+00
24       NO_ID      3.102044079    1.89015518     0.6892527105   3.052904964    2.589340337    2.490534797    0.2198866382   2.044028696    0.3176845692   2.858522976    -0.42842       	-2.23909e+00
25       NO_ID      0.2924198775   0.5191276845   0.402790789    1.024461376    1.647602554    3.102733759    1.832052854    3.02966422     2.64596394     0.7494415994   -1.549555      	-2.23909e+00
26       NO_ID      2.617267702    1.041237898    0.6092177634   2.696334843    0.1103255088   1.496420303    0.372383721    0.06372000059  2.300744281    2.889257736    -0.359619      	-2.23909e+00
27       NO_ID      2.779024673    0.3798896675   2.555478283    0.5730769202   0.6015117062   2.703246942    2.098363637    2.630449824    0.9485211805   2.235637178    -0.454997      	-2.23909e+00
28       NO_ID      0.3310766486   0.04724814956  1.571854407    1.435506914    1.199712475    1.266974598    0.7461380613   0.7142110307   1.725237783    0.9463851575   -0.544546      	-2.23909e+00
29       NO_ID      2.484481955    1.564478598    0.1091092781   0.6142270817   1.154883665    2.051289713    1.812204062    0.8123498436   0.2003157425   2.758367309    -2.488016      	-2.48802e+00
30       NO_ID      1.739106567    0.3142041267   2.061620878    1.52909377     3.012480382    3.138731879    0.07758832097  1.790867353    1.064355479    0.2219585712   -0.437516      	-2.48802e+00
31       NO_ID      1.536525753    0.6751102044   2.221710447    2.587714004    0.8673701528   0.1987972121   1.744540814    2.103912631    1.832197952    1.825303823    -1.582791      	-2.48802e+00
32       NO_ID      1.836818831    0.7556514073   1.387626666    1.189443184    1.354958682    1.846561137    3.033089868    0.4383879514   2.421238771    0.01214434163  -1.250878      	-2.48802e+00
33       NO_ID      1.720035044    2.415485688    1.151681554    0.8312216349   2.815902592    0.3946387651   2.887428483    2.856562812    0.7432944017   2.550457546    -1.370456      	-2.48802e+00
34       NO_ID      2.903240082    1.614853839    2.196286815    0.1475510698   2.767722935    0.6045445232   1.913009503    1.522785127    0.2821526045   2.192722993    -2.023717      	-2.48802e+00
35       NO_ID      2.405600238    1.479552021    1.498030097    0.2555550961   0.7936487162   2.692094152    1.083407313    2.907291827    0.8479727728   0.4999574268   -1.340753      	-2.48802e+00
36       NO_ID      1.170638724    2.182130438    1.650361892    1.995218693    1.490673231    2.956824286    0.5502927469   0.7226488365   0.8134377132   0.6067660016   -0.981614      	-2.48802e+00
37       NO_ID      2.286094736    1.686484153    1.075380814    2.191893153    1.059385244    1.321339334    2.180850413    1.07276699     2.084531565    1.76235559     -2.047026      	-2.48802e+00
38       NO_ID      0.2820518902   2.024697647    0.8609111054   1.573037703    1.814340213    1.819876241    0.4281571931   2.450056501    2.794007924    0.06097586745  -0.052848      	-2.48802e+00
39       NO_ID      1.389536099    1.323588023    2.890523689    1.838492083    1.031031395    2.878876003    1.857100101    1.764915701    1.930461151    2.987959624    -3.212325      	-3.21232e+00
