%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      2.37709519     3.016190296    1.490122482    1.310062822    2.596202675    0.8921674421   1.118621682    1.966091766    1.950000142    2.571287244    -2.322398      
2        NO_ID      1.98782584     2.620068343    2.935070175    0.125890116    2.850358606    1.897630822    2.716482769    1.315236295    0.1383072042   2.946661009    -0.908721      	-9.08721e-01
3        NO_ID      0.8391940897   0.5322900981   1.01213365     0.4630732384   1.924960079    2.061808532    0.3699940298   0.08898962581  1.649524956    1.341140237    -1.416306      	-1.41631e+00
4        NO_ID      0.7778865621   2.218205811    0.2948793759   2.466275258    1.285381884    1.937678527    0.8333398302   1.663137521    1.985588304    1.626033281    -1.701412      	-1.70141e+00
5        NO_ID      2.778910157    2.309940533    1.1800088      0.8226968264   0.07845085679  0.1782056698   2.31101583     2.743027491    2.957504072    1.565291787    -1.487251      	-1.70141e+00
6        NO_ID      0.6457656401   1.655824203    2.310588392    2.420332659    2.320477626    1.978126351    0.1271899545   2.772347071    1.305863554    1.28933655     -1.978789      	-1.97879e+00
7        NO_ID      1.744012244    0.3594617793   0.06030913583  0.3274501015   0.8160523863   2.40227967     2.445847554    1.774202846    1.445284354    2.088422347    -1.942837      	-1.97879e+00
8        NO_ID      2.971443209    1.533813115    0.1036044897   1.783643077    2.510842456    0.477789845    0.9423191878   2.404226686    1.393179975    1.241576853    -1.767546      	-1.97879e+00
9        NO_ID      0.2051729051   1.136813189    2.467095668    3.086498243    2.775823976    0.1427673044   0.6421503843   2.201134254    2.029953057    1.803071677    -0.019054      	-1.97879e+00
10       NO_ID      2.565072063    0.3999611821   2.088421293    1.855526968    0.06087574024  0.2620114218   2.192041707    1.692296845    1.068170768    0.5032306316   -0.771558      	-1.97879e+00
11       NO_ID      0.3905147382   2.088399206    0.9336602385   2.606029365    0.707499517    0.984468531    2.871813568    0.4647879788   2.177996036    0.05948464077  -0.413876      	-1.97879e+00
12       NO_ID      1.645994767    0.2464801059   2.232012394    0.8070469261   0.7790908659   0.5981916422   0.07222243696  0.3369640941   0.6772094925   0.5931587626   -1.182801      	-1.97879e+00
13       NO_ID      2.165776638    1.045244886    2.038199347    0.8805255405   1.419352641    2.614915999    0.4186068123   2.367991183    2.298859483    1.466468382    -1.373099      	-1.97879e+00
14       NO_ID      2.470493406    0.3054466486   2.58550128     1.698536835    1.180913055    1.099012993    1.309496839    1.194012536    0.830970818    2.735422992    -0.500866      	-1.97879e+00
15       NO_ID      2.059953365    2.762129825    2.263462206    2.037745423    0.9589935663   2.090902109    2.273698407    1.064293285    2.107571419    0.1133873605   -2.264166      	-2.26417e+00
16       NO_ID      3.121933131    1.018969916    1.300505538    0.6717164789   2.209099766    0.6397223893   1.142999891    0.04827164943  0.194561962    0.9831619863   -1.690018      	-2.26417e+00
17       NO_ID      1.958836163    0.6470346481   1.370924077    0.5516052669   1.570318564    1.995397453    1.060076218    2.352076142    2.780506566    1.885671346    -2.365699      	-2.36570e+00
18       NO_ID      0.09325946573  3.113310174    1.586617963    1.551569027    1.963437518    1.010239211    3.137984219    2.197509398    1.561883146    1.11752957     -0.19802       	-2.36570e+00
