FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-2.20682	-1.21875	-0.143755	-1.18126	-0.533583	-1.28722	-0.602393	-2.34986	-2.679	-1.06168	-1.3264321000000003
2	-2.20682	-1.48438	-0.910541	-1.2527	-2.21528	-1.28722	-1.52138	-2.34986	-2.679	-1.06168	-1.6968861
3	-2.20682	-1.48438	-0.910541	-1.74544	-2.21528	-2.22962	-1.52138	-2.34986	-2.679	-1.06168	-1.8404001
4	-2.20682	-1.48438	-0.910541	-1.74544	-2.21528	-2.22962	-1.52138	-2.34986	-2.679	-2.57247	-1.9914791
5	-2.20682	-1.48438	-0.910541	-1.74544	-2.21528	-2.22962	-1.64291	-2.34986	-2.679	-2.57247	-2.0036321
6	-2.20682	-2.71812	-2.03325	-1.74544	-2.21528	-2.22962	-1.64291	-2.34986	-2.679	-2.57247	-2.239277
7	-2.20682	-2.71812	-2.03325	-1.74544	-2.21528	-2.22962	-1.64291	-2.34986	-2.679	-2.57247	-2.239277
8	-2.7759	-2.71812	-2.03325	-1.74544	-2.21528	-2.22962	-1.64291	-2.34986	-2.679	-2.57247	-2.296185
9	-2.7759	-2.71812	-2.03325	-1.74544	-2.21528	-2.22962	-1.6486	-2.34986	-2.679	-2.57247	-2.296754
10	-2.7759	-2.71812	-2.03325	-1.74544	-2.21528	-2.22962	-1.6486	-2.34986	-2.679	-2.57247	-2.296754
11	-2.7759	-2.71812	-2.47909	-1.74544	-2.21528	-2.22962	-1.6486	-2.34986	-2.679	-2.57247	-2.3413379999999995
12	-2.7759	-2.71812	-2.47909	-2.41628	-2.21528	-2.22962	-1.84484	-2.34986	-2.679	-2.57247	-2.4280459999999997
13	-2.7759	-2.71812	-2.47909	-2.41628	-2.21528	-2.22962	-1.84484	-2.34986	-2.679	-2.57247	-2.4280459999999997
14	-2.7759	-2.71812	-2.47909	-2.41628	-2.21528	-2.22962	-1.84484	-2.34986	-2.679	-2.57247	-2.4280459999999997
15	-2.7759	-2.71812	-2.47909	-2.41628	-2.21528	-2.22962	-1.84484	-2.34986	-2.679	-2.57247	-2.4280459999999997
16	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-1.84484	-2.34986	-2.679	-2.57247	-2.496053
17	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.34986	-2.679	-2.57247	-2.544443
18	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.34986	-2.679	-2.57247	-2.544443
19	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.34986	-2.679	-2.57247	-2.544443
20	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.34986	-2.679	-2.57247	-2.544443
21	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.34986	-2.679	-2.57247	-2.544443
22	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.34986	-2.679	-2.57247	-2.544443
23	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.34986	-2.679	-2.57247	-2.544443
24	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.40917	-2.679	-2.57247	-2.5503739999999997
25	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.40917	-2.679	-2.57247	-2.5503739999999997
26	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.40917	-2.679	-2.57247	-2.5503739999999997
27	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.40917	-2.679	-2.57247	-2.5503739999999997
28	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.40917	-2.679	-2.57247	-2.5503739999999997
29	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.40917	-2.679	-2.58022	-2.5511489999999997
30	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.40917	-2.679	-2.58022	-2.5511489999999997
31	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.40917	-2.679	-2.58022	-2.5511489999999997
32	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.32874	-2.40917	-2.679	-2.58022	-2.5511489999999997
33	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.39962	-2.40917	-2.679	-2.58022	-2.5582369999999997
34	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.39962	-2.40917	-2.679	-2.58022	-2.5582369999999997
35	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.39962	-2.40917	-2.679	-2.58022	-2.5582369999999997
36	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.22962	-2.39962	-2.40917	-2.679	-2.58022	-2.5582369999999997
37	-2.7759	-2.71812	-3.15916	-2.41628	-2.21528	-2.28954	-2.39962	-2.40917	-2.679	-2.58022	-2.564229
38	-2.7759	-2.71812	-3.15916	-2.79152	-2.21528	-2.28954	-2.39962	-2.40917	-2.679	-2.58022	-2.601753
39	-2.7759	-2.71812	-3.15916	-2.79152	-2.21528	-2.28954	-2.39962	-2.40917	-2.679	-2.58022	-2.601753
40	-2.7759	-2.71812	-3.15916	-2.79152	-2.21528	-2.28954	-2.39962	-2.40917	-2.679	-2.58022	-2.601753
41	-2.7759	-2.71812	-3.15916	-2.79152	-2.21528	-2.28954	-2.39962	-2.40917	-2.679	-2.58022	-2.601753
42	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.39962	-3.1413	-2.679	-2.58022	-2.683156
43	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.39962	-3.1413	-2.679	-2.58022	-2.683156
44	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.39962	-3.1413	-2.679	-2.58022	-2.683156
45	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.39962	-3.1413	-2.679	-2.58022	-2.683156
46	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.39962	-3.1413	-2.679	-2.58022	-2.683156
47	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.39962	-3.1413	-2.679	-2.58022	-2.683156
48	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.39962	-3.1413	-2.679	-2.58022	-2.683156
49	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.39962	-3.1413	-2.679	-2.58022	-2.683156
50	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.39962	-3.1413	-2.679	-2.58022	-2.683156
51	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.39962	-3.1413	-2.679	-2.58022	-2.683156
52	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.39962	-3.1413	-2.679	-2.58022	-2.683156
53	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.39962	-3.1413	-2.679	-2.58022	-2.683156
54	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.9125	-3.1413	-2.679	-2.58022	-2.734444
55	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.9125	-3.1413	-2.679	-2.58022	-2.734444
56	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.9125	-3.1413	-2.679	-2.58022	-2.734444
57	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.9125	-3.1413	-2.679	-2.58022	-2.734444
58	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.9125	-3.1413	-2.679	-2.58022	-2.734444
59	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.9125	-3.1413	-2.679	-2.58022	-2.734444
60	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.9125	-3.1413	-2.679	-2.58022	-2.734444
61	-2.7759	-2.71812	-3.15916	-2.79152	-2.29718	-2.28954	-2.9125	-3.1413	-2.679	-2.58022	-2.734444
62	-2.7759	-2.71812	-3.15916	-2.79152	-3.50558	-2.28954	-2.9125	-3.1413	-2.679	-2.58022	-2.855284
63	-2.7759	-2.71812	-3.15916	-2.79152	-3.50558	-2.83024	-2.9125	-3.1413	-2.679	-2.58022	-2.909354
64	-2.7759	-2.71812	-3.15916	-2.79152	-3.50558	-2.83024	-2.9125	-3.1413	-2.679	-2.58022	-2.909354
65	-2.7759	-2.71812	-3.15916	-2.79152	-3.50558	-2.83024	-2.9125	-3.1413	-2.679	-2.58022	-2.909354
