%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      1.957540291    0.612094877    0.03022723229  1.563502662    2.029213685    0.928310562    2.041898661    2.388958033    1.73705352     2.87471221     -1.208898      
2        NO_ID      2.343493638    1.64531984     0.4466428739   1.009945135    1.085973559    1.498202009    2.854465866    0              2.531942255    0.0954758274   -2.206816      	-2.20682e+00
3        NO_ID      0.2175450449   1.759710685    1.9450972      2.093050542    1.846540675    1.984249521    0              0.31186674     0.7922482528   0.457506512    -0.908203      	-2.20682e+00
4        NO_ID      2.673897424    3.141593       1.899718161    0.9316924157   0.01714612809  2.427207617    2.579814804    1.48758295     1.565774002    2.963096219    -0.427386      	-2.20682e+00
5        NO_ID      0.2624201318   1.785163679    1.499905483    2.34973708     0.2366982338   2.065813664    1.664420797    0.08659867885  3.09782968     1.601688383    -0.872433      	-2.20682e+00
6        NO_ID      3.137652352    0.06023637709  2.496487982    3.092307434    2.806931089    0.1832550964   2.328255108    0              2.304475468    1.986591678    -0             	-2.20682e+00
7        NO_ID      2.787772135    0.356817571    1.573974219    0.5120611008   1.193934524    0.6204744255   2.454658956    1.619198793    0.2860651111   0.7510427348   -0.418128      	-2.20682e+00
8        NO_ID      1.85319123     0.1971421305   2.220446049e-16 1.756495783    0.2718531408   2.719350758    0.7901149268   0.9152643388   0.8322479193   1.160124662    -1.30589       	-2.20682e+00
9        NO_ID      3.130843191    2.958485538    3.114890402    1.113728515    1.001801534    3.141593       2.214279231    2.68939646     1.194597626    0.6366223847   -2.775898      	-2.77590e+00
10       NO_ID      2.727542672    2.511162421    1.916370743    3.141593       2.088412819    2.573711404    3.086523391    2.64349121     2.652485694    1.761943286    -0.263888      	-2.77590e+00
11       NO_ID      0.01590157151  1.284425212    0.2377155062   0.03694914949  2.77982059     2.097668274    0.02228323783  1.537121969    1.85427325     2.167027634    -0.092076      	-2.77590e+00
12       NO_ID      1.733361226    3.054125464    2.572293461    0.4250328867   2.907076598    2.112938873    3.141593       2.519933907    1.170343262    0.5441822571   -0.033355      	-2.77590e+00
13       NO_ID      1.253451585    2.220446049e-16 1.445987049    2.130100138    1.412564384    2.288396017    2.916198604    1.879526381    2.373974983    0.5608329102   -0.169877      	-2.77590e+00
14       NO_ID      1.813376172    0.422774275    2.137205672    1.47324324     3.141593       2.452480947    3.095274478    1.635531675    0.9931957334   2.916504906    -0.400125      	-2.77590e+00
15       NO_ID      1.522908177    1.772872747    2.62147018     2.347149927    1.151560798    3.123135896    1.837431042    2.152581588    1.971949413    0.6235406117   -1.439066      	-2.77590e+00
16       NO_ID      1.894532457    0.7744761743   1.758092905    0.8156665609   3.031960996    1.407583311    1.370965544    0.07393893603  2.903502958    1.505619831    -0.226624      	-2.77590e+00
17       NO_ID      0.4083945971   0.3104316752   1.316308309    1.679015413    2.137735097    0.05678138184  0.7158282965   0.1024394837   0.7143488047   2.885739905    -1.777151      	-2.77590e+00
18       NO_ID      3.141593       2.215178646    2.988962206    0.4387826809   2.406011439    1.053683684    2.97684501     1.500712153    0.4321984505   3.056031082    -0.112591      	-2.77590e+00
19       NO_ID      1.961333397    2.957658252    2.970442266    0.5634627292   1.844644771    1.415535697    0              2.739025212    1.933110558    1.762359814    -0.679846      	-2.77590e+00
20       NO_ID      0.3955587816   0.01307628132  3.052047696    3.141593       0.04208327393  0.5617675656   3.002891013    1.218587333    0.148556978    0.07213266653  -0.046207      	-2.77590e+00
21       NO_ID      3.041102816    1.965949732    2.990003946    0.8451307621   2.183431604    3.049703631    2.315765237    1.368806551    0              0.2423131345   -1.360735      	-2.77590e+00
22       NO_ID      2.52165005     3.025989849    1.292941825    0.01753321368  0.356617759    1.535502762    0              0.2958304839   2.442951328    0.7242612378   -2.729354      	-2.77590e+00
23       NO_ID      0.1989087643   0.6682317181   0.09848381233  2.00100683     3.141593       1.169622806    1.598685812    1.60905183     1.492676892    0.8915970626   -0.197604      	-2.77590e+00
24       NO_ID      0.9710022642   2.490461257    0.6031263419   0.85480855     1.653759141    0.7653639063   1.111552023    1.265941754    2.892301345    2.811287282    -0.418574      	-2.77590e+00
25       NO_ID      2.905371786    2.748514658    2.958068975    1.571929266    1.549449896    1.612937484    0.9756631222   1.876670122    0.9285016639   1.000224056    -0.910317      	-2.77590e+00
26       NO_ID      2.424640224    2.273066883    0.9642254565   1.776786868    0.1153133089   2.516159619    0.9193274651   1.383475425    2.578647648    1.703320323    -1.323691      	-2.77590e+00
27       NO_ID      1.619949048    2.144926868    1.309042256    0.1530635225   0.3737635274   0.7881075532   3.012349459    1.90015116     2.488231651    2.006621936    -1.238068      	-2.77590e+00
28       NO_ID      2.0545565      2.026549696    2.937041004    1.039593476    0.3929749567   3.068800035    2.699970069    2.415330504    1.810374581    2.030309987    -1.162262      	-2.77590e+00
29       NO_ID      1.406033755    0.2312751662   0.7664795156   0.3737826368   1.101200776    1.605546697    1.897964771    0.1474906604   1.798859703    1.549227371    -2.209046      	-2.77590e+00
30       NO_ID      0.1682745471   0.9877761505   2.560009141    1.747214351    2.527097058    0.3028530946   0.7146599674   3.086913267    2.721801883    1.206990203    -0.979019      	-2.77590e+00
31       NO_ID      2.043112425    3.017559351    1.442725347    1.545030569    0.9978551808   2.722080171    2.250118167    2.846228412    0              1.682137002    -2.431149      	-2.77590e+00
32       NO_ID      2.866096272    2.338585026    1.061495451    2.031436301    0.890014079    0.9975700215   0.2096354277   1.185732777    1.616203278    0.01896130813  -0.922727      	-2.77590e+00
33       NO_ID      1.122344697    1.498865019    0.8609814057   1.831007577    1.480678136    2.929184309    1.418879782    3.107811572    2.16532127     2.363494271    -1.586866      	-2.77590e+00
34       NO_ID      2.761962697    2.675886652    3.062593743    1.068923392    2.733541969    2.856294903    2.151579615    1.834574384    1.370562099    1.851352011    -2.029688      	-2.77590e+00
35       NO_ID      2.270778023    2.030580319    2.258493484    0.4985051648   0.752691546    0.07166268325  1.674051897    0.2305929777   2.611155024    0.4536818737   -1.333472      	-2.77590e+00
36       NO_ID      0.2409605981   1.04521563     2.552698574    2.613244745    2.594632554    0.145694457    2.209522089    0.2414924954   2.324629016    1.655602152    -0.932762      	-2.77590e+00
37       NO_ID      2.924282535    3.046062759    2.098727788    2.93822185     0.9594958585   3.092795034    1.224106339    3.020538664    1.497061918    0.5199968926   -1.035669      	-2.77590e+00
38       NO_ID      2.676360171    2.423320971    1.062973272    0.6083080547   1.282236718    2.945723567    0.7891730469   0.8068671665   0.6646333954   0.8763394681   -1.488061      	-2.77590e+00
39       NO_ID      0.329519333    2.613296221    2.035343992    1.947203567    1.63918947     1.037973647    0.9165497021   3.034442414    0.1460119481   0.4283318456   -1.567696      	-2.77590e+00
40       NO_ID      0.4695926676   0.3728914896   0.8431636547   2.873704725    0.4727346803   1.607714314    0.2380125777   2.176413116    3.016320876    1.400000876    -0.627605      	-2.77590e+00
41       NO_ID      0.2703215866   0.1267387856   1.780909307    0.7719059408   1.862486315    1.538655847    0.6147184433   2.577842719    1.444556088    2.157347114    -0.846627      	-2.77590e+00
42       NO_ID      2.580787814    1.728576041    2.581622088    0              0.3427499844   3.029081947    1.063414869    2.783070073    3.100569883    0.03945749383  -0.407653      	-2.77590e+00
43       NO_ID      1.231000861    2.969374971    2.790163291    2.811460382    0.5808117324   0.3170219575   1.572872567    3.001881029    2.145575112    2.101893359    -0.87495       	-2.77590e+00
44       NO_ID      2.857258347    2.600840403    2.498036858    0.4184998639   1.600890179    3.067796591    3.141593       3.131444384    2.692841447    0.6494362649   -0.586804      	-2.77590e+00
45       NO_ID      2.741934672    1.788762842    2.081868092    0.6721048921   0.2542561069   0.5361689393   0.3207580381   0.6588659836   1.957242437    2.18081321     -1.115797      	-2.77590e+00
46       NO_ID      1.745581113    3.141593       0.552374864    2.829438381    1.125197904    2.762766296    2.514845237    0.3880962154   0.1770901312   0.985396035    -0.762584      	-2.77590e+00
47       NO_ID      1.492953827    2.051728357    0.9150781575   1.219994497    2.3672892      0.8544620091   2.819367325    1.479834053    1.390843813    0.7321118408   -1.477506      	-2.77590e+00
48       NO_ID      0.9615356901   1.203206339    0.9388487739   0.4286996885   0.3746238903   0.8476452737   0.04509461546  2.029467374    0.7167880532   0.3804293834   -1.172677      	-2.77590e+00
49       NO_ID      2.970636394    2.426177487    1.421659012    1.551094025    0              2.513479203    2.851692516    1.76165697     1.325853474    0.6788078961   -2.120587      	-2.77590e+00
50       NO_ID      0.4461903276   2.454649105    0.5937008227   3.074926498    2.922268891    0.5198881928   0.1483130798   1.356795911    0.3834582386   2.236171852    -0.980792      	-2.77590e+00
51       NO_ID      0.762515151    2.619837552    0.5098567672   2.214111567    0.7276445225   1.723972052    2.960874648    1.859273537    2.754037875    1.407528978    -0.152125      	-2.77590e+00
52       NO_ID      3.089413963    2.317291843    2.245555361    1.236605985    0.08341480903  2.493040107    1.673843196    3.07573781     0.828008665    1.762120324    -1.07791       	-2.77590e+00
53       NO_ID      2.262368491    2.599572981    0              0.02176377218  1.349254234    0.4738207267   0.05949322628  0.540041346    1.185355394    0.09613970375  -0.841206      	-2.77590e+00
54       NO_ID      2.938514562    1.192759658    0.2892246207   1.268297082    3.141593       1.464510719    2.340500762    1.112778121    2.666452104    0.1575691707   -0.559327      	-2.77590e+00
55       NO_ID      2.302441948    0.6167431853   1.101235965    0.5304483365   2.014781901    2.258112931    1.534305185    2.838991467    1.770787168    0.6801752728   -1.692507      	-2.77590e+00
56       NO_ID      2.98348322     1.825751441    2.404999602    3.136884339    0.0577637428   1.198683221    0.9310269197   1.621230527    0.4002360731   2.733117517    -0.500477      	-2.77590e+00
57       NO_ID      2.528165506    2.890207797    3.13786501     0.5593682613   1.383269212    1.974628047    2.360060775    2.796194819    0.01589433174  1.739737832    -0.255991      	-2.77590e+00
58       NO_ID      1.735044823    2.8196499      1.543681163    0.671045133    2.127545491    2.137147978    0.7905178092   0.7465176969   2.397600303    1.371712544    -1.178011      	-2.77590e+00
59       NO_ID      0.6349647817   2.739929901    2.517923419    2.874133513    1.508429081    1.976176427    1.969627857    1.396310575    0.6899174184   2.483930522    -1.514413      	-2.77590e+00
60       NO_ID      3.132910423    0              2.514788492    0.2952506624   2.128180765    2.843188867    2.964194302    0.0510899789   0.3202784014   1.259066424    -0.315689      	-2.77590e+00
61       NO_ID      0.893155542    2.714016807    3.141593       0.706653249    1.39695006     1.488245861    1.334848824    2.684445072    2.335510862    0.1576233958   -0.503071      	-2.77590e+00
62       NO_ID      2.401312197    2.704234864    1.598330859    0.2271784538   0.7896015865   3.141532282    2.011049457    2.389664467    0.5902252562   0.488173118    -0.906962      	-2.77590e+00
63       NO_ID      1.800521126    2.851876062    0.7830381036   0.01508522822  0.6270977823   2.336971087    0.8739553548   2.615134451    0.6046203653   3.141593       -1.195003      	-2.77590e+00
64       NO_ID      2.744261615    2.030914844    2.997821703    2.280439895    2.972260941    2.38641098     1.43890765     1.136114643    2.302319855    0.08364666914  -1.652633      	-2.77590e+00
65       NO_ID      0.3194069806   0.9361445896   2.470695336    0.7282024376   0.1534277501   3.141593       0.1779428014   2.959453174    2.207010321    3.018655952    -0.574283      	-2.77590e+00
66       NO_ID      0.07471883425  0.3985732026   2.904718396    1.128447322    1.633090124    0.8975138682   2.408574023    2.501546915    0.9993531122   0.1042784681   -1.912306      	-2.77590e+00
67       NO_ID      3.010373378    2.175776752    3.048931212    1.907588121    0.9219207663   2.087531924    2.335642984    2.143288465    0.6966703563   0              -1.934785      	-2.77590e+00
68       NO_ID      0.3485476842   2.529141935    1.095622164    0.2235500585   0.5596816475   2.230580248    0.1066218888   1.269930655    2.2796493      0.3285562694   -0.165997      	-2.77590e+00
69       NO_ID      2.155181407    0.3651425149   2.410562869    1.830278645    2.689568683    3.033231596    0              2.620117441    2.328388192    1.314722853    -1.289798      	-2.77590e+00
70       NO_ID      2.414629853    2.842831352    2.515613235    0.8191313876   0.9850285044   1.588428382    2.215956391    3.141593       1.690312396    0.4762855008   -3.157585      	-3.15759e+00
71       NO_ID      2.598936742    0.6312774568   0.7368897295   1.008138083    0              3.081464091    2.468441457    0.7097457462   2.175798476    3.067761806    -0.797278      	-3.15759e+00
