%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.1295282927   2.453079464    0.5160643735   1.293249299    0.9642666469   1.567536453    0.2279637799   1.799504872    1.866651949    1.909609562    -2.006234      
2        NO_ID      2.087935916    1.052014967    1.9118388      2.517648549    3.120906171    2.53188312     0.6895332221   0.9109115966   0.01675418024  0              -1.061679      	-1.06168e+00
3        NO_ID      2.894379089    1.285462497    0.399791927    0.5072642942   1.679123151    1.105521921    3.141593       1.957051903    2.152427433    1.447556173    -0.654952      	-1.06168e+00
4        NO_ID      0.8256888157   1.400146551    3.141593       2.834816385    2.497129397    0.7760824163   0.06106762089  0.3202223473   2.632113735    2.079994931    -0.69191       	-1.06168e+00
5        NO_ID      2.079556793    1.398941346    2.368506596    3.092038795    2.481197278    0              2.806825369    0.7867571363   0.6686433473   0.669846967    -2.572473      	-2.57247e+00
6        NO_ID      1.539785133    0.3864865038   0.8703941943   2.694611998    2.120760787    0.8689010209   1.091469748    2.599333104    1.454187598    1.403256359    -1.140468      	-2.57247e+00
7        NO_ID      1.052065145    1.467179282    0.5703502696   3.053694811    0.6864207058   3.122542711    1.923486307    -2.220446049e-16 2.223482758    1.889373486    -1.889462      	-2.57247e+00
8        NO_ID      1.238996828    2.735878057    0.3384700936   0.09000724435  3.141593       2.855760281    2.595159637    2.80342345     2.775089876    0.8046494236   -0.503064      	-2.57247e+00
9        NO_ID      2.157791671    0.8474411239   1.166308988    3.140054387    0.5312090866   0.4427295655   1.839289909    0.3027545471   2.306796895    1.14441818     -1.593999      	-2.57247e+00
10       NO_ID      3.141593       2.994763277    0.9809504483   0.840909607    1.669185894    1.011083942    0.3018247964   0.5100703983   2.992886704    1.767390512    -0.659209      	-2.57247e+00
11       NO_ID      1.859852208    1.018580946    0.4922488098   1.308957263    3.097803791    0.4508554602   2.759085439    0.631506965    0.2809672523   2.336109108    -0.933752      	-2.57247e+00
12       NO_ID      1.374356753    2.476514735    2.32101031     1.5261849      1.500527284    0.4808830847   1.495627043    3.141593       2.488384542    2.575354389    -0.649359      	-2.57247e+00
