%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      2.523357031    2.75550709     2.452560713    2.308434326    0.6296211173   0.5953300241   1.464313836    1.683665306    1.276881252    2.749097819    -2.328372      
2        NO_ID      2.311746127    0              1.503812068    1.841692266    0.9011357527   2.681438211    1.784568454    0.3254191769   0.8941574198   0.9573192174   -1.287219      	-1.28722e+00
3        NO_ID      2.988190347    2.76059985     0.08625434376  0.6041867111   2.355205878    1.028410092    1.603169484    0.4091712639   1.64291306     0.9033151972   -1.272502      	-1.28722e+00
4        NO_ID      1.298248798    1.572328629    2.380562249    2.833581663    3.141593       2.433202738    0.7949230426   1.178049424    2.201983656    3.118333667    -2.229625      	-2.22962e+00
5        NO_ID      1.012159557    2.737909328    1.780619437    2.604927743    1.526564264    0.4687166283   0.2771415931   1.861841996    0.1741183735   0              -0.379508      	-2.22962e+00
6        NO_ID      0              1.137029247    2.113433443    0.4969295457   0.5194771086   2.260092989    1.096622566    1.291344765    1.86599966     2.860288573    -0.21323       	-2.22962e+00
7        NO_ID      2.989496621    0.3797394221   0.7889196823   0.2411126506   0.6227269911   0.1013522103   1.483394608    1.850255376    0.9466758705   1.843434423    -1.390199      	-2.22962e+00
8        NO_ID      1.222597217    1.805113197    1.085478727    2.174083624    1.932441416    0.1756391255   3.141593       0.5216369252   1.661000145    1.925359877    -1.154178      	-2.22962e+00
9        NO_ID      2.41057205     0.48817958     1.677043816    2.19506565     1.914504795    0.6315738489   0.6576249198   0.4053609563   2.887323216    1.637910758    -0.410146      	-2.22962e+00
10       NO_ID      1.636749256    2.478051729    0.500207607    2.119647492    0.02345623245  3.082271452    0.07000770707  2.516842116    0.5587767626   1.806355083    -0.025912      	-2.22962e+00
11       NO_ID      2.834402078    2.997166938    3.141593       0.09096083998  1.44847831     1.529401998    1.709402543    1.30041114     3.091035016    2.514064357    -0.954872      	-2.22962e+00
12       NO_ID      0.7268279912   1.020694831    0              1.65923604     2.327430384    2.857723402    2.053921738    0.9224624411   2.622983761    2.469565408    -0.021094      	-2.22962e+00
13       NO_ID      1.954032314    1.794831369    2.945071046    0.5608808559   0.6657399139   2.822063266    0.3790144051   0              0.3443958893   2.078806919    -0.569465      	-2.22962e+00
14       NO_ID      2.819126759    2.89367405     0.6017853141   2.944531165    0.6476640774   0.3901013495   3.141593       2.840184823    2.985657946    1.317888156    -0.452929      	-2.22962e+00
15       NO_ID      1.248039384    2.673311622    0.8694505549   1.416487883    2.553320781    1.404742565    1.074515976    3.141593       2.367408205    0.1031575395   -0.355254      	-2.22962e+00
16       NO_ID      3.129391284    1.956751729    1.993358467    1.626344588    1.01574506     3.141593       2.452416913    2.761851168    1.399081658    2.501007086    -0.848923      	-2.22962e+00
17       NO_ID      0.5935319469   2.880166659    1.092010706    0.4581312272   2.523156147    0.4564152183   1.330107109    2.227798833    1.056224031    3.141593       -0.138906      	-2.22962e+00
18       NO_ID      1.475498388    1.223594066    0.7798587501   1.98446435     0.5013705641   0.9867195849   0.2046825597   0.9001550837   0.2855848287   2.637412331    -0.799755      	-2.22962e+00
19       NO_ID      0.0108370637   2.362298755    1.674394941    2.177309711    1.372484091    2.403413972    2.627802999    1.51619557     0.03622239475  1.099395348    -0.664172      	-2.22962e+00
20       NO_ID      0.1138234105   2.632876249    2.552925703    0.6901645117   1.998655475    0.6462296224   1.627433332    0.4993326905   0.4289474552   0.3933173076   -0.196899      	-2.22962e+00
21       NO_ID      3.104719731    3.131632164    1.905225627    1.536965288    0.1609986583   2.506066455    2.084644124    0.1368664723   1.179831577    1.597825821    -0.473802      	-2.22962e+00
22       NO_ID      0.4306614433   0.1049819925   2.129336217    2.765739716    1.728594159    3.109967313    2.62133146     2.261987461    1.29140414     2.650049419    -2.079302      	-2.22962e+00
23       NO_ID      1.988363881    2.811950921    2.995687703    2.884032002    1.993711401    2.559493405    1.633010397    1.722270508    1.475658862    0.9697925555   -0.894722      	-2.22962e+00
24       NO_ID      1.17128034     0.4943102002   1.067862889    2.278435333    0.0949249554   0.2693024468   1.969992467    0.7572010431   1.632853976    0.09095284247  -1.310358      	-2.22962e+00
25       NO_ID      2.638477617    2.985501426    2.341061978    0.2262263753   0.3082476129   0.9651520012   1.48407442     3.141593       1.055117766    0.3676744312   -1.257284      	-2.22962e+00
26       NO_ID      2.582386523    1.444250563    2.927796539    0.9814888341   3.021686033    0.9121078248   0              1.898291497    0.2556289289   2.76925469     -1.697687      	-2.22962e+00
27       NO_ID      2.411666874    1.924792579    3.107989346    0.1554876197   0.04366158204  0.9766964754   2.38589007     3.046793534    0.07488963506  2.983027599    -0.828616      	-2.22962e+00
28       NO_ID      1.698575835    0.1781738696   0.1906183596   3.001843582    1.886669065    1.410891807    1.59873178     2.681117936    1.220560865    1.247776314    -0.66556       	-2.22962e+00
29       NO_ID      0.4673838855   0.4203308572   0.5187712839   2.885891882    1.804408311    2.42919852     2.238658618    0.1758221881   1.935778436    0.3547040932   -1.510746      	-2.22962e+00
30       NO_ID      2.904855708    2.637067591    3.085255496    0.1716461574   1.266673589    0.3927847545   0.8531488814   0.03778280499  0.6902471663   2.866178032    -1.3719        	-2.22962e+00
31       NO_ID      0.2087960842   2.770445926    2.736990218    1.851262892    0.8041571103   1.988500281    2.936783828    3.141593       2.771594517    1.456366217    -0.941463      	-2.22962e+00
32       NO_ID      2.951239247    2.735020351    1.662056975    2.023785937    2.601652606    0.2340185624   0.3460889914   0.4065046598   0.3365048908   1.009237613    -0.761392      	-2.22962e+00
33       NO_ID      2.959077091    2.97869549     0.7343757209   2.947280691    1.409927071    0.2768848679   1.363505142    3.141593       0.03386281877  2.072652075    -0.311421      	-2.22962e+00
34       NO_ID      0.7903071579   0.951717265    0.152813206    0.429734046    0.3454362014   0.6359473493   0.0637450189   2.185335605    2.50501576     1.824459365    -0.190015      	-2.22962e+00
35       NO_ID      0.6110292038   0.117359228    2.702217432    1.59161152     0.3764567407   3.042612041    0.296368977    1.517876082    0.9798416632   1.018924458    -0.018852      	-2.22962e+00
36       NO_ID      1.257264189    1.913134618    2.657962959    1.432607114    0.6222202378   1.383045042    0.3611824217   2.389006932    2.076609316    1.209631223    -1.045225      	-2.22962e+00
37       NO_ID      0.04104793883  1.726421852    1.987486165    3.052327487    2.936538586    2.561108504    0.3439800526   3.141593       0.9579151646   1.966399891    -0.368509      	-2.22962e+00
38       NO_ID      2.220228296    1.448623403    3.017640566    2.021724404    0.6117752278   1.54222214     2.554718358    2.780704354    0.9065536776   2.66224688     -2.289539      	-2.28954e+00
39       NO_ID      3.003984593    1.872896948    0.5793223932   2.119395103    2.612355687    1.022615427    1.602675707    2.250710719    1.981043213    3.095720565    -1.054956      	-2.28954e+00
40       NO_ID      1.496130402    2.153095338    2.203779784    2.685203231    0.9311792169   2.053949874    1.176128037    3.128732909    0.2386405245   1.37586679     -1.90346       	-2.28954e+00
41       NO_ID      2.905823834    1.535241902    1.661455255    0.6694361128   0.8719117066   2.455681418    0.3767268992   0.6088504258   2.579538597    1.719145633    -1.198259      	-2.28954e+00
42       NO_ID      3.011147178    1.0186752      3.135879939    1.352589626    0.058518031    0.785270337    0.08290891793  2.478704669    0.2272219459   2.142121195    -0.231845      	-2.28954e+00
43       NO_ID      0.878496792    2.794764407    0.6980568675   2.802386236    2.737084682    1.463229165    0.03841859517  1.088526903    2.018461489    1.390505311    -0.193208      	-2.28954e+00
