%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.3603458144   2.159237921    2.887778161    0.05039836201  2.155970618    2.51913956     0.1262485079   0.1177025591   0.8142474983   2.529291404    -1.117657      
2        NO_ID      1.892361748    3.141593       3.007149111    2.10289602     2.965590572    2.485441019    2.221486608    0.8474476109   1.747796868    1.226564434    -2.349864      	-2.34986e+00
3        NO_ID      1.436212747    2.83700211     1.010326206    1.831522774    0.1155594962   2.013261571    1.382128372    1.867111111    2.903875344    0              -1.115159      	-2.34986e+00
4        NO_ID      0.2474685832   2.683770508    2.700893461    3.141593       1.163971316    2.949011886    0.9604854726   2.494707728    1.059434956    1.11809606     -0.4747        	-2.34986e+00
5        NO_ID      0              1.63728723     1.862486348    0.1656896755   0.7623597261   1.194017487    0.8546972068   2.120668129    1.541851909    0.6297677311   -1.889634      	-2.34986e+00
6        NO_ID      2.886323545    2.66330486     2.29225884     2.754431044    0.6778374746   0.0044321262   2.90324247     1.182123223    3.082628663    2.286849069    -0.617118      	-2.34986e+00
7        NO_ID      1.98908176     0.06441848138  2.844176416    3.025809555    0.41106271     0.7507870995   0.396589616    0.5645096418   1.004674995    1.44689237     -0.64398       	-2.34986e+00
8        NO_ID      1.17306617     0.5921849667   2.712229213    1.760817392    1.680886933    2.594312066    1.865109021    1.03370376     0.5659133906   0.6571774687   -1.904321      	-2.34986e+00
9        NO_ID      0.03079267326  2.733378747    0              1.284312463    1.682265525    2.151951088    2.232292497    0.9682258867   0.3766963521   1.949497232    -1.784807      	-2.34986e+00
10       NO_ID      0.6235019588   0.0353502494   0.3982574529   1.777002538    1.122537924    0.1541703388   1.327073371    0.5114623272   1.310118029    0.7073548218   -1.414264      	-2.34986e+00
11       NO_ID      1.114843087    2.311751423    2.335043989    1.794950874    2.571649499    0.4727950491   1.072627502    0.03754300271  3.141593       2.134802389    -0.33794       	-2.34986e+00
12       NO_ID      0.6777464734   3.141593       2.016302649    0.8408019742   0.4624156164   2.395579691    0.9650285802   3.123633628    2.098445918    2.402862983    -0.733912      	-2.34986e+00
13       NO_ID      2.757752438    0.7115970114   0.2608100496   3.012997126    2.666896723    1.454368708    2.761507352    2.766659653    1.917114379    1.45982657     -0.427925      	-2.34986e+00
14       NO_ID      3.015080421    1.37817044     2.12723215     1.669090236    2.371364806    1.89289637     0.1732023673   0.6207388281   2.558008066    0.1105219884   -0.44854       	-2.34986e+00
15       NO_ID      1.443487551    1.690170272    2.377138986    2.66742806     0.05359706597  1.041043725    3.12192206     3.141593       1.976584136    1.181640357    -1.671696      	-2.34986e+00
16       NO_ID      0.5651056191   2.980095196    1.528575844    2.458227173    1.654417355    1.605518249    2.652919842    0.7118591182   1.995194279    0.2501098035   -1.867005      	-2.34986e+00
17       NO_ID      1.461426563    0.8233596073   0.1303898633   1.949253585    0.2206989161   2.635909167    2.564824447    0.4051650891   0.2922991288   0.9271774114   -0.825708      	-2.34986e+00
18       NO_ID      1.960170395    2.92134336     2.072766099    3.11365685     2.131890838    0.5021214157   0.3696768961   0.9596298359   0.8684031728   0.4716274859   -0.320045      	-2.34986e+00
19       NO_ID      1.404267527    1.08473039     1.598061754    3.007309094    2.617860724    2.677234586    2.887288253    0.8144079546   3.052204492    3.051131307    -1.305712      	-2.34986e+00
20       NO_ID      2.076000439    1.966343945    1.835016264    0.7902660775   2.560797024    0.8239349089   2.984004305    1.250344018    1.80114875     2.321546611    -1.586217      	-2.34986e+00
21       NO_ID      1.493448699    2.390572567    2.969599333    1.155769773    0.3140897409   0.4725865162   1.611527586    0.1556491514   0.2391751846   0.7101922521   -1.422505      	-2.34986e+00
22       NO_ID      0.3229407958   2.924038872    2.759281216    2.649802075    1.322734657    2.614348201    3.073261097    1.297356221    2.153853884    2.715796018    -0.543789      	-2.34986e+00
23       NO_ID      2.775057242    2.414347861    3.046096471    1.651636595    2.903757343    2.843766327    1.406084639    1.737122865    2.727774554    3.141593       -1.117472      	-2.34986e+00
24       NO_ID      0.9282323236   2.05295847     0.3312188602   2.932595567    3.141593       2.245254236    1.382766784    1.882451764    0.3391460198   0.1974073754   -0.32149       	-2.34986e+00
25       NO_ID      2.720102629    1.634067149    2.17013541     1.147770748    0.2122698839   0.03036609559  0.110682105    0.5269465509   2.043385212    1.168444376    -2.409169      	-2.40917e+00
26       NO_ID      2.857793945    0.02550346559  1.505240256    0              0.368892681    1.604722433    0.06863659234  1.73459434     1.581423322    1.918867734    -1.365243      	-2.40917e+00
27       NO_ID      3.141593       0.5092891715   2.214616858    3.018641817    3.036459688    2.621647571    1.145606934    2.065023425    0.2753058648   0.756320927    -1.895626      	-2.40917e+00
28       NO_ID      3.006059687    3.115600402    0.1969396021   0.01995940784  2.388524693    2.668307498    2.516808425    3.066367054    3.141593       1.365732725    -0.620025      	-2.40917e+00
