FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-6.04800e-01	-8.63700e-02	-6.64200e-02	-1.30700e+00	-4.97600e-01	-3.78300e-01	-1.62700e+00	-8.77600e-01	-1.70500e+00	-4.14000e-01	-7.56409e-01
2	-1.17800e+00	-1.31600e+00	-1.75500e+00	-1.30700e+00	-1.88600e+00	-3.78300e-01	-1.90600e+00	-1.48700e+00	-1.70500e+00	-1.01600e+00	-1.39343e+00
3	-1.17800e+00	-1.31600e+00	-1.90300e+00	-1.30700e+00	-1.88600e+00	-2.20000e+00	-1.90600e+00	-1.48700e+00	-1.70500e+00	-1.01600e+00	-1.59040e+00
4	-1.17800e+00	-1.31600e+00	-1.90300e+00	-1.30700e+00	-1.88600e+00	-2.20000e+00	-1.90600e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-1.75860e+00
5	-1.17800e+00	-2.72400e+00	-1.90300e+00	-1.70100e+00	-1.88600e+00	-2.78300e+00	-1.90600e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-1.99710e+00
6	-1.17800e+00	-2.72400e+00	-1.90300e+00	-1.70100e+00	-1.88600e+00	-2.78300e+00	-1.90600e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-1.99710e+00
7	-1.40100e+00	-2.72400e+00	-2.20500e+00	-1.87500e+00	-1.88600e+00	-2.78300e+00	-1.90600e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-2.06700e+00
8	-1.40100e+00	-2.72400e+00	-2.20500e+00	-1.87500e+00	-1.88600e+00	-2.78300e+00	-1.90600e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-2.06700e+00
9	-1.40100e+00	-2.72400e+00	-2.20500e+00	-1.87500e+00	-1.88600e+00	-2.78300e+00	-2.41900e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-2.11830e+00
10	-1.40100e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-1.88600e+00	-2.78300e+00	-2.41900e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-2.18930e+00
11	-1.72400e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-1.88600e+00	-2.78300e+00	-2.41900e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-2.22160e+00
12	-1.72400e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-1.88600e+00	-2.78300e+00	-2.41900e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-2.22160e+00
13	-1.72400e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-1.88600e+00	-2.78300e+00	-2.41900e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-2.22160e+00
14	-1.72400e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-1.88600e+00	-2.78300e+00	-2.41900e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-2.22160e+00
15	-1.72400e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-1.88600e+00	-2.78300e+00	-2.41900e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-2.22160e+00
16	-1.72400e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-1.88600e+00	-2.78300e+00	-2.52400e+00	-1.48700e+00	-1.70500e+00	-2.69800e+00	-2.23210e+00
17	-1.72400e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-1.88600e+00	-2.78300e+00	-2.52400e+00	-2.57000e+00	-1.70500e+00	-2.69800e+00	-2.34040e+00
18	-2.17500e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-1.88600e+00	-2.78300e+00	-2.52400e+00	-2.57000e+00	-1.70500e+00	-2.69800e+00	-2.38550e+00
19	-2.17500e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-1.88600e+00	-2.78300e+00	-2.52400e+00	-2.57000e+00	-1.70500e+00	-2.69800e+00	-2.38550e+00
20	-2.17500e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-2.57000e+00	-2.27200e+00	-2.69800e+00	-2.56140e+00
21	-2.45000e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-2.57000e+00	-2.27200e+00	-2.69800e+00	-2.58890e+00
22	-2.45000e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-2.57000e+00	-2.27200e+00	-2.69800e+00	-2.58890e+00
23	-2.45000e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-2.57000e+00	-2.27200e+00	-2.69800e+00	-2.58890e+00
24	-2.45000e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-4.59400e+00	-2.27200e+00	-2.69800e+00	-2.79130e+00
25	-2.45000e+00	-2.72400e+00	-2.20500e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-4.59400e+00	-2.27200e+00	-2.69800e+00	-2.79130e+00
26	-2.45000e+00	-2.72400e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-4.59400e+00	-2.27200e+00	-2.69800e+00	-2.81620e+00
27	-2.45000e+00	-2.72400e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-4.59400e+00	-2.27200e+00	-2.69800e+00	-2.81620e+00
28	-2.45000e+00	-2.72400e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-4.59400e+00	-2.27200e+00	-2.69800e+00	-2.81620e+00
29	-2.45000e+00	-2.72400e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-4.59400e+00	-2.27200e+00	-2.69800e+00	-2.81620e+00
30	-2.45000e+00	-2.72400e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.84250e+00
31	-2.45000e+00	-2.72400e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.84250e+00
32	-2.45000e+00	-2.72400e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.84250e+00
33	-2.45000e+00	-2.72400e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.84250e+00
34	-2.45000e+00	-2.72400e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.84250e+00
35	-2.45000e+00	-2.72400e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.52400e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.84250e+00
36	-2.45000e+00	-2.72400e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.64700e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.85480e+00
37	-2.45000e+00	-2.84000e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.64700e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.86640e+00
38	-2.45000e+00	-2.84000e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.64700e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.86640e+00
39	-2.45000e+00	-2.84000e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.64700e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.86640e+00
40	-2.45000e+00	-2.84000e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.64700e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.86640e+00
41	-2.45000e+00	-2.84000e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.64700e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.86640e+00
42	-2.45000e+00	-2.84000e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.64700e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.86640e+00
43	-2.45000e+00	-2.84000e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.64700e+00	-4.59400e+00	-2.53500e+00	-2.69800e+00	-2.86640e+00
44	-2.45000e+00	-2.84000e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.64700e+00	-4.59400e+00	-2.89300e+00	-2.69800e+00	-2.90220e+00
45	-2.45000e+00	-2.84000e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.64700e+00	-4.59400e+00	-2.89300e+00	-2.69800e+00	-2.90220e+00
46	-2.45000e+00	-2.84000e+00	-2.45400e+00	-2.58500e+00	-3.07800e+00	-2.78300e+00	-2.64700e+00	-4.59400e+00	-2.89300e+00	-2.69800e+00	-2.90220e+00
