%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      1.628260644    3.071621138    0.09453077252  2.8012138      0.6407239031   0.9112083563   1.671333829    1.966058205    0.2240718816   0.5105041064   -0.79256       
2        NO_ID      0.7993296333   1.163325499    0.4690220954   2.047131026    2.657091704    2.775367377    2.089767034    2.144065727    0.3439273876   1.285249812    -0.332354      	-3.32354e-01
3        NO_ID      2.350999062    2.408453005    2.473913746    2.630393018    0.7965375221   1.051408649    1.389641582    3.075732311    3.020501743    1.067879287    -0.745304      	-7.45304e-01
4        NO_ID      0.3170601625   2.993980489    3.033512923    3.035305559    1.600330647    1.269249893    1.983748968    1.806025382    1.574357042    2.384302172    -0.132498      	-7.45304e-01
5        NO_ID      2.544340067    1.470497541    0.07938987045  0.1435111061   0.9583636253   3.084466284    2.430088519    1.085296804    1.695162523    2.271060333    -1.682468      	-1.68247e+00
6        NO_ID      0.7604052807   0.775797448    0.7459009428   0.2875228637   1.441541437    0.2703251243   0.7922682759   2.702636905    1.369844161    2.996414796    -0.536821      	-1.68247e+00
7        NO_ID      0.08546151285  1.084317202    0.1997195164   0.04066350139  0.291995687    1.639866409    2.743284269    0.7822976631   1.225575496    2.886699468    -1.237046      	-1.68247e+00
8        NO_ID      0.5634615683   1.912705439    1.90335773     1.350527184    0.7214121565   1.592090043    2.13311197     2.685716327    0.1748047702   2.325072218    -1.544832      	-1.68247e+00
9        NO_ID      2.054971888    2.681516114    2.558148036    0.3375272381   1.366689414    1.142977448    1.074682105    0.0618756928   2.886814665    1.249484115    -1.477155      	-1.68247e+00
10       NO_ID      1.20002873     1.967380652    3.079155206    2.554885024    1.990082312    2.608128774    0.2063867503   0.8028035831   2.532705256    1.974789065    -0.748075      	-1.68247e+00
11       NO_ID      2.420099825    2.65307219     2.130408032    2.445404534    2.707550487    0.810197877    1.220561249    1.468557479    0.6317434454   3.114191849    -1.457285      	-1.68247e+00
12       NO_ID      1.598901197    2.834879762    1.609493133    1.037972252    1.548223227    2.144211302    0.820297829    2.04171323     2.211756354    0.4524167834   -2.222322      	-2.22232e+00
13       NO_ID      1.310545843    2.275395553    2.640820154    0.9430613685   0.1006412431   1.976182444    0.02550529263  1.508919482    1.522371283    0.9294583498   -0.295377      	-2.22232e+00
14       NO_ID      2.158018928    2.355089868    1.197709275    0.7066626048   1.929879326    1.206711207    1.971397354    0.6901454599   2.025638354    0.4055573999   -1.563933      	-2.22232e+00
15       NO_ID      1.018419649    1.70738539     2.31261893     1.239524234    1.470563496    2.278525316    2.358732346    2.466417737    1.557398067    1.944234914    -0.789491      	-2.22232e+00
16       NO_ID      0.6695762235   0.5211683952   1.695444262    2.22439693     2.891958802    1.481821082    0.3878350116   2.617036841    2.981851234    2.60489567     -0.444479      	-2.22232e+00
17       NO_ID      1.376104188    2.08441208     1.587724177    2.935089776    2.508995287    1.770078396    0.9261502379   0.2711918022   0.05460499387  0.3538862476   -0.449029      	-2.22232e+00
18       NO_ID      1.636299895    1.556295484    1.383190019    1.81471714     2.789355015    2.943850776    2.190171635    1.742957551    1.125248361    1.178148629    -3.111459      	-3.11146e+00
19       NO_ID      1.392147255    0.8298259012   2.941043662    2.960459746    1.883878836    1.169935921    0.2257981536   2.250849119    1.002470793    0.08238813708  -0.17434       	-3.11146e+00
20       NO_ID      1.466882552    1.745814693    0.5991042691   2.662030562    0.608475494    1.354975006    1.504524942    0.1669365458   1.311154783    1.680259488    -1.18268       	-3.11146e+00
21       NO_ID      2.873590829    0.9753182839   2.883415215    0.9943492615   0.02985066264  2.758688116    2.945533723    0.4020166829   0.1266791631   2.797885062    -0.622834      	-3.11146e+00
22       NO_ID      0.2512972649   1.622704799    1.354257799    1.211676183    3.059892823    2.883129078    1.842674038    1.505372581    2.454389368    1.14773855     -3.075865      	-3.11146e+00
23       NO_ID      3.051098726    2.227259915    0.3337426953   1.304760786    1.850567446    3.048740253    0.4978488794   0.7338622179   1.634500991    2.776266025    -1.147917      	-3.11146e+00
24       NO_ID      0.01310113224  2.516878931    2.762628264    1.150021737    1.964951403    2.17708598     1.869573097    2.36249255     0.6082523736   2.939724674    -2.435145      	-3.11146e+00
25       NO_ID      1.764627236    2.053154514    2.253068267    0.5331288922   1.005985854    3.046805006    1.56421069     1.067916124    3.083715984    1.748297965    -1.52198       	-3.11146e+00
26       NO_ID      0.382842649    1.520457834    0.3774881509   0.09321973359  1.518794669    2.320376637    0.6767086141   1.718221116    2.626648285    2.303837901    -1.415069      	-3.11146e+00
27       NO_ID      1.874604893    0.1856822089   2.053591326    2.756333176    2.426839449    1.728190081    2.30570718     0.2270259833   1.045440508    2.85670862     -0.121012      	-3.11146e+00
28       NO_ID      0.8805063347   0.03404302015  2.369606217    0.8428572785   1.735462535    1.854543568    3.128566276    1.690341308    2.376730719    2.709541812    -1.253679      	-3.11146e+00
29       NO_ID      0.9278509618   0.3158356937   1.992332887    0.6691177624   0.8207828349   1.458649213    0.09654501454  1.625024537    0.9532362932   1.483730354    -0.065417      	-3.11146e+00
30       NO_ID      0.5824140946   2.356561049    1.153326545    0.3506525818   1.329900977    0.5116264592   0.09031958249  0.5355052298   1.613553924    2.425450326    -0.565992      	-3.11146e+00
31       NO_ID      0.1611047782   2.882817106    0.2346970987   2.40409338     2.552081178    1.623722331    2.79750396     2.976654537    2.794484122    1.838524431    -1.22379       	-3.11146e+00
32       NO_ID      1.05108907     2.469973375    2.287302629    0.1657078618   3.037262472    0.1374943234   0.9581726793   1.387339707    0.2944328128   0.1745173335   -1.103768      	-3.11146e+00
33       NO_ID      1.349887726    3.01601907     1.178689788    2.890703494    0.2086509525   0.2224955961   2.04355258     0.02419776292  0.2107816134   0.9053783729   -0.574123      	-3.11146e+00
34       NO_ID      1.961016898    2.945921489    1.830894522    1.546155227    1.129758082    2.716400343    1.037005558    0.9414111014   1.213487145    0.116113432    -0.854395      	-3.11146e+00
35       NO_ID      2.726565577    1.488410684    1.479757195    0.1055831076   2.343423292    0.09351764498  2.564313351    2.567465928    1.183008032    0.3371494477   -0.909605      	-3.11146e+00
36       NO_ID      2.000303973    0.3950275482   3.114253507    1.083420466    2.860361528    0.3950462062   1.947412453    1.187807173    2.411922355    2.007064298    -1.237569      	-3.11146e+00
37       NO_ID      2.111073286    0.5422696384   1.097139155    1.833750246    1.785829971    1.945741362    0.2991514502   2.285514033    0.03014151751  1.461226745    -1.232045      	-3.11146e+00
38       NO_ID      1.888045217    0.5874702249   2.336963525    2.521545792    1.240052052    0.05866979016  1.293003476    1.31592857     0.5789521255   3.044838036    -0.929439      	-3.11146e+00
39       NO_ID      0.7390454643   1.575991055    0.7914286279   1.186346203    2.151684736    2.483249009    0.6571051074   1.239614348    2.255019466    2.058221198    -1.772755      	-3.11146e+00
40       NO_ID      1.249674933    1.285018248    1.856415964    2.880433839    2.082427238    1.538557342    0.9843641411   0.8611530816   1.261142808    1.415125253    -1.824312      	-3.11146e+00
41       NO_ID      2.599610249    0.8652134676   2.161435585    0.482898405    2.240383121    2.225972231    1.22696342     1.582311591    1.997592744    0.3061582995   -1.235098      	-3.11146e+00
42       NO_ID      2.684369438    0.6041601574   1.722913184    0.5356421064   2.687440745    2.816007073    2.199816351    0.5966032562   0.9341755598   2.195355699    -0.550467      	-3.11146e+00
43       NO_ID      2.040712251    3.114981106    2.89735606     0.1948822014   1.29136393     2.003773483    1.13876554     0.4905680076   2.655859259    0.6876749773   -2.216259      	-3.11146e+00
44       NO_ID      2.565444489    1.676393428    0.1534963953   2.686775965    2.814516366    1.84718227     1.448335992    0.6956430327   0.7240055093   1.760149109    -2.454256      	-3.11146e+00
45       NO_ID      2.918809561    0.2293026482   0.6954586186   2.578178161    2.197545384    2.031439221    0.6012782057   0.1965716261   2.290368225    1.379819447    -1.509831      	-3.11146e+00
46       NO_ID      2.283513734    2.777423484    0.04959424679  2.116065679    2.966297818    1.110861369    1.889496592    2.20735123     1.961927304    0.5541473714   -2.870341      	-3.11146e+00
47       NO_ID      2.209027036    1.026163356    0.862816778    0.2222352866   1.791458123    0.3401982186   2.997277396    1.780998443    2.198846232    0.6320713738   -2.206184      	-3.11146e+00
48       NO_ID      2.36915474     0.1968379501   1.028993351    0.9349174997   2.108841978    0.1650813527   0.4468928025   0.3038653468   1.845589472    2.21885373     -0.560101      	-3.11146e+00
49       NO_ID      1.792568962    0.8008880737   2.206433923    3.122668       0.7594472023   0.7237120275   1.115437027    2.864054559    2.324601489    0.7585938422   -1.215588      	-3.11146e+00
50       NO_ID      0.06274341014  1.212232358    0.5513911255   2.501439453    0.5943495296   0.77770383     0.1472908437   0.3250070995   2.673690436    0.9827398901   -1.09179       	-3.11146e+00
51       NO_ID      1.002606669    3.098148927    2.442647088    2.034267777    2.32329667     2.058295884    3.079846835    0.5272456137   2.742003535    2.028165579    -0.536459      	-3.11146e+00
52       NO_ID      2.388184919    0.444432578    1.230633398    1.904738719    0.2635798616   2.247517951    1.423745381    2.853943369    2.937722068    0.7166792859   -3.44945       	-3.44945e+00
53       NO_ID      3.082845716    2.43467486     1.650995566    1.525272996    0.2490136474   1.552608827    0.5212691249   2.079857019    2.107576871    2.762998554    -1.759232      	-3.44945e+00
54       NO_ID      1.535497025    1.810746006    1.452867545    0.8845716748   3.107619473    0.718115096    0.058593518    2.93748322     2.325942831    1.79522988     -0.230704      	-3.44945e+00
55       NO_ID      2.317971148    2.178899668    2.495298284    0.259254455    2.633128981    2.600323964    0.37397139     2.798801376    0.4482132787   0.6122869607   -1.249229      	-3.44945e+00
56       NO_ID      1.697686946    1.386676239    0.989860773    1.86022286     0.5317516632   0.421519505    2.91236683     3.117073227    1.80287        2.460226536    -0.678236      	-3.44945e+00
57       NO_ID      3.126663733    2.807949286    1.320292334    0.620180399    1.051162599    0.5560582469   2.352202189    2.73958418     1.447228823    1.571768592    -2.620542      	-3.44945e+00
58       NO_ID      2.176797877    1.305042328    1.79804725     1.492532591    1.194277023    0.6620819663   2.728602464    0.4538390609   2.566307811    1.036173186    -0.880555      	-3.44945e+00
