%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.4463336909   2.591193115    1.516596932    2.506449207    0.2238642665   0.9041504515   0.03087203754  2.945664662    0.01658777218  2.204628334    -1.352812      
2        NO_ID      1.920855083    0.8741835805   2.198841367    1.032709959    2.212005409    0.8114692857   3.138181574    1.164299779    2.276010872    0.5543815509   -2.519669      	-2.51967e+00
3        NO_ID      1.369314028    0.3255373612   1.342424764    0.8319721673   1.012943017    0.1836087138   1.560443688    2.463397615    0.6068514772   0.0134759598   -1.636089      	-2.51967e+00
4        NO_ID      3.009998441    1.631294979    1.710142285    0.8706485495   2.986723701    3.103606164    0.06547332432  1.257335475    1.340407001    0.9451958275   -1.164661      	-2.51967e+00
5        NO_ID      1.91561736     0.6068389655   3.060096514    0.5390862053   1.833809814    1.530423275    1.496199447    3.022515279    1.202956088    1.130530427    -1.301836      	-2.51967e+00
6        NO_ID      1.297677569    1.460057945    0.006034129069 0.407515589    1.353265775    1.446919301    1.743303076    1.387641138    1.966800664    2.539787472    -2.66753       	-2.66753e+00
7        NO_ID      1.851541068    2.333068768    1.130972565    0.6543265966   1.422335697    0.4349307388   0.9425445565   1.889745335    1.295865791    0.3791939657   -1.366548      	-2.66753e+00
8        NO_ID      2.100021163    0.1418125912   1.663675899    0.3048519683   2.291351105    0.0305118459   0.5396942069   1.931742167    1.827708359    1.939454077    -0.706148      	-2.66753e+00
9        NO_ID      1.989423133    0.3992237426   2.5404212      0.5090931886   0.9494936781   2.403509513    0.9936237082   3.126274936    0.5579638699   1.339207971    -1.696342      	-2.66753e+00
10       NO_ID      2.202011903    1.889017446    2.136229031    1.219935733    0.002153559291 2.698535794    1.334759375    0.3471763119   0.5967162107   2.463812995    -1.638874      	-2.66753e+00
11       NO_ID      0.9610402823   1.98285439     1.460180143    1.57379862     0.9149769617   0.3560738535   0.6188702577   2.549590873    1.054136393    1.643778275    -0.557363      	-2.66753e+00
12       NO_ID      2.419752562    0.5243661401   3.127093009    2.10324999     0.2571007855   0.4658489201   1.889529563    2.999312001    1.505572651    2.244854219    -1.134878      	-2.66753e+00
13       NO_ID      0.5793351173   1.673756438    0.3603212346   0.5025860905   2.531089001    0.265957587    2.222388158    0.9890099105   1.184346776    3.018430004    -1.430345      	-2.66753e+00
14       NO_ID      1.396138006    2.476806255    0.8223813986   1.689980855    3.109803225    0.6495555788   1.074947344    2.61134195     1.594086722    2.907502079    -0.653222      	-2.66753e+00
15       NO_ID      2.739574133    2.681346935    2.913109348    2.622505111    2.128763288    0.8681719905   0.5822934212   2.312780542    3.074550655    3.073535825    -1.244529      	-2.66753e+00
16       NO_ID      1.813277675    2.309890862    3.083142237    0.6692377099   1.296747886    2.968528645    1.788747271    2.384117366    2.147580609    1.374880526    -0.294474      	-2.66753e+00
17       NO_ID      1.755932397    2.157696433    0.7054533946   0.009858918001 1.194757447    1.200727258    1.588161681    2.776025383    1.926236116    1.244129755    -0.862394      	-2.66753e+00
18       NO_ID      0.1608912797   1.572900206    2.308149006    2.804261812    2.004126305    1.882265742    1.147191634    3.048730743    0.4512202825   0.90490798     -1.257744      	-2.66753e+00
19       NO_ID      0.120635555    0.2416712125   2.027607766    2.460014234    1.64591046     1.730658685    2.120350423    1.615613169    2.867782412    1.221011877    -1.896125      	-2.66753e+00
20       NO_ID      0.4790265305   0.5594661901   2.853867316    1.137757589    1.403647923    0.8312769788   1.410306616    0.8749685048   2.340662321    0.2268783377   -2.134106      	-2.66753e+00
21       NO_ID      2.879668169    1.733407084    0.6435582042   0.7258939271   0.8844553702   2.516884783    2.041902813    2.242385529    2.436176741    0.1035655978   -0.860797      	-2.66753e+00
22       NO_ID      0.6643013838   1.505389285    0.7608304488   1.071035883    2.392174795    2.191044181    1.173819179    2.042903451    3.045204183    0.4282458798   -1.925948      	-2.66753e+00
23       NO_ID      1.595310611    1.76406271     1.263214698    1.458667049    2.187743916    1.054518957    2.348235888    0.9388360765   1.120794686    1.092870812    -1.611455      	-2.66753e+00
24       NO_ID      0.900891102    3.03329702     1.402756369    2.180582293    1.952004       2.049316897    1.964671411    1.816686464    2.218600501    2.388084781    -1.875301      	-2.66753e+00
25       NO_ID      0.08507897158  0.4632826881   2.067932324    1.713259195    2.017773076    2.351878062    2.983983982    0.7251672861   2.79271401     0.8691130263   -0.506959      	-2.66753e+00
26       NO_ID      0.8593482576   2.241892335    1.676219637    2.263376012    0.5432867457   2.098233014    1.630397365    0.687656069    0.2247599161   1.164187566    -0.374113      	-2.66753e+00
