%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.9072899647   1.016652302    1.359085511    2.045488378    2.859466108    1.2249087      2.372112265    1.752552296    2.165250091    1.133837265    -1.678787      
2        NO_ID      1.018323209    1.433938538    1.77071468     1.711474973    2.24837822     0.9091314374   2.399261373    2.547038908    2.868742974    2.951729331    -2.092011      	-2.09201e+00
3        NO_ID      1.575325355    2.841463938    0.3614834513   3.06465401     2.985479338    1.255405705    2.599633794    2.601700653    0.6238140323   2.04250524     -0.77064       	-2.09201e+00
4        NO_ID      0.285565145    1.069257033    0.6411263448   0.3121500048   2.76730168     1.061105489    2.114253252    1.174198996    0.7575334119   0.3511594037   -0.676192      	-2.09201e+00
5        NO_ID      2.032605499    0.4596704795   0.1805795452   2.177860906    1.734800762    2.365636277    2.631433012    0.8717081229   2.771246801    2.497943075    -1.878399      	-2.09201e+00
6        NO_ID      1.077443109    1.581857689    2.538866813    0.9224488477   2.399541466    3.09237603     1.492727885    2.399569698    0.2096198847   1.816002559    -1.695389      	-2.09201e+00
7        NO_ID      0.2173545682   0.8454850909   0.9963868248   0.6627288218   0.5222820561   1.014498176    0.9165298353   2.089616684    1.81077258     0.2749806469   -1.245763      	-2.09201e+00
8        NO_ID      2.965630265    2.115948166    2.801372207    3.002572645    2.371781317    0.2065714839   0.7225196693   0.341129799    1.686421553    1.871920663    -1.377487      	-2.09201e+00
9        NO_ID      0.6222955116   2.399281789    1.033363561    2.720776407    1.83491247     0.399420797    1.537440192    2.469143662    0.7913382776   1.905653792    -0.547597      	-2.09201e+00
10       NO_ID      0.1203647119   2.9154129      2.932698481    0.8333758872   0.7141025732   2.686520172    0.9903525477   2.160103013    0.4090565268   2.432539375    -0.199867      	-2.09201e+00
11       NO_ID      2.730758669    0.2548288327   2.877218702    1.389165054    1.242899053    2.180422159    0.1258713038   2.616666207    1.912329855    0.3105949414   -0.702383      	-2.09201e+00
12       NO_ID      2.877061751    1.951296333    1.181405648    2.157620121    1.987655109    1.855721232    2.180476787    0.2980321965   0.1414047989   2.959643599    -0.678389      	-2.09201e+00
13       NO_ID      2.315068841    0.4783385243   2.760019319    0.5521659291   2.834836932    1.168307902    2.497134288    0.8275837077   1.6612148      3.097105485    -2.468061      	-2.46806e+00
14       NO_ID      0.6308550817   0.8713620083   1.928339808    0.1863611438   2.699079644    0.5368101692   1.90965248     1.470540354    0.306344881    0.7531557884   -0.849001      	-2.46806e+00
15       NO_ID      1.040467049    2.728472546    1.040748411    1.21732239     0.1769710018   2.45130706     3.052273465    0.1108708887   3.015109384    0.6175377296   -1.024119      	-2.46806e+00
16       NO_ID      1.954213714    3.11791545     0.08800862314  0.2033498902   2.10674016     0.4329030496   1.007471563    2.288056066    1.584803678    0.987207364    -0.270542      	-2.46806e+00
17       NO_ID      0.4010528167   1.919045139    0.789878579    0.03562217112  0.8956515598   2.747673913    2.031139018    1.724685565    0.386250851    0.6294502313   -1.167722      	-2.46806e+00
18       NO_ID      1.416649756    2.037120324    1.40640717     2.470622233    1.155173946    1.921540775    0.4510014283   1.241426814    0.6990896878   2.819366417    -1.451661      	-2.46806e+00
19       NO_ID      1.327819846    1.14813769     0.4892739399   0.8547575757   2.354983915    1.106868194    1.787248857    1.199236282    1.545073459    0.474722129    -0.015297      	-2.46806e+00
20       NO_ID      2.601317115    1.45280722     0.8194133846   0.1439137973   0.5384811016   0.06970194086  1.084648966    2.857446594    2.38682764     0.5547439797   -0.685023      	-2.46806e+00
21       NO_ID      2.921098941    1.777623041    3.007718385    2.252433076    0.681351412    2.017106737    2.788622188    2.362224974    1.062497357    3.028814066    -1.978784      	-2.46806e+00
22       NO_ID      0.09018671361  0.4170572276   2.113703052    2.745338961    2.762399935    0.6018349276   1.821358956    1.14036616     0.3567139901   1.77581771     -0.214688      	-2.46806e+00
23       NO_ID      1.391244415    1.914597746    1.810446684    2.8622154      0.9990366022   0.2712361979   1.349961369    2.293599157    1.138101839    0.07119865294  -0.86083       	-2.46806e+00
24       NO_ID      2.567327052    0.03755695274  2.036165769    2.546606016    2.436971467    0.01170031027  1.203104221    2.796920888    2.756157364    0.8493649569   -0.163361      	-2.46806e+00
25       NO_ID      0.9145459043   1.532942857    0.5954458534   1.689069614    0.8370346295   1.001977682    0.09303412023  0.3862648256   1.346096809    0.7917359747   -1.479116      	-2.46806e+00
26       NO_ID      1.15072729     1.612229757    1.84758048     2.433726661    0.4641707192   0.6741577451   0.8090610396   3.062727281    2.80436698     1.688552166    -1.839354      	-2.46806e+00
27       NO_ID      0.821787527    0.1864434525   0.9403899848   1.020913781    2.64837814     1.402916229    2.447709818    3.128015683    0.01216153689  0.3191275687   -0.828163      	-2.46806e+00
28       NO_ID      2.521413871    2.354972468    2.3501556      1.856653848    1.791391062    2.853522309    1.116176427    1.021638578    1.7057469      2.73156532     -0.989665      	-2.46806e+00
29       NO_ID      3.041493055    0.0780664109   2.857749603    0.3217574861   1.503734783    1.666813148    1.700760185    0.8163473361   0.1636868413   1.960314736    -0.915972      	-2.46806e+00
30       NO_ID      2.923707662    0.9454372461   0.03094898462  1.372989584    2.313941833    2.138847436    1.60498439     2.255926848    2.657994775    2.905062901    -0.522327      	-2.46806e+00
31       NO_ID      1.127137548    1.851632667    1.487041916    2.508922305    0.0109242337   0.9243789409   0.487741006    2.784649086    0.6861549      2.250698966    -1.676448      	-2.46806e+00
32       NO_ID      1.56556532     2.084321911    2.908202907    1.561441247    2.929405504    1.702036615    2.920910147    2.91553023     3.079203646    2.309312687    -0.458089      	-2.46806e+00
33       NO_ID      2.755071936    2.450830824    3.11561043     0.4569205271   1.884967589    2.522038422    1.296934199    1.544404096    2.925665314    1.023724645    -0.000205      	-2.46806e+00
34       NO_ID      2.407710134    2.00469373     1.103400143    0.9672652632   2.523903302    2.629745779    2.327838003    1.620428742    1.424347869    0.4125677743   -0.661243      	-2.46806e+00
35       NO_ID      2.628478138    0.671795102    1.675778084    1.580806873    0.8047723931   2.338783507    1.036972984    3.022449031    0.8464030068   1.351625645    -0.185739      	-2.46806e+00
36       NO_ID      1.351342886    2.999784219    0.6673079043   0.4204869132   1.923033734    1.459985382    1.656228766    2.514620942    0.4454053726   2.201570474    -0.01183       	-2.46806e+00
37       NO_ID      1.240682022    0.2296812042   0.7193798169   1.751738745    2.067007387    2.124915867    0.7551867711   2.225293137    0.3159935025   0.95016451     -0.276525      	-2.46806e+00
38       NO_ID      0.3333777599   2.618821691    0.9632388184   0.03099185639  2.178376125    1.374539138    0.5099129277   1.328731894    1.608623725    2.473662082    -1.217012      	-2.46806e+00
39       NO_ID      2.261998262    1.711961095    0.7643574359   1.06004365     1.685578604    0.1522457503   1.5419674      2.973710594    1.169948447    1.508090796    -2.604904      	-2.60490e+00
40       NO_ID      1.311045374    1.734994313    0.1139611693   1.503536189    1.974350137    1.275115876    1.134258192    0.5602279061   1.856850483    1.389837446    -0.292332      	-2.60490e+00
41       NO_ID      2.676629525    0.1912138406   1.573405532    2.119919121    1.099185689    1.728841974    2.664278802    0.7735916839   0.09127068874  2.564449533    -0.971894      	-2.60490e+00
42       NO_ID      0.4561095452   0.5832706582   2.359398513    1.925103665    0.2600659343   1.581797516    3.132266768    1.988560217    0.6570766817   1.323514243    -2.105215      	-2.60490e+00
43       NO_ID      3.095928185    0.7915283705   2.507619253    1.521280076    0.5992727103   1.803738855    1.835986309    2.335589339    0.2792059941   2.700248892    -0.801109      	-2.60490e+00
44       NO_ID      2.814094568    1.169143033    2.573738609    1.241822108    1.025461842    1.307772571    0.8967457716   1.307953149    2.235066552    2.086771662    -2.692471      	-2.69247e+00
45       NO_ID      0.5119790784   2.579596579    1.519705036    2.404849118    1.191585029    1.081513485    2.70159138     1.042084233    0.8652516751   2.772594688    -0.154179      	-2.69247e+00
46       NO_ID      2.842182752    2.780772458    0.4152331811   1.149948057    0.05791882837  2.236120749    1.690104467    1.536100538    0.7465303599   1.630369191    -1.723378      	-2.69247e+00
47       NO_ID      0.9510884601   1.117349863    1.622473158    2.851855515    2.568557541    2.554383321    1.601166914    1.082252077    1.451114294    0.8432003382   -0.050395      	-2.69247e+00
48       NO_ID      0.2506816536   2.548381624    1.475742687    1.35068074     2.154595651    2.401663039    2.233534064    0.5007160932   1.093810961    2.668588855    -1.525865      	-2.69247e+00
49       NO_ID      2.481406531    2.25384545     0.4511321695   2.690728132    1.468668926    0.7529684572   2.572578482    1.646871712    1.20016229     1.749380455    -0.221189      	-2.69247e+00
50       NO_ID      0.5713841041   0.3220523579   0.531603667    1.2914828      0.1308674954   1.613651932    0.5528898026   1.8112799      1.411427122    1.71652431     -0.611783      	-2.69247e+00
51       NO_ID      0.7143491576   1.314310842    2.063252756    0.06620873503  0.7696200672   0.7164620142   2.812725185    0.1372323801   1.377287715    1.248848518    -0.72738       	-2.69247e+00
52       NO_ID      1.726742774    2.211159971    0.558635322    2.218006509    1.659136131    0.3071886124   0.02908020892  1.267339306    2.421373857    2.114518459    -1.196501      	-2.69247e+00
53       NO_ID      1.793552453    2.182906096    3.041869209    0.3779690917   1.199506588    0.5029598116   2.007383754    2.657348242    1.990569269    2.341013306    -0.842147      	-2.69247e+00
54       NO_ID      1.275484371    1.653699086    3.048254967    1.458504387    0.9308704747   1.828816713    0.2893876063   0.01190891794  0.2500654943   2.288015871    -1.31228       	-2.69247e+00
55       NO_ID      2.137003432    3.091684745    0.3874227121   1.167603508    1.874303125    1.148917441    2.058588016    1.916635205    2.967193662    2.41239581     -1.435328      	-2.69247e+00
56       NO_ID      1.828042929    1.218816749    2.429832486    0.8081299267   2.280796013    0.1575687482   2.213618345    1.393690201    1.316155117    0.9153282111   -2.033854      	-2.69247e+00
57       NO_ID      0.1321579776   1.544932273    2.264619239    2.909259365    2.223313251    0.4481517238   0.9430910176   1.440336557    0.4889864098   2.179379183    -2.62754       	-2.69247e+00
58       NO_ID      2.097940288    0.02421709509  1.21765299     1.438362743    3.105198592    1.443915807    1.173318046    0.2300117306   3.026021232    1.846608272    -2.18586       	-2.69247e+00
59       NO_ID      0.03314946059  1.393782566    0.1944795916   2.536106841    1.048100152    2.871102854    0.3888045061   0.5813304235   2.019369579    1.646040328    -1.136477      	-2.69247e+00
60       NO_ID      0.5651982991   1.230154392    1.155161484    0.7043027784   0.2976987908   3.005539569    2.323078898    0.9874711003   2.392811759    2.014504209    -0.527875      	-2.69247e+00
61       NO_ID      1.789458268    3.033918241    1.278943888    1.630518481    1.364366886    0.9505889443   2.965295633    1.853433168    1.76778056     1.937500208    -1.635912      	-2.69247e+00
62       NO_ID      2.242096902    0.7166570376   2.25257091     2.083431962    1.348696443    1.553631644    1.37767544     0.2594134699   0.1147400403   1.205046358    -3.27418       	-3.27418e+00
63       NO_ID      0.9803074165   0.7830948166   0.2509408754   3.124907939    1.764153317    2.787042437    0.8736231751   0.06985922007  2.191146609    1.98287091     -1.376236      	-3.27418e+00
64       NO_ID      2.185391951    0.4073048196   0.3012767435   0.4991892506   0.486432105    0.2291163606   2.097546287    0.3529939449   0.5409918433   2.598954593    -0.797747      	-3.27418e+00
65       NO_ID      0.6801377981   1.69507923     0.6229845831   0.7264881796   1.575284875    0.5827485714   3.105274333    2.070503305    2.526615075    2.529855385    -1.892648      	-3.27418e+00
66       NO_ID      1.931369503    2.27797994     1.341508824    0.2420980611   2.466056268    1.486898284    0.4114995296   0.4638258203   2.119842022    0.7599323282   -1.404956      	-3.27418e+00
67       NO_ID      2.217262634    1.325396063    1.641156678    0.593520144    2.6388372      1.905970095    1.265271217    0.2090048112   1.237026894    0.697678251    -2.314972      	-3.27418e+00
68       NO_ID      1.638831033    2.758074557    2.206720857    2.927262514    2.096675363    1.347363074    2.277171477    1.357290477    3.065567343    0.1417389176   -2.338855      	-3.27418e+00
69       NO_ID      0.3580390339   0.1265782706   2.76648084     2.962811815    0.7483293426   2.578467483    1.935855842    0.8943665985   2.272523109    1.126680215    -0.315211      	-3.27418e+00
70       NO_ID      0.4195326125   2.305073648    1.553376278    3.023645621    2.015681389    1.517563538    1.970453648    0.173615017    0.5041177182   0.5782609277   -0.408624      	-3.27418e+00
71       NO_ID      2.666284816    0.9401939068   2.601561802    1.112993077    1.314787556    0.7855521974   2.707944996    1.494544252    1.502371115    0.9029861304   -1.04485       	-3.27418e+00
72       NO_ID      1.630248145    0.3475296196   1.098462802    0.9098432662   0.3955649085   0.7599718693   0.1240958721   3.011267934    2.57651874     3.134301716    -0.281415      	-3.27418e+00
73       NO_ID      0.8722434751   2.653965248    0.8721025557   1.889176721    2.512631892    2.922625466    0.8438034419   2.181563266    0.9572995317   2.874185191    -1.784777      	-3.27418e+00
74       NO_ID      0.4865270733   2.937725656    2.962600931    1.645105427    0.5705031925   2.437257135    0.566304652    0.7426059726   0.8951437496   0.5042714146   -0.711033      	-3.27418e+00
75       NO_ID      0.7483107947   1.882837961    1.75439537     0.1250425955   0.1903920233   2.212828989    0.3520952448   1.125129807    1.739532098    3.014585877    -0.00616       	-3.27418e+00
76       NO_ID      2.340972573    1.377433011    2.296379308    1.776322128    2.599440134    0.8367385048   0.6512893425   0.0585776244   2.558261674    2.136449084    -1.946709      	-3.27418e+00
77       NO_ID      0.7930177815   2.073276168    1.70341809     1.793123876    1.436048088    0.3608608276   3.039702898    0.685016444    1.953004334    0.2081625247   -1.126866      	-3.27418e+00
78       NO_ID      2.990081321    2.810034262    2.631339914    0.622957852    1.531857251    2.797341063    0.3251180013   0.4345470532   2.310988345    1.06596457     -0.119234      	-3.27418e+00
79       NO_ID      2.482038326    0.6087550261   0.2655405649   1.280383202    0.8763812097   3.11240935     2.848084481    1.888859392    3.14082792     0.6805538094   -0.982858      	-3.27418e+00
80       NO_ID      0.006974121044 2.357298956    3.099476952    2.293275434    1.632922896    2.052883166    2.995334203    2.864457196    2.858068581    1.313619812    -0.971836      	-3.27418e+00
81       NO_ID      2.448106249    1.480765819    1.886843537    0.7738655377   3.136181537    3.044618471    1.232585137    2.109639102    1.003244896    0.1845636709   -1.216981      	-3.27418e+00
82       NO_ID      1.745510855    1.818689578    1.961916522    3.080999635    0.2326845594   0.6505461115   1.454091823    1.971563976    0.9218694633   0.02287298833  -1.062982      	-3.27418e+00
83       NO_ID      1.453099304    1.050052373    1.432463527    2.775747402    0.06323548609  0.1219854434   2.478280957    1.686245897    2.05943758     2.855971061    -0.30293       	-3.27418e+00
84       NO_ID      2.000720596    2.889346209    2.191368736    0.2718190987   3.052769738    0.06070666122  2.923913853    0.5127407021   0.5762248916   1.501094851    -1.085607      	-3.27418e+00
85       NO_ID      2.068530605    1.258243739    2.081752409    2.657426059    2.799276761    2.728899977    1.430246075    2.676613673    1.931116547    3.06362554     -2.202941      	-3.27418e+00
