%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.1394367358   2.934200546    3.067345034    1.807255652    0.9735366431   0.2429576494   2.957979728    1.44526644     1.97779843     1.69713809     -1.440671      
2        NO_ID      0.1878114081   1.743644321    0.4637152508   1.202337603    0.04831820289  2.190232337    0.64084098     2.569212696    0.4667655409   2.968649061    -0.759442      	-7.59442e-01
3        NO_ID      0.3927342754   3.130307404    0.1719781519   0.2019118369   2.12261867     2.38389741     2.60881532     0.6848856979   0.5097041856   1.529909937    -0.902451      	-9.02451e-01
4        NO_ID      2.022318074    0.0132692716   2.511532222    1.26534615     0.7211646278   0.02812877663  1.964258879    1.956624498    2.366384906    2.501731759    -0.578883      	-9.02451e-01
5        NO_ID      1.082345377    1.208643684    2.74533695     2.078484023    1.536100865    1.929366651    0.8700963876   2.984564242    2.462127231    2.273524173    -1.267563      	-1.26756e+00
6        NO_ID      3.05813007     2.640215024    0.5028792287   3.097472737    2.245639459    1.889192457    0.2528282478   2.652252794    2.893383646    2.783565805    -0.849439      	-1.26756e+00
7        NO_ID      0.4844138563   2.471645426    1.861803012    1.131724272    0.8808908964   2.581170179    0.1645091383   1.924718712    0.1880518858   2.536059166    -1.671756      	-1.67176e+00
8        NO_ID      0.9956973508   1.157626635    1.806024695    0.7172457071   2.271037587    2.571163255    3.087667324    0.2390945712   0.09516419244  3.138890358    -0.214831      	-1.67176e+00
9        NO_ID      0.8886982889   1.769484005    1.364029763    0.8516025275   2.303259551    0.8912973064   2.434023853    2.418709445    1.600980025    1.466690753    -1.642561      	-1.67176e+00
10       NO_ID      2.850031573    2.21552619     0.2701723905   1.901762822    0.02362331735  1.734240717    1.300658808    1.725641476    1.444732198    0.5393167404   -1.317996      	-1.67176e+00
11       NO_ID      0.5110880753   1.097831049    0.3468812403   1.323258671    0.1646881239   0.7530541347   1.359039484    2.960688687    2.678292104    0.389903972    -0.46641       	-1.67176e+00
12       NO_ID      1.780309527    1.637928242    2.039182073    1.237752871    1.623004723    1.032846701    1.176982391    3.106881035    1.635157873    1.494623961    -1.911155      	-1.91115e+00
13       NO_ID      2.679235612    1.00117943     0.3370351212   2.884631003    0.4621926361   1.214036667    2.262223104    0.5811044307   1.50581339     1.687978421    -0.192148      	-1.91115e+00
14       NO_ID      2.872004912    0.712604743    2.812618612    2.715940688    0.7311175824   0.5760749121   2.562228345    2.19791901     0.4210050923   1.326820838    -0.176506      	-1.91115e+00
15       NO_ID      2.561881904    3.010953545    2.31174405     2.516631712    2.736096285    0.8398300719   1.788671235    2.529012996    1.818346841    0.8126499371   -1.051412      	-1.91115e+00
16       NO_ID      2.323456345    0.145593335    2.684895727    0.4724634018   0.2201055296   0.1733642078   0.1161920481   1.064298128    1.130916402    2.894948648    -0.828957      	-1.91115e+00
17       NO_ID      2.244558142    2.682059062    1.975329783    2.569513723    0.06476912554  3.059635838    0.9455498601   1.012716324    1.276942913    1.046123088    -2.239087      	-2.23909e+00
18       NO_ID      1.462363915    2.773289973    2.629672297    0.1601826826   2.628877416    2.794397241    2.725040515    2.296429536    2.227543986    2.217021824    -1.496745      	-2.23909e+00
19       NO_ID      1.19458742     0.9498643052   2.964457566    2.242878721    1.736091793    2.210368807    0.7888317013   2.598565414    2.329099399    0.1364914866   -1.912657      	-2.23909e+00
20       NO_ID      0.4420865171   2.097795329    1.414318494    1.859775414    1.585319127    1.054411808    2.853784885    1.740391315    0.0407205089   0.1852938605   -1.515879      	-2.23909e+00
21       NO_ID      2.809631259    2.425220752    1.197966981    0.6286508976   0.3597030697   2.51796212     1.703119872    2.387220015    3.120774838    2.081424885    -1.039568      	-2.23909e+00
22       NO_ID      1.34931809     0.2643614353   2.361374865    0.5338369357   1.78080875     1.238785868    0.844205776    0.04607548918  1.235656782    0.3360640681   -1.363869      	-2.23909e+00
23       NO_ID      1.377629026    2.276417799    0.7709921299   0.3955373737   0.5701026201   2.906235531    2.128380857    1.373662027    1.739271394    1.206223182    -1.775225      	-2.23909e+00
24       NO_ID      3.102043684    1.89015494     0.6892526227   3.052904575    2.589340007    2.49053448     0.2198866102   2.044028436    0.3176845287   2.858522612    -0.428412      	-2.23909e+00
25       NO_ID      0.2924198403   0.5191276184   0.4027907378   1.024461246    1.647602344    3.102733364    1.832052621    3.029663834    2.645963603    0.749441504    -1.549543      	-2.23909e+00
26       NO_ID      2.617267369    1.041237765    0.6092176859   2.6963345      0.1103254947   1.496420112    0.3723836736   0.06371999248  2.300743988    2.889257368    -0.359614      	-2.23909e+00
27       NO_ID      2.779024319    0.3798896191   2.555477958    0.5730768473   0.6015116296   2.703246598    2.09836337     2.630449489    0.9485210597   2.235636894    -0.454998      	-2.23909e+00
28       NO_ID      0.3310766065   0.04724814355  1.571854206    1.435506731    1.199712322    1.266974436    0.7461379663   0.7142109397   1.725237564    0.946385037    -0.544545      	-2.23909e+00
29       NO_ID      2.484481638    1.564478399    0.1091092643   0.6142270035   1.154883518    2.051289452    1.812203832    0.8123497402   0.200315717    2.758366958    -2.488021      	-2.48802e+00
30       NO_ID      1.739106346    0.3142040867   2.061620615    1.529093575    3.012479999    3.13873148     0.0775883111   1.790867125    1.064355344    0.221958543    -0.437522      	-2.48802e+00
31       NO_ID      1.536525558    0.6751101184   2.221710164    2.587713674    0.8673700423   0.1987971868   1.744540591    2.103912364    1.832197719    1.82530359     -1.582792      	-2.48802e+00
32       NO_ID      1.836818597    0.7556513111   1.387626489    1.189443032    1.35495851     1.846560902    3.033089482    0.4383878956   2.421238463    0.01214434008  -1.250878      	-2.48802e+00
33       NO_ID      1.720034825    2.41548538     1.151681407    0.8312215291   2.815902233    0.3946387149   2.887428115    2.856562448    0.7432943071   2.550457221    -1.370466      	-2.48802e+00
34       NO_ID      2.903239713    1.614853633    2.196286535    0.1475510511   2.767722582    0.6045444463   1.91300926     1.522784933    0.2821525686   2.192722714    -2.023721      	-2.48802e+00
35       NO_ID      2.405599931    1.479551833    1.498029907    0.2555550636   0.7936486151   2.692093809    1.083407175    2.907291456    0.8479726648   0.4999573632   -1.34075       	-2.48802e+00
36       NO_ID      1.170638574    2.18213016     1.650361682    1.995218439    1.490673041    2.95682391     0.5502926768   0.7226487445   0.8134376097   0.6067659244   -0.981616      	-2.48802e+00
37       NO_ID      2.286094445    1.686483938    1.075380677    2.191892874    1.059385109    1.321339166    2.180850135    1.072766854    2.0845313      1.762355365    -2.047025      	-2.48802e+00
38       NO_ID      0.2820518543   2.024697389    0.8609109957   1.573037502    1.814339982    1.819876009    0.4281571385   2.450056189    2.794007568    0.06097585968  -0.052849      	-2.48802e+00
39       NO_ID      1.389535922    1.323587854    2.890523321    1.838491849    1.031031264    2.878875637    1.857099865    1.764915477    1.930460905    2.987959244    -3.212317      	-3.21232e+00
40       NO_ID      0.7329599193   1.987307221    0.04699876113  1.095555875    0.7673222285   0.06463052563  1.489042028    2.812986898    1.151604322    0.107295502    -1.626409      	-3.21232e+00
41       NO_ID      2.115823547    1.586058949    2.640053954    0.3245691538   0.4833954478   2.739368371    3.074756664    0.4031586967   1.687107863    0.3120590347   -2.347276      	-3.21232e+00
42       NO_ID      1.963205277    0.3665378009   0.929494235    2.122881814    1.266302294    2.390518919    1.110230262    2.010583391    2.52008323     0.8540902821   -0.92205       	-3.21232e+00
43       NO_ID      2.071919538    1.707252522    2.408500992    1.128229239    3.053738239    1.72472101     0.6870781013   1.390925742    2.560364828    3.035725494    -2.557614      	-3.21232e+00
44       NO_ID      2.176385859    0.7525368216   2.010131241    1.305216631    1.99486329     2.427579584    2.768054977    1.647758521    3.06400769     0.5189825939   -1.43616       	-3.21232e+00
45       NO_ID      2.952664231    2.31846399     1.721496969    0.9352625025   1.665373428    0.9538335401   1.676708242    1.483165542    2.593808233    1.181691631    -1.560937      	-3.21232e+00
46       NO_ID      0.9710535029   2.161302319    1.263676678    1.957747639    2.217358217    2.79815095     1.051545654    2.945805452    0.1367127378   2.38174058     -2.424138      	-3.21232e+00
47       NO_ID      0.6496571591   0.6583354422   2.530543858    2.425525665    0.9804186459   0.55653885     3.010984517    2.694919702    2.111780059    1.119092721    -1.069843      	-3.21232e+00
48       NO_ID      0.9321833235   0.07622928587  1.062245422    1.483266695    1.290912879    2.453774177    0.284815751    1.206354243    0.7838413465   0.7064882038   -1.253005      	-3.21232e+00
49       NO_ID      0.7977427965   0.495797835    1.117805269    3.036353279    2.556415446    1.879821861    2.313676513    1.667626784    0.6897751401   2.108568579    -1.491781      	-3.21232e+00
50       NO_ID      0.8188855273   1.531270265    1.744293613    0.7332498434   0.6589011565   1.575823899    1.936641239    2.743670714    0.6462117711   0.1949048318   -2.140687      	-3.21232e+00
51       NO_ID      0.5345705807   0.9285735162   0.6428683731   2.386920855    2.666971392    1.764474752    0.1258409513   0.1224907266   1.986142088    1.407394614    -0.525876      	-3.21232e+00
52       NO_ID      1.574979941    3.020551673    1.009335515    0.4178071643   2.16227262     1.475556193    2.495955782    2.336109969    2.95959715     1.362908769    -0.915366      	-3.21232e+00
53       NO_ID      0.6870286482   2.605608985    3.083456998    1.644962405    0.1490630294   0.9222102164   0.4678375956   0.2134025687   1.020631969    1.423622459    -0.881418      	-3.21232e+00
54       NO_ID      2.334642958    2.538421871    0.8109486054   1.446088874    1.250679229    2.165529771    0.2202975268   2.025412647    0.3022415711   1.631760708    -0.614762      	-3.21232e+00
55       NO_ID      1.047594618    2.132139319    2.884663416    0.7830926275   1.435066832    2.25217212     1.146840055    1.579463468    3.014344808    2.396162103    -0.234904      	-3.21232e+00
56       NO_ID      1.891391084    1.314397313    0.7292553321   2.033775568    2.867673379    2.951926237    2.918976833    2.221493803    0.07805189285  0.7849431292   -0.419747      	-3.21232e+00
57       NO_ID      2.147777753    2.975629873    0.6928939403   0.9038815037   2.458566057    0.6592701077   0.3939260773   2.14704167     2.395422947    2.664719777    -0.79874       	-3.21232e+00
