%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.003930946165 1.770555679    0.6072832442   2.540733497    1.837861147    1.507565793    1.100473173    2.814749208    2.585028549    2.345528463    -1.13531       
2        NO_ID      0.341033549    2.730185927    2.674193913    2.338337708    0.4865744339   1.027031593    0.2492795129   0.2406506067   2.013699081    2.576112013    -0.524083      	-5.24083e-01
3        NO_ID      0.3574284708   1.427892225    2.363169783    2.15559665     1.707277033    0.2321175772   1.371996088    0.6344163604   2.187235972    0.9121712638   -1.619086      	-1.61909e+00
4        NO_ID      0.4135163612   2.335077899    2.989916004    1.922616182    0.087439583    1.03623576     0.1756461799   2.00813823     0.4135163612   2.661154677    -1.020255      	-1.61909e+00
5        NO_ID      0.460400085    0.3929987398   2.926829112    0.2516764313   0.1479378032   0.1844668396   1.056849258    2.873617524    1.252246046    1.35962799     -0.660109      	-1.61909e+00
6        NO_ID      0.4633722638   2.983204633    0.4447721771   2.843512229    2.176785408    0.9520559859   1.340069135    0.2210917526   3.036703851    2.146296606    -1.03046       	-1.61909e+00
7        NO_ID      0.4813970902   2.755976769    2.581385233    1.828561104    0.6011471331   0.5588654926   2.567291353    1.493088406    0.4886837221   1.583116661    -1.316667      	-1.61909e+00
8        NO_ID      0.5222405796   2.083017961    1.416195264    1.106225777    0.1791936191   1.909097562    2.460868176    2.521462273    1.633260193    0.9486044234   -1.828851      	-1.82885e+00
9        NO_ID      0.5306777323   1.960679246    1.071230768    1.003445916    1.154739405    2.076594219    2.520791136    2.534885016    1.654161322    1.919835756    -2.254959      	-2.25496e+00
10       NO_ID      0.5469767774   2.698450727    2.232106285    1.613317832    0.9550281647   0.04707547725  0.2871508235   1.144959978    0.4627970034   0.5211859355   -1.887454      	-2.25496e+00
11       NO_ID      0.5789037304   2.318203593    1.743997823    2.843416352    0.762987063    0.593572871    1.899797519    2.194426728    1.83661475     1.103637105    -0.67279       	-2.25496e+00
12       NO_ID      0.5967368032   1.055411107    0.5603036437   3.126444476    1.437096392    3.135361012    0.3063261707   1.964034932    0.2965467436   1.375160021    -0.000163      	-2.25496e+00
13       NO_ID      0.6157203969   2.39174105     2.637185493    1.249273867    1.573624864    2.796532628    0.08628906217  3.124718695    1.798839316    0.1586759977   -0.160609      	-2.25496e+00
14       NO_ID      0.7557004311   1.638149907    2.834595692    0.3343221775   2.835746213    1.387719873    0.2516764313   2.457033107    0.5396901455   3.061152419    -1.123771      	-2.25496e+00
15       NO_ID      0.7939552487   0.453880467    0.005081466994 0.1916575947   2.532871605    2.678604243    0.6615494766   0.363181075    1.737957589    0.04477443559  -0.079074      	-2.25496e+00
16       NO_ID      0.863849389    0.4560856319   3.084354589    1.947735887    0.9181156214   2.898066091    1.154643529    2.181962752    0.6868609348   0.4898342429   -1.667376      	-2.25496e+00
17       NO_ID      0.9866674875   2.956455023    0.8987485208   1.056561628    0.4406494775   2.303055069    2.622036969    2.224244392    1.885703639    2.347445998    -1.053844      	-2.25496e+00
18       NO_ID      1.180817877    0.290985893    2.127504766    0.1766049472   0.02761249989  2.886465006    0.8667256911   0.857329771    1.846969437    2.171416311    -1.164957      	-2.25496e+00
19       NO_ID      1.252533676    0.7574262123   1.839586929    0.8015295108   2.148885278    2.969686013    1.368161019    2.796724382    0.0225310329   2.956167393    -0.152541      	-2.25496e+00
20       NO_ID      1.371900212    0.7301972194   1.815425991    1.673144915    1.975060756    0.5032569859   1.583787798    3.025486273    2.185797821    2.905352723    -0.339098      	-2.25496e+00
21       NO_ID      1.418783935    1.465092399    1.878129376    1.99404435     2.685411491    2.603724512    1.962788534    2.264800252    1.777362927    1.178516836    -1.346054      	-2.25496e+00
22       NO_ID      1.481966704    1.178037452    2.660867047    0.9954881472   1.432877816    0.8541658387   3.088093781    0.9355651874   2.322230416    1.782156764    -0.880542      	-2.25496e+00
23       NO_ID      1.553394872    0.2525393219   2.32712013     1.922807935    1.948982284    2.171224558    2.527502508    0.4684537308   1.809673387    2.726063227    -1.91551       	-2.25496e+00
24       NO_ID      1.62453541     3.110145431    2.361060494    1.085612279    0.5308694858   2.064993134    1.545341227    0.1996153638   2.198357674    1.585897086    -2.385666      	-2.38567e+00
25       NO_ID      1.669213969    0.6096801626   2.648498948    1.969020522    2.065951902    0.6215688778   2.645718523    0.3874378891   0.3453480021   2.334598515    -1.249405      	-2.38567e+00
26       NO_ID      1.704017224    3.093942262    0.1690306851   0.255799131    1.648312841    1.340836149    0.2974096343   0.8130347191   2.800847081    0.7312518635   -1.424832      	-2.38567e+00
27       NO_ID      1.712454377    1.408237495    1.284844136    0.9385373662   1.462599604    1.574583631    0.4795754322   1.014855248    2.318491224    0.9860922271   -2.441814      	-2.44181e+00
28       NO_ID      1.801236234    0.9496590675   1.72175442     0.7086249539   0.978134458    0.3475531671   2.538528332    0.4231999116   0.8929959167   2.475920824    -1.205649      	-2.44181e+00
29       NO_ID      1.881964446    1.210252035    2.309095304    1.913124385    1.798264056    1.135180551    0.4761238697   0.7071868028   1.335658806    2.522325164    -2.251886      	-2.44181e+00
30       NO_ID      1.889826338    2.469784713    1.811686799    0.4474567257   0.6984620199   1.203253034    0.013422743    1.312936019    0.2583878028   2.073238534    -0.573647      	-2.44181e+00
31       NO_ID      1.915233673    3.003722254    0.2270361102   2.750895302    2.054159063    1.011978946    0.3292407105   1.5866641      0.7134187906   0.9119795104   -0.938304      	-2.44181e+00
32       NO_ID      2.161924514    1.671802641    1.904687232    1.241507851    0.01850421     2.223860885    0.3161055977   1.957419437    2.711969347    1.544094829    -2.109064      	-2.44181e+00
33       NO_ID      2.286756024    2.443322734    0.09760251698  2.729035406    2.024820782    2.219738186    0.2684548601   1.734122519    2.977931412    0.184658593    -1.360564      	-2.44181e+00
34       NO_ID      2.299699383    1.274201818    0.8783267761   1.786758847    2.143324427    2.374579114    2.267964184    1.493184282    0.3864791218   1.155506419    -1.345383      	-2.44181e+00
35       NO_ID      2.347829505    1.561065011    1.194144744    2.467291918    1.736711191    1.121853685    3.002475856    1.981868004    0.554742793    1.17573641     -3.966882      	-3.96688e+00
36       NO_ID      2.437474253    2.734404503    0.6617412301   1.43450772     0.0117928385   2.358184192    0.3582913615   1.271421393    0.9774633209   3.11839083     -0.804067      	-3.96688e+00
37       NO_ID      2.449362968    2.650416483    3.131525943    3.140634233    1.921082154    1.232878945    0.8363327659   0.9339352828   2.639390658    0.07459210041  -1.262524      	-3.96688e+00
38       NO_ID      2.507560147    2.829322472    0.4549351111   1.979758716    1.264230637    0.7970233042   0.4289525157   2.686657889    0.2078607631   1.344000082    -0.768056      	-3.96688e+00
39       NO_ID      2.597109018    3.013022297    2.743704547    2.277743611    0.9426600658   2.96565919     0.3997101113   0.2065184888   2.46604552     1.648025211    -1.176864      	-3.96688e+00
40       NO_ID      2.622228722    0.1102582461   1.62424778     2.082826207    1.339014491    0.3288572036   2.982437619    2.894614529    1.72645238     1.086954553    -0.018184      	-3.96688e+00
41       NO_ID      2.631432889    2.282345694    1.523481331    0.6451545548   2.33651605     1.471707894    1.438726297    2.981862358    2.338721215    0.3401706584   -0.943924      	-3.96688e+00
42       NO_ID      2.686370259    0.2037380634   2.548020129    2.079949905    2.172375078    2.521749903    1.665474777    2.153966745    0.4485113698   2.166143091    -0.251055      	-3.96688e+00
43       NO_ID      2.715325033    1.875157198    2.267101293    2.682822819    0.04611670989  0.3973131929   2.223956762    1.93881935     0.6835052491   0.2071896259   -1.685239      	-3.96688e+00
44       NO_ID      2.751949946    2.282920955    3.003051117    2.908229025    1.694429551    0.4471690955   1.451669656    0.7393055093   2.708805415    0.6584814211   -2.858409      	-3.96688e+00
45       NO_ID      2.812448166    2.480714661    2.336707803    1.932779116    1.134509414    2.691259972    0.7178291205   2.713023991    0.7208012993   0.7839840681   -2.098421      	-3.96688e+00
46       NO_ID      2.86374222     1.931149211    2.286084887    0.1357614578   2.097878855    3.06786379     0.9896396663   1.788196998    0.9607807689   0.546401517    -0.788631      	-3.96688e+00
47       NO_ID      2.890204199    1.731533847    2.082250947    0.3598253892   1.547354638    1.191076688    1.560777381    2.492411622    1.599895089    1.201239622    -1.205512      	-3.96688e+00
48       NO_ID      2.926445605    0.1521563796   2.810530631    0.9111166197   0.7140899278   2.416093741    1.29030911     0.6345122371   1.973143222    1.897975861    -1.533192      	-3.96688e+00
49       NO_ID      2.972466438    2.630090615    1.678322259    2.645526769    2.17879882     1.249369743    0.8141852399   0.01361449648  1.651189143    2.999599554    -2.161915      	-3.96688e+00
50       NO_ID      3.105543347    1.400183849    0.3741110229   0.01466914057  0.02799600684  1.187145742    1.670268613    1.794428986    1.890497475    1.907467658    -0.655758      	-3.96688e+00
51       NO_ID      0.460400085    0.3929987398   2.926829112    0.2516764313   0.1479378032   0.1844668396   1.056849258    2.873617524    1.252246046    0.5693160568   -0.685412      	-3.96688e+00
52       NO_ID      0.460400085    1.274201818    2.926829112    1.786758847    2.143324427    2.374579114    1.056849258    2.873617524    1.252246046    1.155506419    -1.267428      	-3.96688e+00
53       NO_ID      0.4633722638   1.274201818    0.4447721771   2.843512229    2.143324427    0.9520559859   2.267964184    1.493184282    0.3864791218   1.155506419    -0.894827      	-3.96688e+00
54       NO_ID      0.4633722638   2.282345694    0.4447721771   0.6451545548   2.33651605     1.471707894    1.438726297    2.981862358    3.036703851    2.146296606    -1.017897      	-3.96688e+00
55       NO_ID      0.4633722638   2.983204633    0.8783267761   1.786758847    2.143324427    0.9520559859   2.267964184    0.2210917526   3.036703851    1.155506419    -0.904164      	-3.96688e+00
56       NO_ID      0.5306777323   2.318203593    1.071230768    2.843416352    0.762987063    2.076594219    1.899797519    2.534885016    1.83661475     1.103637105    -0.953052      	-3.96688e+00
57       NO_ID      0.5306777323   3.093942262    1.071230768    1.003445916    1.154739405    2.076594219    2.520791136    0.8130347191   2.800847081    1.919835756    -1.900448      	-3.96688e+00
58       NO_ID      0.5469767774   2.698450727    3.003051117    1.613317832    1.694429551    0.04707547725  0.2871508235   1.144959978    0.4627970034   0.5211859355   -1.215064      	-3.96688e+00
59       NO_ID      0.5789037304   1.960679246    1.071230768    1.003445916    1.154739405    2.076594219    1.899797519    2.194426728    1.654161322    1.919835756    -2.339143      	-3.96688e+00
60       NO_ID      0.6157203969   0.290985893    2.637185493    1.249273867    1.573624864    2.796532628    0.08628906217  3.124718695    1.798839316    2.171416311    -0.160733      	-3.96688e+00
61       NO_ID      0.6157203969   1.875157198    2.267101293    2.682822819    1.573624864    0.3973131929   2.223956762    3.124718695    1.798839316    0.1586759977   -1.319922      	-3.96688e+00
62       NO_ID      0.6157203969   1.931149211    2.286084887    0.1357614578   1.573624864    2.796532628    0.9896396663   1.788196998    0.9607807689   0.1586759977   -0.781196      	-3.96688e+00
63       NO_ID      0.6157203969   2.39174105     2.267101293    2.682822819    0.04611670989  2.796532628    2.223956762    3.124718695    0.6835052491   0.1586759977   -1.677423      	-3.96688e+00
64       NO_ID      0.7557004311   1.465092399    2.834595692    0.3343221775   2.835746213    1.387719873    0.2516764313   2.457033107    1.777362927    1.178516836    -1.260933      	-3.96688e+00
65       NO_ID      0.7557004311   1.638149907    2.834595692    0.3343221775   2.685411491    1.387719873    0.2516764313   2.457033107    1.777362927    3.061152419    -1.161787      	-3.96688e+00
66       NO_ID      0.7557004311   1.638149907    2.834595692    0.3343221775   2.835746213    1.387719873    0.2516764313   3.016377983    0.5396901455   3.061152419    -1.149402      	-3.96688e+00
67       NO_ID      0.7557004311   1.638149907    2.834595692    0.3343221775   2.835746213    2.219738186    0.2516764313   1.734122519    0.5396901455   0.184658593    -1.713263      	-3.96688e+00
68       NO_ID      0.7939552487   0.453880467    0.005081466994 0.1916575947   0.762987063    0.593572871    1.899797519    2.194426728    1.83661475     0.04477443559  -0.671139      	-3.96688e+00
69       NO_ID      0.7939552487   0.453880467    0.005081466994 2.843416352    2.532871605    0.593572871    0.6615494766   2.194426728    1.737957589    1.103637105    -0.017008      	-3.96688e+00
70       NO_ID      1.180817877    2.39174105     2.637185493    0.1766049472   0.02761249989  2.886465006    0.8667256911   0.857329771    1.798839316    0.1586759977   -0.986808      	-3.96688e+00
71       NO_ID      1.704017224    1.960679246    1.071230768    0.255799131    1.154739405    2.076594219    2.520791136    2.534885016    1.654161322    0.7312518635   -2.463326      	-3.96688e+00
72       NO_ID      1.881964446    1.210252035    2.309095304    1.003445916    1.154739405    1.135180551    0.4761238697   2.534885016    1.335658806    1.919835756    -0.897376      	-3.96688e+00
73       NO_ID      1.881964446    1.960679246    2.309095304    1.913124385    1.798264056    2.076594219    2.520791136    2.534885016    1.335658806    1.919835756    -2.317442      	-3.96688e+00
74       NO_ID      2.286756024    1.638149907    2.834595692    0.3343221775   2.835746213    1.387719873    0.2516764313   1.734122519    2.977931412    0.184658593    -2.402913      	-3.96688e+00
75       NO_ID      2.299699383    1.274201818    0.8783267761   1.786758847    2.143324427    0.1844668396   1.056849258    1.493184282    1.252246046    1.155506419    -1.433907      	-3.96688e+00
76       NO_ID      2.437474253    2.734404503    0.6617412301   1.43450772     0.9550281647   2.358184192    0.3582913615   1.271421393    0.9774633209   3.11839083     -1.512069      	-3.96688e+00
77       NO_ID      2.449362968    2.650416483    3.131525943    3.140634233    0.9426600658   2.96565919     0.8363327659   0.9339352828   2.639390658    0.07459210041  -1.910867      	-3.96688e+00
78       NO_ID      2.449362968    3.013022297    2.743704547    2.277743611    1.921082154    2.96565919     0.3997101113   0.2065184888   2.46604552     0.07459210041  -0.725945      	-3.96688e+00
79       NO_ID      2.597109018    2.282345694    2.743704547    2.277743611    2.33651605     2.96565919     0.3997101113   2.981862358    2.46604552     0.3401706584   -0.543604      	-3.96688e+00
80       NO_ID      2.631432889    2.282345694    2.743704547    2.277743611    2.33651605     2.96565919     1.438726297    0.2065184888   2.46604552     1.648025211    -1.432105      	-3.96688e+00
