%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.006807248238 1.620220957    0.3137086793   1.312936019    1.313223649    1.754160757    0.6444834176   0.288780728    1.124250603    0.1820699212   -0.924434      
2        NO_ID      0.02550321171  1.265860542    1.937285322    2.047639445    1.274585325    1.261066705    1.996153638    2.479180633    2.21110928     1.581870263    -1.610457      	-1.61046e+00
3        NO_ID      0.03202282974  1.260203815    2.139201728    0.2048885843   3.131525943    0.5740140169   1.512743137    0.378041969    2.460676423    0.003643315958 -1.106588      	-1.61046e+00
4        NO_ID      0.173057508    2.025683673    0.9861881038   1.814179594    2.254541441    2.430667004    2.729610667    0.6748763429   1.62894574     1.178133329    -1.80968       	-1.80968e+00
5        NO_ID      0.1947256503   2.403917395    0.5379643642   1.336425819    2.163554419    3.119349597    2.462785711    2.64610203     0.7716159692   0.5743016471   -0.800746      	-1.80968e+00
6        NO_ID      0.2669208323   1.203253034    2.168252379    1.424057156    2.338241831    2.285605503    2.883396951    0.9471662724   2.083784975    1.287816314    -0.545971      	-1.80968e+00
7        NO_ID      0.2995189225   2.87342577     3.027499684    1.12434648     2.717530198    2.615133844    0.9102537291   2.708709538    2.332968611    1.616673518    -1.37258       	-1.80968e+00
8        NO_ID      0.361359417    3.110912445    1.16576523     0.3734398857   3.063932844    0.9229094582   1.929327553    1.598073431    2.227312448    1.897496477    -2.180517      	-2.18052e+00
9        NO_ID      0.3891636704   2.191742179    0.7634664467   2.925774468    0.06203224802  1.304594743    1.207088103    0.3026828547   1.088296827    0.6474555965   -0.538133      	-2.18052e+00
10       NO_ID      0.4193648421   2.736417915    2.485412621    0.1825493048   1.254355334    2.441213445    1.436329378    1.335467052    2.042557978    1.970266919    -2.114192      	-2.18052e+00
11       NO_ID      0.4467855885   1.07410707     2.529707673    3.083299945    3.12308879     0.3552233059   1.391459066    1.3187845      0.03000941829  2.892888747    -0.857649      	-2.18052e+00
12       NO_ID      0.7753551619   2.517243697    2.88224643     2.341981024    2.156076033    0.7073785563   0.3641398423   2.034408456    2.396247256    2.580618219    -0.457701      	-2.18052e+00
13       NO_ID      0.7792861081   2.771317047    2.261540443    0.9635611942   2.470551727    1.586568223    2.328270651    2.395863749    0.9151434426   0.2433351553   -1.986842      	-2.18052e+00
14       NO_ID      0.9408384078   0.2604012143   2.186756589    2.236612491    1.135180551    0.1015334631   1.666529421    2.81791314     1.673336669    3.036607974    -1.712581      	-2.18052e+00
15       NO_ID      0.9982685725   0.112846918    2.050995131    2.746197342    1.054260586    0.1612646695   2.122327422    2.429420607    0.6751639731   0.7771768199   -1.095589      	-2.18052e+00
16       NO_ID      1.032880074    1.786183587    1.971800947    1.329618571    2.178894696    2.149556415    1.534603032    2.210246389    2.529803549    2.727789009    -0.842835      	-2.18052e+00
17       NO_ID      1.234412973    1.835847736    2.8267338      2.561346995    1.228564492    1.488006939    3.034019302    0.821759502    1.829807502    2.890683583    -1.251581      	-2.18052e+00
18       NO_ID      1.290980247    3.099407236    0.325789148    1.991263925    2.067390053    1.456751123    2.342172777    0.9532065067   1.32261957     0.5966409265   -0.767794      	-2.18052e+00
19       NO_ID      1.372667226    1.154835282    1.578610454    0.1724822476   2.554347994    2.929705414    3.053290526    1.325399995    1.835464229    1.291267877    -0.605633      	-2.18052e+00
20       NO_ID      1.518879248    2.811968783    2.187427726    2.554827377    1.61868693     2.847347298    2.432488662    2.980424207    2.781000597    2.555115007    -1.032509      	-2.18052e+00
21       NO_ID      1.530672086    0.02406506067  1.167299258    1.864994264    0.6843681397   0.8738205695   1.212648954    1.363654812    3.020980066    1.583212537    -3.37334       	-3.37334e+00
22       NO_ID      1.531534977    1.453778944    0.5186931404   0.4947239564   1.351861974    2.252719783    1.495581201    0.1140933155   0.8143769934   0.4169679237   -1.309592      	-3.37334e+00
23       NO_ID      1.578993961    0.9374827221   1.403539535    2.047639445    2.559045954    0.9696014285   1.354834153    0.2898353721   3.119349597    0.7204177924   -1.53022       	-3.37334e+00
24       NO_ID      1.583308414    1.996633022    1.768829898    1.463558371    0.773149997    0.9608766456   2.591931674    3.055016308    1.616577641    0.4329793386   -0.885137      	-3.37334e+00
25       NO_ID      1.59222495     0.2296247821   2.083017961    2.119930504    2.674193913    1.628753987    2.929513661    2.912639355    0.8843670105   1.754352511    -0.410511      	-3.37334e+00
26       NO_ID      1.668830462    0.07478385388  0.3624140611   0.8687391025   1.738532849    2.319737621    2.348500642    2.18349678     1.335946436    1.646299429    -1.106483      	-3.37334e+00
27       NO_ID      1.693662537    2.349651163    2.311396345    2.91896722     1.193761237    2.921364138    0.2697971344   0.5060374112   2.904106326    0.9803396229   -0.352319      	-3.37334e+00
28       NO_ID      1.82750646     1.55521653     0.09923242149  2.963645778    0.2850415354   0.5033528626   1.37458476     1.839011668    1.230290273    0.4925187915   -1.473061      	-3.37334e+00
29       NO_ID      1.964418439    1.719549256    2.719064226    2.667194912    0.03758368041  2.830185362    1.400950863    2.010726902    2.125874862    2.793464573    -0.957087      	-3.37334e+00
30       NO_ID      1.964514315    0.2801518218   1.66624179     0.7387302489   3.000845952    0.1063272999   1.119840273    1.218880941    2.418298906    0.8574256477   -0.412924      	-3.37334e+00
31       NO_ID      2.031819784    1.641505593    1.710153335    2.612736926    1.603059022    1.745723604    1.783594915    1.289062712    2.434502074    2.883013444    -1.771746      	-3.37334e+00
32       NO_ID      2.03632599     1.185515837    2.536227291    1.081777209    2.246583672    2.418298906    0.8378667936   2.5394871      1.698360497    1.283885368    -3.328474      	-3.37334e+00
33       NO_ID      2.078511754    1.442657243    0.7457292506   2.83143176     2.767194347    1.978512319    0.05263632792  1.14313832     0.2176401901   1.256081115    -1.704721      	-3.37334e+00
34       NO_ID      2.084743742    2.89576505     1.313415403    2.304589097    0.07353745631  3.126636229    1.271517269    0.484369269    1.92884817     2.148789401    -1.851455      	-3.37334e+00
35       NO_ID      2.149556415    2.38320802     0.2315423168   2.139297605    0.625116317    0.4179266911   2.652525771    2.312930373    2.468250685    1.743997823    -1.262975      	-3.37334e+00
