%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.004314453108 2.801134711    2.320025251    1.706126512    2.826829677    1.883977857    1.398841574    2.534118002    1.026360456    1.756078292    -0.536642      
2        NO_ID      0.02588671865  1.354738276    1.937189446    2.779274816    1.717823474    2.653676292    1.724438969    2.483303332    0.1860967441   1.898071737    -1.267571      	-1.26757e+00
3        NO_ID      0.08187873232  2.710914703    1.614180723    2.117629462    1.768158761    0.5105436178   2.958468435    0.7538787731   2.595191483    3.017720257    -1.486134      	-1.48613e+00
4        NO_ID      0.2010535148   0.1721946174   1.163080681    2.385221432    1.540355636    1.229619136    1.694813058    2.005741312    2.891834103    0.6659598065   -0.960478      	-1.48613e+00
5        NO_ID      0.2413217439   2.368347126    1.673240792    0.2474578549   1.120990794    1.825493048    2.541884018    2.185606068    0.01562790793  1.967774124    -0.420239      	-1.48613e+00
6        NO_ID      0.2628940094   0.3976966999   1.944380201    0.1633739577   0.6399772111   1.105746393    2.28512612     2.355212013    2.861345301    0.7014341987   -1.609169      	-1.60917e+00
7        NO_ID      0.2754538618   1.385514708    1.49500594     2.332585104    1.136714579    0.4655774288   2.042462101    2.129614054    0.4523464392   0.4650021683   -0.429899      	-1.60917e+00
8        NO_ID      0.3097777332   1.213703598    1.679281026    1.241795481    1.190884935    2.462018697    2.636897863    1.105171133    2.553101596    2.594040962    -0.229901      	-1.60917e+00
9        NO_ID      0.3371026029   0.7136105441   3.004393391    2.081004549    2.778507802    1.99375672     1.018402687    1.156561063    1.881964446    0.6782320286   -1.017904      	-1.60917e+00
10       NO_ID      0.3717141045   1.280913189    2.157705938    2.874480414    0.03911770818  2.953003461    0.9413177915   2.787903722    1.080722565    0.4836022551   -0.642771      	-1.60917e+00
11       NO_ID      0.5236787306   1.11523819     2.977452028    2.150323429    1.464229508    0.112846918    1.293856549    0.1221469613   1.130386714    2.801805849    -0.003994      	-1.60917e+00
12       NO_ID      0.5261715257   1.034893486    0.1176407548   1.715810063    3.074479285    2.30861592     0.05560850673  2.755976769    1.840353943    2.714078635    -0.364018      	-1.60917e+00
13       NO_ID      0.5327870205   2.702669304    1.213032461    0.05810130186  3.082724684    1.709386322    2.858373123    2.911488834    0.6383473066   2.776686144    -1.231693      	-1.60917e+00
14       NO_ID      0.717637367    0.8370997797   2.259335278    1.460490316    0.0117928385   0.9325930085   1.492417269    2.853099902    2.467387794    2.78119235     -2.449825      	-2.44983e+00
15       NO_ID      0.7390178791   2.468058931    1.737190575    2.389727638    2.553389226    1.624343657    2.085414879    1.321948432    0.4077637571   2.662976335    -0.847744      	-2.44983e+00
16       NO_ID      0.7696025578   0.1561832025   2.597971908    2.830568869    0.06836011258  1.414948866    2.6140792      0.1973143222   1.909481069    2.095865443    -0.719035      	-2.44983e+00
17       NO_ID      0.7813953963   0.4257885834   0.6464968291   0.2265567266   2.936512662    1.205266445    0.5109271248   0.756083938    2.777357281    1.426166444    -0.635958      	-2.44983e+00
18       NO_ID      0.8099666635   0.9678756473   2.751854069    0.4303906667   1.879088144    1.782156764    2.657990745    0.6914630182   2.072279766    1.814083717    -0.240989      	-2.44983e+00
19       NO_ID      0.8112130611   2.588000728    0.4135163612   2.830856499    2.808996604    1.16164253     0.005369097201 0.5003806838   1.056753381    2.907462011    -0.218201      	-2.44983e+00
20       NO_ID      0.8723824185   2.877931977    0.1920411017   1.630767398    2.338529461    2.936416786    0.8625071147   1.554449517    2.192796823    0.7728623668   -1.155856      	-2.44983e+00
21       NO_ID      0.9598220015   0.5019147116   0.7138022976   2.175155504    0.3776584621   1.223674778    1.112745395    1.096254596    1.818014663    0.3346098077   -0             	-2.44983e+00
22       NO_ID      0.9841746924   0.5664397548   0.6775608915   0.0995200517   2.584453289    0.6809165772   2.456553723    0.6250204403   0.1416099387   1.287624561    -0.192594      	-2.44983e+00
23       NO_ID      1.025689319    2.481673428    1.944092571    1.844668396    1.503922477    1.348889795    0.4906971335   1.179954987    1.913603769    1.443807764    -0.285383      	-2.44983e+00
24       NO_ID      1.058383286    2.884451595    1.81370021     0.6871485651   1.428083979    2.247350686    0.5716170985   0.2324052074   2.848593696    0.7202260389   -0.730026      	-2.44983e+00
25       NO_ID      1.090406116    0.1570460931   2.267388924    0.261935242    0.6692196155   2.025396043    3.125773339    0.5891625411   2.645814399    2.49365802     -1.547392      	-2.44983e+00
26       NO_ID      1.169983806    2.22990112     1.324728858    0.8965433559   2.142940921    0.2224340269   0.1275160585   1.902769698    1.069025604    2.475537317    -0.938263      	-2.44983e+00
27       NO_ID      1.196254032    1.211210803    1.279283285    2.968247862    2.804969781    2.388481241    1.072381289    1.867103552    2.222614488    2.102960322    -3.316819      	-3.31682e+00
28       NO_ID      1.280337929    1.027510977    0.04458268212  1.061451341    1.712262624    2.791451161    3.030951247    2.863646343    1.753393743    1.941695652    -1.832339      	-3.31682e+00
29       NO_ID      1.321948432    1.88714179     2.26221158     0.7529200058   3.087326768    1.705934759    2.856934972    2.89605268     0.9094867152   0.7921335907   -0.681836      	-3.31682e+00
30       NO_ID      1.546587624    0.31926953     1.483213102    0.0464043401   0.5526335048   1.793278465    1.615714751    1.60104561     2.874863921    1.314757677    -0.284362      	-3.31682e+00
31       NO_ID      1.638437537    1.011787192    2.367963619    2.323860321    0.3033539919   0.3408417956   0.7678767765   1.769309281    0.6353751278   2.11858823     -2.003974      	-3.31682e+00
32       NO_ID      1.64217673     1.423865402    0.8861886684   1.288966835    0.7954892764   1.026264579    2.97093241     0.4162967866   0.7993243459   2.825391526    -0.995504      	-3.31682e+00
33       NO_ID      1.751380332    1.65157265     1.035181116    0.2792889312   2.856072081    2.579180068    1.462503727    1.251862539    1.501046175    2.109000556    -2.639802      	-3.31682e+00
34       NO_ID      1.780239229    0.6068997372   1.450039751    1.97966284     1.415811757    2.411587534    2.228558846    0.07018177056  2.264608498    0.1762214403   -1.96422       	-3.31682e+00
35       NO_ID      1.893469654    0.2798641916   1.503443093    0.9883932687   2.017054767    0.3316376289   0.06203224802  2.942361143    3.100557757    1.875828335    -1.072654      	-3.31682e+00
36       NO_ID      1.970075166    1.511592616    1.461736713    0.5960656661   1.690690358    2.421654591    0.6577144072   0.2302000425   2.120026381    1.868062319    -3.312378      	-3.31682e+00
37       NO_ID      2.165376077    2.118396476    0.3433345907   1.572761973    0.4318288178   1.869021087    0.6835052491   1.781773257    2.381386362    0.9120753871   -1.384589      	-3.31682e+00
38       NO_ID      2.215040226    2.829993609    3.030184233    0.8210883649   0.2642362837   1.395485889    1.49002035     2.410628767    0.2992312922   2.888574294    -1.649337      	-3.31682e+00
39       NO_ID      2.333639748    1.920506894    1.298938016    0.05618376714  3.04849669     2.892313487    2.613120433    2.378989444    2.104590226    1.155985803    -1.928316      	-3.31682e+00
40       NO_ID      2.49835598     2.018109411    2.108712926    1.394239491    1.065669918    0.4456350677   1.199993225    2.743129286    2.506313749    0.7268415336   -1.277695      	-3.31682e+00
41       NO_ID      2.516668436    1.614084846    2.588096605    1.208430377    0.7007630615   2.086373646    1.304019483    1.920219263    0.5074755623   0.4295277761   -1.500147      	-3.31682e+00
42       NO_ID      2.591548167    0.7893531653   1.438438666    0.3856162311   1.724918353    2.143899688    1.631917919    1.176982808    3.070260709    1.142179553    -1.245141      	-3.31682e+00
43       NO_ID      2.672468132    0.7647128443   0.1585801209   0.9599178782   0.3594418823   2.062500339    1.732588492    1.63747877     1.549272173    2.822419347    -0.583996      	-3.31682e+00
44       NO_ID      2.683877464    1.388486887    1.022813017    1.165669353    2.315710798    2.693848644    0.5106394946   2.46105993     0.6559886259   2.767194347    -1.429091      	-3.31682e+00
45       NO_ID      2.91925485     2.205356675    0.3139963095   1.125592878    2.90046301     1.94265442     1.992414445    3.047250292    0.7908871931   2.269306458    -1.419349      	-3.31682e+00
46       NO_ID      2.937663183    0.4296236529   2.997010883    2.432105156    1.201527252    0.6225276452   2.474962056    1.675254204    1.194720004    0.6583855443   -0.722973      	-3.31682e+00
47       NO_ID      2.999311924    1.289446219    1.867295305    0.2879178374   2.653868045    0.5475520378   2.978698426    0.7939552487   0.6902166206   2.823473991    -1.478913      	-3.31682e+00
48       NO_ID      3.001517089    1.5825414      0.6446751711   0.1789059889   0.4595371944   2.843128722    0.5261715257   1.282255464    0.5326911438   0.7270332871   -1.634557      	-3.31682e+00
49       NO_ID      3.001612966    2.13268211     3.012542914    1.711591486    2.130860452    1.872185019    1.299417399    0.546401517    3.069493695    2.020889836    -0.04386       	-3.31682e+00
50       NO_ID      3.010817132    0.1736327684   1.251479032    1.087146307    1.372763102    0.84208537     0.7725747366   0.1595388883   1.461736713    0.3182148859   -2.598449      	-3.31682e+00
51       NO_ID      0.02588671865  0.2798641916   1.937189446    2.779274816    1.717823474    0.3316376289   0.06203224802  2.942361143    0.1860967441   1.898071737    -1.080076      	-3.31682e+00
52       NO_ID      0.02588671865  1.027510977    1.937189446    1.061451341    1.717823474    2.791451161    3.030951247    2.483303332    1.753393743    1.941695652    -1.820025      	-3.31682e+00
53       NO_ID      0.02588671865  1.354738276    1.163080681    2.779274816    1.540355636    1.229619136    1.694813058    2.005741312    2.891834103    0.6659598065   -1.132459      	-3.31682e+00
54       NO_ID      0.02588671865  1.354738276    1.937189446    0.4303906667   1.717823474    1.782156764    1.724438969    2.483303332    0.1860967441   1.814083717    -1.228291      	-3.31682e+00
55       NO_ID      0.02588671865  1.354738276    1.937189446    2.779274816    1.712262624    2.791451161    3.030951247    2.483303332    0.1860967441   1.898071737    -1.355753      	-3.31682e+00
56       NO_ID      0.2010535148   0.1721946174   1.163080681    2.385221432    1.717823474    2.653676292    1.724438969    2.483303332    2.891834103    0.6659598065   -1.948146      	-3.31682e+00
57       NO_ID      0.2413217439   2.368347126    2.320025251    1.706126512    2.826829677    1.825493048    1.398841574    2.534118002    0.01562790793  1.756078292    -0.388155      	-3.31682e+00
58       NO_ID      0.2413217439   2.801134711    2.320025251    1.706126512    1.120990794    1.825493048    2.541884018    2.534118002    0.01562790793  1.967774124    -0.679764      	-3.31682e+00
59       NO_ID      0.2628940094   0.3976966999   0.3433345907   0.1633739577   0.6399772111   1.105746393    0.6835052491   2.355212013    2.861345301    0.7014341987   -1.632991      	-3.31682e+00
60       NO_ID      0.2628940094   0.3976966999   0.3433345907   1.572761973    0.6399772111   1.105746393    0.6835052491   1.781773257    2.861345301    0.9120753871   -0.853428      	-3.31682e+00
61       NO_ID      0.2628940094   0.3976966999   1.944380201    0.1633739577   0.6399772111   1.105746393    0.1626069438   2.355212013    2.861345301    0.7014341987   -1.599919      	-3.31682e+00
62       NO_ID      0.3097777332   1.027510977    1.679281026    1.241795481    1.712262624    2.462018697    2.636897863    2.863646343    2.553101596    1.941695652    -1.210918      	-3.31682e+00
63       NO_ID      0.5236787306   0.31926953     1.483213102    2.150323429    0.5526335048   0.112846918    1.615714751    1.60104561     1.130386714    2.801805849    -0.052089      	-3.31682e+00
64       NO_ID      0.5261715257   2.468058931    1.737190575    2.389727638    3.074479285    2.30861592     0.05560850673  2.755976769    0.4077637571   2.714078635    -0.382654      	-3.31682e+00
65       NO_ID      0.717637367    0.8370997797   2.259335278    1.572761973    0.4318288178   1.869021087    1.492417269    1.781773257    2.381386362    2.78119235     -1.69433       	-3.31682e+00
66       NO_ID      0.717637367    2.118396476    0.3433345907   1.572761973    0.0117928385   1.869021087    0.6835052491   1.781773257    2.381386362    2.78119235     -0.605501      	-3.31682e+00
67       NO_ID      0.7390178791   2.468058931    0.1176407548   2.389727638    2.553389226    1.624343657    0.05560850673  2.755976769    1.840353943    2.714078635    -0.728072      	-3.31682e+00
68       NO_ID      0.7696025578   0.1561832025   2.597971908    2.323860321    0.06836011258  1.414948866    0.7678767765   0.1973143222   0.6353751278   2.11858823     -1.138921      	-3.31682e+00
69       NO_ID      0.7813953963   2.481673428    0.6464968291   1.844668396    2.936512662    1.348889795    0.5109271248   0.756083938    1.913603769    1.443807764    -0.92134       	-3.31682e+00
70       NO_ID      0.8099666635   1.354738276    2.751854069    2.779274816    1.717823474    2.653676292    2.657990745    2.483303332    2.072279766    1.898071737    -1.273525      	-3.31682e+00
71       NO_ID      0.8723824185   2.118396476    0.3433345907   1.572761973    0.4318288178   1.869021087    0.8625071147   1.781773257    2.381386362    0.9120753871   -1.276744      	-3.31682e+00
72       NO_ID      0.9841746924   2.13268211     0.6775608915   1.711591486    2.584453289    1.872185019    1.299417399    0.6250204403   0.1416099387   1.287624561    -0.185395      	-3.31682e+00
73       NO_ID      1.025689319    2.481673428    1.944092571    0.2265567266   2.936512662    1.348889795    0.5109271248   0.756083938    2.777357281    1.426166444    -0.636486      	-3.31682e+00
74       NO_ID      1.280337929    1.027510977    0.04458268212  1.061451341    1.712262624    2.791451161    2.55856657     2.863646343    1.753393743    1.941695652    -1.792802      	-3.31682e+00
75       NO_ID      1.280337929    1.213703598    0.04458268212  1.061451341    1.190884935    2.462018697    2.636897863    1.105171133    1.753393743    1.941695652    -0.760222      	-3.31682e+00
76       NO_ID      1.546587624    0.31926953     1.022813017    0.0464043401   0.5526335048   2.693848644    1.615714751    1.60104561     2.874863921    2.767194347    -0.456557      	-3.31682e+00
