%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.004602083316 0.6899289904   0.891078382    0.8716154046   0.674109329    2.260485799    1.697209976    2.25339092     2.609477117    1.16662812     -0.225371      
2        NO_ID      0.04851362828  2.645910276    2.446582543    1.992126815    2.597013141    0.6696031224   2.959427202    0.7789984779   2.762784017    2.376400772    -1.48864       	-1.48864e+00
3        NO_ID      0.1381583762   2.81321518     0.7771768199   0.6551257353   1.780622736    1.223387148    2.70660025     0.7171579833   1.475734717    0.4631805104   -0.75336       	-1.48864e+00
4        NO_ID      0.1460202685   1.289925603    2.163842049    0.816678035    0.8729576789   2.14735125     1.970075166    0.6256915774   0.3819729152   1.246876948    -1.29          	-1.48864e+00
5        NO_ID      0.1668255202   0.4863826804   0.1558955723   2.32328506     0.3911770818   1.170559067    1.941120392    2.567483106    0.6348957441   0.7316353704   -0.744768      	-1.48864e+00
6        NO_ID      0.2127504766   0.6012430098   0.1024922305   1.603826035    2.065184888    0.6877238255   2.503533324    3.040826551    0.5072838088   2.18905763     -0.548466      	-1.48864e+00
7        NO_ID      0.2224340269   2.618585407    2.527694261    0.4478402326   2.477263098    0.4094895383   3.103913443    0.3112158842   0.6696989991   1.66624179     -0.416976      	-1.48864e+00
8        NO_ID      0.265578558    0.452058809    1.166148737    0.914664059    2.425873168    3.038813139    2.780521213    2.733349859    1.436425255    0.9336476526   -0.860408      	-1.48864e+00
9        NO_ID      0.3016282106   2.703532194    2.019835192    0.5857109786   0.0877272132   0.4879167082   0.3579078545   2.597013141    1.854447823    0.2880137142   -0.874762      	-1.48864e+00
10       NO_ID      0.3373902331   1.626548822    2.707750771    0.5154333313   1.801619741    2.947059103    2.966522081    1.541026774    0.1978895826   1.553107242    -1.726922      	-1.72692e+00
11       NO_ID      0.3971214394   3.136511533    2.89135472     0.4644269079   0.515912715    1.510633848    1.716864707    1.459531548    1.195295264    0.2414176206   -0.505876      	-1.72692e+00
12       NO_ID      0.4831228714   0.1642368483   2.40199986     1.115334067    0.1561832025   0.3881090263   0.8162945281   2.4607723      2.826829677    1.690019221    -1.575941      	-1.72692e+00
13       NO_ID      0.5185972636   2.70688788     0.1939586364   1.644477771    2.068828204    0.230008289    2.287906545    1.53642469     0.8138976097   1.890497475    -0.87721       	-1.72692e+00
14       NO_ID      0.5322117601   1.927985279    1.30881332     2.848689572    1.008815013    0.5623170551   1.684362493    1.478802772    2.368730633    2.602382238    -1.755498      	-1.75550e+00
15       NO_ID      0.6840805095   1.340644396    0.327610806    1.446108805    2.573906848    0.5700830707   0.3676872816   2.28071579     2.219258802    2.139489358    -1.126182      	-1.75550e+00
16       NO_ID      0.8563710036   2.49778072     2.774768609    0.07756427921  2.402191614    1.271613146    1.084941142    0.3700842      3.098160839    1.316962842    -0.027866      	-1.75550e+00
17       NO_ID      0.880915448    2.157993568    0.4413206146   1.31379891     0.6172544247   2.97476748     0.5702748242   0.9270321579   0.5570438347   1.055794614    -0.069615      	-1.75550e+00
18       NO_ID      0.9361404478   2.0865654      0.8696978699   1.037386281    2.893655761    0.376220311    1.374776514    2.385892569    1.308525689    2.297494219    -1.564507      	-1.75550e+00
19       NO_ID      1.021278989    2.592698688    1.567584629    0.7840799449   0.9404549009   2.812064659    1.328659804    2.335653159    0.07085290771  0.3305829848   -1.089109      	-1.75550e+00
20       NO_ID      1.097692747    2.994422211    0.9458239981   2.896244433    0.4372937917   1.655120089    2.855113314    2.00315264     2.511299339    2.67956301     -0.153482      	-1.75550e+00
21       NO_ID      1.39222608     1.759817485    2.152528594    1.708331677    2.45751249     1.81811054     0.9104454826   1.401717877    2.620886448    1.320222651    -1.332854      	-1.75550e+00
22       NO_ID      1.394527121    0.378041969    3.102475292    2.130476945    0.8924206563   0.8492761252   2.786849078    2.661250554    1.340260889    0.4358556407   -1.306817      	-1.75550e+00
23       NO_ID      1.405744699    0.327610806    2.892409364    1.936134802    0.2486083758   1.853009672    0.6748763429   2.525105589    1.068450343    0.7454416204   -1.586858      	-1.75550e+00
24       NO_ID      1.502676079    0.2888766048   2.261732196    2.899408366    0.2278031241   2.485220867    0.9572333296   2.330667569    0.1209005638   0.6178296851   -1.196023      	-1.75550e+00
25       NO_ID      1.505648258    2.265183759    1.983977293    2.226928941    1.261546089    3.129416655    1.112361888    2.75300459     3.010817132    3.000366568    -0.000617      	-1.75550e+00
26       NO_ID      1.562119655    2.717626075    2.206027813    2.194810235    2.189824644    2.215327856    0.8535905783   1.558092833    1.448697477    2.898737228    -2.647802      	-2.64780e+00
27       NO_ID      1.636807633    0.7842716984   2.865659755    2.460484669    2.774193349    0.2475537317   1.893182024    1.277269874    0.7639458304   1.144672348    -2.281901      	-2.64780e+00
28       NO_ID      1.681486191    2.542842785    2.358280069    2.320984019    1.664228379    2.570455285    2.158664705    0.6993249105   2.052912666    1.117922739    -0.660709      	-2.64780e+00
29       NO_ID      1.79490837     0.8455369325   2.075060192    0.5105436178   2.315519045    2.969206629    1.589444525    2.602957499    2.090304593    2.455019695    -0.598658      	-2.64780e+00
30       NO_ID      1.803537276    1.909960453    0.3117911446   3.118294953    0.8574256477   2.716763184    1.094816445    2.96978189     0.1067108069   1.765570089    -0.599943      	-2.64780e+00
31       NO_ID      2.049461103    1.171613711    0.5307736091   1.874294307    0.9418930519   1.358189838    0.6478391034   0.5545510395   1.480145046    0.7098713514   -2.331065      	-2.64780e+00
32       NO_ID      2.077840617    1.830574515    1.42070147     0.440074217    0.304025129    2.943224034    1.486856418    1.988579376    1.664995393    0.5071879321   -2.448665      	-2.64780e+00
33       NO_ID      2.107466528    0.9802437462   1.690977988    1.317058719    1.788772259    2.5864667      0.622240015    1.305649387    3.088669042    1.204403554    -1.996297      	-2.64780e+00
34       NO_ID      2.1417904      2.890300076    1.022046003    1.965377206    0.1463078987   2.219354679    2.49423328     1.017348043    2.751854069    2.315614922    -2.127939      	-2.64780e+00
35       NO_ID      2.152816224    1.227030464    0.1116005204   1.359723866    2.828171951    0.1659626296   2.61465446     1.811974429    0.6650010391   2.674673297    -1.088482      	-2.64780e+00
36       NO_ID      2.26249921     1.174681766    0.5399777757   2.239201163    0.4664403194   1.816288882    2.65108762     1.844668396    1.954351381    1.772089707    -1.650746      	-2.64780e+00
37       NO_ID      2.44341861     0.2439104157   0.7446746065   1.795004247    2.078703508    0.05877243901  2.640157672    2.721557021    0.9669168799   2.985793304    -0.230834      	-2.64780e+00
38       NO_ID      2.443514487    1.303923606    1.218976818    0.3184066394   2.214369089    0.7645210908   1.075257591    0.3721934881   1.325879379    1.764131938    -2.232606      	-2.64780e+00
39       NO_ID      2.448787708    3.02644504     1.519358631    1.232303684    2.207082457    2.602957499    0.8907907518   2.856359711    0.285520919    2.443514487    -1.786852      	-2.64780e+00
40       NO_ID      2.477454852    1.045535803    3.104968087    1.971609194    3.084066959    1.0550276      2.602190485    2.429708237    2.853771039    1.191460195    -1.495427      	-2.64780e+00
41       NO_ID      2.487905416    1.022621263    2.872658756    1.257902773    0.6882990859   1.032880074    1.930765704    1.497211105    1.69855225     1.488294569    -0.882609      	-2.64780e+00
42       NO_ID      2.509094174    1.829807502    0.9710395796   2.289248819    2.106987145    2.337283064    2.582535754    0.6503318985   0.4868620641   1.951475079    -0.201692      	-2.64780e+00
43       NO_ID      2.520503506    1.535178293    0.2091071606   1.084749388    0.633457593    2.717338444    2.349555286    0.8521524273   0.9835035552   1.465667659    -2.610175      	-2.64780e+00
44       NO_ID      2.592986318    2.388097734    0.4557980017   2.153295608    2.166238967    0.5361427063   2.013411451    2.53565203     0.3897389308   1.844668396    -0.931651      	-2.64780e+00
45       NO_ID      2.74360867     2.31302625     0.7566591985   0.5487984354   1.0867628      1.464900645    0.1450615012   1.425974691    1.187816879    2.813119303    -0.464599      	-2.64780e+00
46       NO_ID      2.84495038     1.887045913    0.3015323339   0.8417977398   0.2467867178   0.8367162728   1.718398735    1.775828899    0.7963521671   1.534219525    -1.804709      	-2.64780e+00
47       NO_ID      2.92807551     1.094337062    2.830760623    0.3794801201   1.507182286    2.80439452     0.1616481765   0.8867639289   0.8432358908   1.173147739    -0.695562      	-2.64780e+00
48       NO_ID      2.941402376    1.312360759    1.537479334    2.629994738    0.8583844151   1.64744995     1.884840748    2.715133279    0.5165838522   2.471989878    -1.262433      	-2.64780e+00
49       NO_ID      2.973137575    1.293568919    2.187715356    2.714653896    1.898359368    0.7205136691   1.854351946    3.079081368    1.098076254    0.8002831132   -1.489184      	-2.64780e+00
50       NO_ID      3.039292523    0.3199406672   1.625590054    0.8566586338   0.3935740002   1.064615274    1.584938319    2.282633325    3.107077375    2.071800383    -0.115034      	-2.64780e+00
51       NO_ID      0.04851362828  1.887045913    0.3015323339   1.992126815    0.2467867178   0.6696031224   2.959427202    0.7789984779   0.7963521671   1.534219525    -1.635163      	-2.64780e+00
52       NO_ID      0.04851362828  1.887045913    2.446582543    0.8417977398   0.2467867178   0.6696031224   2.959427202    1.775828899    0.7963521671   2.376400772    -1.119983      	-2.64780e+00
53       NO_ID      0.1381583762   2.81321518     0.7771768199   2.897586708    1.780622736    1.223387148    2.70660025     0.7171579833   1.475734717    0.4631805104   -0.846995      	-2.64780e+00
54       NO_ID      0.1460202685   3.02644504     1.519358631    0.816678035    0.8729576789   2.602957499    0.8907907518   2.856359711    0.3819729152   2.443514487    -0.825231      	-2.64780e+00
55       NO_ID      0.3971214394   3.136511533    2.40199986     1.115334067    0.515912715    1.510633848    1.716864707    1.459531548    1.195295264    0.2414176206   -1.193434      	-2.64780e+00
56       NO_ID      0.4831228714   0.1642368483   2.40199986     1.115334067    0.515912715    1.510633848    0.8162945281   2.4607723      1.195295264    0.2414176206   -1.866154      	-2.64780e+00
57       NO_ID      0.5185972636   2.70688788     0.1939586364   1.644477771    2.068828204    0.230008289    0.5773697026   1.53642469     0.8138976097   1.890497475    -0.87145       	-2.64780e+00
