%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.004889713523 1.720508023    2.603916266    0.03700842     1.662981981    2.63699374     1.995674254    1.972759715    1.050809024    0.5771779492   -0.772006      
2        NO_ID      0.05378684875  3.06316583     1.1889674      0.3331716567   0.9495631908   1.564133067    0.9241558558   0.1520605029   3.075533929    0.752824129    -2.895113      	-2.89511e+00
3        NO_ID      0.1056561628   2.71129821     1.551189708    2.032299167    1.086571046    1.22626345     1.515907069    0.2499506501   1.623097259    1.487431678    -1.355578      	-2.89511e+00
4        NO_ID      0.1876307718   2.187140096    1.605264186    0.917923868    1.815425991    1.301430811    1.823192007    0.9117877569   1.050809024    2.465566136    -0.264528      	-2.89511e+00
5        NO_ID      0.2026834194   1.073148303    2.427886579    1.190980811    0.9406466543   1.583116661    2.968439615    0.3349933147   2.273237404    1.248506853    -2.60991       	-2.89511e+00
6        NO_ID      0.2917529069   1.534698909    2.735459147    2.407560711    0.6409359784   0.8260739551   0.7334570284   1.85511896     0.2581960493   0.9825447879   -1.534732      	-2.89511e+00
7        NO_ID      0.4322123247   0.9973098052   0.5414159267   1.454450081    1.286378163    1.451477902    0.2722899295   3.110816568    0.2311588099   1.766720609    -0.005647      	-2.89511e+00
8        NO_ID      0.5044075067   2.711106457    2.316573689    0.08916536424  1.054835847    1.892319133    1.717439967    0.1612646695   0.9893520361   1.00421293     -1.121682      	-2.89511e+00
9        NO_ID      0.5920388432   0.00383506943  1.694908934    1.01332122     0.9333600224   1.102678338    2.860290657    1.908138795    0.8636576355   2.653292785    -1.018899      	-2.89511e+00
10       NO_ID      0.6291431399   0.2131339836   2.059815791    0.5025858488   2.594424469    2.657415485    1.791648561    0.09779427046  0.8890649705   1.616002381    -0.36532       	-2.89511e+00
11       NO_ID      0.7065156657   1.429618007    0.6173503014   0.5403612826   2.071033369    1.310347347    1.895866573    2.5394871      3.046291525    1.427412842    -1.302037      	-2.89511e+00
12       NO_ID      0.8498513856   1.478802772    1.926067744    2.416285494    1.933737883    1.384939448    1.404881809    2.369305894    0.1137098086   1.688964577    -1.733751      	-2.89511e+00
13       NO_ID      0.8894484775   1.438055159    0.6906960043   0.9968304215   2.037668265    3.013118174    0.2780425336   0.2995189225   2.062883846    1.338726861    -0.964215      	-2.89511e+00
