%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.00517734373  2.750991179    1.174969396    2.344090312    2.651950511    3.013405804    2.294042656    1.692128509    2.633925684    3.129416655    -1.323428      
2        NO_ID      0.2478413619   1.062889492    2.520024122    0.9891602826   2.114849037    1.829136364    1.204211801    1.430385021    0.418693705    3.009091351    -0.361933      	-3.61933e-01
3        NO_ID      0.3301036012   0.6354710045   1.850229246    0.6296225236   0.418310198    0.9078568107   2.177744176    0.5146663175   0.9648075918   2.816858496    -0.911779      	-9.11779e-01
4        NO_ID      0.4903136266   2.715325033    1.297499865    1.675541834    0.04084348943  0.4129411008   1.14697339     1.927793526    1.164902339    0.1180242617   -1.36235       	-1.36235e+00
5        NO_ID      0.5247333747   1.353683632    2.545623211    1.143234197    1.614180723    1.486281157    1.081393702    0.1743997823   2.300754028    1.306128771    -1.131656      	-1.36235e+00
6        NO_ID      0.5488943121   0.8205131045   0.6428535131   0.5937646244   0.06816835911  3.066713269    2.591931674    1.358765099    2.438337143    2.70688788     -1.564679      	-1.56468e+00
7        NO_ID      0.56452222     2.316957196    0.3104488703   0.4603042083   1.259436801    1.784266052    1.283693615    3.028746082    0.8046934431   1.356751687    -0.392266      	-1.56468e+00
8        NO_ID      0.5678779058   0.9851334597   0.7201301621   1.222620134    0.443717533    2.612161665    1.556079421    0.2482248688   2.406026683    1.259053294    -0.620895      	-1.56468e+00
9        NO_ID      0.5742057703   2.227408325    0.6502360218   2.700655892    2.614942091    1.603154898    0.07392096326  1.056561628    2.700560016    1.092419527    -1.163057      	-1.56468e+00
10       NO_ID      0.7185002576   0.704598131    2.060582805    2.092222127    1.699798648    0.7556045544   1.716289446    2.454156805    0.08044058129  2.286564271    -0.950885      	-1.56468e+00
11       NO_ID      0.7433323322   1.888771694    1.479186279    2.959139572    2.758757194    2.365758454    1.200089101    1.009582027    2.394233845    2.984642784    -0.476884      	-1.56468e+00
12       NO_ID      0.8492761252   2.858660753    2.063267353    0.07075703098  2.504587968    0.8933794236   1.908618178    0.4069008665   0.167976041    1.315045307    -1.264785      	-1.56468e+00
13       NO_ID      0.855508113    2.256363099    1.11993615     2.662113445    2.064130244    1.202102513    0.7466880179   1.853776686    0.7562756915   0.8918453959   -1.098215      	-1.56468e+00
14       NO_ID      0.8979815069   0.7182126274   0.9400713939   0.6798619331   0.3164891047   3.051468868    3.12749912     2.813694564    0.4271308577   1.621754985    -0.231105      	-1.56468e+00
