%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.006136111087 2.700847646    0.02981766482  2.982054112    2.476975468    1.001240751    0.04765073766  0.8501390158   1.099802036    1.360970264    -1.072574      
2        NO_ID      0.05426623243  3.086751507    1.435945871    0.6020100237   0.6481267336   2.916857931    2.197111276    1.153301254    1.712166747    1.885703639    -1.020387      	-1.02039e+00
3        NO_ID      0.1150520829   1.689348084    1.900372779    1.09261128     2.571509929    0.6596319419   1.316771089    2.380715225    3.120500118    1.831245653    -2.081206      	-2.08121e+00
4        NO_ID      0.1560873258   1.432206678    1.616961148    0.0544579859   1.377556939    3.106118608    1.866144784    1.319359761    0.9031588507   1.054931723    -1.801301      	-2.08121e+00
5        NO_ID      0.1597306417   2.071129245    0.1101623694   2.550225294    2.347158368    2.233448559    0.9810107601   0.3871502589   0.205367968    2.993751073    -0.110598      	-2.08121e+00
6        NO_ID      0.2486083758   1.909864576    0.8789020365   0.7270332871   2.354924383    2.35943059     1.737957589    2.528844782    1.07410707     1.737669959    -0.184488      	-2.08121e+00
7        NO_ID      0.3531140177   1.509003944    0.06989414035  0.3004776898   1.159916749    2.492603376    0.3389242608   2.946292089    0.07555086776  2.668537186    -0.890813      	-2.08121e+00
8        NO_ID      0.4093936616   1.986661841    2.704970345    3.011584146    2.676494955    1.58196614     1.204020047    0.7911748233   1.851667397    2.663647472    -1.750833      	-2.08121e+00
9        NO_ID      0.4477443559   2.727980762    1.381871392    0.1513893657   0.1405552946   2.258184757    2.577262533    0.9440982168   1.691457372    0.6010512564   -1.314427      	-2.08121e+00
10       NO_ID      0.5811088953   0.1618399299   1.281296696    0.7665345022   0.6322111955   2.792889312    2.443226857    2.716187924    0.05790954839  2.491644608    -0.964918      	-2.08121e+00
11       NO_ID      0.6978867595   1.791360931    1.372475472    3.06316583     2.620598818    2.10976757     2.855017437    1.469598605    2.895189789    2.636897863    -1.193303      	-2.08121e+00
12       NO_ID      0.7057486518   1.274489448    1.595484759    2.231339271    2.330859323    2.305260234    3.101708278    1.792127944    0.6205142337   1.456367616    -0.440835      	-2.08121e+00
13       NO_ID      0.724156985    1.283310108    1.115621697    2.672084625    1.658475775    3.130663052    1.927505895    1.945722475    2.372757456    0.67554748     -1.263381      	-2.08121e+00
14       NO_ID      0.7740128876   1.321852556    0.4544557274   3.095572167    2.091646867    2.507080763    0.1203253034   1.360874387    1.007568616    2.147159497    -1.127537      	-2.08121e+00
15       NO_ID      0.8076656219   1.740546261    2.023478508    1.893661408    0.08178285559  1.25828628     0.6812042074   2.611202898    2.046488924    0.4461144514   -1.532854      	-2.08121e+00
16       NO_ID      0.8548369759   2.56326453     1.743710193    2.917433192    1.341027903    1.253204813    1.920794524    1.575350645    0.02502382803  0.5674943988   -0.461947      	-2.08121e+00
17       NO_ID      0.864232896    0.8412224794   0.7034476101   1.968732892    2.776686144    1.193185976    1.880526295    2.495767308    0.7349910562   1.833642571    -2.576149      	-2.57615e+00
18       NO_ID      0.8877226962   2.265567266    2.089345825    0.6730546849   1.397882807    1.743039056    0.02559908844  0.7302930961   1.593854855    0.7458251273   -0.944881      	-2.57615e+00
19       NO_ID      0.9236764721   1.700182155    1.688005809    2.870645345    1.436041748    0.02483207456  2.250898125    0.9311548575   1.803153769    2.470647603    -0.829013      	-2.57615e+00
20       NO_ID      0.9519601092   0.9097743454   0.02157226554  0.746304511    2.064705504    2.467196041    1.801332111    0.6022017772   1.227509848    0.3997101113   -0.218441      	-2.57615e+00
21       NO_ID      1.187337495    0.2557032542   2.404109149    0.03221458321  2.664030979    2.291262231    0.1996153638   0.443717533    0.3822605454   2.12357382     -0.713949      	-2.57615e+00
22       NO_ID      1.317825733    1.357422825    2.22577842     2.92836314     1.934600774    1.449943875    2.67870012     1.691649125    1.480528553    1.566050602    -2.197824      	-2.57615e+00
23       NO_ID      1.341890793    2.364895564    1.026072826    1.580719742    0.4035451807   2.325681979    0.2627981327   0.2851374121   2.313793264    3.021938834    -0.03515       	-2.57615e+00
24       NO_ID      1.432110802    1.229523259    0.242376388    2.292700382    1.825205418    0.8901196146   2.699217741    0.7257868896   2.744088054    0.01112170135  -1.184136      	-2.57615e+00
25       NO_ID      1.435658241    2.177840052    2.182250382    3.119828981    1.227509848    0.6809165772   1.532110237    1.600278596    0.6162956573   1.928656416    -0.738871      	-2.57615e+00
26       NO_ID      1.445629421    2.472181631    0.9491796838   2.859523643    0.6422782527   2.28570138     0.4931899286   2.272949774    1.275927599    2.737664312    -1.108256      	-2.57615e+00
27       NO_ID      1.550039187    1.375735281    2.210054636    2.587808974    1.787621738    2.966905587    2.189441137    0.5216653192   3.110433061    0.2792889312   -1.58788       	-2.57615e+00
28       NO_ID      1.577076426    2.968439615    0.3348015612   0.8637535123   2.939964225    1.809673387    2.90631149     0.484369269    2.769783019    0.7043105007   -0.705706      	-2.57615e+00
29       NO_ID      1.633451947    2.670646474    2.77122117     1.164422956    2.184934931    0.6792866727   0.2142845044   0.2191742179   1.54495772     0.4660568124   -1.50688       	-2.57615e+00
