%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far
1        NO_ID      0.00651961803  0.5897378015   1.742559672    2.147447127    0.3242551203   1.377652816    0.3460191393   0.5695078103   2.682822819    0.7715200925   -0.537906      
2        NO_ID      0.1651956157   1.048699736    0.3033539919   1.565667095    0.6122688344   3.088285535    2.309574687    1.195678771    1.521276166    0.99481701     -0.00021       	-2.10000e-04
3        NO_ID      0.2523475685   0.4277061181   1.180242617    1.803920783    0.9820654042   1.065861671    0.9510013418   1.492321392    2.172758585    1.81370021     -1.561304      	-1.56130e+00
4        NO_ID      0.3034498686   0.9812025136   0.6943393202   2.419832933    3.041305934    1.017635673    1.416578771    2.69777959     2.045913664    1.81897343     -0.939988      	-1.56130e+00
5        NO_ID      0.3133251724   0.8737246928   1.740738014    1.918685236    1.048028598    1.09174839     2.122327422    1.035756376    2.229709366    0.8492761252   -2.279259      	-2.27926e+00
6        NO_ID      0.354456292    0.859151429    1.295390577    2.067965313    2.697012576    0.5277055535   2.627981327    1.749942181    0.5214735657   2.140160495    -2.032408      	-2.27926e+00
7        NO_ID      0.433554599    2.732199338    0.362797568    1.737861712    2.268347691    0.7789026012   2.006795956    2.710627073    1.867007675    2.856551465    -0.758808      	-2.27926e+00
8        NO_ID      0.4401700938   0.3437180976   0.2697012576   0.9116918802   1.307758675    2.827980197    0.3876296426   0.4564691389   1.118018615    1.074682331    -0.050523      	-2.27926e+00
9        NO_ID      0.4844651457   1.30056792     3.057317349    2.198357674    1.725493613    2.161061624    1.21274483     2.901901161    3.116377419    1.603730159    -1.380164      	-2.27926e+00
10       NO_ID      0.5733428797   0.08600143196  1.850612753    2.612257542    0.5433334614   2.793272819    0.5611665343   1.624151903    2.570359408    2.057898256    -0.009072      	-2.27926e+00
11       NO_ID      0.6384431833   1.165189969    1.674583066    1.576692919    1.185419961    1.448889231    1.289733849    1.461161453    1.814563101    3.015227462    -0.018964      	-2.27926e+00
12       NO_ID      0.9322095016   0.9802437462   1.937381199    2.55358098     2.856455588    0.06318276885  1.958665834    0.3036416221   0.1674007806   2.75357985     -0.085552      	-2.27926e+00
13       NO_ID      0.9583838505   1.607852858    1.020128468    2.583494521    0.9830241715   0.04247339393  1.655311843    0.766630379    1.608332242    1.185611714    -3.109057      	-3.10906e+00
14       NO_ID      0.9726694841   2.440158801    2.647252551    2.781000597    1.917055331    2.060678681    0.06337452232  1.358573345    0.4799589391   0.6406483482   -1.725614      	-3.10906e+00
15       NO_ID      1.007568616    2.191358672    2.291549861    2.331722213    0.2920405371   0.7228147107   2.134791398    3.020308929    0.2768920128   2.206890703    -0.35722       	-3.10906e+00
16       NO_ID      1.118881506    2.570551162    1.990784541    1.220606723    1.891264489    2.459238272    1.604209542    2.560388228    0.1353779509   1.948694654    -0.394027      	-3.10906e+00
17       NO_ID      1.13844036     1.364421826    2.958851942    2.555402638    2.589822386    3.110528938    0.5341292948   0.8796690504   1.436425255    1.678705766    -0.619845      	-3.10906e+00
18       NO_ID      1.169216792    0.8822577223   1.595388883    1.879375774    1.953967874    1.066053425    0.9468786422   0.4165844168   2.533734495    2.585507933    -0.740262      	-3.10906e+00
19       NO_ID      1.239206809    2.129134671    3.031334754    0.5236787306   1.410634413    0.6467844593   2.584740919    2.241598082    0.3320211359   1.16193016     -0.157547      	-3.10906e+00
