%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      -3.004883      
2        NO_ID      4.917453376e-05 0.8264763889   1.606015782    2.881784088    0.2058826474   1.375761294    0.295590074    1.123840285    1.126552667    2.731256318    2.409614884    0.1219966771   2.079516829    0.2172230009   0.3359093968   0.186611839    1.075363414    0.04836913583  2.409071849    0.419982211    2.62314203     1.173527691    0.5590567967   2.704512558    2.17503096     0.1691985183   0.5778325141   0.9671014691   2.613801335    1.264117926    -0.32577       	-3.25770e-01
3        NO_ID      2.578122098    1.647439052    1.649040975    0.298228368    1.483346392    2.062356694    0.8333927928   1.611074776    3.085279226    2.295490821    1.552191267    3.031953203    1.399016713    1.591881835    0.9520193876   0.4566989221   0.8270854179   2.417186444    1.713487445    2.742054034    1.674436257    3.001677538    1.493980993    1.72729081     2.257328688    1.046195711    3.05687921     2.498548412    2.571130615    0.3805369349   -2.014459      	-2.01446e+00
4        NO_ID      2.542510645    0.02841818894  0.1023654379   2.004543309    3.057662905    3.103747391    1.672235442    0.5700916549   2.813386067    0.4633791569   0.00444280809  2.413636566    1.740956488    2.600091958    0.1869084076   2.918199505    2.770759072    0.3146869853   1.643142751    1.697745425    2.059737072    0.7876939729   0.09969971849  1.18409971     2.313765223    0.8139453897   1.484242561    1.416305513    3.138186753    2.441471493    -0.21886       	-2.01446e+00
5        NO_ID      1.465206795    1.924677041    2.205494092    0.0834011401   0.5724835862   2.173866495    2.589180128    2.145774869    1.692170515    2.610001633    0.234387817    2.940011859    1.804608752    1.120466133    0.9658512079   0.4502205043   1.90007143     0.2076828868   0.2164547596   3.132043305    2.861116352    1.560068908    0.3429604711   2.455076273    0.7844513195   2.149098505    1.003849061    1.33675734     1.349062663    0.8194987458   -1.059045      	-2.01446e+00
6        NO_ID      0.5717092094   1.725288406    0.01884705073  2.603081632    0.1688687341   1.318335528    2.751390181    1.50740421     1.136602642    1.99515997     2.431534311    0.9554130069   0.9445831416   1.139431991    2.424145545    2.43615041     3.139965859    0.9269773009   0.5478097701   2.171316145    0.566169157    2.861418363    0.352776632    0.9308638212   3.03669582     2.568357167    0.8910800025   0.4077704819   1.584157108    3.069427777    -0.406326      	-2.01446e+00
7        NO_ID      2.915590121    2.897146533    0.7918749961   1.255111638    2.005905082    0.8122221539   0.7961560625   0.9503553913   0.7642492085   1.904264005    1.557235866    2.993509635    2.446133341    1.277059657    0.1782865424   2.523789305    2.679762575    0.8923445607   2.811642672    2.578073121    0.8242819443   2.423100446    0.5791440613   1.019123671    0.4465055975   2.295493071    1.590006484    0.8489172914   1.779104026    2.860780353    -1.630712      	-2.01446e+00
8        NO_ID      2.196125213    2.841886091    1.941156304    2.712290549    0.9528203705   1.352445634    1.12841225     2.569332265    1.571585631    2.267349469    2.961028865    0.03742187139  0.6307925317   1.995297864    1.607512499    2.904371183    2.836025645    0.8340219413   2.760394119    2.040134075    1.187402228    1.270501985    3.060825784    2.855173355    2.207092662    1.817827517    0.235152894    0.09069569225  0.6498946086   2.601417969    -1.596658      	-2.01446e+00
9        NO_ID      0.4820249174   2.366032453    2.764844744    1.443547409    2.320152748    1.354920899    1.889481748    1.2977008      1.518745944    0.1199611244   2.425505311    0.1570005159   2.911142917    0.4096252297   1.340972137    3.072120814    1.053558755    1.14384848     1.253839593    2.61778826     2.298908864    2.450559908    0.276135387    0.8745880687   2.829616707    3.074755607    1.354227533    2.80244815     1.983805475    0.09210809885  -1.025372      	-2.01446e+00
10       NO_ID      2.397061339    2.762877499    2.937589143    1.926738467    2.294356012    1.329012952    3.136042773    0.9651255156   0.8198820699   0.7310509884   0.003738762594 0.005522920126 1.717521561    1.428388027    2.005452153    2.624635804    1.146645205    1.134504529    1.289698572    2.113788679    1.312687058    2.065333202    0.5940677174   0.5135726044   1.658791599    0.8141239476   1.343673008    1.341754262    0.5093200679   2.443048725    -2.429324      	-2.42932e+00
11       NO_ID      2.841003298    2.812008867    2.449522592    1.691526298    1.20743344     1.784644968    1.739599455    1.783577867    2.654393612    1.77283791     1.21873371     0.07110195781  1.20526485     3.0362604      1.533438227    2.008898515    0.8573717563   2.501610864    0.6346652947   1.111372256    2.063113762    0.99105434     3.065798931    1.615838498    1.467747179    0.63860655     1.378597896    0.8464547304   1.231550353    1.852093561    -0.910489      	-2.42932e+00
12       NO_ID      1.233030089    1.589271662    1.065129724    0.8383649213   0.3546271812   0.6171133947   1.426331739    2.002940715    1.255596957    0.7378781074   1.649780684    0.1641374064   0.3387350132   0.5528507084   2.071355236    1.275420231    0.8987799761   1.01591395     3.049388349    2.263365047    1.968306741    0.357109793    1.501660148    1.985532883    0.8503174827   0.1793740773   1.952430092    0.5536688337   0.1136225411   2.707096816    -2.94439       	-2.94439e+00
13       NO_ID      1.62635719     2.326200553    2.469402706    2.807741834    2.99014449     2.436815684    1.754850171    0.4917422947   2.323157806    1.595440924    1.079351777    1.107329357    0.087564819    1.43638887     1.387125277    2.794464711    2.894647066    2.765626754    2.020421856    2.89299355     0.1077272205   1.013826598    2.524790885    0.6637539083   3.056786772    0.9449527801   1.068759889    2.160269672    0.2620727489   0.1433051054   -0.869104      	-2.94439e+00
14       NO_ID      2.068668035    0.09393720454  1.722910754    0.8983629347   0.2898848435   2.625414938    1.675181086    2.95364201     1.550270245    2.161261222    1.219086781    2.863572058    1.992406649    0.1387559958   1.010015308    1.300305035    1.305811304    2.743480593    0.5178672072   1.581541332    3.088393469    1.22948851     1.75622427     1.595066854    1.075549048    0.02672819214  3.11451923     0.5021326511   1.024668605    2.53401635     -0.603958      	-2.94439e+00
15       NO_ID      1.778091423    1.549930964    2.742143699    0.03984601908  0.532733751    0.1161033666   0.4200295159   0.2766028918   2.448754946    1.356074224    2.423861101    0.7970935868   0.9993616573   1.315195529    0.2429160715   1.761107438    1.985060561    2.336777736    1.169311184    1.948849131    0.05873221751  0.6521776446   0.1316960123   1.733407419    1.386605831    0.3473269237   0.4438120315   1.007030847    1.40594914     1.866245163    -1.59664       	-2.94439e+00
16       NO_ID      0.3179455128   3.002133398    2.872433226    0.1255913774   2.805377056    0.9444353225   1.796629197    2.096586917    1.229226171    0.4886810491   1.138290035    2.080833843    0.3611278193   3.059176379    0.2663640411   0.01041385372  2.23802448     0.1844459402   2.372219417    3.076572725    0.4786088833   1.501422131    1.126777561    0.2278708557   0.2236041507   0.7697335969   2.974181543    1.182971851    2.207401012    0.7170718683   -1.74326       	-2.94439e+00
17       NO_ID      0.6761428655   0.7912593153   0.3321426735   2.852745487    2.242626023    2.124355487    2.979815639    1.627434346    1.580394681    2.666181228    1.966938878    2.500169165    1.53678072     1.637506932    1.22431913     2.839065322    1.65637505     1.039888992    0.7324375613   1.316718947    0.7142453742   0.2951516359   0.03819781347  1.105678996    0.62429302     2.713760075    0.5184039358   1.177560091    2.358142925    2.112448345    -0.635413      	-2.94439e+00
18       NO_ID      0.7768366179   2.974122236    0.186204052    0.5048733582   3.105430918    1.692925168    2.72709419     1.571772103    2.259797029    1.690893675    3.141312338    1.566094262    1.080101493    1.141439888    1.613334782    0.2285045143   1.448726038    1.392776985    0.393340312    0.9589519114   0.7326850095   2.333988378    1.412467724    1.46832715     0.9614003304   1.042553574    1.533752267    1.003787335    0.2993222008   1.017835362    -0.064741      	-2.94439e+00
19       NO_ID      0.7850521298   2.822137902    3.042195908    0.7605522532   2.601395997    0.1127487561   0.5877647678   1.394060756    3.120117078    0.337371847    2.774859794    0.1204792389   1.708675686    0.4106455859   2.782134041    2.998211997    2.938905972    2.067520702    2.801860297    1.528535501    1.290197638    1.076808252    2.340610985    2.762876497    2.920746866    1.601945257    0.4419291972   0.7781648804   0.1654855499   1.005832284    -0.953714      	-2.94439e+00
20       NO_ID      0.1112577337   0.6608959029   2.146185814    2.315744479    2.663382703    2.056031603    1.34175266     0.4823970106   2.336617785    1.622606185    2.114906796    1.255324658    2.444537774    2.734703939    0.6635204734   2.275038771    0.2482152208   2.859304482    2.523906671    1.510732235    0.5220429888   2.648857075    2.968051069    1.820656593    0.6595406496   1.359594427    1.897639349    0.1724049191   1.060729667    2.284835055    -1.102247      	-2.94439e+00
21       NO_ID      1.531528574    1.329298772    1.656643214    2.40533871     0.5089727447   2.888774997    1.463146556    1.855755394    3.087199993    0.02028703041  1.672076168    1.03477056     2.671554769    1.173854617    2.912103263    0.842192859    1.858916129    2.802581023    1.075400164    0.6660258671   0.4008900307   2.183354785    1.837630836    0.0606844424   2.047291441    2.100710711    1.42278421     2.069896909    1.898052193    0.8278931565   -1.143801      	-2.94439e+00
22       NO_ID      0.2848841545   0.2602523213   0.9633073569   1.678019172    0.3878697424   0.121285696    2.696427951    1.38554011     1.285306874    0.5591574557   1.25469563     1.297234586    3.107858037    1.644803127    1.329341653    2.377345181    1.260686899    1.461516877    2.740073787    2.949946364    2.269407842    2.998577159    2.792996832    0.2151557628   0.1493622657   0.1987924137   1.590737901    0.5754657011   2.028784413    2.070805346    -1.6959        	-2.94439e+00
