%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      0.855442383    0.444432578    1.257261593    1.954390223    0.4091642129   0.9526151024   0.820297829    0.02419776292  2.532705256    0.4055573999   1.338141659    1.986960574    3.086977569    2.427684025    1.507559234    0.04814235112  2.565492438    1.479734302    2.403316214    0.7173665384   1.503923263    1.939747248    2.911679711    1.14640201     2.25655224     0.8070564675   2.123380918    1.543046549    2.626608651    2.040058512    -2.974143      
2        NO_ID      0.7993296333   0.1323121971   2.028244548    2.374308377    2.966297818    1.401838917    1.869573097    2.079857019    0.7792080576   0.7500398478   0.1618283369   1.103786187    2.48814024     2.749740957    2.796351301    0.3661383543   0.5726559625   2.358944855    0.554527521    1.806276071    0.6493781871   2.532192237    1.155738548    0.5442071802   0.3875702994   0.5714830241   1.278644935    0.2505381265   3.026771032    1.712046197    -2.883296      	-2.88330e+00
3        NO_ID      2.918809561    1.323787787    0.5243599825   0.2875228637   2.891958802    0.8387441909   2.190171635    3.09575525     2.91527123     1.895196832    0.8240024694   0.2871299792   2.955490586    2.032828949    2.60948564     2.924452213    1.153491355    0.02700673072  1.374101158    0.666491688    1.615710853    2.368162574    1.194185219    3.105394794    1.641859115    1.171523068    2.534589235    0.7204126425   1.32929206     1.068461061    -0.998355      	-2.88330e+00
4        NO_ID      2.317971148    2.993980489    3.079155206    0.5356421064   0.8506967796   3.048740253    2.240279982    0.2711918022   1.183008032    0.1745173335   0.2859479986   1.054876874    1.970771507    0.1759411184   2.065140465    1.528314762    2.059531902    0.4067828087   0.9071318018   1.947519754    1.011385987    2.321495433    0.4728538273   0.4654419268   2.343106774    1.133093576    2.341641598    2.613115924    3.00211061     1.29938651     -1.290798      	-2.88330e+00
5        NO_ID      2.040712251    2.484176398    2.766001126    2.960459746    3.037262472    1.84718227     2.728602464    2.285514033    0.1748047702   2.384302172    2.250159639    1.019423135    0.1623602177   1.84907534     1.05127102     1.162829197    0.7946392246   0.67736903     2.575464331    2.504604284    1.078686673    1.729692133    2.201375109    0.874643352    1.333969846    1.440985309    1.210831711    0.7563299814   2.754927652    2.575034796    -0.646961      	-2.88330e+00
6        NO_ID      3.126663733    1.041122723    2.442647088    3.122668       2.846660866    0.6518811482   2.61381357     1.239614348    3.083715984    1.291957339    1.412962344    2.335885149    1.049515944    1.942491969    1.748921082    2.344243415    1.735296352    0.5074213934   0.4082516019   2.782026875    1.056634577    0.424012984    1.245497662    2.208696488    0.3103691489   1.920574096    1.748532638    1.722903946    2.48095716     0.7848994707   -0.025004      	-2.88330e+00
7        NO_ID      0.9635411376   2.43467486     0.7459009428   0.1657078618   2.32329667     2.003773483    2.430088519    0.9802729562   2.820402915    1.760149109    3.046854214    1.187763875    1.298383128    1.194426441    1.586443179    2.020682392    1.238593786    2.072113667    2.345922732    0.8456620198   2.276809922    0.3361937713   2.135239502    1.593570231    1.583990786    0.00865832682  1.568886213    1.837440768    1.25681917     1.790867799    -0.644032      	-2.88330e+00
8        NO_ID      1.628260644    0.7041583242   1.548450712    1.457075083    1.240052052    0.09351764498  2.540499381    3.117073227    1.574357042    1.124679507    2.218989032    0.3928410489   1.388230345    1.562768635    1.851741467    0.06705222367  0.934957914    1.177729103    1.232243928    0.880894042    0.1492792981   1.471089299    2.849559998    3.035889663    2.205007502    0.4209052904   2.881197137    2.230659661    2.870537414    0.1946906619   -0.323967      	-2.88330e+00
9        NO_ID      2.111073286    0.0006084309323 2.161435585    2.268023589    0.9328389089   2.225972231    1.671333829    2.519933005    2.576431535    2.15050978     3.08567961     2.357328241    2.865178528    0.8623456675   1.355924793    0.8658804715   2.254889146    2.32567359     1.661462599    1.472685444    0.481825199    1.172207477    0.7766426366   2.005141659    0.8759952388   2.269200875    2.209771234    1.02415103     0.5653239923   2.94437854     -1.708648      	-2.88330e+00
10       NO_ID      2.054971888    0.8298259012   3.114253507    1.492532591    2.922179782    1.269249893    1.983748968    1.690341308    0.4482132787   2.979622451    1.773483471    0.9640544963   3.129228604    1.373019292    2.578547407    2.804110541    1.492939021    2.914594003    2.505929623    1.688306882    2.086697889    1.893819232    3.035362811    1.812725562    2.104056908    1.908256903    0.6954264929   1.288006486    0.92241314     0.1630061636   -0.565274      	-2.88330e+00
11       NO_ID      0.7126771771   0.3950275482   0.5968184889   1.211676183    1.366689414    0.2703251243   2.88157444     1.505372581    1.522371283    2.797885062    2.931514763    3.053149085    2.370828945    2.043062475    0.9880352062   1.978424925    1.117303249    0.3451533573   1.584898244    0.6060555684   2.306117014    2.188070992    0.233550402    0.7575961554   1.759991536    1.871293562    0.6053093316   1.636605342    2.39470431     1.453604048    -0.378844      	-2.88330e+00
12       NO_ID      1.191892831    2.918645696    1.992332887    0.4580868931   2.523177788    2.90213803     0.02550529263  2.93748322     0.7240055093   2.325072218    1.282298671    1.953914695    1.128929875    1.298598425    1.102802663    2.43146711     1.644790479    2.882029445    0.9998216019   0.3974676756   3.092413952    2.328907069    2.591238867    1.264022222    2.357688892    0.7174454322   1.891577124    0.401117377    2.499003213    0.2385303561   -1.325335      	-2.88330e+00
13       NO_ID      1.085693242    2.469973375    1.79804725     3.071105799    1.651912666    0.810197877    1.795615478    0.5272456137   1.382876681    3.044838036    1.833918341    0.3239767803   0.1159271345   2.128769636    1.270239555    0.4275325129   2.339319043    0.9893414735   1.687111346    2.935102399    0.4499335137   2.746111644    3.083503947    0.1774172605   2.048363439    1.605676952    0.8061222145   1.094309949    0.6448700595   2.79436418     -0.547237      	-2.88330e+00
14       NO_ID      1.05108907     0.2293026482   1.101106349    0.1435111061   0.1006412431   0.1189457927   1.749252585    0.7822976631   1.261142808    1.067879287    1.698513717    0.7995591583   0.7257305496   0.01121742097  1.401322427    0.2302117377   0.7834655016   1.02351078     1.14651929     1.766207402    1.132616796    2.217838158    2.044856436    2.444043301    1.929032816    2.132748458    0.03588226293  2.734059495    0.3059829485   1.864302803    -1.603746      	-2.88330e+00
