%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      3.083944875    0.9283034279   2.656579629    1.401249668    2.153847189    2.05531006     1.685412012    2.615541543    2.28440868     1.796678679    2.095251591    0.3645963867   1.28404132     3.079568142    0.3278867286   1.905597113    0.6908970153   2.810634432    1.708881974    2.116991479    1.172897446    1.613682481    0.3063990648   1.438153551    0.2979014546   1.938168033    1.539878717    2.407792437    2.845042368    2.899736663    -1.055675      
2        NO_ID      2.805749378    1.744331934    1.444720706    1.695330163    1.583471679    0.1655535815   0.6791100886   2.159338929    1.25848725     2.725121761    2.298849688    1.815064057    1.605524761    2.776727598    2.311932738    1.280084276    0.1506539216   3.04058253     1.772530918    2.082957029    1.237454878    2.998643575    1.353475446    1.605880437    0.4823579968   3.000070776    1.617895511    0.3999898833   1.482308032    0.7312423114   -1.519226      	-1.51923e+00
3        NO_ID      0.4306874644   1.963918442    1.690662377    1.491721761    1.233644217    1.863460412    2.019690138    0.6948222477   0.4365605093   2.016728976    2.480821095    1.586372824    0.9994208101   3.12273085     2.933626247    0.3873342014   0.2052247287   0.2201280255   2.537757786    2.34651616     1.770752321    0.9699073654   3.134690242    3.059692214    2.163522896    2.636141032    2.806764141    0.4896267272   0.7794220614   2.047704625    -0.195299      	-1.51923e+00
4        NO_ID      2.052461578    0.5733838192   0.8218152945   2.505446457    2.551276006    1.006777988    1.942092382    0.05271015263  1.14785481     2.319128533    1.925907116    2.022317568    1.181987587    1.728978374    1.76766737     1.02753294     3.03992316     0.2025941949   0.3171317231   0.9000143208   0.561093331    0.05294653281  2.451443979    1.555315784    1.087236588    1.617799954    0.867237597    1.40443025     1.975138485    2.239793236    -1.840487      	-1.84049e+00
5        NO_ID      2.470117619    0.09837240796  0.01816269145  2.276294248    1.972741367    1.682754478    1.372905196    1.46261935     0.2396363592   2.249290926    2.826609193    2.431571697    1.570653459    0.7236693522   1.393809308    1.088227976    2.758550894    3.115347924    1.321650214    2.163151173    3.111893209    1.471847722    2.371666845    1.779303612    1.893434408    1.563392195    2.719332922    1.43312874     0.5578932349   0.5228487018   -0.221723      	-1.84049e+00
6        NO_ID      3.062028729    1.257892396    2.849702514    1.629601017    1.866388503    2.311383347    0.9099106961   3.028879716    1.10364275     1.718829123    0.245012559    2.576244402    0.6353199864   0.8594750605   2.736683772    2.230368318    0.7940599737   2.554499155    1.113102615    2.758126986    2.592518441    1.364720549    1.821728961    1.099045398    2.420002347    2.458072035    2.219518356    2.050391016    2.638504633    1.151900167    -0.739037      	-1.84049e+00
7        NO_ID      1.064296644    2.081688864    0.583179825    0.2541581945   0.02555107792  0.1508836535   3.036752055    1.745972449    2.002921973    0.9083892202   1.652805327    1.506030782    2.527596928    2.293269831    2.158832266    2.183965138    2.442215704    2.715070657    2.064379503    0.638417644    2.19408398     1.048438887    3.052241353    2.221837781    1.278786424    1.202432839    3.003324914    1.030265695    2.438795061    2.268572977    -1.063643      	-1.84049e+00
8        NO_ID      0.2460467478   2.439907069    1.073761881    1.773696505    1.844400929    1.902029017    1.98424082     1.293144178    2.396662736    2.133652877    2.627495621    2.995841444    0.6600635406   0.7972854241   2.547782336    0.7883676309   2.17973893     0.9472170967   2.392679168    1.698773095    0.989399526    2.359782847    0.9039004297   1.118378346    0.06675474766  0.03570299707  1.570886141    0.3513227772   2.822612641    0.3846378299   -0.44647       	-1.84049e+00
9        NO_ID      0.4637157406   1.87569828     2.600979711    0.2142263259   1.421982645    2.118024874    0.8022812269   0.468334266    0.7008611968   2.98903663     2.245819815    0.9206157462   1.392837159    2.758121273    0.6263276005   1.639882368    0.3666580275   2.927617078    2.109727258    0.1920508348   1.303385489    0.4429597578   0.06822064145  1.753127513    1.153540907    1.229263443    3.078770188    1.448204306    0.1489568021   0.7929987828   -1.099638      	-1.84049e+00
10       NO_ID      0.7541062625   0.8353557985   2.562837863    0.3392941605   0.9522256301   0.5321391085   1.49050924     0.2168695325   3.068098613    0.05485110227  1.533447088    2.217784537    2.855385124    2.732422272    1.918511427    2.30588529     0.8197887362   1.314548481    1.186387028    2.455480313    2.015463907    2.050018061    1.691646665    1.32218865     2.176309659    0.1442664524   0.1824777737   2.368466504    2.872672544    0.4645473147   -1.291563      	-1.84049e+00
11       NO_ID      3.137688998    1.420781257    0.3626629505   3.026962593    0.906838065    1.294127752    1.194447014    1.352897539    0.1010423823   0.4985891558   3.08052582     2.27077208     1.018474687    2.68179791     0.5018844611   1.131756832    0.6420050247   2.117524631    0.905141119    1.802089347    2.001785929    0.7858255576   0.4742751853   2.009790886    2.679423481    0.7846960397   0.6195564013   1.082919332    3.109203394    2.665524267    -1.777694      	-1.84049e+00
12       NO_ID      1.779724686    2.493715802    1.008704556    0.6808438445   1.998309529    1.411546327    0.06877038728  0.7782061415   0.5902598182   1.230221286    2.280237744    1.668047657    3.082298106    2.428798205    2.468083409    1.623626564    1.08007958     0.1705789563   1.062455258    2.29242248     0.140103632    0.8865453058   2.032118805    0.498061128    0.9599151652   2.045848873    2.959121111    2.231419925    1.917039083    2.710945938    -1.611355      	-1.84049e+00
13       NO_ID      1.877587137    2.183608165    1.779557394    3.013629529    0.2883538555   3.129410758    1.141819269    2.375184374    2.476875546    1.950608928    1.793021535    1.782994936    2.434158447    0.3075642674   0.1759752758   2.010053448    0.04945817618  1.458809135    0.5397520429   0.310721464    1.673830982    2.604177016    2.047621499    2.452661217    1.572194129    1.408997428    1.900203376    1.194290244    2.522609538    2.132694605    -0.784555      	-1.84049e+00
14       NO_ID      2.728688382    1.557696395    1.892765952    1.701990531    0.1380233296   2.86563472     2.741858661    1.04095992     1.599397426    2.440221586    2.913594368    0.631876472    2.349791261    1.661433765    1.687715829    1.751438232    2.269825064    1.970190984    2.689493134    0.159115465    0.2399676991   3.063925487    0.6772673802   2.626045768    1.953918114    0.82434462     2.750155052    0.9413117368   1.303817187    0.4376872746   -1.069261      	-1.84049e+00
15       NO_ID      2.601844592    2.842985751    2.758857925    2.708239754    2.61591358     0.6177185632   1.903850366    0.8823831461   3.027500698    1.440544174    2.001104244    0.04238434222  0.8367090321   1.374517008    2.803399679    0.3344767505   2.831706972    0.04291009783  2.102633688    1.523082851    2.697882997    2.228528646    1.851448867    1.834035263    3.124324361    1.081808066    2.594308926    2.743016122    1.608209139    2.847040982    -1.238963      	-1.84049e+00
